trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
"""Honest""",Nico Collins,191772,Desconocido,0.476,0.799,4.0,-4.939,0.0,0.212,0.0162,0.0,0.257,0.577,162.139,audio_features,7dTxqsaFGHOXwtzHINjfHv,spotify:track:7dTxqsaFGHOXwtzHINjfHv,https://api.spotify.com/v1/tracks/7dTxqsaFGHOXwtzHINjfHv,https://api.spotify.com/v1/audio-analysis/7dTxqsaFGHOXwtzHINjfHv,191948.0,4.0
-Interlude-,NF,70589,Desconocido,,,,,,,,,,,,,,,,,,
120,OQTAN,115125,Desconocido,0.806,0.945,8.0,-1.382,1.0,0.0486,0.0243,0.837,0.267,0.341,119.992,audio_features,1kdEXzn5xAyzTAzimbjhT4,spotify:track:1kdEXzn5xAyzTAzimbjhT4,https://api.spotify.com/v1/tracks/1kdEXzn5xAyzTAzimbjhT4,https://api.spotify.com/v1/audio-analysis/1kdEXzn5xAyzTAzimbjhT4,115125.0,4.0
1992,Bruises,20907439,Desconocido,0.579,0.851,5.0,-7.261,1.0,0.0278,0.00173,0.0533,0.219,0.372,120.01,audio_features,537debqnr9NGTDEgnftd8y,spotify:track:537debqnr9NGTDEgnftd8y,https://api.spotify.com/v1/tracks/537debqnr9NGTDEgnftd8y,https://api.spotify.com/v1/audio-analysis/537debqnr9NGTDEgnftd8y,188000.0,4.0
2 AM,Marco Luka,172603,Desconocido,0.661,0.528,5.0,-9.347,0.0,0.0354,0.176,0.000107,0.092,0.137,150.004,audio_features,5j8xLQBvlVvTfLUDwyQX5S,spotify:track:5j8xLQBvlVvTfLUDwyQX5S,https://api.spotify.com/v1/tracks/5j8xLQBvlVvTfLUDwyQX5S,https://api.spotify.com/v1/audio-analysis/5j8xLQBvlVvTfLUDwyQX5S,172800.0,4.0
20s,Comfort Club,19957,Desconocido,0.67,0.418,5.0,-7.74,1.0,0.0272,0.13,0.0,0.353,0.413,101.936,audio_features,691DKk2mvknCGvaQD4OTyD,spotify:track:691DKk2mvknCGvaQD4OTyD,https://api.spotify.com/v1/tracks/691DKk2mvknCGvaQD4OTyD,https://api.spotify.com/v1/audio-analysis/691DKk2mvknCGvaQD4OTyD,175033.0,4.0
24,sundial,133897,Desconocido,0.839,0.525,2.0,-4.873,1.0,0.131,0.0303,0.0,0.302,0.831,135.996,audio_features,5nsMKSAJwcr1pA9I6PW429,spotify:track:5nsMKSAJwcr1pA9I6PW429,https://api.spotify.com/v1/tracks/5nsMKSAJwcr1pA9I6PW429,https://api.spotify.com/v1/audio-analysis/5nsMKSAJwcr1pA9I6PW429,133897.0,4.0
2lovely,Griff Clawson,2149083,Desconocido,0.544,0.342,0.0,-11.686,1.0,0.0321,0.818,0.0744,0.131,0.161,132.073,audio_features,5E0yYdXdw4Lp8ffTA0KqEX,spotify:track:5E0yYdXdw4Lp8ffTA0KqEX,https://api.spotify.com/v1/tracks/5E0yYdXdw4Lp8ffTA0KqEX,https://api.spotify.com/v1/audio-analysis/5E0yYdXdw4Lp8ffTA0KqEX,184987.0,4.0
2much,Idkconundrum,1124698,Desconocido,,,,,,,,,,,,,,,,,,
30/90,Andrew Garfield,2559478,Desconocido,0.466,0.789,0.0,-5.956,1.0,0.0663,0.0146,0.0,0.0637,0.36,175.772,audio_features,55MIRLbZzpYSmMlRt9ZDWM,spotify:track:55MIRLbZzpYSmMlRt9ZDWM,https://api.spotify.com/v1/tracks/55MIRLbZzpYSmMlRt9ZDWM,https://api.spotify.com/v1/audio-analysis/55MIRLbZzpYSmMlRt9ZDWM,262505.0,4.0
"52 Non Stop Dilbar Dilbar Remix(Remix By Kedrock,Sd Style)",Arya Acharya,69198,Desconocido,0.521,0.837,7.0,-4.501,1.0,0.0794,0.0593,1.28e-05,0.157,0.48,106.001,audio_features,1FSYDJAlyHAabWhiGgYfDq,spotify:track:1FSYDJAlyHAabWhiGgYfDq,https://api.spotify.com/v1/tracks/1FSYDJAlyHAabWhiGgYfDq,https://api.spotify.com/v1/audio-analysis/1FSYDJAlyHAabWhiGgYfDq,4581483.0,4.0
90mh,Albanos Xwris Xartia,76195,Desconocido,,,,,,,,,,,,,,,,,,
90mh,Trefuego,5128208,Desconocido,,,,,,,,,,,,,,,,,,
A Little Braver,New Empire,2787373,Desconocido,0.497,0.425,2.0,-8.317,1.0,0.0325,0.771,1.11e-05,0.109,0.234,148.074,audio_features,16etWeo0rOinAg5lTy5hCD,spotify:track:16etWeo0rOinAg5lTy5hCD,https://api.spotify.com/v1/tracks/16etWeo0rOinAg5lTy5hCD,https://api.spotify.com/v1/audio-analysis/16etWeo0rOinAg5lTy5hCD,206854.0,4.0
A Little Longer,Sammieforreal,27783728,Desconocido,0.405,0.273,4.0,-18.285,0.0,0.0515,0.306,0.448,0.217,0.187,79.91,audio_features,2EbVt97m6KzG0medUfHOHo,spotify:track:2EbVt97m6KzG0medUfHOHo,https://api.spotify.com/v1/tracks/2EbVt97m6KzG0medUfHOHo,https://api.spotify.com/v1/audio-analysis/2EbVt97m6KzG0medUfHOHo,261346.0,4.0
A Little Messed Up,june,1935875,Desconocido,0.773,0.528,4.0,-7.876,0.0,0.0551,0.694,0.0001,0.478,0.363,96.06,audio_features,5iDaEbPX8Lq2evx3ZpAgQU,spotify:track:5iDaEbPX8Lq2evx3ZpAgQU,https://api.spotify.com/v1/tracks/5iDaEbPX8Lq2evx3ZpAgQU,https://api.spotify.com/v1/audio-analysis/5iDaEbPX8Lq2evx3ZpAgQU,168000.0,4.0
A.S.A.G.,Ori Rose,6391884,Desconocido,0.739,0.625,8.0,-6.013,1.0,0.0382,0.0879,0.0,0.251,0.641,122.976,audio_features,1RKgTID6LoCDMvXxX70vyU,spotify:track:1RKgTID6LoCDMvXxX70vyU,https://api.spotify.com/v1/tracks/1RKgTID6LoCDMvXxX70vyU,https://api.spotify.com/v1/audio-analysis/1RKgTID6LoCDMvXxX70vyU,187317.0,4.0
AFTERLIFE,CYREX,88485,Desconocido,0.692,0.735,1.0,-8.691,1.0,0.0348,0.314,0.959,0.117,0.415,110.007,audio_features,5PfNKiRk4pyJWxle5cU0ba,spotify:track:5PfNKiRk4pyJWxle5cU0ba,https://api.spotify.com/v1/tracks/5PfNKiRk4pyJWxle5cU0ba,https://api.spotify.com/v1/audio-analysis/5PfNKiRk4pyJWxle5cU0ba,196673.0,4.0
ALIENSPEAK (feat. Curtis Waters),Brevin Kim,22606,Desconocido,,,,,,,,,,,,,,,,,,
AMNESIA,Hikki Gaya,468115,Desconocido,0.605,0.887,1.0,-2.298,1.0,0.0448,0.000974,0.919,0.352,0.0759,99.998,audio_features,32P1387Vb7TuwbprjRmtQN,spotify:track:32P1387Vb7TuwbprjRmtQN,https://api.spotify.com/v1/tracks/32P1387Vb7TuwbprjRmtQN,https://api.spotify.com/v1/audio-analysis/32P1387Vb7TuwbprjRmtQN,131253.0,4.0
"Aahun Aahun (From ""Love Aaj Kal"")",Master Saleem,436164,Desconocido,,,,,,,,,,,,,,,,,,
Aaj Bhi (Lofi Flip),It's DPK,39562,Desconocido,,,,,,,,,,,,,,,,,,
"Aankh Marey (From ""Simmba"")",Neha Kakkar,212741,Desconocido,,,,,,,,,,,,,,,,,,
Aaron's Aria,Music Circle,535692,Desconocido,,,,,,,,,,,,,,,,,,
Abki Dussehra Me Mana Tu Baat,Uttam Singh,198270,Desconocido,,,,,,,,,,,,,,,,,,
Admit,Player1,1067034,Desconocido,0.574,0.647,9.0,-6.497,0.0,0.0618,0.428,0.0,0.124,0.294,145.033,audio_features,5ZJFJKB0laSPFLEYj7S8cA,spotify:track:5ZJFJKB0laSPFLEYj7S8cA,https://api.spotify.com/v1/tracks/5ZJFJKB0laSPFLEYj7S8cA,https://api.spotify.com/v1/audio-analysis/5ZJFJKB0laSPFLEYj7S8cA,189103.0,4.0
Ae Watan (Male),Arijit Singh,20796,Desconocido,,,,,,,,,,,,,,,,,,
Ain't Got Rhythm (Vocal),Phineas,6653798,Desconocido,,,,,,,,,,,,,,,,,,
Akatsuki Theme - From Naruto Shippuden,Gabriele Motta,3666,Desconocido,0.451,0.496,0.0,-12.905,0.0,0.0424,0.0562,0.777,0.325,0.341,159.934,audio_features,0z9rJx3tDwped3ypyzoVK8,spotify:track:0z9rJx3tDwped3ypyzoVK8,https://api.spotify.com/v1/tracks/0z9rJx3tDwped3ypyzoVK8,https://api.spotify.com/v1/audio-analysis/0z9rJx3tDwped3ypyzoVK8,131250.0,4.0
All Dressed up (Hot Mix),Jack Newsome,3066930,Desconocido,0.846,0.628,1.0,-5.319,1.0,0.0567,0.149,0.0,0.0746,0.84,111.072,audio_features,7rILDTVEyK9P7GIyy4637Q,spotify:track:7rILDTVEyK9P7GIyy4637Q,https://api.spotify.com/v1/tracks/7rILDTVEyK9P7GIyy4637Q,https://api.spotify.com/v1/audio-analysis/7rILDTVEyK9P7GIyy4637Q,181279.0,4.0
All We Need (feat. Shy Girls),ODESZA,211200,Desconocido,,,,,,,,,,,,,,,,,,
Allah Ke Bande,Kailash Kher,246842,Desconocido,,,,,,,,,,,,,,,,,,
Alone,Biting Elbows,3351,Desconocido,0.648,0.707,7.0,-7.248,1.0,0.0268,0.0277,2.79e-05,0.099,0.282,127.971,audio_features,2PnZshFzhKj08VNZcbqpGf,spotify:track:2PnZshFzhKj08VNZcbqpGf,https://api.spotify.com/v1/tracks/2PnZshFzhKj08VNZcbqpGf,https://api.spotify.com/v1/audio-analysis/2PnZshFzhKj08VNZcbqpGf,180930.0,4.0
Alone,Nico Collins,14068429,Desconocido,0.525,0.785,2.0,-2.407,0.0,0.0455,0.0356,0.0,0.103,0.47,170.116,audio_features,0Lu9pdU9sOqI2jFwxfztCb,spotify:track:0Lu9pdU9sOqI2jFwxfztCb,https://api.spotify.com/v1/tracks/0Lu9pdU9sOqI2jFwxfztCb,https://api.spotify.com/v1/audio-analysis/0Lu9pdU9sOqI2jFwxfztCb,234001.0,4.0
Alone - Acoustic,Nico Collins,236372,Desconocido,0.58,0.405,5.0,-6.859,1.0,0.0994,0.5,0.0,0.103,0.642,169.661,audio_features,2rTQvFeFEweuesY1iioB0T,spotify:track:2rTQvFeFEweuesY1iioB0T,https://api.spotify.com/v1/tracks/2rTQvFeFEweuesY1iioB0T,https://api.spotify.com/v1/audio-analysis/2rTQvFeFEweuesY1iioB0T,236451.0,4.0
"Arabic Kuthu - Halamithi Habibo (From ""Beast"")",Anirudh Ravichander,114719,Desconocido,,,,,,,,,,,,,,,,,,
Area,MagnusTheMagnus,1246,Desconocido,0.681,0.698,9.0,-5.464,0.0,0.0595,0.0631,0.464,0.0535,0.643,156.059,audio_features,7fJozqj7NMdvo0zkcXDbgg,spotify:track:7fJozqj7NMdvo0zkcXDbgg,https://api.spotify.com/v1/tracks/7fJozqj7NMdvo0zkcXDbgg,https://api.spotify.com/v1/audio-analysis/7fJozqj7NMdvo0zkcXDbgg,178869.0,4.0
Art of Silence,UniqOfficial,2389090,Desconocido,0.364,0.0459,0.0,-23.924,1.0,0.0316,0.841,0.44,0.0918,0.0377,181.598,audio_features,27nkWHXFTNmlSTZPLhKMtp,spotify:track:27nkWHXFTNmlSTZPLhKMtp,https://api.spotify.com/v1/tracks/27nkWHXFTNmlSTZPLhKMtp,https://api.spotify.com/v1/audio-analysis/27nkWHXFTNmlSTZPLhKMtp,255843.0,4.0
Atlantic,Atlis,318260,Desconocido,0.574,0.144,6.0,-19.469,1.0,0.0341,0.949,0.92,0.113,0.104,91.965,audio_features,4AsCJmJXmBS4Mwy2lVxuVz,spotify:track:4AsCJmJXmBS4Mwy2lVxuVz,https://api.spotify.com/v1/tracks/4AsCJmJXmBS4Mwy2lVxuVz,https://api.spotify.com/v1/audio-analysis/4AsCJmJXmBS4Mwy2lVxuVz,159130.0,4.0
Atwined,Leonid Antonov,140000,Desconocido,0.175,0.00327,5.0,-37.357,1.0,0.048,0.981,0.884,0.0987,0.051,66.529,audio_features,1heAYXQYiL5e2VBRClCaif,spotify:track:1heAYXQYiL5e2VBRClCaif,https://api.spotify.com/v1/tracks/1heAYXQYiL5e2VBRClCaif,https://api.spotify.com/v1/audio-analysis/1heAYXQYiL5e2VBRClCaif,140250.0,4.0
Axel F,Crazy Frog,160960,Desconocido,0.86,0.907,2.0,-3.321,1.0,0.0407,0.279,0.693,0.0648,0.786,138.045,audio_features,0Bo5fjMtTfCD8vHGebivqc,spotify:track:0Bo5fjMtTfCD8vHGebivqc,https://api.spotify.com/v1/tracks/0Bo5fjMtTfCD8vHGebivqc,https://api.spotify.com/v1/audio-analysis/0Bo5fjMtTfCD8vHGebivqc,168880.0,4.0
"Baby Won't You Tell Me (From ""Saaho"")",Alyssa Mendonsa,12690,Desconocido,,,,,,,,,,,,,,,,,,
Back In My Head Again,Levi Evans,1426534,Desconocido,0.77,0.608,6.0,-8.004,0.0,0.0347,0.279,5.38e-05,0.138,0.172,118.059,audio_features,5etJs8H5GcjCboXNw6Rrg0,spotify:track:5etJs8H5GcjCboXNw6Rrg0,https://api.spotify.com/v1/tracks/5etJs8H5GcjCboXNw6Rrg0,https://api.spotify.com/v1/audio-analysis/5etJs8H5GcjCboXNw6Rrg0,174540.0,4.0
Backwards,B3,15433,Desconocido,0.656,0.563,1.0,-12.647,0.0,0.44,0.863,0.0,0.286,0.444,136.575,audio_features,7mIgWX6dWivt2Zf2RH5nGF,spotify:track:7mIgWX6dWivt2Zf2RH5nGF,https://api.spotify.com/v1/tracks/7mIgWX6dWivt2Zf2RH5nGF,https://api.spotify.com/v1/audio-analysis/7mIgWX6dWivt2Zf2RH5nGF,236517.0,4.0
Bad Girls Sped,babii,187236,Desconocido,,,,,,,,,,,,,,,,,,
Bad Love,Earl St. Clair,9800074,Desconocido,0.901,0.797,10.0,-4.224,0.0,0.0517,0.0431,2.78e-06,0.0646,0.963,125.017,audio_features,1ds1gkZWVzwyRdkGOG2GeN,spotify:track:1ds1gkZWVzwyRdkGOG2GeN,https://api.spotify.com/v1/tracks/1ds1gkZWVzwyRdkGOG2GeN,https://api.spotify.com/v1/audio-analysis/1ds1gkZWVzwyRdkGOG2GeN,183000.0,4.0
Bad Reputation,Death Cab for Cutie,255960,Desconocido,,,,,,,,,,,,,,,,,,
Balance,Kozmic,294199,Desconocido,0.725,0.562,9.0,-8.644,1.0,0.157,0.00638,0.839,0.541,0.519,160.012,audio_features,4YMoNzgI1oQo3cxpseqJZ3,spotify:track:4YMoNzgI1oQo3cxpseqJZ3,https://api.spotify.com/v1/tracks/4YMoNzgI1oQo3cxpseqJZ3,https://api.spotify.com/v1/audio-analysis/4YMoNzgI1oQo3cxpseqJZ3,249000.0,4.0
Barbie Girl - EDM Remix,Eduardo Luzquiños,11805,Desconocido,,,,,,,,,,,,,,,,,,
Be Happy,FRND,8388,Desconocido,0.497,0.414,3.0,-9.691,0.0,0.0392,0.61,0.00146,0.108,0.193,165.875,audio_features,74mDMQPfxnkxsjTg8YBaRG,spotify:track:74mDMQPfxnkxsjTg8YBaRG,https://api.spotify.com/v1/tracks/74mDMQPfxnkxsjTg8YBaRG,https://api.spotify.com/v1/audio-analysis/74mDMQPfxnkxsjTg8YBaRG,200964.0,4.0
Be Mine,Gamma Skies,148804,Desconocido,0.607,0.744,0.0,-4.692,0.0,0.042,0.042,0.000316,0.0738,0.511,89.995,audio_features,2obH9wItcVQgceWHqOBt8f,spotify:track:2obH9wItcVQgceWHqOBt8f,https://api.spotify.com/v1/tracks/2obH9wItcVQgceWHqOBt8f,https://api.spotify.com/v1/audio-analysis/2obH9wItcVQgceWHqOBt8f,148847.0,4.0
Beautiful Life,Shockwave-Sound,126846,Desconocido,0.672,0.162,11.0,-19.708,0.0,0.0492,0.93,0.914,0.0924,0.565,109.97,audio_features,6hqyEMoWxWiB5RG6f2YsM7,spotify:track:6hqyEMoWxWiB5RG6f2YsM7,https://api.spotify.com/v1/tracks/6hqyEMoWxWiB5RG6f2YsM7,https://api.spotify.com/v1/audio-analysis/6hqyEMoWxWiB5RG6f2YsM7,126954.0,3.0
Beautiful Life,Vancel,1221631,Desconocido,0.735,0.88,0.0,-9.952,1.0,0.0667,0.175,0.887,0.241,0.433,119.989,audio_features,6RaODiY9iiPHtLXpmSCulr,spotify:track:6RaODiY9iiPHtLXpmSCulr,https://api.spotify.com/v1/tracks/6RaODiY9iiPHtLXpmSCulr,https://api.spotify.com/v1/audio-analysis/6RaODiY9iiPHtLXpmSCulr,242529.0,4.0
Becalming Silence,La Kalon,6796,Desconocido,0.0836,0.00358,9.0,-37.948,1.0,0.0394,0.979,0.865,0.122,0.0386,83.879,audio_features,73E1cWwhV9iyIfiyyH26Mn,spotify:track:73E1cWwhV9iyIfiyyH26Mn,https://api.spotify.com/v1/tracks/73E1cWwhV9iyIfiyyH26Mn,https://api.spotify.com/v1/audio-analysis/73E1cWwhV9iyIfiyyH26Mn,149400.0,3.0
Believe,Havana Swim Club,119356,Desconocido,0.373,0.87,11.0,-7.101,1.0,0.0723,0.0282,0.318,0.593,0.873,84.681,audio_features,0xwpX5rFUYLObvUA5eh9uL,spotify:track:0xwpX5rFUYLObvUA5eh9uL,https://api.spotify.com/v1/tracks/0xwpX5rFUYLObvUA5eh9uL,https://api.spotify.com/v1/audio-analysis/0xwpX5rFUYLObvUA5eh9uL,178387.0,4.0
"Bella's Lullaby (From ""Twilight"")",Carter Burwell,51204,Desconocido,,,,,,,,,,,,,,,,,,
Belly Flop,Unlike Pluto,15730,Desconocido,0.697,0.618,5.0,-6.347,0.0,0.0275,0.105,0.00131,0.141,0.387,143.998,audio_features,2XB5zfp6mtcKRPIbwFw7JG,spotify:track:2XB5zfp6mtcKRPIbwFw7JG,https://api.spotify.com/v1/tracks/2XB5zfp6mtcKRPIbwFw7JG,https://api.spotify.com/v1/audio-analysis/2XB5zfp6mtcKRPIbwFw7JG,233346.0,4.0
