trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Aankhein Khuli,Jatin-Lalit,173287,afghan pop,0.792,0.635,7.0,-13.94,0.0,0.0863,0.349,5.92e-06,0.324,0.648,122.004,audio_features,16XEVyPh5NT31CAAqPbxQF,spotify:track:16XEVyPh5NT31CAAqPbxQF,https://api.spotify.com/v1/tracks/16XEVyPh5NT31CAAqPbxQF,https://api.spotify.com/v1/audio-analysis/16XEVyPh5NT31CAAqPbxQF,422713.0,4.0
Bole Chudiyan,Jatin-Lalit,1174646,afghan pop,0.59,0.875,5.0,-5.294,1.0,0.171,0.45,1.16e-05,0.164,0.737,96.915,audio_features,1uzkWkIaWaxzHJgJ4Fy5rO,spotify:track:1uzkWkIaWaxzHJgJ4Fy5rO,https://api.spotify.com/v1/tracks/1uzkWkIaWaxzHJgJ4Fy5rO,https://api.spotify.com/v1/audio-analysis/1uzkWkIaWaxzHJgJ4Fy5rO,408133.0,4.0
Chalte Chalte,Jatin-Lalit,4363,afghan pop,0.639,0.531,11.0,-14.632,0.0,0.0407,0.393,7.61e-06,0.285,0.672,97.074,audio_features,11acrZ5o6QredI03M4sAsp,spotify:track:11acrZ5o6QredI03M4sAsp,https://api.spotify.com/v1/tracks/11acrZ5o6QredI03M4sAsp,https://api.spotify.com/v1/audio-analysis/11acrZ5o6QredI03M4sAsp,458815.0,4.0
Chand Sifarish,Jatin-Lalit,772169,afghan pop,0.829,0.665,2.0,-8.128,1.0,0.0868,0.242,1.75e-05,0.123,0.861,122.043,audio_features,5EYZZvmNAH5VZCwuzYJqoA,spotify:track:5EYZZvmNAH5VZCwuzYJqoA,https://api.spotify.com/v1/tracks/5EYZZvmNAH5VZCwuzYJqoA,https://api.spotify.com/v1/audio-analysis/5EYZZvmNAH5VZCwuzYJqoA,275931.0,4.0
Humko Humise Chura Lo,Jatin-Lalit,141582,afghan pop,0.312,0.511,6.0,-13.673,0.0,0.0797,0.476,0.000541,0.173,0.637,76.403,audio_features,7oD5587r1m5mzbn7w9XRoE,spotify:track:7oD5587r1m5mzbn7w9XRoE,https://api.spotify.com/v1/tracks/7oD5587r1m5mzbn7w9XRoE,https://api.spotify.com/v1/audio-analysis/7oD5587r1m5mzbn7w9XRoE,473025.0,4.0
Kuch Kuch Hota Hai,Jatin-Lalit,58640,afghan pop,0.547,0.554,7.0,-11.165,1.0,0.0374,0.602,0.000155,0.0735,0.848,91.386,audio_features,4RixtPhUXlci9ad4qIMj23,spotify:track:4RixtPhUXlci9ad4qIMj23,https://api.spotify.com/v1/tracks/4RixtPhUXlci9ad4qIMj23,https://api.spotify.com/v1/audio-analysis/4RixtPhUXlci9ad4qIMj23,297867.0,4.0
Mere Haath Mein,Jatin-Lalit,45883,afghan pop,0.554,0.606,1.0,-12.312,1.0,0.0722,0.578,0.000183,0.11,0.584,93.922,audio_features,6oUK2k9OJ0WvmVveyauFB7,spotify:track:6oUK2k9OJ0WvmVveyauFB7,https://api.spotify.com/v1/tracks/6oUK2k9OJ0WvmVveyauFB7,https://api.spotify.com/v1/audio-analysis/6oUK2k9OJ0WvmVveyauFB7,285858.0,4.0
Suraj Hua Maddham,Sandesh Shandilya,990547,afghan pop,0.633,0.691,5.0,-5.851,1.0,0.0557,0.329,0.000211,0.134,0.57,80.002,audio_features,0mWtcNIAL9jITVHl3F2SQF,spotify:track:0mWtcNIAL9jITVHl3F2SQF,https://api.spotify.com/v1/tracks/0mWtcNIAL9jITVHl3F2SQF,https://api.spotify.com/v1/audio-analysis/0mWtcNIAL9jITVHl3F2SQF,427547.0,4.0
Aankhein Khuli,Jatin-Lalit,173287,afghan pop,0.792,0.635,7.0,-13.94,0.0,0.0863,0.349,5.92e-06,0.324,0.648,122.004,audio_features,16XEVyPh5NT31CAAqPbxQF,spotify:track:16XEVyPh5NT31CAAqPbxQF,https://api.spotify.com/v1/tracks/16XEVyPh5NT31CAAqPbxQF,https://api.spotify.com/v1/audio-analysis/16XEVyPh5NT31CAAqPbxQF,422713.0,4.0
Bole Chudiyan,Jatin-Lalit,1174646,afghan pop,0.59,0.875,5.0,-5.294,1.0,0.171,0.45,1.16e-05,0.164,0.737,96.915,audio_features,1uzkWkIaWaxzHJgJ4Fy5rO,spotify:track:1uzkWkIaWaxzHJgJ4Fy5rO,https://api.spotify.com/v1/tracks/1uzkWkIaWaxzHJgJ4Fy5rO,https://api.spotify.com/v1/audio-analysis/1uzkWkIaWaxzHJgJ4Fy5rO,408133.0,4.0
