trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ANUBIS,KUTE,262699,aggressive phonk,0.627,0.993,1.0,-1.304,1.0,0.0714,0.00142,0.254,0.239,0.58,109.975,audio_features,1aqP9g3lLR8bpFtkCTm41N,spotify:track:1aqP9g3lLR8bpFtkCTm41N,https://api.spotify.com/v1/tracks/1aqP9g3lLR8bpFtkCTm41N,https://api.spotify.com/v1/audio-analysis/1aqP9g3lLR8bpFtkCTm41N,131455.0,4.0
AVOID ME,KUTE,800336,aggressive phonk,0.656,0.964,6.0,-2.087,0.0,0.0964,0.123,0.813,0.78,0.965,114.007,audio_features,5FX30idriKlEIRYTxpNf65,spotify:track:5FX30idriKlEIRYTxpNf65,https://api.spotify.com/v1/tracks/5FX30idriKlEIRYTxpNf65,https://api.spotify.com/v1/audio-analysis/5FX30idriKlEIRYTxpNf65,105789.0,4.0
AVOID ME 3,KUTE,40239,aggressive phonk,0.706,0.933,10.0,-0.096,1.0,0.0721,0.11,0.878,0.058,0.761,114.042,audio_features,7dXyRgDZlQnA5OU1SPD1oe,spotify:track:7dXyRgDZlQnA5OU1SPD1oe,https://api.spotify.com/v1/tracks/7dXyRgDZlQnA5OU1SPD1oe,https://api.spotify.com/v1/audio-analysis/7dXyRgDZlQnA5OU1SPD1oe,120000.0,4.0
DARK LADY,KUTE,143467,aggressive phonk,0.613,0.975,1.0,-2.704,1.0,0.0871,0.00173,0.0294,0.101,0.424,124.071,audio_features,15kFp3rOPgHSogMHLon1bC,spotify:track:15kFp3rOPgHSogMHLon1bC,https://api.spotify.com/v1/tracks/15kFp3rOPgHSogMHLon1bC,https://api.spotify.com/v1/audio-analysis/15kFp3rOPgHSogMHLon1bC,143468.0,4.0
Dead on Arrival,KUTE,172672,aggressive phonk,0.708,0.899,0.0,-4.249,1.0,0.181,0.00531,0.246,0.11,0.412,99.934,audio_features,2wYJ7AszuzxSdb0yOjirKQ,spotify:track:2wYJ7AszuzxSdb0yOjirKQ,https://api.spotify.com/v1/tracks/2wYJ7AszuzxSdb0yOjirKQ,https://api.spotify.com/v1/audio-analysis/2wYJ7AszuzxSdb0yOjirKQ,172800.0,4.0
Die Again,SLEEPYHΞAD,139863,aggressive phonk,0.71,0.894,1.0,-1.196,1.0,0.208,0.0812,0.877,0.28,0.525,92.559,audio_features,0UxvWoutds1rMXPk7kW4Fy,spotify:track:0UxvWoutds1rMXPk7kW4Fy,https://api.spotify.com/v1/tracks/0UxvWoutds1rMXPk7kW4Fy,https://api.spotify.com/v1/audio-analysis/0UxvWoutds1rMXPk7kW4Fy,140195.0,4.0
EVIL PHONK,DJ CHANSEY,80473,aggressive phonk,0.517,0.924,7.0,-1.868,1.0,0.084,0.000319,0.673,0.0961,0.386,199.944,audio_features,0CdgB6CDmrDnWhhcGpfdrp,spotify:track:0CdgB6CDmrDnWhhcGpfdrp,https://api.spotify.com/v1/tracks/0CdgB6CDmrDnWhhcGpfdrp,https://api.spotify.com/v1/audio-analysis/0CdgB6CDmrDnWhhcGpfdrp,124115.0,4.0
ROADKILL,SAOTOMAMORE,124709,aggressive phonk,0.737,0.844,8.0,-0.876,1.0,0.128,0.0556,1.09e-06,0.252,0.487,100.005,audio_features,2WqPiS79q9a5PXQhA3tun7,spotify:track:2WqPiS79q9a5PXQhA3tun7,https://api.spotify.com/v1/tracks/2WqPiS79q9a5PXQhA3tun7,https://api.spotify.com/v1/audio-analysis/2WqPiS79q9a5PXQhA3tun7,124800.0,4.0
TECHNO KILLA,KUTE,192822,aggressive phonk,0.73,0.892,11.0,-3.831,0.0,0.219,0.195,0.862,0.279,0.59,121.022,audio_features,5kr9HU28PSpkmQZ6z9Z1Mx,spotify:track:5kr9HU28PSpkmQZ6z9Z1Mx,https://api.spotify.com/v1/tracks/5kr9HU28PSpkmQZ6z9Z1Mx,https://api.spotify.com/v1/audio-analysis/5kr9HU28PSpkmQZ6z9Z1Mx,130041.0,4.0
WITHOUT A HEAD,SPURIA,186057,aggressive phonk,0.578,0.998,0.0,3.01,1.0,0.155,0.103,0.842,0.41,0.547,102.48,audio_features,1nhlcMuUhvvVY80i75ZI5k,spotify:track:1nhlcMuUhvvVY80i75ZI5k,https://api.spotify.com/v1/tracks/1nhlcMuUhvvVY80i75ZI5k,https://api.spotify.com/v1/audio-analysis/1nhlcMuUhvvVY80i75ZI5k,120163.0,4.0
