trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
(L)only Child,salem ilese,2237969,alt z,0.645,0.611,8.0,-5.925,0.0,0.137,0.29,2.05e-05,0.237,0.645,157.475,audio_features,22lJaG2yxlSjIwdUIddcFk,spotify:track:22lJaG2yxlSjIwdUIddcFk,https://api.spotify.com/v1/tracks/22lJaG2yxlSjIwdUIddcFk,https://api.spotify.com/v1/audio-analysis/22lJaG2yxlSjIwdUIddcFk,144468.0,3.0
13 Missed Calls,Zach Hood,3248068,alt z,0.639,0.724,7.0,-6.346,1.0,0.0664,0.452,0.0,0.159,0.522,129.712,audio_features,6KVFBsfbnaFFa43i4k0cce,spotify:track:6KVFBsfbnaFFa43i4k0cce,https://api.spotify.com/v1/tracks/6KVFBsfbnaFFa43i4k0cce,https://api.spotify.com/v1/audio-analysis/6KVFBsfbnaFFa43i4k0cce,209538.0,3.0
18,Jeremy Zucker,150773,alt z,0.783,0.599,4.0,-5.688,1.0,0.0441,0.0445,0.0,0.108,0.611,113.97,audio_features,1No2CqopteR18XVL4RJHNO,spotify:track:1No2CqopteR18XVL4RJHNO,https://api.spotify.com/v1/tracks/1No2CqopteR18XVL4RJHNO,https://api.spotify.com/v1/audio-analysis/1No2CqopteR18XVL4RJHNO,150773.0,4.0
4am,girl in red,18702,alt z,0.418,0.392,9.0,-13.771,1.0,0.0383,0.663,0.335,0.204,0.295,168.902,audio_features,75enpZYDT6k0PNKu6SJ4W5,spotify:track:75enpZYDT6k0PNKu6SJ4W5,https://api.spotify.com/v1/tracks/75enpZYDT6k0PNKu6SJ4W5,https://api.spotify.com/v1/audio-analysis/75enpZYDT6k0PNKu6SJ4W5,110862.0,4.0
608,Carlie Hanson,2208366,alt z,0.614,0.511,11.0,-8.758,0.0,0.0294,0.673,0.00176,0.339,0.486,148.024,audio_features,2YTsqpMJvfwPxDP7RuXjD2,spotify:track:2YTsqpMJvfwPxDP7RuXjD2,https://api.spotify.com/v1/tracks/2YTsqpMJvfwPxDP7RuXjD2,https://api.spotify.com/v1/audio-analysis/2YTsqpMJvfwPxDP7RuXjD2,204760.0,3.0
7UP,Boy In Space,4569846,alt z,0.618,0.47,0.0,-7.379,1.0,0.0271,0.0169,0.0,0.111,0.228,135.034,audio_features,3PRqiN41BIPkeai16CWjqy,spotify:track:3PRqiN41BIPkeai16CWjqy,https://api.spotify.com/v1/tracks/3PRqiN41BIPkeai16CWjqy,https://api.spotify.com/v1/audio-analysis/3PRqiN41BIPkeai16CWjqy,203555.0,4.0
85%,Loote,463954,alt z,0.574,0.651,7.0,-7.585,1.0,0.046,0.346,0.0,0.149,0.368,140.017,audio_features,5teOR8KU4XNWY2WlVUDiIR,spotify:track:5teOR8KU4XNWY2WlVUDiIR,https://api.spotify.com/v1/tracks/5teOR8KU4XNWY2WlVUDiIR,https://api.spotify.com/v1/audio-analysis/5teOR8KU4XNWY2WlVUDiIR,174107.0,4.0
911,Ellise,3234388,alt z,0.765,0.53,10.0,-7.18,0.0,0.0833,0.509,4.15e-06,0.117,0.529,130.104,audio_features,23KVefoON2iEz1dh940quQ,spotify:track:23KVefoON2iEz1dh940quQ,https://api.spotify.com/v1/tracks/23KVefoON2iEz1dh940quQ,https://api.spotify.com/v1/audio-analysis/23KVefoON2iEz1dh940quQ,188387.0,4.0
:( (sad face),Bahari,1700511,alt z,0.661,0.552,8.0,-8.015,0.0,0.0278,0.242,0.0,0.0953,0.408,110.072,audio_features,0C2XDhJ1pZQnsceOJXg71d,spotify:track:0C2XDhJ1pZQnsceOJXg71d,https://api.spotify.com/v1/tracks/0C2XDhJ1pZQnsceOJXg71d,https://api.spotify.com/v1/audio-analysis/0C2XDhJ1pZQnsceOJXg71d,188182.0,4.0
A Little Bit Yours,JP Saxe,99339,alt z,0.598,0.295,1.0,-8.553,1.0,0.0276,0.735,0.0,0.107,0.314,87.025,audio_features,00cBcYOlnHoXX9ver3cmdE,spotify:track:00cBcYOlnHoXX9ver3cmdE,https://api.spotify.com/v1/tracks/00cBcYOlnHoXX9ver3cmdE,https://api.spotify.com/v1/audio-analysis/00cBcYOlnHoXX9ver3cmdE,225680.0,4.0
