trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Black Walls,Chromatics,244160,alternative dance,0.738,0.454,0.0,-10.137,0.0,0.0384,0.316,0.815,0.163,0.407,120.02,audio_features,0nhC02p9MyxtON4vCOfJ1v,spotify:track:0nhC02p9MyxtON4vCOfJ1v,https://api.spotify.com/v1/tracks/0nhC02p9MyxtON4vCOfJ1v,https://api.spotify.com/v1/audio-analysis/0nhC02p9MyxtON4vCOfJ1v,244160.0,4.0
Boy From School,Hot Chip,639306,alternative dance,0.631,0.863,8.0,-3.963,0.0,0.0297,0.161,5.85e-05,0.0846,0.497,125.994,audio_features,1L8H6AuK4TaMmolSL0N0mR,spotify:track:1L8H6AuK4TaMmolSL0N0mR,https://api.spotify.com/v1/tracks/1L8H6AuK4TaMmolSL0N0mR,https://api.spotify.com/v1/audio-analysis/1L8H6AuK4TaMmolSL0N0mR,319653.0,4.0
Cherry,Chromatics,271952,alternative dance,0.655,0.782,7.0,-6.388,0.0,0.0355,0.0336,0.228,0.175,0.812,108.245,audio_features,4sRmzVSedvFkENbSJ342Ex,spotify:track:4sRmzVSedvFkENbSJ342Ex,https://api.spotify.com/v1/tracks/4sRmzVSedvFkENbSJ342Ex,https://api.spotify.com/v1/audio-analysis/4sRmzVSedvFkENbSJ342Ex,271952.0,4.0
Destroy Everything You Touch,Ladytron,276493,alternative dance,0.528,0.782,4.0,-6.17,0.0,0.0314,0.00928,2.21e-05,0.179,0.719,120.311,audio_features,7z5xueAygjpMdd7hT8zAY3,spotify:track:7z5xueAygjpMdd7hT8zAY3,https://api.spotify.com/v1/tracks/7z5xueAygjpMdd7hT8zAY3,https://api.spotify.com/v1/audio-analysis/7z5xueAygjpMdd7hT8zAY3,276508.0,4.0
Even When The Water's Cold,!!!,227066,alternative dance,0.71,0.831,2.0,-6.847,0.0,0.0392,0.107,0.00131,0.159,0.867,104.972,audio_features,39OqZkxrUiMAR1bG3oquBA,spotify:track:39OqZkxrUiMAR1bG3oquBA,https://api.spotify.com/v1/tracks/39OqZkxrUiMAR1bG3oquBA,https://api.spotify.com/v1/audio-analysis/39OqZkxrUiMAR1bG3oquBA,227067.0,4.0
Galvanize,The Chemical Brothers,95234,alternative dance,0.745,0.714,7.0,-3.681,1.0,0.0751,0.0141,0.0222,0.363,0.365,104.003,audio_features,4bz7uB4edifWKJXSDxwHcs,spotify:track:4bz7uB4edifWKJXSDxwHcs,https://api.spotify.com/v1/tracks/4bz7uB4edifWKJXSDxwHcs,https://api.spotify.com/v1/audio-analysis/4bz7uB4edifWKJXSDxwHcs,393813.0,4.0
Ghosts,The Presets,3121156,alternative dance,0.607,0.68,1.0,-9.15,1.0,0.0384,0.154,2.76e-06,0.242,0.545,139.976,audio_features,17qyE3zCNdfOKmH3SXMwFX,spotify:track:17qyE3zCNdfOKmH3SXMwFX,https://api.spotify.com/v1/tracks/17qyE3zCNdfOKmH3SXMwFX,https://api.spotify.com/v1/audio-analysis/17qyE3zCNdfOKmH3SXMwFX,209040.0,4.0
Girl And The Sea,The Presets,286063,alternative dance,0.736,0.582,5.0,-5.646,0.0,0.0416,0.0355,0.00113,0.0323,0.971,125.99,audio_features,70G5nBW3qlApbEvgEF2HxN,spotify:track:70G5nBW3qlApbEvgEF2HxN,https://api.spotify.com/v1/tracks/70G5nBW3qlApbEvgEF2HxN,https://api.spotify.com/v1/audio-analysis/70G5nBW3qlApbEvgEF2HxN,286213.0,4.0
Heartbeats,The Knife,231853,alternative dance,0.645,0.732,8.0,-5.021,1.0,0.0315,0.0198,7.98e-05,0.134,0.427,87.989,audio_features,5P2hEcHjoNMh33EsFPPOJE,spotify:track:5P2hEcHjoNMh33EsFPPOJE,https://api.spotify.com/v1/tracks/5P2hEcHjoNMh33EsFPPOJE,https://api.spotify.com/v1/audio-analysis/5P2hEcHjoNMh33EsFPPOJE,231828.0,4.0
Home,Caribou,156293,alternative dance,0.703,0.661,7.0,-7.554,1.0,0.0787,0.0344,0.00932,0.198,0.558,97.012,audio_features,6oEFRBgGkATGn8ZpQ0TTdl,spotify:track:6oEFRBgGkATGn8ZpQ0TTdl,https://api.spotify.com/v1/tracks/6oEFRBgGkATGn8ZpQ0TTdl,https://api.spotify.com/v1/audio-analysis/6oEFRBgGkATGn8ZpQ0TTdl,156293.0,4.0
