trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1Stp Klosr (The Humble Brothers Reanimation) [feat. Jonathan Davis],Linkin Park,345993,alternative metal,0.471,0.927,1.0,-5.76,1.0,0.0495,0.00272,0.537,0.115,0.232,96.149,audio_features,6bz9irEuD1Ius2hcHIKRZh,spotify:track:6bz9irEuD1Ius2hcHIKRZh,https://api.spotify.com/v1/tracks/6bz9irEuD1Ius2hcHIKRZh,https://api.spotify.com/v1/audio-analysis/6bz9irEuD1Ius2hcHIKRZh,346040.0,4.0
A Little Piece of Heaven,Avenged Sevenfold,40539,alternative metal,0.486,0.881,2.0,-5.623,0.0,0.0474,0.0244,0.0,0.429,0.667,144.997,audio_features,1BLfQ6dPXmuDrFmbdfW7Jl,spotify:track:1BLfQ6dPXmuDrFmbdfW7Jl,https://api.spotify.com/v1/tracks/1BLfQ6dPXmuDrFmbdfW7Jl,https://api.spotify.com/v1/audio-analysis/1BLfQ6dPXmuDrFmbdfW7Jl,480707.0,4.0
All Around Me,Flyleaf,198420,alternative metal,0.473,0.871,9.0,-4.893,1.0,0.0456,0.0216,0.0,0.0525,0.47,146.975,audio_features,1zN6ynJG4PdR61YWv4PQ3Y,spotify:track:1zN6ynJG4PdR61YWv4PQ3Y,https://api.spotify.com/v1/tracks/1zN6ynJG4PdR61YWv4PQ3Y,https://api.spotify.com/v1/audio-analysis/1zN6ynJG4PdR61YWv4PQ3Y,198507.0,4.0
Animals,Nickelback,207883,alternative metal,0.572,0.961,7.0,-3.089,1.0,0.0625,0.000734,0.021,0.207,0.818,76.998,audio_features,3rjM7GhxdVq1YySsHBs21i,spotify:track:3rjM7GhxdVq1YySsHBs21i,https://api.spotify.com/v1/tracks/3rjM7GhxdVq1YySsHBs21i,https://api.spotify.com/v1/audio-analysis/3rjM7GhxdVq1YySsHBs21i,186600.0,4.0
BURN IT DOWN,Linkin Park,88904,alternative metal,0.585,0.972,9.0,-4.45,0.0,0.0534,0.0143,0.0,0.0707,0.585,110.006,audio_features,7oVEtyuv9NBmnytsCIsY5I,spotify:track:7oVEtyuv9NBmnytsCIsY5I,https://api.spotify.com/v1/tracks/7oVEtyuv9NBmnytsCIsY5I,https://api.spotify.com/v1/audio-analysis/7oVEtyuv9NBmnytsCIsY5I,230253.0,4.0
Behind Blue Eyes,Limp Bizkit,3572901,alternative metal,0.595,0.489,7.0,-6.66,1.0,0.0271,0.497,0.0,0.119,0.0902,120.315,audio_features,1MTQHCpraD4S8g5PAFKzoj,spotify:track:1MTQHCpraD4S8g5PAFKzoj,https://api.spotify.com/v1/tracks/1MTQHCpraD4S8g5PAFKzoj,https://api.spotify.com/v1/audio-analysis/1MTQHCpraD4S8g5PAFKzoj,269973.0,4.0
[Chali],Linkin Park,23535,alternative metal,0.631,0.736,7.0,-6.96,0.0,0.0682,0.0336,0.0124,0.3,0.645,95.091,audio_features,74vx4esXPmbR3TFhqpOtyc,spotify:track:74vx4esXPmbR3TFhqpOtyc,https://api.spotify.com/v1/tracks/74vx4esXPmbR3TFhqpOtyc,https://api.spotify.com/v1/audio-analysis/74vx4esXPmbR3TFhqpOtyc,212293.0,4.0
[Riff Raff],Linkin Park,21535,alternative metal,0.474,0.301,5.0,-20.233,1.0,0.0973,0.993,1.14e-05,0.545,0.962,130.985,audio_features,3LIe8IvE9X2Eh8K1UZ8Qm7,spotify:track:3LIe8IvE9X2Eh8K1UZ8Qm7,https://api.spotify.com/v1/tracks/3LIe8IvE9X2Eh8K1UZ8Qm7,https://api.spotify.com/v1/audio-analysis/3LIe8IvE9X2Eh8K1UZ8Qm7,21907.0,4.0
[Stef],Linkin Park,9962,alternative metal,0.0,0.305,11.0,-21.081,0.0,0.0,0.992,0.0,0.589,0.0,0.0,audio_features,4XQCxOjh4iFofXqTFStUKx,spotify:track:4XQCxOjh4iFofXqTFStUKx,https://api.spotify.com/v1/tracks/4XQCxOjh4iFofXqTFStUKx,https://api.spotify.com/v1/audio-analysis/4XQCxOjh4iFofXqTFStUKx,10027.0,0.0
Bleed It Out,Linkin Park,164194,alternative metal,0.529,0.967,1.0,-3.647,0.0,0.0508,0.114,0.0,0.61,0.596,140.127,audio_features,0UFDKFqW2oGspYeYqo9wjA,spotify:track:0UFDKFqW2oGspYeYqo9wjA,https://api.spotify.com/v1/tracks/0UFDKFqW2oGspYeYqo9wjA,https://api.spotify.com/v1/audio-analysis/0UFDKFqW2oGspYeYqo9wjA,166373.0,4.0
Blurry,Puddle Of Mudd,1776152,alternative metal,0.431,0.938,3.0,-4.507,0.0,0.0542,0.00805,0.0,0.138,0.523,157.462,audio_features,6lSr3iZTC144PKhvbPFzMp,spotify:track:6lSr3iZTC144PKhvbPFzMp,https://api.spotify.com/v1/tracks/6lSr3iZTC144PKhvbPFzMp,https://api.spotify.com/v1/audio-analysis/6lSr3iZTC144PKhvbPFzMp,304000.0,4.0
Breaking the Habit,Linkin Park,440627,alternative metal,0.579,0.849,4.0,-5.218,0.0,0.0303,0.108,0.0,0.0909,0.581,100.021,audio_features,6n8TMVyFKoUmDc4apxceRD,spotify:track:6n8TMVyFKoUmDc4apxceRD,https://api.spotify.com/v1/tracks/6n8TMVyFKoUmDc4apxceRD,https://api.spotify.com/v1/audio-analysis/6n8TMVyFKoUmDc4apxceRD,196907.0,4.0
Burn It to the Ground,Nickelback,520145,alternative metal,0.617,0.922,11.0,-3.474,1.0,0.0744,0.000247,0.388,0.363,0.6,132.059,audio_features,1jq28NGw6wdtFKx8MBPy6C,spotify:track:1jq28NGw6wdtFKx8MBPy6C,https://api.spotify.com/v1/tracks/1jq28NGw6wdtFKx8MBPy6C,https://api.spotify.com/v1/audio-analysis/1jq28NGw6wdtFKx8MBPy6C,212347.0,4.0
Burning in the Skies,Linkin Park,253160,alternative metal,0.607,0.891,9.0,-4.56,0.0,0.0387,0.0417,0.00521,0.314,0.462,120.012,audio_features,74d6TJmbOtWswxvbQ3m1eu,spotify:track:74d6TJmbOtWswxvbQ3m1eu,https://api.spotify.com/v1/tracks/74d6TJmbOtWswxvbQ3m1eu,https://api.spotify.com/v1/audio-analysis/74d6TJmbOtWswxvbQ3m1eu,253160.0,3.0
By_Myslf (Josh Abraham and Mike Shinoda Reanimation),Linkin Park,222278,alternative metal,0.552,0.965,8.0,-4.873,0.0,0.102,0.000636,0.0924,0.119,0.258,103.212,audio_features,4zds6sf1ULkuri7mpEjDZb,spotify:track:4zds6sf1ULkuri7mpEjDZb,https://api.spotify.com/v1/tracks/4zds6sf1ULkuri7mpEjDZb,https://api.spotify.com/v1/audio-analysis/4zds6sf1ULkuri7mpEjDZb,222440.0,4.0
CASTLE OF GLASS,Linkin Park,741904,alternative metal,0.615,0.911,1.0,-3.584,0.0,0.0278,0.0686,0.00188,0.0908,0.685,108.0,audio_features,1r1fPuhj9H4VdXr7OK6FL5,spotify:track:1r1fPuhj9H4VdXr7OK6FL5,https://api.spotify.com/v1/tracks/1r1fPuhj9H4VdXr7OK6FL5,https://api.spotify.com/v1/audio-analysis/1r1fPuhj9H4VdXr7OK6FL5,205400.0,4.0
