trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
"Elliot's Song - From ""Euphoria"" An HBO Original Series",Dominic Fike,986873,alternative pop rock,0.394,0.327,4.0,-14.291,1.0,0.114,0.849,0.0,0.125,0.411,93.358,audio_features,7JIIY2oDPFkURYMCLJuzhe,spotify:track:7JIIY2oDPFkURYMCLJuzhe,https://api.spotify.com/v1/tracks/7JIIY2oDPFkURYMCLJuzhe,https://api.spotify.com/v1/audio-analysis/7JIIY2oDPFkURYMCLJuzhe,150320.0,4.0
"Lover, Please Stay",Nothing But Thieves,1435649,alternative pop rock,0.269,0.122,1.0,-10.408,1.0,0.0334,0.952,0.0,0.0915,0.118,83.967,audio_features,3QxCvkqWdkMqy3CPxOhZ24,spotify:track:3QxCvkqWdkMqy3CPxOhZ24,https://api.spotify.com/v1/tracks/3QxCvkqWdkMqy3CPxOhZ24,https://api.spotify.com/v1/audio-analysis/3QxCvkqWdkMqy3CPxOhZ24,247187.0,4.0
She Wants My Money,Dominic Fike,139787,alternative pop rock,0.704,0.478,9.0,-6.562,1.0,0.047,0.771,0.000516,0.0875,0.42,128.789,audio_features,0IajnzlicUA89rZSkqfLPS,spotify:track:0IajnzlicUA89rZSkqfLPS,https://api.spotify.com/v1/tracks/0IajnzlicUA89rZSkqfLPS,https://api.spotify.com/v1/audio-analysis/0IajnzlicUA89rZSkqfLPS,133560.0,4.0
Superstar Sh*t,Dominic Fike,197493,alternative pop rock,0.756,0.394,4.0,-7.321,0.0,0.0956,0.945,0.0371,0.12,0.197,70.027,audio_features,20j7l6tFtc5lynXpbOQg1O,spotify:track:20j7l6tFtc5lynXpbOQg1O,https://api.spotify.com/v1/tracks/20j7l6tFtc5lynXpbOQg1O,https://api.spotify.com/v1/audio-analysis/20j7l6tFtc5lynXpbOQg1O,127055.0,4.0
Westcoast Collective,Dominic Fike,214258,alternative pop rock,0.682,0.571,1.0,-7.169,0.0,0.0271,0.542,0.00757,0.339,0.539,91.97,audio_features,7rNun2AyLu4u4rQpRt0iS9,spotify:track:7rNun2AyLu4u4rQpRt0iS9,https://api.spotify.com/v1/tracks/7rNun2AyLu4u4rQpRt0iS9,https://api.spotify.com/v1/audio-analysis/7rNun2AyLu4u4rQpRt0iS9,107280.0,4.0
"Elliot's Song - From ""Euphoria"" An HBO Original Series",Dominic Fike,986873,alternative pop rock,0.394,0.327,4.0,-14.291,1.0,0.114,0.849,0.0,0.125,0.411,93.358,audio_features,7JIIY2oDPFkURYMCLJuzhe,spotify:track:7JIIY2oDPFkURYMCLJuzhe,https://api.spotify.com/v1/tracks/7JIIY2oDPFkURYMCLJuzhe,https://api.spotify.com/v1/audio-analysis/7JIIY2oDPFkURYMCLJuzhe,150320.0,4.0
"Lover, Please Stay",Nothing But Thieves,1435649,alternative pop rock,0.269,0.122,1.0,-10.408,1.0,0.0334,0.952,0.0,0.0915,0.118,83.967,audio_features,3QxCvkqWdkMqy3CPxOhZ24,spotify:track:3QxCvkqWdkMqy3CPxOhZ24,https://api.spotify.com/v1/tracks/3QxCvkqWdkMqy3CPxOhZ24,https://api.spotify.com/v1/audio-analysis/3QxCvkqWdkMqy3CPxOhZ24,247187.0,4.0
She Wants My Money,Dominic Fike,139787,alternative pop rock,0.704,0.478,9.0,-6.562,1.0,0.047,0.771,0.000516,0.0875,0.42,128.789,audio_features,0IajnzlicUA89rZSkqfLPS,spotify:track:0IajnzlicUA89rZSkqfLPS,https://api.spotify.com/v1/tracks/0IajnzlicUA89rZSkqfLPS,https://api.spotify.com/v1/audio-analysis/0IajnzlicUA89rZSkqfLPS,133560.0,4.0
Superstar Sh*t,Dominic Fike,197493,alternative pop rock,0.756,0.394,4.0,-7.321,0.0,0.0956,0.945,0.0371,0.12,0.197,70.027,audio_features,20j7l6tFtc5lynXpbOQg1O,spotify:track:20j7l6tFtc5lynXpbOQg1O,https://api.spotify.com/v1/tracks/20j7l6tFtc5lynXpbOQg1O,https://api.spotify.com/v1/audio-analysis/20j7l6tFtc5lynXpbOQg1O,127055.0,4.0
Westcoast Collective,Dominic Fike,214258,alternative pop rock,0.682,0.571,1.0,-7.169,0.0,0.0271,0.542,0.00757,0.339,0.539,91.97,audio_features,7rNun2AyLu4u4rQpRt0iS9,spotify:track:7rNun2AyLu4u4rQpRt0iS9,https://api.spotify.com/v1/tracks/7rNun2AyLu4u4rQpRt0iS9,https://api.spotify.com/v1/audio-analysis/7rNun2AyLu4u4rQpRt0iS9,107280.0,4.0
