trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Beige,Terrace Martin,0,alternative r&b,0.773,0.579,8.0,-10.109,1.0,0.0862,0.297,0.00954,0.0607,0.555,170.04,audio_features,3dvRD7tnKF9Kxocks07jue,spotify:track:3dvRD7tnKF9Kxocks07jue,https://api.spotify.com/v1/tracks/3dvRD7tnKF9Kxocks07jue,https://api.spotify.com/v1/audio-analysis/3dvRD7tnKF9Kxocks07jue,197173.0,4.0
Consume (feat. Goon Des Garcons),Chase Atlantic,130217,alternative r&b,0.556,0.714,9.0,-5.322,0.0,0.158,0.07,0.0,0.261,0.434,146.113,audio_features,0X2bh8NVQ8svDQIn2AdCbW,spotify:track:0X2bh8NVQ8svDQIn2AdCbW,https://api.spotify.com/v1/tracks/0X2bh8NVQ8svDQIn2AdCbW,https://api.spotify.com/v1/audio-analysis/0X2bh8NVQ8svDQIn2AdCbW,267920.0,4.0
Disappear,Tei Shi,501811,alternative r&b,0.826,0.624,7.0,-8.386,1.0,0.25,0.784,1.73e-06,0.112,0.894,115.94,audio_features,7IAC8d1MpiYgNqIdkVNnPo,spotify:track:7IAC8d1MpiYgNqIdkVNnPo,https://api.spotify.com/v1/tracks/7IAC8d1MpiYgNqIdkVNnPo,https://api.spotify.com/v1/audio-analysis/7IAC8d1MpiYgNqIdkVNnPo,179336.0,4.0
Feet Don't Fail Me Now,Joy Crookes,30680,alternative r&b,0.662,0.84,6.0,-3.112,1.0,0.0509,0.17,0.000226,0.155,0.568,112.914,audio_features,1GVkrFVc94CTjm9bdSmGjp,spotify:track:1GVkrFVc94CTjm9bdSmGjp,https://api.spotify.com/v1/tracks/1GVkrFVc94CTjm9bdSmGjp,https://api.spotify.com/v1/audio-analysis/1GVkrFVc94CTjm9bdSmGjp,198800.0,4.0
Friends,Chase Atlantic,287387,alternative r&b,0.422,0.609,11.0,-6.361,0.0,0.0335,0.0114,4.76e-06,0.108,0.0911,107.34,audio_features,2jQiSYrwJehQAcuaaQrXnS,spotify:track:2jQiSYrwJehQAcuaaQrXnS,https://api.spotify.com/v1/tracks/2jQiSYrwJehQAcuaaQrXnS,https://api.spotify.com/v1/audio-analysis/2jQiSYrwJehQAcuaaQrXnS,230011.0,3.0
Into It,Chase Atlantic,196582,alternative r&b,0.518,0.572,10.0,-6.706,0.0,0.0416,0.0503,2.41e-05,0.129,0.291,130.053,audio_features,4HwDCXsMBC7SUdp2WT4MZP,spotify:track:4HwDCXsMBC7SUdp2WT4MZP,https://api.spotify.com/v1/tracks/4HwDCXsMBC7SUdp2WT4MZP,https://api.spotify.com/v1/audio-analysis/4HwDCXsMBC7SUdp2WT4MZP,196767.0,4.0
Make It Up,Tirzah,230745,alternative r&b,0.913,0.351,1.0,-12.246,1.0,0.311,0.674,0.00253,0.0804,0.303,105.013,audio_features,66aoMO408FA4pLR2xWVH3f,spotify:track:66aoMO408FA4pLR2xWVH3f,https://api.spotify.com/v1/tracks/66aoMO408FA4pLR2xWVH3f,https://api.spotify.com/v1/audio-analysis/66aoMO408FA4pLR2xWVH3f,230746.0,4.0
Mystery Lady (feat. Don Toliver),Masego,4104402,alternative r&b,0.747,0.494,3.0,-7.957,0.0,0.141,0.393,0.0,0.0982,0.624,76.006,audio_features,2Ee9amLUslOwgoJWZEpSSD,spotify:track:2Ee9amLUslOwgoJWZEpSSD,https://api.spotify.com/v1/tracks/2Ee9amLUslOwgoJWZEpSSD,https://api.spotify.com/v1/audio-analysis/2Ee9amLUslOwgoJWZEpSSD,228453.0,4.0
NWA (feat. Lil Durk),Lucky Daye,151364,alternative r&b,0.866,0.628,2.0,-6.085,1.0,0.0418,0.296,0.00127,0.157,0.57,113.979,audio_features,7nGnc4hif6ErrFrvjVuht2,spotify:track:7nGnc4hif6ErrFrvjVuht2,https://api.spotify.com/v1/tracks/7nGnc4hif6ErrFrvjVuht2,https://api.spotify.com/v1/audio-analysis/7nGnc4hif6ErrFrvjVuht2,231600.0,4.0
SLIDE,Chase Atlantic,235659,alternative r&b,0.557,0.595,3.0,-4.759,0.0,0.0371,0.000325,8.88e-06,0.109,0.199,139.911,audio_features,1p3RpKfSJQcVTEwrQWr8q7,spotify:track:1p3RpKfSJQcVTEwrQWr8q7,https://api.spotify.com/v1/tracks/1p3RpKfSJQcVTEwrQWr8q7,https://api.spotify.com/v1/audio-analysis/1p3RpKfSJQcVTEwrQWr8q7,235720.0,4.0
