trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Between The Bars,Elliott Smith,141280,alternative rock,0.523,0.0774,7.0,-23.594,0.0,0.0631,0.937,0.886,0.107,0.354,135.207,audio_features,1JbUMtVkQuaAPdHOvncVTm,spotify:track:1JbUMtVkQuaAPdHOvncVTm,https://api.spotify.com/v1/tracks/1JbUMtVkQuaAPdHOvncVTm,https://api.spotify.com/v1/audio-analysis/1JbUMtVkQuaAPdHOvncVTm,141200.0,3.0
Brothers on a Hotel Bed,Death Cab for Cutie,71318,alternative rock,0.608,0.65,3.0,-11.816,1.0,0.0469,0.517,0.000689,0.115,0.198,158.706,audio_features,2MASSWjF0hSSj6nj9OftoR,spotify:track:2MASSWjF0hSSj6nj9OftoR,https://api.spotify.com/v1/tracks/2MASSWjF0hSSj6nj9OftoR,https://api.spotify.com/v1/audio-analysis/2MASSWjF0hSSj6nj9OftoR,271133.0,4.0
Colors,Beck,261681,alternative rock,0.656,0.871,11.0,-4.548,1.0,0.071,0.00106,0.0233,0.0828,0.683,119.997,audio_features,2BOUrjXoRIo2YHVAyZyXVX,spotify:track:2BOUrjXoRIo2YHVAyZyXVX,https://api.spotify.com/v1/tracks/2BOUrjXoRIo2YHVAyZyXVX,https://api.spotify.com/v1/audio-analysis/2BOUrjXoRIo2YHVAyZyXVX,261742.0,4.0
Down By The Water,PJ Harvey,138988,alternative rock,0.623,0.622,2.0,-12.255,1.0,0.0412,0.00168,0.181,0.343,0.319,125.166,audio_features,48mJX8glOrQkrSdVBjc0Wb,spotify:track:48mJX8glOrQkrSdVBjc0Wb,https://api.spotify.com/v1/tracks/48mJX8glOrQkrSdVBjc0Wb,https://api.spotify.com/v1/audio-analysis/48mJX8glOrQkrSdVBjc0Wb,194507.0,4.0
Glory Box,Portishead,308626,alternative rock,0.51,0.434,1.0,-10.004,1.0,0.0361,0.177,0.516,0.0603,0.207,119.695,audio_features,3Ty7OTBNSigGEpeW2PqcsC,spotify:track:3Ty7OTBNSigGEpeW2PqcsC,https://api.spotify.com/v1/tracks/3Ty7OTBNSigGEpeW2PqcsC,https://api.spotify.com/v1/audio-analysis/3Ty7OTBNSigGEpeW2PqcsC,308627.0,4.0
Good Fortune,PJ Harvey,200200,alternative rock,0.552,0.669,7.0,-4.462,1.0,0.0329,0.00697,0.0467,0.0781,0.561,126.092,audio_features,1G1YJPV7THViQfOM9Gug7R,spotify:track:1G1YJPV7THViQfOM9Gug7R,https://api.spotify.com/v1/tracks/1G1YJPV7THViQfOM9Gug7R,https://api.spotify.com/v1/audio-analysis/1G1YJPV7THViQfOM9Gug7R,200200.0,4.0
Hearing Damage,Thom Yorke,303360,alternative rock,0.627,0.859,1.0,-6.321,1.0,0.0328,0.0474,0.852,0.109,0.133,116.019,audio_features,1fTtPH0xGwFOXM5VlkxOX1,spotify:track:1fTtPH0xGwFOXM5VlkxOX1,https://api.spotify.com/v1/tracks/1fTtPH0xGwFOXM5VlkxOX1,https://api.spotify.com/v1/audio-analysis/1fTtPH0xGwFOXM5VlkxOX1,303360.0,4.0
I Will Follow You into the Dark,Death Cab for Cutie,189400,alternative rock,0.517,0.206,5.0,-12.233,1.0,0.0421,0.924,0.0,0.118,0.489,80.401,audio_features,3kZC0ZmFWrEHdUCmUqlvgZ,spotify:track:3kZC0ZmFWrEHdUCmUqlvgZ,https://api.spotify.com/v1/tracks/3kZC0ZmFWrEHdUCmUqlvgZ,https://api.spotify.com/v1/audio-analysis/3kZC0ZmFWrEHdUCmUqlvgZ,189187.0,4.0
Little Dark Age,MGMT,3112162,alternative rock,0.705,0.712,6.0,-6.156,1.0,0.0385,0.0102,0.000855,0.1,0.62,97.512,audio_features,2Y0iGXY6m6immVb2ktbseM,spotify:track:2Y0iGXY6m6immVb2ktbseM,https://api.spotify.com/v1/tracks/2Y0iGXY6m6immVb2ktbseM,https://api.spotify.com/v1/audio-analysis/2Y0iGXY6m6immVb2ktbseM,299960.0,4.0
Lucky,Radiohead,26382,alternative rock,0.213,0.4,11.0,-9.813,0.0,0.0324,0.053,0.612,0.111,0.195,133.369,audio_features,14xj58ZexBaEaHARb11Cqs,spotify:track:14xj58ZexBaEaHARb11Cqs,https://api.spotify.com/v1/tracks/14xj58ZexBaEaHARb11Cqs,https://api.spotify.com/v1/audio-analysis/14xj58ZexBaEaHARb11Cqs,258813.0,4.0
