trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Angela,Flower Face,568286,ambient folk,0.49,0.126,1.0,-13.868,1.0,0.0327,0.926,3.36e-06,0.0992,0.102,99.892,audio_features,0wzThSEGQOnrGtFnyxGSMZ,spotify:track:0wzThSEGQOnrGtFnyxGSMZ,https://api.spotify.com/v1/tracks/0wzThSEGQOnrGtFnyxGSMZ,https://api.spotify.com/v1/audio-analysis/0wzThSEGQOnrGtFnyxGSMZ,284143.0,3.0
dwrcan,Bibio,9340,ambient folk,0.565,0.738,0.0,-5.293,1.0,0.26,0.192,0.842,0.0939,0.364,91.656,audio_features,6rxYf6KRWBSWm6pVRl9LWa,spotify:track:6rxYf6KRWBSWm6pVRl9LWa,https://api.spotify.com/v1/tracks/6rxYf6KRWBSWm6pVRl9LWa,https://api.spotify.com/v1/audio-analysis/6rxYf6KRWBSWm6pVRl9LWa,355227.0,4.0
Claude's Girl,Marika Hackman,158422,ambient folk,0.444,0.0629,7.0,-20.499,0.0,0.035,0.962,0.0069,0.097,0.225,141.325,audio_features,2RaUxxkie3gGE385mTEODv,spotify:track:2RaUxxkie3gGE385mTEODv,https://api.spotify.com/v1/tracks/2RaUxxkie3gGE385mTEODv,https://api.spotify.com/v1/audio-analysis/2RaUxxkie3gGE385mTEODv,158423.0,3.0
From Gold,Novo Amor,214335,ambient folk,0.392,0.433,5.0,-13.313,1.0,0.0364,0.92,0.646,0.0937,0.0432,100.253,audio_features,3ePd4K8tcdfr7KmbuOTrKK,spotify:track:3ePd4K8tcdfr7KmbuOTrKK,https://api.spotify.com/v1/tracks/3ePd4K8tcdfr7KmbuOTrKK,https://api.spotify.com/v1/audio-analysis/3ePd4K8tcdfr7KmbuOTrKK,214336.0,4.0
From The Lake To The Land,Foreign Fields,191250,ambient folk,0.238,0.182,4.0,-16.154,1.0,0.0304,0.961,0.397,0.115,0.0699,86.573,audio_features,05OsKzq1tm0SY5Hk4lZQRE,spotify:track:05OsKzq1tm0SY5Hk4lZQRE,https://api.spotify.com/v1/tracks/05OsKzq1tm0SY5Hk4lZQRE,https://api.spotify.com/v1/audio-analysis/05OsKzq1tm0SY5Hk4lZQRE,191250.0,1.0
Holland,Novo Amor,159877,ambient folk,0.496,0.174,1.0,-11.908,1.0,0.0372,0.907,0.0721,0.114,0.0903,137.993,audio_features,27Db1BCtkCQ4bFvENFYogm,spotify:track:27Db1BCtkCQ4bFvENFYogm,https://api.spotify.com/v1/tracks/27Db1BCtkCQ4bFvENFYogm,https://api.spotify.com/v1/audio-analysis/27Db1BCtkCQ4bFvENFYogm,159877.0,4.0
Honey and Milk,Flower Face,895016,ambient folk,0.6,0.181,0.0,-11.581,1.0,0.0331,0.914,0.0,0.119,0.178,119.919,audio_features,2qcbyAZxKglSsRaBhDE3PQ,spotify:track:2qcbyAZxKglSsRaBhDE3PQ,https://api.spotify.com/v1/tracks/2qcbyAZxKglSsRaBhDE3PQ,https://api.spotify.com/v1/audio-analysis/2qcbyAZxKglSsRaBhDE3PQ,223754.0,3.0
Jupiter,Flower Face,751384,ambient folk,0.459,0.326,9.0,-12.29,1.0,0.0268,0.896,0.0132,0.112,0.0864,90.042,audio_features,5Fo6raKxBGpScXX0Twf82e,spotify:track:5Fo6raKxBGpScXX0Twf82e,https://api.spotify.com/v1/tracks/5Fo6raKxBGpScXX0Twf82e,https://api.spotify.com/v1/audio-analysis/5Fo6raKxBGpScXX0Twf82e,271487.0,4.0
The Barrel,Aldous Harding,299440,ambient folk,0.732,0.408,11.0,-8.475,1.0,0.036,0.747,0.000229,0.069,0.663,87.015,audio_features,06lw2dBFqdXhAErz7Xz9Zs,spotify:track:06lw2dBFqdXhAErz7Xz9Zs,https://api.spotify.com/v1/tracks/06lw2dBFqdXhAErz7Xz9Zs,https://api.spotify.com/v1/audio-analysis/06lw2dBFqdXhAErz7Xz9Zs,299440.0,4.0
Weather,Novo Amor,232026,ambient folk,0.527,0.242,6.0,-13.546,1.0,0.0313,0.939,0.0435,0.114,0.112,143.848,audio_features,7i1DkDc2j0yVsSt3jjDvk3,spotify:track:7i1DkDc2j0yVsSt3jjDvk3,https://api.spotify.com/v1/tracks/7i1DkDc2j0yVsSt3jjDvk3,https://api.spotify.com/v1/audio-analysis/7i1DkDc2j0yVsSt3jjDvk3,232027.0,4.0
