trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Apocalypse,Cigarettes After Sex,763650,ambient pop,0.369,0.467,5.0,-9.018,1.0,0.0274,0.0194,0.46,0.109,0.174,94.473,audio_features,3AVrVz5rK8Hrqo9YGiVGN5,spotify:track:3AVrVz5rK8Hrqo9YGiVGN5,https://api.spotify.com/v1/tracks/3AVrVz5rK8Hrqo9YGiVGN5,https://api.spotify.com/v1/audio-analysis/3AVrVz5rK8Hrqo9YGiVGN5,290147.0,4.0
Black Water,Apparat,27040,ambient pop,0.174,0.568,2.0,-10.854,1.0,0.0537,0.241,0.557,0.0945,0.0933,179.499,audio_features,3mFu6HJLVeyyUyTS1EkHFP,spotify:track:3mFu6HJLVeyyUyTS1EkHFP,https://api.spotify.com/v1/tracks/3mFu6HJLVeyyUyTS1EkHFP,https://api.spotify.com/v1/audio-analysis/3mFu6HJLVeyyUyTS1EkHFP,293755.0,4.0
Goodbye,Apparat,26848004,ambient pop,0.469,0.449,1.0,-14.377,0.0,0.0512,0.444,0.565,0.334,0.19,87.111,audio_features,6BJXuY0lY0EUtSDCgkYnqE,spotify:track:6BJXuY0lY0EUtSDCgkYnqE,https://api.spotify.com/v1/tracks/6BJXuY0lY0EUtSDCgkYnqE,https://api.spotify.com/v1/audio-analysis/6BJXuY0lY0EUtSDCgkYnqE,269490.0,4.0
Pistol,Cigarettes After Sex,27231580,ambient pop,0.653,0.442,7.0,-11.727,1.0,0.0337,0.522,0.699,0.107,0.363,109.971,audio_features,5g5XvfePSypMK6eiVL6BI7,spotify:track:5g5XvfePSypMK6eiVL6BI7,https://api.spotify.com/v1/tracks/5g5XvfePSypMK6eiVL6BI7,https://api.spotify.com/v1/audio-analysis/5g5XvfePSypMK6eiVL6BI7,234174.0,4.0
Playground Love,Air,211500,ambient pop,0.33,0.423,7.0,-10.504,0.0,0.0279,0.265,0.731,0.347,0.117,143.086,audio_features,052z2UsE2wPrHsBJ9tly0g,spotify:track:052z2UsE2wPrHsBJ9tly0g,https://api.spotify.com/v1/tracks/052z2UsE2wPrHsBJ9tly0g,https://api.spotify.com/v1/audio-analysis/052z2UsE2wPrHsBJ9tly0g,211500.0,4.0
Silia,Apparat,87834,ambient pop,0.289,0.0852,3.0,-19.513,0.0,0.0335,0.924,0.957,0.0982,0.0334,95.057,audio_features,1weVdmYURX7xLaaV9PqSzl,spotify:track:1weVdmYURX7xLaaV9PqSzl,https://api.spotify.com/v1/tracks/1weVdmYURX7xLaaV9PqSzl,https://api.spotify.com/v1/audio-analysis/1weVdmYURX7xLaaV9PqSzl,183063.0,4.0
Sunsetz,Cigarettes After Sex,860600,ambient pop,0.412,0.477,9.0,-9.381,0.0,0.029,0.0542,0.798,0.0975,0.141,75.302,audio_features,69UqtTHfUKAJweQwEStRzC,spotify:track:69UqtTHfUKAJweQwEStRzC,https://api.spotify.com/v1/tracks/69UqtTHfUKAJweQwEStRzC,https://api.spotify.com/v1/audio-analysis/69UqtTHfUKAJweQwEStRzC,214680.0,4.0
Apocalypse,Cigarettes After Sex,763650,ambient pop,0.369,0.467,5.0,-9.018,1.0,0.0274,0.0194,0.46,0.109,0.174,94.473,audio_features,3AVrVz5rK8Hrqo9YGiVGN5,spotify:track:3AVrVz5rK8Hrqo9YGiVGN5,https://api.spotify.com/v1/tracks/3AVrVz5rK8Hrqo9YGiVGN5,https://api.spotify.com/v1/audio-analysis/3AVrVz5rK8Hrqo9YGiVGN5,290147.0,4.0
Black Water,Apparat,27040,ambient pop,0.174,0.568,2.0,-10.854,1.0,0.0537,0.241,0.557,0.0945,0.0933,179.499,audio_features,3mFu6HJLVeyyUyTS1EkHFP,spotify:track:3mFu6HJLVeyyUyTS1EkHFP,https://api.spotify.com/v1/tracks/3mFu6HJLVeyyUyTS1EkHFP,https://api.spotify.com/v1/audio-analysis/3mFu6HJLVeyyUyTS1EkHFP,293755.0,4.0
Goodbye,Apparat,26848004,ambient pop,0.469,0.449,1.0,-14.377,0.0,0.0512,0.444,0.565,0.334,0.19,87.111,audio_features,6BJXuY0lY0EUtSDCgkYnqE,spotify:track:6BJXuY0lY0EUtSDCgkYnqE,https://api.spotify.com/v1/tracks/6BJXuY0lY0EUtSDCgkYnqE,https://api.spotify.com/v1/audio-analysis/6BJXuY0lY0EUtSDCgkYnqE,269490.0,4.0
