trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Alone (Naruto),Kato,57348,anime lo-fi,0.523,0.617,9.0,-7.76,0.0,0.0265,0.0856,0.857,0.139,0.0868,79.964,audio_features,7kkT0Z4U36CLd8uhnQ9SMs,spotify:track:7kkT0Z4U36CLd8uhnQ9SMs,https://api.spotify.com/v1/tracks/7kkT0Z4U36CLd8uhnQ9SMs,https://api.spotify.com/v1/audio-analysis/7kkT0Z4U36CLd8uhnQ9SMs,101820.0,4.0
Alone Piano,Kato,61825,anime lo-fi,0.691,0.00816,9.0,-25.501,0.0,0.093,0.992,0.967,0.149,0.424,67.549,audio_features,6x4EFTRAPdQsXyRtzo22y5,spotify:track:6x4EFTRAPdQsXyRtzo22y5,https://api.spotify.com/v1/tracks/6x4EFTRAPdQsXyRtzo22y5,https://api.spotify.com/v1/audio-analysis/6x4EFTRAPdQsXyRtzo22y5,61857.0,4.0
Atlantis,Kainbeats,141185,anime lo-fi,0.574,0.184,11.0,-19.535,1.0,0.0388,0.808,0.938,0.137,0.182,136.114,audio_features,6bRkfUjCF4vSb1n9Vgj1Wj,spotify:track:6bRkfUjCF4vSb1n9Vgj1Wj,https://api.spotify.com/v1/tracks/6bRkfUjCF4vSb1n9Vgj1Wj,https://api.spotify.com/v1/audio-analysis/6bRkfUjCF4vSb1n9Vgj1Wj,141186.0,4.0
Aurora,Jisatsu,277500,anime lo-fi,0.666,0.144,4.0,-18.412,1.0,0.0369,0.947,0.497,0.0645,0.0906,80.037,audio_features,2HNazy8cLJs8UlNjNfgn38,spotify:track:2HNazy8cLJs8UlNjNfgn38,https://api.spotify.com/v1/tracks/2HNazy8cLJs8UlNjNfgn38,https://api.spotify.com/v1/audio-analysis/2HNazy8cLJs8UlNjNfgn38,138750.0,4.0
dreamy,Linearwave,117913,anime lo-fi,0.716,0.186,8.0,-15.668,1.0,0.0542,0.992,0.906,0.372,0.0363,115.067,audio_features,4qfoz6SI8KDdUtTTtmAzR5,spotify:track:4qfoz6SI8KDdUtTTtmAzR5,https://api.spotify.com/v1/tracks/4qfoz6SI8KDdUtTTtmAzR5,https://api.spotify.com/v1/audio-analysis/4qfoz6SI8KDdUtTTtmAzR5,117913.0,3.0
for B.,Linearwave,89491,anime lo-fi,0.689,0.0204,10.0,-28.613,1.0,0.0377,0.986,0.923,0.297,0.356,117.975,audio_features,4eqYoFG2SGQqMFCvKrjtiu,spotify:track:4eqYoFG2SGQqMFCvKrjtiu,https://api.spotify.com/v1/tracks/4eqYoFG2SGQqMFCvKrjtiu,https://api.spotify.com/v1/audio-analysis/4eqYoFG2SGQqMFCvKrjtiu,89492.0,4.0
konoha peace (naruto shippuden lofi),luvbyrd,7227135,anime lo-fi,0.926,0.159,2.0,-17.805,1.0,0.1,0.949,0.885,0.0867,0.506,124.058,audio_features,5OP0U4jk5U3LNquIGf85r8,spotify:track:5OP0U4jk5U3LNquIGf85r8,https://api.spotify.com/v1/tracks/5OP0U4jk5U3LNquIGf85r8,https://api.spotify.com/v1/audio-analysis/5OP0U4jk5U3LNquIGf85r8,110444.0,4.0
love within,Linearwave,97099,anime lo-fi,0.626,0.201,2.0,-12.888,0.0,0.0369,0.951,0.945,0.0905,0.266,131.046,audio_features,6wv5lxSg3U9DSC5KvbQdfr,spotify:track:6wv5lxSg3U9DSC5KvbQdfr,https://api.spotify.com/v1/tracks/6wv5lxSg3U9DSC5KvbQdfr,https://api.spotify.com/v1/audio-analysis/6wv5lxSg3U9DSC5KvbQdfr,97099.0,4.0
nightgleam,Kainbeats,300464,anime lo-fi,0.549,0.06,6.0,-20.541,1.0,0.0329,0.917,0.94,0.339,0.0603,64.556,audio_features,56YKEy2qCXc3jSvg30pbk0,spotify:track:56YKEy2qCXc3jSvg30pbk0,https://api.spotify.com/v1/tracks/56YKEy2qCXc3jSvg30pbk0,https://api.spotify.com/v1/audio-analysis/56YKEy2qCXc3jSvg30pbk0,150233.0,4.0
precious light,Kainbeats,411252,anime lo-fi,0.724,0.0769,9.0,-18.054,1.0,0.0639,0.956,0.751,0.0981,0.201,143.95,audio_features,3Bpi6ftDwnDqlbYJnjQqMw,spotify:track:3Bpi6ftDwnDqlbYJnjQqMw,https://api.spotify.com/v1/tracks/3Bpi6ftDwnDqlbYJnjQqMw,https://api.spotify.com/v1/audio-analysis/3Bpi6ftDwnDqlbYJnjQqMw,137084.0,4.0
Blue Bird (Naruto),Kato,74663,anime lo-fi,0.615,0.294,6.0,-14.34,0.0,0.0275,0.829,0.857,0.112,0.167,81.97,audio_features,6yk9YSSrMjfMbHrBocBEBl,spotify:track:6yk9YSSrMjfMbHrBocBEBl,https://api.spotify.com/v1/tracks/6yk9YSSrMjfMbHrBocBEBl,https://api.spotify.com/v1/audio-analysis/6yk9YSSrMjfMbHrBocBEBl,111263.0,4.0
Blue Bird Piano,Kato,91118,anime lo-fi,0.313,0.0211,6.0,-28.785,0.0,0.0602,0.996,0.967,0.0879,0.369,68.13,audio_features,6W4gN6gKT1FVAptTGJ6JJf,spotify:track:6W4gN6gKT1FVAptTGJ6JJf,https://api.spotify.com/v1/tracks/6W4gN6gKT1FVAptTGJ6JJf,https://api.spotify.com/v1/audio-analysis/6W4gN6gKT1FVAptTGJ6JJf,84500.0,3.0
Byakuya,Kato,53091,anime lo-fi,0.627,0.0215,11.0,-25.243,0.0,0.0969,0.995,0.92,0.141,0.0868,111.461,audio_features,1W6qdSZIZvHRZRz5NbNIq1,spotify:track:1W6qdSZIZvHRZRz5NbNIq1,https://api.spotify.com/v1/tracks/1W6qdSZIZvHRZRz5NbNIq1,https://api.spotify.com/v1/audio-analysis/1W6qdSZIZvHRZRz5NbNIq1,46737.0,4.0
Byakuya Piano,Kato,46609,anime lo-fi,0.627,0.0215,11.0,-25.243,0.0,0.0969,0.995,0.92,0.141,0.0868,111.461,audio_features,1W6qdSZIZvHRZRz5NbNIq1,spotify:track:1W6qdSZIZvHRZRz5NbNIq1,https://api.spotify.com/v1/tracks/1W6qdSZIZvHRZRz5NbNIq1,https://api.spotify.com/v1/audio-analysis/1W6qdSZIZvHRZRz5NbNIq1,46737.0,4.0
Colorful Mist,Kato,57652,anime lo-fi,0.603,0.0573,0.0,-29.724,0.0,0.0549,0.995,0.941,0.111,0.471,63.017,audio_features,0VbJRHJNv7KxfeYsNaFU8w,spotify:track:0VbJRHJNv7KxfeYsNaFU8w,https://api.spotify.com/v1/tracks/0VbJRHJNv7KxfeYsNaFU8w,https://api.spotify.com/v1/audio-analysis/0VbJRHJNv7KxfeYsNaFU8w,49910.0,3.0
Colorful Mist Piano,Kato,49689,anime lo-fi,0.603,0.0573,0.0,-29.724,0.0,0.0549,0.995,0.941,0.111,0.471,63.017,audio_features,0VbJRHJNv7KxfeYsNaFU8w,spotify:track:0VbJRHJNv7KxfeYsNaFU8w,https://api.spotify.com/v1/tracks/0VbJRHJNv7KxfeYsNaFU8w,https://api.spotify.com/v1/audio-analysis/0VbJRHJNv7KxfeYsNaFU8w,49910.0,3.0
Dandelion's Lullaby,Raimu,123870,anime lo-fi,0.682,0.141,2.0,-19.345,0.0,0.0616,0.801,0.886,0.112,0.109,93.099,audio_features,4TLoYT6uaGydqUQRZ9hlxG,spotify:track:4TLoYT6uaGydqUQRZ9hlxG,https://api.spotify.com/v1/tracks/4TLoYT6uaGydqUQRZ9hlxG,https://api.spotify.com/v1/audio-analysis/4TLoYT6uaGydqUQRZ9hlxG,123871.0,4.0
Dragonspine Snow (LoFi),Jordy Chandra,104000,anime lo-fi,0.616,0.274,3.0,-17.582,1.0,0.0979,0.887,0.755,0.363,0.126,120.066,audio_features,2LdnFncm1dBrb0huwAuAct,spotify:track:2LdnFncm1dBrb0huwAuAct,https://api.spotify.com/v1/tracks/2LdnFncm1dBrb0huwAuAct,https://api.spotify.com/v1/audio-analysis/2LdnFncm1dBrb0huwAuAct,104000.0,4.0
Drifting,Jisatsu,679183,anime lo-fi,0.667,0.0809,9.0,-22.628,0.0,0.0354,0.979,0.869,0.0949,0.0674,128.014,audio_features,42lr5I32FRjGgjfO1w9PGK,spotify:track:42lr5I32FRjGgjfO1w9PGK,https://api.spotify.com/v1/tracks/42lr5I32FRjGgjfO1w9PGK,https://api.spotify.com/v1/audio-analysis/42lr5I32FRjGgjfO1w9PGK,199687.0,4.0
Floating Dead Leaves,Kato,65371,anime lo-fi,0.785,0.0058,9.0,-27.749,0.0,0.107,0.982,0.964,0.111,0.509,66.492,audio_features,6qw2LarNbrnBYdXWIPYeTr,spotify:track:6qw2LarNbrnBYdXWIPYeTr,https://api.spotify.com/v1/tracks/6qw2LarNbrnBYdXWIPYeTr,https://api.spotify.com/v1/audio-analysis/6qw2LarNbrnBYdXWIPYeTr,65450.0,4.0
Floating Dead Leaves Piano,Kato,67276,anime lo-fi,0.697,0.0113,9.0,-26.328,0.0,0.0746,0.991,0.964,0.101,0.374,66.537,audio_features,5o7tiCitNpBuYYAXlZQj0n,spotify:track:5o7tiCitNpBuYYAXlZQj0n,https://api.spotify.com/v1/tracks/5o7tiCitNpBuYYAXlZQj0n,https://api.spotify.com/v1/audio-analysis/5o7tiCitNpBuYYAXlZQj0n,67411.0,4.0
Girei (Pain's Theme),Kato,58104,anime lo-fi,0.77,0.00746,2.0,-29.715,1.0,0.0749,0.996,0.968,0.0931,0.432,99.897,audio_features,37Q8HnoSYtLApHx8koUagY,spotify:track:37Q8HnoSYtLApHx8koUagY,https://api.spotify.com/v1/tracks/37Q8HnoSYtLApHx8koUagY,https://api.spotify.com/v1/audio-analysis/37Q8HnoSYtLApHx8koUagY,58288.0,3.0
Girei Piano (Pain's Theme),Kato,57893,anime lo-fi,0.667,0.0391,7.0,-26.257,1.0,0.0831,0.994,0.969,0.113,0.366,100.093,audio_features,1Dwfszy0pjd663dffKTFLh,spotify:track:1Dwfszy0pjd663dffKTFLh,https://api.spotify.com/v1/tracks/1Dwfszy0pjd663dffKTFLh,https://api.spotify.com/v1/audio-analysis/1Dwfszy0pjd663dffKTFLh,58042.0,3.0
