trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2chijou,Hiroyuki Sawano,3941,anime score,0.479,0.476,5.0,-12.218,1.0,0.0511,0.134,0.424,0.094,0.274,120.099,audio_features,4R5tBwQiYVPpWKkzzdVmvQ,spotify:track:4R5tBwQiYVPpWKkzzdVmvQ,https://api.spotify.com/v1/tracks/4R5tBwQiYVPpWKkzzdVmvQ,https://api.spotify.com/v1/audio-analysis/4R5tBwQiYVPpWKkzzdVmvQ,407573.0,4.0
Army-Attack,Hiroyuki Sawano,3373,anime score,0.585,0.794,8.0,-9.958,1.0,0.0682,0.118,0.812,0.0962,0.334,135.013,audio_features,0x0kiJ0XSLQ4uOJI9uEBzd,spotify:track:0x0kiJ0XSLQ4uOJI9uEBzd,https://api.spotify.com/v1/tracks/0x0kiJ0XSLQ4uOJI9uEBzd,https://api.spotify.com/v1/audio-analysis/0x0kiJ0XSLQ4uOJI9uEBzd,206440.0,4.0
Attack on Titan,Hiroyuki Sawano,10548,anime score,0.54,0.608,2.0,-8.498,1.0,0.0508,0.00182,0.76,0.106,0.0389,125.01,audio_features,5IzZpz0vA73IIjqFPpXSXP,spotify:track:5IzZpz0vA73IIjqFPpXSXP,https://api.spotify.com/v1/tracks/5IzZpz0vA73IIjqFPpXSXP,https://api.spotify.com/v1/audio-analysis/5IzZpz0vA73IIjqFPpXSXP,256920.0,4.0
BATTLEKOUR,Hiroyuki Sawano,281814,anime score,0.679,0.859,4.0,-8.095,0.0,0.0556,0.00292,0.798,0.361,0.147,124.026,audio_features,3iXxmoN99RrzPduOrDITQf,spotify:track:3iXxmoN99RrzPduOrDITQf,https://api.spotify.com/v1/tracks/3iXxmoN99RrzPduOrDITQf,https://api.spotify.com/v1/audio-analysis/3iXxmoN99RrzPduOrDITQf,321290.0,3.0
BUBBLE,Hiroyuki Sawano,78090,anime score,0.176,0.194,9.0,-11.904,0.0,0.0375,0.356,0.762,0.0555,0.038,61.723,audio_features,4Mvnk4EELuPLi7nuGyC4XB,spotify:track:4Mvnk4EELuPLi7nuGyC4XB,https://api.spotify.com/v1/tracks/4Mvnk4EELuPLi7nuGyC4XB,https://api.spotify.com/v1/audio-analysis/4Mvnk4EELuPLi7nuGyC4XB,118000.0,4.0
BUBBLE-cho.,Hiroyuki Sawano,7186,anime score,0.451,0.308,0.0,-10.922,1.0,0.0362,0.794,0.945,0.0891,0.0384,119.911,audio_features,3Jr76YAkAv7D4fYjvaXpQb,spotify:track:3Jr76YAkAv7D4fYjvaXpQb,https://api.spotify.com/v1/tracks/3Jr76YAkAv7D4fYjvaXpQb,https://api.spotify.com/v1/audio-analysis/3Jr76YAkAv7D4fYjvaXpQb,409000.0,4.0
BUBBLE-outtake1,Hiroyuki Sawano,204208,anime score,0.467,0.214,9.0,-17.009,1.0,0.0335,0.417,0.835,0.0947,0.0404,119.999,audio_features,1LsbZoHegLrCptMsEtEhJi,spotify:track:1LsbZoHegLrCptMsEtEhJi,https://api.spotify.com/v1/tracks/1LsbZoHegLrCptMsEtEhJi,https://api.spotify.com/v1/audio-analysis/1LsbZoHegLrCptMsEtEhJi,182000.0,4.0
Barricades,Hiroyuki Sawano,1816,anime score,0.624,0.941,7.0,-4.894,1.0,0.0527,0.0661,0.0,0.113,0.56,105.02,audio_features,6iaQi9uPzHoXLMo5g490Bj,spotify:track:6iaQi9uPzHoXLMo5g490Bj,https://api.spotify.com/v1/tracks/6iaQi9uPzHoXLMo5g490Bj,https://api.spotify.com/v1/audio-analysis/6iaQi9uPzHoXLMo5g490Bj,221427.0,4.0
Bauklotze,Hiroyuki Sawano,5081,anime score,0.545,0.705,11.0,-5.51,0.0,0.0525,0.076,0.0024,0.445,0.226,89.939,audio_features,6oh6pyBUaJWZbhQKsq0iAm,spotify:track:6oh6pyBUaJWZbhQKsq0iAm,https://api.spotify.com/v1/tracks/6oh6pyBUaJWZbhQKsq0iAm,https://api.spotify.com/v1/audio-analysis/6oh6pyBUaJWZbhQKsq0iAm,236253.0,4.0
凸】♀】♂】←Titan,Hiroyuki Sawano,5432,anime score,0.585,0.45,2.0,-11.736,1.0,0.0574,0.0127,0.675,0.0921,0.342,139.574,audio_features,1sxV3W2udWG44iPEgRuEzp,spotify:track:1sxV3W2udWG44iPEgRuEzp,https://api.spotify.com/v1/tracks/1sxV3W2udWG44iPEgRuEzp,https://api.spotify.com/v1/audio-analysis/1sxV3W2udWG44iPEgRuEzp,261373.0,1.0
Call Your Name,Hiroyuki Sawano,8422,anime score,0.567,0.3,11.0,-8.421,0.0,0.0291,0.0145,0.0,0.0687,0.196,141.819,audio_features,2LYhS0VbCzbE6alAI3Q7Ot,spotify:track:2LYhS0VbCzbE6alAI3Q7Ot,https://api.spotify.com/v1/tracks/2LYhS0VbCzbE6alAI3Q7Ot,https://api.spotify.com/v1/audio-analysis/2LYhS0VbCzbE6alAI3Q7Ot,268333.0,4.0
Call of Silence,Hiroyuki Sawano,9169,anime score,0.504,0.38,6.0,-11.826,0.0,0.037,0.642,0.857,0.0697,0.0535,123.911,audio_features,7k1HoUdskuBhyWvm7hPctM,spotify:track:7k1HoUdskuBhyWvm7hPctM,https://api.spotify.com/v1/tracks/7k1HoUdskuBhyWvm7hPctM,https://api.spotify.com/v1/audio-analysis/7k1HoUdskuBhyWvm7hPctM,178213.0,4.0
Counter Attack-Mankind,Hiroyuki Sawano,7973,anime score,0.345,0.849,6.0,-9.816,0.0,0.0735,0.00658,0.875,0.36,0.185,110.009,audio_features,34o9rDFXv6bFX5qtkySnRQ,spotify:track:34o9rDFXv6bFX5qtkySnRQ,https://api.spotify.com/v1/tracks/34o9rDFXv6bFX5qtkySnRQ,https://api.spotify.com/v1/audio-analysis/34o9rDFXv6bFX5qtkySnRQ,366587.0,4.0
DOA,Hiroyuki Sawano,2292,anime score,0.573,0.879,2.0,-4.853,0.0,0.19,0.000176,0.00304,0.349,0.539,137.936,audio_features,3oID0W8xzgfMWD5KFop4xA,spotify:track:3oID0W8xzgfMWD5KFop4xA,https://api.spotify.com/v1/tracks/3oID0W8xzgfMWD5KFop4xA,https://api.spotify.com/v1/audio-analysis/3oID0W8xzgfMWD5KFop4xA,206027.0,4.0
E.M.A,Hiroyuki Sawano,2401,anime score,0.339,0.75,0.0,-9.631,1.0,0.0414,0.00556,0.827,0.271,0.103,124.998,audio_features,7rzja9bo3uucVXzVDSBOWi,spotify:track:7rzja9bo3uucVXzVDSBOWi,https://api.spotify.com/v1/tracks/7rzja9bo3uucVXzVDSBOWi,https://api.spotify.com/v1/audio-analysis/7rzja9bo3uucVXzVDSBOWi,342880.0,4.0
Eye-Water,Hiroyuki Sawano,58340251,anime score,0.585,0.335,9.0,-13.812,0.0,0.0313,0.663,0.888,0.0987,0.0375,119.947,audio_features,1EmEUcSo4TNbxR84er0edj,spotify:track:1EmEUcSo4TNbxR84er0edj,https://api.spotify.com/v1/tracks/1EmEUcSo4TNbxR84er0edj,https://api.spotify.com/v1/audio-analysis/1EmEUcSo4TNbxR84er0edj,181413.0,4.0
First Echo,Masakatsu Takagi,13861,anime score,0.34,0.00829,7.0,-30.769,1.0,0.0386,0.994,0.726,0.362,0.532,98.406,audio_features,4nL2Hh3mO0kxks6cENw3bS,spotify:track:4nL2Hh3mO0kxks6cENw3bS,https://api.spotify.com/v1/tracks/4nL2Hh3mO0kxks6cENw3bS,https://api.spotify.com/v1/audio-analysis/4nL2Hh3mO0kxks6cENw3bS,90120.0,4.0
Omake-Pfadlib,Hiroyuki Sawano,9136,anime score,0.323,0.131,0.0,-21.845,0.0,0.0639,0.982,0.912,0.0697,0.113,168.702,audio_features,0HxoynruEEEo4DF0axOFNj,spotify:track:0HxoynruEEEo4DF0axOFNj,https://api.spotify.com/v1/tracks/0HxoynruEEEo4DF0axOFNj,https://api.spotify.com/v1/audio-analysis/0HxoynruEEEo4DF0axOFNj,211533.0,4.0
