trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
After Rain,Aimer,292600,anime,0.653,0.783,10.0,-3.859,1.0,0.0298,0.00949,0.0,0.0791,0.636,119.992,audio_features,0mpLgvlW0tztoBGKzfLRNr,spotify:track:0mpLgvlW0tztoBGKzfLRNr,https://api.spotify.com/v1/tracks/0mpLgvlW0tztoBGKzfLRNr,https://api.spotify.com/v1/audio-analysis/0mpLgvlW0tztoBGKzfLRNr,292760.0,4.0
Ao No Waltz,Eve,32633636,anime,0.417,0.52,3.0,-4.872,1.0,0.0324,0.19,0.0,0.0783,0.346,123.934,audio_features,1AfFUID69eG8hOkkc3asNM,spotify:track:1AfFUID69eG8hOkkc3asNM,https://api.spotify.com/v1/tracks/1AfFUID69eG8hOkkc3asNM,https://api.spotify.com/v1/audio-analysis/1AfFUID69eG8hOkkc3asNM,277337.0,3.0
BB's Theme,Ludvig Forssell,4875500,anime,0.282,0.428,1.0,-9.812,0.0,0.0311,0.227,0.000158,0.0897,0.0392,83.608,audio_features,4s5MyMeElBghgUmSihtic9,spotify:track:4s5MyMeElBghgUmSihtic9,https://api.spotify.com/v1/tracks/4s5MyMeElBghgUmSihtic9,https://api.spotify.com/v1/audio-analysis/4s5MyMeElBghgUmSihtic9,316520.0,4.0
BRIDGES,Ludvig Forssell,6246,anime,0.352,0.528,2.0,-19.93,1.0,0.0391,0.901,0.943,0.128,0.189,102.013,audio_features,2UJqZVPiM0DtiU8ToOgntp,spotify:track:2UJqZVPiM0DtiU8ToOgntp,https://api.spotify.com/v1/tracks/2UJqZVPiM0DtiU8ToOgntp,https://api.spotify.com/v1/audio-analysis/2UJqZVPiM0DtiU8ToOgntp,208373.0,4.0
Yuyu Meimei,Eve,418454,anime,0.686,0.586,7.0,-4.284,1.0,0.0366,0.064,0.0,0.0743,0.578,121.976,audio_features,5M4Cb3rtdMWa53ypyExGKJ,spotify:track:5M4Cb3rtdMWa53ypyExGKJ,https://api.spotify.com/v1/tracks/5M4Cb3rtdMWa53ypyExGKJ,https://api.spotify.com/v1/audio-analysis/5M4Cb3rtdMWa53ypyExGKJ,209356.0,4.0
シルエット,KANA-BOON,2444444,anime,0.436,0.934,2.0,-2.685,1.0,0.0507,1.03e-05,0.14,0.321,0.384,91.481,audio_features,1di1C0QI6Y92yZPYn6XYAZ,spotify:track:1di1C0QI6Y92yZPYn6XYAZ,https://api.spotify.com/v1/tracks/1di1C0QI6Y92yZPYn6XYAZ,https://api.spotify.com/v1/audio-analysis/1di1C0QI6Y92yZPYn6XYAZ,240133.0,4.0
センチメートル,the peggies,226832,anime,0.564,0.922,2.0,-2.303,1.0,0.0368,0.00198,5.03e-06,0.231,0.828,139.962,audio_features,2zwZPlMKb1vaFcQK6PpMtP,spotify:track:2zwZPlMKb1vaFcQK6PpMtP,https://api.spotify.com/v1/tracks/2zwZPlMKb1vaFcQK6PpMtP,https://api.spotify.com/v1/audio-analysis/2zwZPlMKb1vaFcQK6PpMtP,227013.0,4.0
フィクション,sumika,236920,anime,0.658,0.94,2.0,-2.427,1.0,0.0339,0.144,0.0,0.101,0.694,122.992,audio_features,543jStmHR1VrSfpxmjUIn6,spotify:track:543jStmHR1VrSfpxmjUIn6,https://api.spotify.com/v1/tracks/543jStmHR1VrSfpxmjUIn6,https://api.spotify.com/v1/audio-analysis/543jStmHR1VrSfpxmjUIn6,230760.0,4.0
五月雨,Yasuharu Takanashi,4327009,anime,0.439,0.129,2.0,-15.99,0.0,0.0328,0.674,0.96,0.114,0.14,111.654,audio_features,3aNugT13qqQoUKwfJKmcrk,spotify:track:3aNugT13qqQoUKwfJKmcrk,https://api.spotify.com/v1/tracks/3aNugT13qqQoUKwfJKmcrk,https://api.spotify.com/v1/audio-analysis/3aNugT13qqQoUKwfJKmcrk,207720.0,4.0
人柱力,Yasuharu Takanashi,47823,anime,0.356,0.691,9.0,-10.641,0.0,0.0391,0.0693,0.885,0.31,0.147,74.967,audio_features,1fdQK47ajAnqTe8fAyyv4h,spotify:track:1fdQK47ajAnqTe8fAyyv4h,https://api.spotify.com/v1/tracks/1fdQK47ajAnqTe8fAyyv4h,https://api.spotify.com/v1/audio-analysis/1fdQK47ajAnqTe8fAyyv4h,121427.0,4.0
任務,Yasuharu Takanashi,3389,anime,0.72,0.484,1.0,-14.911,1.0,0.0755,0.0464,0.741,0.227,0.583,159.919,audio_features,2UhVfpf3JxHJqfZEJRQ0H7,spotify:track:2UhVfpf3JxHJqfZEJRQ0H7,https://api.spotify.com/v1/tracks/2UhVfpf3JxHJqfZEJRQ0H7,https://api.spotify.com/v1/audio-analysis/2UhVfpf3JxHJqfZEJRQ0H7,103573.0,4.0
出陣,Yasuharu Takanashi,129798,anime,0.406,0.671,6.0,-9.169,0.0,0.0387,0.0897,0.964,0.121,0.232,94.942,audio_features,4x9JFIsht1WWEv7go9vJcF,spotify:track:4x9JFIsht1WWEv7go9vJcF,https://api.spotify.com/v1/tracks/4x9JFIsht1WWEv7go9vJcF,https://api.spotify.com/v1/audio-analysis/4x9JFIsht1WWEv7go9vJcF,129973.0,3.0
動天,Yasuharu Takanashi,118304,anime,0.48,0.934,1.0,-8.811,1.0,0.0575,0.000132,0.375,0.103,0.512,154.953,audio_features,2lN3LquWyOGx8xPSOhsqPT,spotify:track:2lN3LquWyOGx8xPSOhsqPT,https://api.spotify.com/v1/tracks/2lN3LquWyOGx8xPSOhsqPT,https://api.spotify.com/v1/audio-analysis/2lN3LquWyOGx8xPSOhsqPT,183507.0,4.0
千軍万馬,Yasuharu Takanashi,67887,anime,0.169,0.241,9.0,-12.577,1.0,0.0357,0.586,0.942,0.0665,0.0734,125.408,audio_features,4Gh7fczY9IDWeVp4niblgK,spotify:track:4Gh7fczY9IDWeVp4niblgK,https://api.spotify.com/v1/tracks/4Gh7fczY9IDWeVp4niblgK,https://api.spotify.com/v1/audio-analysis/4Gh7fczY9IDWeVp4niblgK,111160.0,5.0
古今無双,Yasuharu Takanashi,23871,anime,0.164,0.227,5.0,-14.343,1.0,0.0333,0.786,0.823,0.375,0.0818,170.093,audio_features,2GMtIdNwKgif9mgoF9IoVX,spotify:track:2GMtIdNwKgif9mgoF9IoVX,https://api.spotify.com/v1/tracks/2GMtIdNwKgif9mgoF9IoVX,https://api.spotify.com/v1/audio-analysis/2GMtIdNwKgif9mgoF9IoVX,97320.0,4.0
哀鴻遍野,Yasuharu Takanashi,7407,anime,0.0901,0.0985,9.0,-19.422,0.0,0.046,0.964,0.975,0.159,0.0298,56.872,audio_features,6oP61bwiRTLZNvDjd9TrYN,spotify:track:6oP61bwiRTLZNvDjd9TrYN,https://api.spotify.com/v1/tracks/6oP61bwiRTLZNvDjd9TrYN,https://api.spotify.com/v1/audio-analysis/6oP61bwiRTLZNvDjd9TrYN,121853.0,4.0
失意,Yasuharu Takanashi,119781,anime,0.272,0.122,4.0,-16.359,0.0,0.0376,0.966,0.914,0.089,0.0629,60.337,audio_features,42x2s9Uuu5fpd9PyPc4jzF,spotify:track:42x2s9Uuu5fpd9PyPc4jzF,https://api.spotify.com/v1/tracks/42x2s9Uuu5fpd9PyPc4jzF,https://api.spotify.com/v1/audio-analysis/42x2s9Uuu5fpd9PyPc4jzF,120827.0,4.0
孤独,Yasuharu Takanashi,126009,anime,0.225,0.0619,2.0,-14.858,0.0,0.0329,0.847,0.687,0.15,0.0988,57.762,audio_features,5xiL4uOUrd4IVhaY9qTm0Y,spotify:track:5xiL4uOUrd4IVhaY9qTm0Y,https://api.spotify.com/v1/tracks/5xiL4uOUrd4IVhaY9qTm0Y,https://api.spotify.com/v1/audio-analysis/5xiL4uOUrd4IVhaY9qTm0Y,126227.0,4.0
