trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
5 dollars,Christine and the Queens,208293,art pop,0.726,0.654,2.0,-6.201,1.0,0.0423,0.424,0.0,0.0668,0.624,129.013,audio_features,5KO53tfiVN6daF4w6twc63,spotify:track:5KO53tfiVN6daF4w6twc63,https://api.spotify.com/v1/tracks/5KO53tfiVN6daF4w6twc63,https://api.spotify.com/v1/audio-analysis/5KO53tfiVN6daF4w6twc63,208293.0,4.0
A Dangerous Thing,AURORA,1945555,art pop,0.541,0.556,11.0,-6.15,0.0,0.0356,0.465,0.0,0.116,0.106,105.886,audio_features,0PDlmmYkuQCUAFhMXvtlsU,spotify:track:0PDlmmYkuQCUAFhMXvtlsU,https://api.spotify.com/v1/tracks/0PDlmmYkuQCUAFhMXvtlsU,https://api.spotify.com/v1/audio-analysis/0PDlmmYkuQCUAFhMXvtlsU,215573.0,4.0
All Is Full Of Love,Björk,286333,art pop,0.481,0.49,6.0,-10.098,1.0,0.0271,0.0536,0.123,0.0915,0.0378,152.04,audio_features,3rrtbnOBDzKQfyYKTezEFe,spotify:track:3rrtbnOBDzKQfyYKTezEFe,https://api.spotify.com/v1/tracks/3rrtbnOBDzKQfyYKTezEFe,https://api.spotify.com/v1/audio-analysis/3rrtbnOBDzKQfyYKTezEFe,287000.0,4.0
Bad Romance,Lady Gaga,294458,art pop,0.696,0.921,0.0,-3.755,1.0,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,audio_features,0SiywuOBRcynK0uKGWdCnn,spotify:track:0SiywuOBRcynK0uKGWdCnn,https://api.spotify.com/v1/tracks/0SiywuOBRcynK0uKGWdCnn,https://api.spotify.com/v1/audio-analysis/0SiywuOBRcynK0uKGWdCnn,294573.0,4.0
lovely (with Khalid),Billie Eilish,1041219,art pop,0.351,0.296,4.0,-10.109,0.0,0.0333,0.934,0.0,0.095,0.12,115.284,audio_features,0u2P5u6lvoDfwTYjAADbn4,spotify:track:0u2P5u6lvoDfwTYjAADbn4,https://api.spotify.com/v1/tracks/0u2P5u6lvoDfwTYjAADbn4,https://api.spotify.com/v1/audio-analysis/0u2P5u6lvoDfwTYjAADbn4,200186.0,4.0
when the party's over,Billie Eilish,63678,art pop,0.367,0.111,4.0,-14.084,1.0,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,audio_features,43zdsphuZLzwA9k4DJhU0I,spotify:track:43zdsphuZLzwA9k4DJhU0I,https://api.spotify.com/v1/tracks/43zdsphuZLzwA9k4DJhU0I,https://api.spotify.com/v1/audio-analysis/43zdsphuZLzwA9k4DJhU0I,196077.0,4.0
Bombs Away,Charlotte Gainsbourg,227626,art pop,0.741,0.655,2.0,-7.484,1.0,0.0646,0.236,1.97e-05,0.0716,0.633,106.994,audio_features,0wQwka6aD8i7gyhpGFNHLm,spotify:track:0wQwka6aD8i7gyhpGFNHLm,https://api.spotify.com/v1/tracks/0wQwka6aD8i7gyhpGFNHLm,https://api.spotify.com/v1/audio-analysis/0wQwka6aD8i7gyhpGFNHLm,227627.0,4.0
Bored,Billie Eilish,179810,art pop,0.614,0.318,7.0,-12.695,1.0,0.0478,0.896,0.00239,0.0795,0.112,119.959,audio_features,04sN26COy28wTXYj3dMoiZ,spotify:track:04sN26COy28wTXYj3dMoiZ,https://api.spotify.com/v1/tracks/04sN26COy28wTXYj3dMoiZ,https://api.spotify.com/v1/audio-analysis/04sN26COy28wTXYj3dMoiZ,180933.0,4.0
Change The Paradigm,Austra,220551,art pop,0.633,0.682,1.0,-10.343,1.0,0.0295,0.00683,0.201,0.102,0.173,131.008,audio_features,5a98u76nZcFgGrejxnh3LV,spotify:track:5a98u76nZcFgGrejxnh3LV,https://api.spotify.com/v1/tracks/5a98u76nZcFgGrejxnh3LV,https://api.spotify.com/v1/audio-analysis/5a98u76nZcFgGrejxnh3LV,220551.0,4.0
Comeback Kid,Sharon Van Etten,364666,art pop,0.543,0.928,0.0,-5.206,1.0,0.0755,0.000329,0.567,0.0328,0.358,120.102,audio_features,1Qpyt7U1yu4tfuJc4LKuzF,spotify:track:1Qpyt7U1yu4tfuJc4LKuzF,https://api.spotify.com/v1/tracks/1Qpyt7U1yu4tfuJc4LKuzF,https://api.spotify.com/v1/audio-analysis/1Qpyt7U1yu4tfuJc4LKuzF,182333.0,4.0
Cure For Me,AURORA,6625520,art pop,0.726,0.738,6.0,-6.589,0.0,0.0602,0.102,2.17e-05,0.0882,0.414,115.904,audio_features,33WTgxRdPBQQpVCMXpNxhO,spotify:track:33WTgxRdPBQQpVCMXpNxhO,https://api.spotify.com/v1/tracks/33WTgxRdPBQQpVCMXpNxhO,https://api.spotify.com/v1/audio-analysis/33WTgxRdPBQQpVCMXpNxhO,201640.0,4.0
Daniel,Bat For Lashes,251120,art pop,0.593,0.658,8.0,-8.393,0.0,0.0364,0.0118,0.0204,0.137,0.422,135.053,audio_features,5VvsZvy1mwx4teyvI7O9rs,spotify:track:5VvsZvy1mwx4teyvI7O9rs,https://api.spotify.com/v1/tracks/5VvsZvy1mwx4teyvI7O9rs,https://api.spotify.com/v1/audio-analysis/5VvsZvy1mwx4teyvI7O9rs,251120.0,4.0
Daydreamer,AURORA,174866,art pop,0.604,0.56,10.0,-8.617,1.0,0.0786,0.0398,0.000322,0.485,0.266,145.964,audio_features,6zHEWX6PuCQIRy4rdh777J,spotify:track:6zHEWX6PuCQIRy4rdh777J,https://api.spotify.com/v1/tracks/6zHEWX6PuCQIRy4rdh777J,https://api.spotify.com/v1/audio-analysis/6zHEWX6PuCQIRy4rdh777J,219058.0,4.0
Deadly Valentine,Charlotte Gainsbourg,4172662,art pop,0.461,0.545,11.0,-8.166,1.0,0.046,0.0297,0.0471,0.0928,0.408,104.97,audio_features,0pfTlQJBOV4LUmF8qqrVy5,spotify:track:0pfTlQJBOV4LUmF8qqrVy5,https://api.spotify.com/v1/tracks/0pfTlQJBOV4LUmF8qqrVy5,https://api.spotify.com/v1/audio-analysis/0pfTlQJBOV4LUmF8qqrVy5,364987.0,4.0
Deadly Valentine (Radio Edit),Charlotte Gainsbourg,466296,art pop,0.591,0.534,4.0,-7.929,1.0,0.0424,0.0207,0.0535,0.256,0.51,104.943,audio_features,0NHCPU8QNMJUUdIkd9qhro,spotify:track:0NHCPU8QNMJUUdIkd9qhro,https://api.spotify.com/v1/tracks/0NHCPU8QNMJUUdIkd9qhro,https://api.spotify.com/v1/audio-analysis/0NHCPU8QNMJUUdIkd9qhro,233149.0,4.0
Deadly Valentine (Soulwax Remix),Charlotte Gainsbourg,475057,art pop,0.799,0.858,11.0,-5.977,1.0,0.0588,0.0422,0.783,0.0625,0.965,104.976,audio_features,57KDDGijeqbwsiBOhdo4PT,spotify:track:57KDDGijeqbwsiBOhdo4PT,https://api.spotify.com/v1/tracks/57KDDGijeqbwsiBOhdo4PT,https://api.spotify.com/v1/audio-analysis/57KDDGijeqbwsiBOhdo4PT,475058.0,4.0
Die 4 You,Perfume Genius,212549,art pop,0.257,0.381,3.0,-10.62,1.0,0.0368,0.828,0.00121,0.135,0.264,73.687,audio_features,2OBY3aeK3P2iiB6tkuanRz,spotify:track:2OBY3aeK3P2iiB6tkuanRz,https://api.spotify.com/v1/tracks/2OBY3aeK3P2iiB6tkuanRz,https://api.spotify.com/v1/audio-analysis/2OBY3aeK3P2iiB6tkuanRz,212550.0,4.0
Exist For Love,AURORA,707632,art pop,0.428,0.357,9.0,-9.96,1.0,0.0281,0.787,0.00296,0.0809,0.286,145.675,audio_features,09fAL7YwPV3YzVmQDzLY8d,spotify:track:09fAL7YwPV3YzVmQDzLY8d,https://api.spotify.com/v1/tracks/09fAL7YwPV3YzVmQDzLY8d,https://api.spotify.com/v1/audio-analysis/09fAL7YwPV3YzVmQDzLY8d,252717.0,4.0
