trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
False Direction,Dayglow,277033,austindie,0.679,0.582,11.0,-10.459,1.0,0.0615,0.0306,0.000932,0.108,0.767,149.975,audio_features,110PnrQX9AJIt3HNJtjPgt,spotify:track:110PnrQX9AJIt3HNJtjPgt,https://api.spotify.com/v1/tracks/110PnrQX9AJIt3HNJtjPgt,https://api.spotify.com/v1/audio-analysis/110PnrQX9AJIt3HNJtjPgt,277200.0,4.0
Hot Rod,Dayglow,7066037,austindie,0.707,0.768,7.0,-7.072,1.0,0.0323,0.0279,0.000292,0.169,0.832,139.985,audio_features,5euumi7eqEgmxvCIJw2pSp,spotify:track:5euumi7eqEgmxvCIJw2pSp,https://api.spotify.com/v1/tracks/5euumi7eqEgmxvCIJw2pSp,https://api.spotify.com/v1/audio-analysis/5euumi7eqEgmxvCIJw2pSp,204014.0,4.0
Listerine,Dayglow,838306,austindie,0.694,0.583,11.0,-11.549,1.0,0.0371,0.17,0.82,0.329,0.897,134.999,audio_features,3X7v1y9g6psZQjZZwtZkm4,spotify:track:3X7v1y9g6psZQjZZwtZkm4,https://api.spotify.com/v1/tracks/3X7v1y9g6psZQjZZwtZkm4,https://api.spotify.com/v1/audio-analysis/3X7v1y9g6psZQjZZwtZkm4,215556.0,4.0
People Say Things Change,Air Review,18795053,austindie,0.56,0.423,0.0,-11.695,1.0,0.0435,0.304,0.0513,0.109,0.25,80.993,audio_features,4id51jVx2qvG4dFis4sdyW,spotify:track:4id51jVx2qvG4dFis4sdyW,https://api.spotify.com/v1/tracks/4id51jVx2qvG4dFis4sdyW,https://api.spotify.com/v1/audio-analysis/4id51jVx2qvG4dFis4sdyW,259122.0,4.0
Woah Man,Dayglow,208412,austindie,0.536,0.678,2.0,-7.44,1.0,0.0314,0.00341,0.000411,0.218,0.342,80.03,audio_features,2BGLJ2TvnOQwZ1pT81TIBl,spotify:track:2BGLJ2TvnOQwZ1pT81TIBl,https://api.spotify.com/v1/tracks/2BGLJ2TvnOQwZ1pT81TIBl,https://api.spotify.com/v1/audio-analysis/2BGLJ2TvnOQwZ1pT81TIBl,208587.0,4.0
False Direction,Dayglow,277033,austindie,0.679,0.582,11.0,-10.459,1.0,0.0615,0.0306,0.000932,0.108,0.767,149.975,audio_features,110PnrQX9AJIt3HNJtjPgt,spotify:track:110PnrQX9AJIt3HNJtjPgt,https://api.spotify.com/v1/tracks/110PnrQX9AJIt3HNJtjPgt,https://api.spotify.com/v1/audio-analysis/110PnrQX9AJIt3HNJtjPgt,277200.0,4.0
Hot Rod,Dayglow,7066037,austindie,0.707,0.768,7.0,-7.072,1.0,0.0323,0.0279,0.000292,0.169,0.832,139.985,audio_features,5euumi7eqEgmxvCIJw2pSp,spotify:track:5euumi7eqEgmxvCIJw2pSp,https://api.spotify.com/v1/tracks/5euumi7eqEgmxvCIJw2pSp,https://api.spotify.com/v1/audio-analysis/5euumi7eqEgmxvCIJw2pSp,204014.0,4.0
Listerine,Dayglow,838306,austindie,0.694,0.583,11.0,-11.549,1.0,0.0371,0.17,0.82,0.329,0.897,134.999,audio_features,3X7v1y9g6psZQjZZwtZkm4,spotify:track:3X7v1y9g6psZQjZZwtZkm4,https://api.spotify.com/v1/tracks/3X7v1y9g6psZQjZZwtZkm4,https://api.spotify.com/v1/audio-analysis/3X7v1y9g6psZQjZZwtZkm4,215556.0,4.0
People Say Things Change,Air Review,18795053,austindie,0.56,0.423,0.0,-11.695,1.0,0.0435,0.304,0.0513,0.109,0.25,80.993,audio_features,4id51jVx2qvG4dFis4sdyW,spotify:track:4id51jVx2qvG4dFis4sdyW,https://api.spotify.com/v1/tracks/4id51jVx2qvG4dFis4sdyW,https://api.spotify.com/v1/audio-analysis/4id51jVx2qvG4dFis4sdyW,259122.0,4.0
Woah Man,Dayglow,208412,austindie,0.536,0.678,2.0,-7.44,1.0,0.0314,0.00341,0.000411,0.218,0.342,80.03,audio_features,2BGLJ2TvnOQwZ1pT81TIBl,spotify:track:2BGLJ2TvnOQwZ1pT81TIBl,https://api.spotify.com/v1/tracks/2BGLJ2TvnOQwZ1pT81TIBl,https://api.spotify.com/v1/audio-analysis/2BGLJ2TvnOQwZ1pT81TIBl,208587.0,4.0
