trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Alive,Empire of the Sun,90400,australian dance,0.524,0.885,5.0,-3.079,1.0,0.037,0.0997,0.0,0.0708,0.395,119.954,audio_features,5WBnKCEsPwsvWHUZmLjS3s,spotify:track:5WBnKCEsPwsvWHUZmLjS3s,https://api.spotify.com/v1/tracks/5WBnKCEsPwsvWHUZmLjS3s,https://api.spotify.com/v1/audio-analysis/5WBnKCEsPwsvWHUZmLjS3s,204591.0,4.0
Cheap Thrills (feat. Sean Paul),Sia,224813,australian dance,0.592,0.788,6.0,-4.924,0.0,0.201,0.0599,2.54e-06,0.125,0.755,89.949,audio_features,2ONIJ40u0Attbm3miIIpNO,spotify:track:2ONIJ40u0Attbm3miIIpNO,https://api.spotify.com/v1/tracks/2ONIJ40u0Attbm3miIIpNO,https://api.spotify.com/v1/audio-analysis/2ONIJ40u0Attbm3miIIpNO,224493.0,4.0
Child Of The Devil,Timmy Trumpet,142540,australian dance,0.721,0.777,1.0,-3.303,1.0,0.0418,0.103,0.0,0.0482,0.467,155.011,audio_features,03kInDEY3Go2ysuIQKdxMv,spotify:track:03kInDEY3Go2ysuIQKdxMv,https://api.spotify.com/v1/tracks/03kInDEY3Go2ysuIQKdxMv,https://api.spotify.com/v1/audio-analysis/03kInDEY3Go2ysuIQKdxMv,142663.0,3.0
Down for You - Remix,Cosmo's Midnight,69242,australian dance,0.593,0.527,2.0,-6.25,1.0,0.179,0.548,3.92e-06,0.462,0.466,92.985,audio_features,6gAk3HmzgUJxWKdUbQKPIQ,spotify:track:6gAk3HmzgUJxWKdUbQKPIQ,https://api.spotify.com/v1/tracks/6gAk3HmzgUJxWKdUbQKPIQ,https://api.spotify.com/v1/audio-analysis/6gAk3HmzgUJxWKdUbQKPIQ,166816.0,4.0
Freaks,Timmy Trumpet,2847927,australian dance,0.882,0.965,4.0,-0.818,1.0,0.13,0.0136,0.388,0.206,0.759,128.129,audio_features,4f3NHOxgC8Bg21IJBg4cZ3,spotify:track:4f3NHOxgC8Bg21IJBg4cZ3,https://api.spotify.com/v1/tracks/4f3NHOxgC8Bg21IJBg4cZ3,https://api.spotify.com/v1/audio-analysis/4f3NHOxgC8Bg21IJBg4cZ3,169160.0,4.0
Jericho,Jacknife,183272,australian dance,0.552,0.894,1.0,-3.724,1.0,0.0331,0.000176,0.284,0.183,0.0623,109.976,audio_features,2qCHdgKYczww7OajnuU2Tc,spotify:track:2qCHdgKYczww7OajnuU2Tc,https://api.spotify.com/v1/tracks/2qCHdgKYczww7OajnuU2Tc,https://api.spotify.com/v1/audio-analysis/2qCHdgKYczww7OajnuU2Tc,183273.0,4.0
Snowman,Sia,846054,australian dance,0.716,0.512,1.0,-6.257,1.0,0.0331,0.483,0.0,0.0928,0.326,104.957,audio_features,7uoFMmxln0GPXQ0AcCBXRq,spotify:track:7uoFMmxln0GPXQ0AcCBXRq,https://api.spotify.com/v1/tracks/7uoFMmxln0GPXQ0AcCBXRq,https://api.spotify.com/v1/audio-analysis/7uoFMmxln0GPXQ0AcCBXRq,165907.0,3.0
"The Island, Pt. 1 (Dawn) - Skrillex Remix",Pendulum,3054091,australian dance,0.667,0.747,9.0,-6.665,0.0,0.122,0.0333,0.00112,0.362,0.59,75.028,audio_features,24hYr62Cz2iA3OOef8mykI,spotify:track:24hYr62Cz2iA3OOef8mykI,https://api.spotify.com/v1/tracks/24hYr62Cz2iA3OOef8mykI,https://api.spotify.com/v1/audio-analysis/24hYr62Cz2iA3OOef8mykI,209583.0,4.0
The Prophecy,Timmy Trumpet,0,australian dance,0.273,0.896,1.0,-4.705,1.0,0.0913,0.000841,0.351,0.305,0.0632,137.992,audio_features,3N7FYk2FoSZMAwb229Qqnw,spotify:track:3N7FYk2FoSZMAwb229Qqnw,https://api.spotify.com/v1/tracks/3N7FYk2FoSZMAwb229Qqnw,https://api.spotify.com/v1/audio-analysis/3N7FYk2FoSZMAwb229Qqnw,190870.0,4.0
Together,Sia,1099390,australian dance,0.56,0.742,7.0,-10.547,1.0,0.0387,0.0549,0.153,0.0948,0.675,105.975,audio_features,5iUDtMzFSCDLbft1jzSmX6,spotify:track:5iUDtMzFSCDLbft1jzSmX6,https://api.spotify.com/v1/tracks/5iUDtMzFSCDLbft1jzSmX6,https://api.spotify.com/v1/audio-analysis/5iUDtMzFSCDLbft1jzSmX6,198113.0,4.0
