trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
SAME ENERGY,The Kid LAROI,697250,australian hip hop,0.676,0.494,2.0,-7.077,1.0,0.261,0.135,0.0,0.0995,0.756,169.685,audio_features,0oSVZClSSfn4aacXvdmkuj,spotify:track:0oSVZClSSfn4aacXvdmkuj,https://api.spotify.com/v1/tracks/0oSVZClSSfn4aacXvdmkuj,https://api.spotify.com/v1/audio-analysis/0oSVZClSSfn4aacXvdmkuj,93176.0,4.0
STAY (with Justin Bieber),The Kid LAROI,57167,australian hip hop,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806.0,4.0
Sex on the Beach,Iggy Azalea,1150,australian hip hop,0.881,0.75,6.0,-6.965,0.0,0.193,0.322,0.0,0.117,0.669,119.997,audio_features,73PZs28lH9TAx8Zbtlpeho,spotify:track:73PZs28lH9TAx8Zbtlpeho,https://api.spotify.com/v1/tracks/73PZs28lH9TAx8Zbtlpeho,https://api.spotify.com/v1/audio-analysis/73PZs28lH9TAx8Zbtlpeho,181154.0,4.0
Thousand Miles,The Kid LAROI,4853916,australian hip hop,0.376,0.657,7.0,-4.658,1.0,0.0768,0.0858,0.0,0.0884,0.203,80.565,audio_features,1r8ZCjfrQxoy2wVaBUbpwg,spotify:track:1r8ZCjfrQxoy2wVaBUbpwg,https://api.spotify.com/v1/tracks/1r8ZCjfrQxoy2wVaBUbpwg,https://api.spotify.com/v1/audio-analysis/1r8ZCjfrQxoy2wVaBUbpwg,164782.0,4.0
WITHOUT YOU,The Kid LAROI,322589,australian hip hop,0.662,0.413,0.0,-7.357,1.0,0.0299,0.213,0.0,0.134,0.467,93.005,audio_features,1KMkcUvF7m3SDChDOa7i5L,spotify:track:1KMkcUvF7m3SDChDOa7i5L,https://api.spotify.com/v1/tracks/1KMkcUvF7m3SDChDOa7i5L,https://api.spotify.com/v1/audio-analysis/1KMkcUvF7m3SDChDOa7i5L,161385.0,4.0
WITHOUT YOU (with Miley Cyrus),The Kid LAROI,186849,australian hip hop,0.655,0.469,0.0,-6.257,1.0,0.0292,0.173,0.0,0.0956,0.467,92.56,audio_features,1EHUQesfVKwbthtNcpBi9g,spotify:track:1EHUQesfVKwbthtNcpBi9g,https://api.spotify.com/v1/tracks/1EHUQesfVKwbthtNcpBi9g,https://api.spotify.com/v1/audio-analysis/1EHUQesfVKwbthtNcpBi9g,161385.0,4.0
SAME ENERGY,The Kid LAROI,697250,australian hip hop,0.676,0.494,2.0,-7.077,1.0,0.261,0.135,0.0,0.0995,0.756,169.685,audio_features,0oSVZClSSfn4aacXvdmkuj,spotify:track:0oSVZClSSfn4aacXvdmkuj,https://api.spotify.com/v1/tracks/0oSVZClSSfn4aacXvdmkuj,https://api.spotify.com/v1/audio-analysis/0oSVZClSSfn4aacXvdmkuj,93176.0,4.0
STAY (with Justin Bieber),The Kid LAROI,57167,australian hip hop,0.591,0.764,1.0,-5.484,1.0,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806.0,4.0
Sex on the Beach,Iggy Azalea,1150,australian hip hop,0.881,0.75,6.0,-6.965,0.0,0.193,0.322,0.0,0.117,0.669,119.997,audio_features,73PZs28lH9TAx8Zbtlpeho,spotify:track:73PZs28lH9TAx8Zbtlpeho,https://api.spotify.com/v1/tracks/73PZs28lH9TAx8Zbtlpeho,https://api.spotify.com/v1/audio-analysis/73PZs28lH9TAx8Zbtlpeho,181154.0,4.0
Thousand Miles,The Kid LAROI,4853916,australian hip hop,0.376,0.657,7.0,-4.658,1.0,0.0768,0.0858,0.0,0.0884,0.203,80.565,audio_features,1r8ZCjfrQxoy2wVaBUbpwg,spotify:track:1r8ZCjfrQxoy2wVaBUbpwg,https://api.spotify.com/v1/tracks/1r8ZCjfrQxoy2wVaBUbpwg,https://api.spotify.com/v1/audio-analysis/1r8ZCjfrQxoy2wVaBUbpwg,164782.0,4.0
WITHOUT YOU,The Kid LAROI,322589,australian hip hop,0.662,0.413,0.0,-7.357,1.0,0.0299,0.213,0.0,0.134,0.467,93.005,audio_features,1KMkcUvF7m3SDChDOa7i5L,spotify:track:1KMkcUvF7m3SDChDOa7i5L,https://api.spotify.com/v1/tracks/1KMkcUvF7m3SDChDOa7i5L,https://api.spotify.com/v1/audio-analysis/1KMkcUvF7m3SDChDOa7i5L,161385.0,4.0
WITHOUT YOU (with Miley Cyrus),The Kid LAROI,186849,australian hip hop,0.655,0.469,0.0,-6.257,1.0,0.0292,0.173,0.0,0.0956,0.467,92.56,audio_features,1EHUQesfVKwbthtNcpBi9g,spotify:track:1EHUQesfVKwbthtNcpBi9g,https://api.spotify.com/v1/tracks/1EHUQesfVKwbthtNcpBi9g,https://api.spotify.com/v1/audio-analysis/1EHUQesfVKwbthtNcpBi9g,161385.0,4.0
