trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Back In Black,AC/DC,3135609,australian rock,0.31,0.7,9.0,-5.678,1.0,0.047,0.011,0.00965,0.0828,0.763,188.386,audio_features,08mG3Y1vljYA6bvDt4Wqkj,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,https://api.spotify.com/v1/tracks/08mG3Y1vljYA6bvDt4Wqkj,https://api.spotify.com/v1/audio-analysis/08mG3Y1vljYA6bvDt4Wqkj,255493.0,4.0
Beautiful Girl,INXS,207453,australian rock,0.675,0.666,11.0,-6.067,1.0,0.027,0.0187,0.692,0.112,0.434,120.558,audio_features,6N81xlWzMaEYhjHry55OSI,spotify:track:6N81xlWzMaEYhjHry55OSI,https://api.spotify.com/v1/tracks/6N81xlWzMaEYhjHry55OSI,https://api.spotify.com/v1/audio-analysis/6N81xlWzMaEYhjHry55OSI,207547.0,4.0
Highway to Hell,AC/DC,14024940,australian rock,0.574,0.913,6.0,-4.793,0.0,0.133,0.061,0.00158,0.156,0.423,115.728,audio_features,2zYzyRzz6pRmhPzyfMEC8s,spotify:track:2zYzyRzz6pRmhPzyfMEC8s,https://api.spotify.com/v1/tracks/2zYzyRzz6pRmhPzyfMEC8s,https://api.spotify.com/v1/audio-analysis/2zYzyRzz6pRmhPzyfMEC8s,208400.0,4.0
Need You Tonight,INXS,1123124,australian rock,0.801,0.723,10.0,-4.985,0.0,0.0689,0.0713,0.154,0.0675,0.883,109.03,audio_features,5eU8qMd0TpaLqTGDZJaLDs,spotify:track:5eU8qMd0TpaLqTGDZJaLDs,https://api.spotify.com/v1/tracks/5eU8qMd0TpaLqTGDZJaLDs,https://api.spotify.com/v1/audio-analysis/5eU8qMd0TpaLqTGDZJaLDs,180518.0,4.0
Never Tear Us Apart,INXS,369172,australian rock,0.665,0.686,0.0,-5.849,1.0,0.0268,0.0518,0.000176,0.174,0.275,96.848,audio_features,1qQSRy9DjrGh3jtsSCU6B1,spotify:track:1qQSRy9DjrGh3jtsSCU6B1,https://api.spotify.com/v1/tracks/1qQSRy9DjrGh3jtsSCU6B1,https://api.spotify.com/v1/audio-analysis/1qQSRy9DjrGh3jtsSCU6B1,185694.0,3.0
New Sensation,INXS,660317,australian rock,0.68,0.967,4.0,-2.771,1.0,0.0664,0.0661,1.75e-06,0.0808,0.895,115.748,audio_features,2bxY1baYlyXNzmjOkFvqId,spotify:track:2bxY1baYlyXNzmjOkFvqId,https://api.spotify.com/v1/tracks/2bxY1baYlyXNzmjOkFvqId,https://api.spotify.com/v1/audio-analysis/2bxY1baYlyXNzmjOkFvqId,219813.0,4.0
Shot In The Dark,AC/DC,373289,australian rock,0.599,0.787,2.0,-4.708,1.0,0.0338,2.07e-05,5.27e-05,0.064,0.822,114.065,audio_features,0sfdiwck2xr4PteGOdyOfz,spotify:track:0sfdiwck2xr4PteGOdyOfz,https://api.spotify.com/v1/tracks/0sfdiwck2xr4PteGOdyOfz,https://api.spotify.com/v1/audio-analysis/0sfdiwck2xr4PteGOdyOfz,185133.0,4.0
Thunderstruck,AC/DC,11400,australian rock,0.502,0.89,4.0,-5.175,1.0,0.0364,0.000147,0.0117,0.217,0.259,133.52,audio_features,57bgtoPSgt236HzfBOd8kj,spotify:track:57bgtoPSgt236HzfBOd8kj,https://api.spotify.com/v1/tracks/57bgtoPSgt236HzfBOd8kj,https://api.spotify.com/v1/audio-analysis/57bgtoPSgt236HzfBOd8kj,292880.0,4.0
Back In Black,AC/DC,3135609,australian rock,0.31,0.7,9.0,-5.678,1.0,0.047,0.011,0.00965,0.0828,0.763,188.386,audio_features,08mG3Y1vljYA6bvDt4Wqkj,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,https://api.spotify.com/v1/tracks/08mG3Y1vljYA6bvDt4Wqkj,https://api.spotify.com/v1/audio-analysis/08mG3Y1vljYA6bvDt4Wqkj,255493.0,4.0
Beautiful Girl,INXS,207453,australian rock,0.675,0.666,11.0,-6.067,1.0,0.027,0.0187,0.692,0.112,0.434,120.558,audio_features,6N81xlWzMaEYhjHry55OSI,spotify:track:6N81xlWzMaEYhjHry55OSI,https://api.spotify.com/v1/tracks/6N81xlWzMaEYhjHry55OSI,https://api.spotify.com/v1/audio-analysis/6N81xlWzMaEYhjHry55OSI,207547.0,4.0
Highway to Hell,AC/DC,14024940,australian rock,0.574,0.913,6.0,-4.793,0.0,0.133,0.061,0.00158,0.156,0.423,115.728,audio_features,2zYzyRzz6pRmhPzyfMEC8s,spotify:track:2zYzyRzz6pRmhPzyfMEC8s,https://api.spotify.com/v1/tracks/2zYzyRzz6pRmhPzyfMEC8s,https://api.spotify.com/v1/audio-analysis/2zYzyRzz6pRmhPzyfMEC8s,208400.0,4.0
Need You Tonight,INXS,1123124,australian rock,0.801,0.723,10.0,-4.985,0.0,0.0689,0.0713,0.154,0.0675,0.883,109.03,audio_features,5eU8qMd0TpaLqTGDZJaLDs,spotify:track:5eU8qMd0TpaLqTGDZJaLDs,https://api.spotify.com/v1/tracks/5eU8qMd0TpaLqTGDZJaLDs,https://api.spotify.com/v1/audio-analysis/5eU8qMd0TpaLqTGDZJaLDs,180518.0,4.0
Never Tear Us Apart,INXS,369172,australian rock,0.665,0.686,0.0,-5.849,1.0,0.0268,0.0518,0.000176,0.174,0.275,96.848,audio_features,1qQSRy9DjrGh3jtsSCU6B1,spotify:track:1qQSRy9DjrGh3jtsSCU6B1,https://api.spotify.com/v1/tracks/1qQSRy9DjrGh3jtsSCU6B1,https://api.spotify.com/v1/audio-analysis/1qQSRy9DjrGh3jtsSCU6B1,185694.0,3.0
New Sensation,INXS,660317,australian rock,0.68,0.967,4.0,-2.771,1.0,0.0664,0.0661,1.75e-06,0.0808,0.895,115.748,audio_features,2bxY1baYlyXNzmjOkFvqId,spotify:track:2bxY1baYlyXNzmjOkFvqId,https://api.spotify.com/v1/tracks/2bxY1baYlyXNzmjOkFvqId,https://api.spotify.com/v1/audio-analysis/2bxY1baYlyXNzmjOkFvqId,219813.0,4.0
Shot In The Dark,AC/DC,373289,australian rock,0.599,0.787,2.0,-4.708,1.0,0.0338,2.07e-05,5.27e-05,0.064,0.822,114.065,audio_features,0sfdiwck2xr4PteGOdyOfz,spotify:track:0sfdiwck2xr4PteGOdyOfz,https://api.spotify.com/v1/tracks/0sfdiwck2xr4PteGOdyOfz,https://api.spotify.com/v1/audio-analysis/0sfdiwck2xr4PteGOdyOfz,185133.0,4.0
Thunderstruck,AC/DC,11400,australian rock,0.502,0.89,4.0,-5.175,1.0,0.0364,0.000147,0.0117,0.217,0.259,133.52,audio_features,57bgtoPSgt236HzfBOd8kj,spotify:track:57bgtoPSgt236HzfBOd8kj,https://api.spotify.com/v1/tracks/57bgtoPSgt236HzfBOd8kj,https://api.spotify.com/v1/audio-analysis/57bgtoPSgt236HzfBOd8kj,292880.0,4.0
