trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
A-Punk,Vampire Weekend,1804847,baroque pop,0.551,0.819,2.0,-4.489,1.0,0.0525,0.0103,0.0437,0.153,0.846,174.917,audio_features,3AydAydLzyyZutA0375XIz,spotify:track:3AydAydLzyyZutA0375XIz,https://api.spotify.com/v1/tracks/3AydAydLzyyZutA0375XIz,https://api.spotify.com/v1/audio-analysis/3AydAydLzyyZutA0375XIz,137760.0,4.0
Arrows,Vampire Weekend,184066,baroque pop,0.468,0.67,2.0,-8.052,1.0,0.0875,0.309,0.4,0.108,0.32,147.498,audio_features,13JLAaCBniWngbG2u7owok,spotify:track:13JLAaCBniWngbG2u7owok,https://api.spotify.com/v1/tracks/13JLAaCBniWngbG2u7owok,https://api.spotify.com/v1/audio-analysis/13JLAaCBniWngbG2u7owok,184067.0,4.0
Big Blue,Vampire Weekend,108573,baroque pop,0.691,0.306,7.0,-9.65,1.0,0.0631,0.818,0.00798,0.0992,0.413,149.965,audio_features,3VORkvig6GJheAu4x3I3oC,spotify:track:3VORkvig6GJheAu4x3I3oC,https://api.spotify.com/v1/tracks/3VORkvig6GJheAu4x3I3oC,https://api.spotify.com/v1/audio-analysis/3VORkvig6GJheAu4x3I3oC,108573.0,5.0
Bryn,Vampire Weekend,133173,baroque pop,0.511,0.751,2.0,-4.686,1.0,0.0409,0.0508,0.0251,0.316,0.854,179.696,audio_features,4PamGgZ3hSGSDrpU4INnWi,spotify:track:4PamGgZ3hSGSDrpU4INnWi,https://api.spotify.com/v1/tracks/4PamGgZ3hSGSDrpU4INnWi,https://api.spotify.com/v1/audio-analysis/4PamGgZ3hSGSDrpU4INnWi,133173.0,3.0
California English Pt. 2,Vampire Weekend,66693,baroque pop,0.688,0.407,0.0,-8.212,1.0,0.0725,0.57,0.000918,0.0958,0.529,78.083,audio_features,2tUjRg4C0eo6tv8P0thP0d,spotify:track:2tUjRg4C0eo6tv8P0thP0d,https://api.spotify.com/v1/tracks/2tUjRg4C0eo6tv8P0thP0d,https://api.spotify.com/v1/audio-analysis/2tUjRg4C0eo6tv8P0thP0d,176907.0,4.0
Campus,Vampire Weekend,24901,baroque pop,0.639,0.704,7.0,-5.818,1.0,0.0659,0.22,0.0872,0.0849,0.645,162.983,audio_features,1eNrlXlW7Cj1QB1YUcZmpb,spotify:track:1eNrlXlW7Cj1QB1YUcZmpb,https://api.spotify.com/v1/tracks/1eNrlXlW7Cj1QB1YUcZmpb,https://api.spotify.com/v1/audio-analysis/1eNrlXlW7Cj1QB1YUcZmpb,176467.0,4.0
Cape Cod Kwassa Kwassa,Vampire Weekend,214706,baroque pop,0.853,0.515,2.0,-7.134,1.0,0.0418,0.843,0.0652,0.127,0.751,104.998,audio_features,1vTBBxcBB2Nb3ezQFRrGFO,spotify:track:1vTBBxcBB2Nb3ezQFRrGFO,https://api.spotify.com/v1/tracks/1vTBBxcBB2Nb3ezQFRrGFO,https://api.spotify.com/v1/audio-analysis/1vTBBxcBB2Nb3ezQFRrGFO,214707.0,4.0
Diane Young,Vampire Weekend,56172,baroque pop,0.422,0.809,11.0,-5.607,1.0,0.246,0.0333,3.64e-05,0.203,0.735,87.076,audio_features,10f0hrbCBiQk9STrFG3EU7,spotify:track:10f0hrbCBiQk9STrFG3EU7,https://api.spotify.com/v1/tracks/10f0hrbCBiQk9STrFG3EU7,https://api.spotify.com/v1/audio-analysis/10f0hrbCBiQk9STrFG3EU7,160067.0,4.0
Diplomat's Son,Vampire Weekend,178420,baroque pop,0.504,0.815,6.0,-6.967,1.0,0.332,0.209,0.0513,0.0838,0.842,193.966,audio_features,0Dx352kZFiXR1NlcEMDJZx,spotify:track:0Dx352kZFiXR1NlcEMDJZx,https://api.spotify.com/v1/tracks/0Dx352kZFiXR1NlcEMDJZx,https://api.spotify.com/v1/audio-analysis/0Dx352kZFiXR1NlcEMDJZx,361373.0,4.0
Giant,Vampire Weekend,169066,baroque pop,0.738,0.753,9.0,-7.201,1.0,0.0636,0.000736,0.0134,0.278,0.886,117.988,audio_features,6EacvbVb0gtilZYNMcF8dM,spotify:track:6EacvbVb0gtilZYNMcF8dM,https://api.spotify.com/v1/tracks/6EacvbVb0gtilZYNMcF8dM,https://api.spotify.com/v1/audio-analysis/6EacvbVb0gtilZYNMcF8dM,169067.0,4.0
Giving Up the Gun,Vampire Weekend,286160,baroque pop,0.636,0.879,9.0,-5.204,1.0,0.0511,0.00123,0.000156,0.0586,0.752,134.034,audio_features,40cAeDaZAnPY9bUHf4jYXW,spotify:track:40cAeDaZAnPY9bUHf4jYXW,https://api.spotify.com/v1/tracks/40cAeDaZAnPY9bUHf4jYXW,https://api.spotify.com/v1/audio-analysis/40cAeDaZAnPY9bUHf4jYXW,286160.0,4.0
Hannah Hunt,Vampire Weekend,237973,baroque pop,0.647,0.31,4.0,-10.237,1.0,0.0372,0.705,0.000723,0.1,0.189,103.974,audio_features,6AY1M1akbsVaQN3ATVyzH7,spotify:track:6AY1M1akbsVaQN3ATVyzH7,https://api.spotify.com/v1/tracks/6AY1M1akbsVaQN3ATVyzH7,https://api.spotify.com/v1/audio-analysis/6AY1M1akbsVaQN3ATVyzH7,237973.0,4.0
Harmony Hall,Vampire Weekend,617146,baroque pop,0.653,0.76,11.0,-6.086,1.0,0.0479,0.475,0.000129,0.0917,0.6,98.008,audio_features,39exKIvycQDgs4T6uXdyu0,spotify:track:39exKIvycQDgs4T6uXdyu0,https://api.spotify.com/v1/tracks/39exKIvycQDgs4T6uXdyu0,https://api.spotify.com/v1/audio-analysis/39exKIvycQDgs4T6uXdyu0,308733.0,4.0
Hold You Now (feat. Danielle Haim),Vampire Weekend,153786,baroque pop,0.284,0.457,0.0,-9.239,1.0,0.0382,0.0817,0.0,0.413,0.293,86.88,audio_features,15E2P2ToSLNnZvcOEQra6a,spotify:track:15E2P2ToSLNnZvcOEQra6a,https://api.spotify.com/v1/tracks/15E2P2ToSLNnZvcOEQra6a,https://api.spotify.com/v1/audio-analysis/15E2P2ToSLNnZvcOEQra6a,153787.0,4.0
Holiday,Vampire Weekend,138293,baroque pop,0.715,0.769,2.0,-5.24,1.0,0.105,0.023,0.000732,0.127,0.891,155.827,audio_features,4wtxSmTTeg6CiuhwIVKv0b,spotify:track:4wtxSmTTeg6CiuhwIVKv0b,https://api.spotify.com/v1/tracks/4wtxSmTTeg6CiuhwIVKv0b,https://api.spotify.com/v1/audio-analysis/4wtxSmTTeg6CiuhwIVKv0b,138293.0,4.0
