trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
"Zadok the Priest (Coronation Anthem No. 1, HWV 258)",George Frideric Handel,724289,baroque,0.374,0.178,1.0,-15.758,1.0,0.0389,0.92,0.0235,0.0754,0.148,95.839,audio_features,30bQxViotttoZ7x2iUP2L9,spotify:track:30bQxViotttoZ7x2iUP2L9,https://api.spotify.com/v1/tracks/30bQxViotttoZ7x2iUP2L9,https://api.spotify.com/v1/audio-analysis/30bQxViotttoZ7x2iUP2L9,323427.0,4.0
Canon in D,Johann Pachelbel,53628453,baroque,0.128,0.132,2.0,-17.67,1.0,0.0353,0.744,0.942,0.107,0.0988,85.314,audio_features,1Mse9NKBbEASi50CQ4aYhr,spotify:track:1Mse9NKBbEASi50CQ4aYhr,https://api.spotify.com/v1/tracks/1Mse9NKBbEASi50CQ4aYhr,https://api.spotify.com/v1/audio-analysis/1Mse9NKBbEASi50CQ4aYhr,301587.0,4.0
"Canon in D Major, P.37",Johann Pachelbel,1034914,baroque,0.407,0.122,2.0,-17.925,1.0,0.0427,0.988,0.942,0.113,0.216,105.484,audio_features,1p8Po4X9rWvMOuGR2vhVI2,spotify:track:1p8Po4X9rWvMOuGR2vhVI2,https://api.spotify.com/v1/tracks/1p8Po4X9rWvMOuGR2vhVI2,https://api.spotify.com/v1/audio-analysis/1p8Po4X9rWvMOuGR2vhVI2,288853.0,4.0
"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Johann Sebastian Bach,18650,baroque,0.257,0.109,7.0,-21.356,1.0,0.0597,0.9,0.867,0.0762,0.307,75.02,audio_features,61dYvvfIRtIDFuqZypPAta,spotify:track:61dYvvfIRtIDFuqZypPAta,https://api.spotify.com/v1/tracks/61dYvvfIRtIDFuqZypPAta,https://api.spotify.com/v1/audio-analysis/61dYvvfIRtIDFuqZypPAta,151480.0,4.0
"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air ""On a G String"" (Arr. for Piano)",Johann Sebastian Bach,26010500,baroque,0.458,0.0108,2.0,-29.707,1.0,0.0535,0.996,0.938,0.0724,0.135,115.141,audio_features,4WH081NcZkk93PVK2S3q5N,spotify:track:4WH081NcZkk93PVK2S3q5N,https://api.spotify.com/v1/tracks/4WH081NcZkk93PVK2S3q5N,https://api.spotify.com/v1/audio-analysis/4WH081NcZkk93PVK2S3q5N,328800.0,4.0
"Overture (Suite) No. 2 in B Minor, BWV 1067: VII. Badinerie",Johann Sebastian Bach,179733,baroque,0.515,0.269,11.0,-21.859,0.0,0.037,0.847,0.0897,0.0757,0.964,130.998,audio_features,3kvBEbswxMAx6QKc10SCon,spotify:track:3kvBEbswxMAx6QKc10SCon,https://api.spotify.com/v1/tracks/3kvBEbswxMAx6QKc10SCon,https://api.spotify.com/v1/audio-analysis/3kvBEbswxMAx6QKc10SCon,90107.0,4.0
"Suite No. 3 in D Major, BWV 1068: II. Air",Johann Sebastian Bach,35039,baroque,0.0769,0.0846,2.0,-25.997,1.0,0.045,0.922,0.929,0.113,0.0586,176.329,audio_features,0DqFXzLtKkj9JO421NJpl1,spotify:track:0DqFXzLtKkj9JO421NJpl1,https://api.spotify.com/v1/tracks/0DqFXzLtKkj9JO421NJpl1,https://api.spotify.com/v1/audio-analysis/0DqFXzLtKkj9JO421NJpl1,363253.0,4.0
"Vivaldi: The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto",Antonio Vivaldi,18038,baroque,0.359,0.448,7.0,-13.081,1.0,0.0344,0.966,0.818,0.163,0.749,135.579,audio_features,44ZvGHCfSepSyr6rH9yfGe,spotify:track:44ZvGHCfSepSyr6rH9yfGe,https://api.spotify.com/v1/tracks/44ZvGHCfSepSyr6rH9yfGe,https://api.spotify.com/v1/audio-analysis/44ZvGHCfSepSyr6rH9yfGe,186040.0,3.0
"Zadok the Priest (Coronation Anthem No. 1, HWV 258)",George Frideric Handel,724289,baroque,0.374,0.178,1.0,-15.758,1.0,0.0389,0.92,0.0235,0.0754,0.148,95.839,audio_features,30bQxViotttoZ7x2iUP2L9,spotify:track:30bQxViotttoZ7x2iUP2L9,https://api.spotify.com/v1/tracks/30bQxViotttoZ7x2iUP2L9,https://api.spotify.com/v1/audio-analysis/30bQxViotttoZ7x2iUP2L9,323427.0,4.0
Canon in D,Johann Pachelbel,53628453,baroque,0.128,0.132,2.0,-17.67,1.0,0.0353,0.744,0.942,0.107,0.0988,85.314,audio_features,1Mse9NKBbEASi50CQ4aYhr,spotify:track:1Mse9NKBbEASi50CQ4aYhr,https://api.spotify.com/v1/tracks/1Mse9NKBbEASi50CQ4aYhr,https://api.spotify.com/v1/audio-analysis/1Mse9NKBbEASi50CQ4aYhr,301587.0,4.0
"Canon in D Major, P.37",Johann Pachelbel,1034914,baroque,0.407,0.122,2.0,-17.925,1.0,0.0427,0.988,0.942,0.113,0.216,105.484,audio_features,1p8Po4X9rWvMOuGR2vhVI2,spotify:track:1p8Po4X9rWvMOuGR2vhVI2,https://api.spotify.com/v1/tracks/1p8Po4X9rWvMOuGR2vhVI2,https://api.spotify.com/v1/audio-analysis/1p8Po4X9rWvMOuGR2vhVI2,288853.0,4.0
"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Johann Sebastian Bach,18650,baroque,0.257,0.109,7.0,-21.356,1.0,0.0597,0.9,0.867,0.0762,0.307,75.02,audio_features,61dYvvfIRtIDFuqZypPAta,spotify:track:61dYvvfIRtIDFuqZypPAta,https://api.spotify.com/v1/tracks/61dYvvfIRtIDFuqZypPAta,https://api.spotify.com/v1/audio-analysis/61dYvvfIRtIDFuqZypPAta,151480.0,4.0
"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air ""On a G String"" (Arr. for Piano)",Johann Sebastian Bach,26010500,baroque,0.458,0.0108,2.0,-29.707,1.0,0.0535,0.996,0.938,0.0724,0.135,115.141,audio_features,4WH081NcZkk93PVK2S3q5N,spotify:track:4WH081NcZkk93PVK2S3q5N,https://api.spotify.com/v1/tracks/4WH081NcZkk93PVK2S3q5N,https://api.spotify.com/v1/audio-analysis/4WH081NcZkk93PVK2S3q5N,328800.0,4.0
"Overture (Suite) No. 2 in B Minor, BWV 1067: VII. Badinerie",Johann Sebastian Bach,179733,baroque,0.515,0.269,11.0,-21.859,0.0,0.037,0.847,0.0897,0.0757,0.964,130.998,audio_features,3kvBEbswxMAx6QKc10SCon,spotify:track:3kvBEbswxMAx6QKc10SCon,https://api.spotify.com/v1/tracks/3kvBEbswxMAx6QKc10SCon,https://api.spotify.com/v1/audio-analysis/3kvBEbswxMAx6QKc10SCon,90107.0,4.0
"Suite No. 3 in D Major, BWV 1068: II. Air",Johann Sebastian Bach,35039,baroque,0.0769,0.0846,2.0,-25.997,1.0,0.045,0.922,0.929,0.113,0.0586,176.329,audio_features,0DqFXzLtKkj9JO421NJpl1,spotify:track:0DqFXzLtKkj9JO421NJpl1,https://api.spotify.com/v1/tracks/0DqFXzLtKkj9JO421NJpl1,https://api.spotify.com/v1/audio-analysis/0DqFXzLtKkj9JO421NJpl1,363253.0,4.0
"Vivaldi: The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto",Antonio Vivaldi,18038,baroque,0.359,0.448,7.0,-13.081,1.0,0.0344,0.966,0.818,0.163,0.749,135.579,audio_features,44ZvGHCfSepSyr6rH9yfGe,spotify:track:44ZvGHCfSepSyr6rH9yfGe,https://api.spotify.com/v1/tracks/44ZvGHCfSepSyr6rH9yfGe,https://api.spotify.com/v1/audio-analysis/44ZvGHCfSepSyr6rH9yfGe,186040.0,3.0
