trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Be Cool,Bishu,289349,bass trap,0.725,0.854,7.0,-3.506,1.0,0.0691,0.299,4.85e-06,0.191,0.847,95.95,audio_features,53c0BAe6GBlGJ75hQGQccc,spotify:track:53c0BAe6GBlGJ75hQGQccc,https://api.spotify.com/v1/tracks/53c0BAe6GBlGJ75hQGQccc,https://api.spotify.com/v1/audio-analysis/53c0BAe6GBlGJ75hQGQccc,144688.0,4.0
Better Days,Arman Cekin,187748,bass trap,0.703,0.461,5.0,-10.581,0.0,0.0341,0.402,9.75e-05,0.114,0.39,99.941,audio_features,1FtYN2OwwvNgxfqf5XsD6M,spotify:track:1FtYN2OwwvNgxfqf5XsD6M,https://api.spotify.com/v1/tracks/1FtYN2OwwvNgxfqf5XsD6M,https://api.spotify.com/v1/audio-analysis/1FtYN2OwwvNgxfqf5XsD6M,187919.0,4.0
Demons (feat. Profane Remy),Lox Chatterbox,411541,bass trap,0.678,0.685,1.0,-4.745,1.0,0.0827,0.0073,0.0,0.252,0.116,130.063,audio_features,419WlJcAN0v1jyf75zWLJH,spotify:track:419WlJcAN0v1jyf75zWLJH,https://api.spotify.com/v1/tracks/419WlJcAN0v1jyf75zWLJH,https://api.spotify.com/v1/audio-analysis/419WlJcAN0v1jyf75zWLJH,242308.0,4.0
Do You?,TroyBoi,2139633,bass trap,0.827,0.518,10.0,-8.156,0.0,0.343,0.164,0.375,0.61,0.584,80.729,audio_features,0tAFy8LVdMQgW6A6Nq7olS,spotify:track:0tAFy8LVdMQgW6A6Nq7olS,https://api.spotify.com/v1/tracks/0tAFy8LVdMQgW6A6Nq7olS,https://api.spotify.com/v1/audio-analysis/0tAFy8LVdMQgW6A6Nq7olS,195791.0,4.0
Favorite,TroyBoi,19199,bass trap,0.833,0.639,0.0,-3.825,0.0,0.0881,0.0392,4.24e-05,0.162,0.653,146.996,audio_features,3srQQxcIZO3PxtOJ83BmDM,spotify:track:3srQQxcIZO3PxtOJ83BmDM,https://api.spotify.com/v1/tracks/3srQQxcIZO3PxtOJ83BmDM,https://api.spotify.com/v1/audio-analysis/3srQQxcIZO3PxtOJ83BmDM,164898.0,4.0
Hits,JayKode,5802,bass trap,0.541,0.991,5.0,-1.583,0.0,0.213,0.000724,0.0355,0.27,0.299,149.998,audio_features,10aTrQU19nqSN1IVahcg57,spotify:track:10aTrQU19nqSN1IVahcg57,https://api.spotify.com/v1/tracks/10aTrQU19nqSN1IVahcg57,https://api.spotify.com/v1/audio-analysis/10aTrQU19nqSN1IVahcg57,240000.0,4.0
Hurt Me Too,Bishu,184725,bass trap,0.468,0.937,7.0,-3.49,1.0,0.0456,0.0347,0.00065,0.214,0.0364,169.982,audio_features,0pdvvP1vP8zWRHeBCHdFbG,spotify:track:0pdvvP1vP8zWRHeBCHdFbG,https://api.spotify.com/v1/tracks/0pdvvP1vP8zWRHeBCHdFbG,https://api.spotify.com/v1/audio-analysis/0pdvvP1vP8zWRHeBCHdFbG,184941.0,4.0
March,Alexander Lewis,2496773,bass trap,0.345,0.923,1.0,-3.268,1.0,0.0828,0.0393,0.0137,0.893,0.227,146.001,audio_features,6kcQehLVz8jUdRBmFH1DpB,spotify:track:6kcQehLVz8jUdRBmFH1DpB,https://api.spotify.com/v1/tracks/6kcQehLVz8jUdRBmFH1DpB,https://api.spotify.com/v1/audio-analysis/6kcQehLVz8jUdRBmFH1DpB,227671.0,4.0
She Said (Big Jet Plane),Trinix,197277,bass trap,0.808,0.538,0.0,-10.211,0.0,0.0608,0.108,0.0743,0.0555,0.416,108.026,audio_features,3HeZam86SuxGp1wZ3XMIjE,spotify:track:3HeZam86SuxGp1wZ3XMIjE,https://api.spotify.com/v1/tracks/3HeZam86SuxGp1wZ3XMIjE,https://api.spotify.com/v1/audio-analysis/3HeZam86SuxGp1wZ3XMIjE,173750.0,4.0
Solid Ground,Bishu,149985,bass trap,0.718,0.677,4.0,-6.668,1.0,0.0361,0.0371,5.81e-05,0.112,0.236,122.003,audio_features,390rAc1GhIjAjXZuZrq15k,spotify:track:390rAc1GhIjAjXZuZrq15k,https://api.spotify.com/v1/tracks/390rAc1GhIjAjXZuZrq15k,https://api.spotify.com/v1/audio-analysis/390rAc1GhIjAjXZuZrq15k,150492.0,4.0
Solo,Prismo,660256,bass trap,0.442,0.847,10.0,-4.111,0.0,0.107,0.000354,0.011,0.374,0.496,179.872,audio_features,6jmPk6xf7LlxUt6OLTGdfS,spotify:track:6jmPk6xf7LlxUt6OLTGdfS,https://api.spotify.com/v1/tracks/6jmPk6xf7LlxUt6OLTGdfS,https://api.spotify.com/v1/audio-analysis/6jmPk6xf7LlxUt6OLTGdfS,183755.0,3.0
Be Cool,Bishu,289349,bass trap,0.725,0.854,7.0,-3.506,1.0,0.0691,0.299,4.85e-06,0.191,0.847,95.95,audio_features,53c0BAe6GBlGJ75hQGQccc,spotify:track:53c0BAe6GBlGJ75hQGQccc,https://api.spotify.com/v1/tracks/53c0BAe6GBlGJ75hQGQccc,https://api.spotify.com/v1/audio-analysis/53c0BAe6GBlGJ75hQGQccc,144688.0,4.0
Better Days,Arman Cekin,187748,bass trap,0.703,0.461,5.0,-10.581,0.0,0.0341,0.402,9.75e-05,0.114,0.39,99.941,audio_features,1FtYN2OwwvNgxfqf5XsD6M,spotify:track:1FtYN2OwwvNgxfqf5XsD6M,https://api.spotify.com/v1/tracks/1FtYN2OwwvNgxfqf5XsD6M,https://api.spotify.com/v1/audio-analysis/1FtYN2OwwvNgxfqf5XsD6M,187919.0,4.0
Demons (feat. Profane Remy),Lox Chatterbox,411541,bass trap,0.678,0.685,1.0,-4.745,1.0,0.0827,0.0073,0.0,0.252,0.116,130.063,audio_features,419WlJcAN0v1jyf75zWLJH,spotify:track:419WlJcAN0v1jyf75zWLJH,https://api.spotify.com/v1/tracks/419WlJcAN0v1jyf75zWLJH,https://api.spotify.com/v1/audio-analysis/419WlJcAN0v1jyf75zWLJH,242308.0,4.0
Do You?,TroyBoi,2139633,bass trap,0.827,0.518,10.0,-8.156,0.0,0.343,0.164,0.375,0.61,0.584,80.729,audio_features,0tAFy8LVdMQgW6A6Nq7olS,spotify:track:0tAFy8LVdMQgW6A6Nq7olS,https://api.spotify.com/v1/tracks/0tAFy8LVdMQgW6A6Nq7olS,https://api.spotify.com/v1/audio-analysis/0tAFy8LVdMQgW6A6Nq7olS,195791.0,4.0
Favorite,TroyBoi,19199,bass trap,0.833,0.639,0.0,-3.825,0.0,0.0881,0.0392,4.24e-05,0.162,0.653,146.996,audio_features,3srQQxcIZO3PxtOJ83BmDM,spotify:track:3srQQxcIZO3PxtOJ83BmDM,https://api.spotify.com/v1/tracks/3srQQxcIZO3PxtOJ83BmDM,https://api.spotify.com/v1/audio-analysis/3srQQxcIZO3PxtOJ83BmDM,164898.0,4.0
Hits,JayKode,5802,bass trap,0.541,0.991,5.0,-1.583,0.0,0.213,0.000724,0.0355,0.27,0.299,149.998,audio_features,10aTrQU19nqSN1IVahcg57,spotify:track:10aTrQU19nqSN1IVahcg57,https://api.spotify.com/v1/tracks/10aTrQU19nqSN1IVahcg57,https://api.spotify.com/v1/audio-analysis/10aTrQU19nqSN1IVahcg57,240000.0,4.0
Hurt Me Too,Bishu,184725,bass trap,0.468,0.937,7.0,-3.49,1.0,0.0456,0.0347,0.00065,0.214,0.0364,169.982,audio_features,0pdvvP1vP8zWRHeBCHdFbG,spotify:track:0pdvvP1vP8zWRHeBCHdFbG,https://api.spotify.com/v1/tracks/0pdvvP1vP8zWRHeBCHdFbG,https://api.spotify.com/v1/audio-analysis/0pdvvP1vP8zWRHeBCHdFbG,184941.0,4.0
March,Alexander Lewis,2496773,bass trap,0.345,0.923,1.0,-3.268,1.0,0.0828,0.0393,0.0137,0.893,0.227,146.001,audio_features,6kcQehLVz8jUdRBmFH1DpB,spotify:track:6kcQehLVz8jUdRBmFH1DpB,https://api.spotify.com/v1/tracks/6kcQehLVz8jUdRBmFH1DpB,https://api.spotify.com/v1/audio-analysis/6kcQehLVz8jUdRBmFH1DpB,227671.0,4.0
She Said (Big Jet Plane),Trinix,197277,bass trap,0.808,0.538,0.0,-10.211,0.0,0.0608,0.108,0.0743,0.0555,0.416,108.026,audio_features,3HeZam86SuxGp1wZ3XMIjE,spotify:track:3HeZam86SuxGp1wZ3XMIjE,https://api.spotify.com/v1/tracks/3HeZam86SuxGp1wZ3XMIjE,https://api.spotify.com/v1/audio-analysis/3HeZam86SuxGp1wZ3XMIjE,173750.0,4.0
Solid Ground,Bishu,149985,bass trap,0.718,0.677,4.0,-6.668,1.0,0.0361,0.0371,5.81e-05,0.112,0.236,122.003,audio_features,390rAc1GhIjAjXZuZrq15k,spotify:track:390rAc1GhIjAjXZuZrq15k,https://api.spotify.com/v1/tracks/390rAc1GhIjAjXZuZrq15k,https://api.spotify.com/v1/audio-analysis/390rAc1GhIjAjXZuZrq15k,150492.0,4.0
Solo,Prismo,660256,bass trap,0.442,0.847,10.0,-4.111,0.0,0.107,0.000354,0.011,0.374,0.496,179.872,audio_features,6jmPk6xf7LlxUt6OLTGdfS,spotify:track:6jmPk6xf7LlxUt6OLTGdfS,https://api.spotify.com/v1/tracks/6jmPk6xf7LlxUt6OLTGdfS,https://api.spotify.com/v1/audio-analysis/6jmPk6xf7LlxUt6OLTGdfS,183755.0,3.0
