trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
AMAZING,Rex Orange County,6890534,bedroom pop,0.719,0.461,8.0,-8.191,1.0,0.0454,0.279,0.0,0.0875,0.548,123.915,audio_features,3OM6qQmdFV6uy61GIqpRtf,spotify:track:3OM6qQmdFV6uy61GIqpRtf,https://api.spotify.com/v1/tracks/3OM6qQmdFV6uy61GIqpRtf,https://api.spotify.com/v1/audio-analysis/3OM6qQmdFV6uy61GIqpRtf,209200.0,4.0
Archetype,Omar Apollo,168590,bedroom pop,0.676,0.338,9.0,-7.96,1.0,0.0284,0.372,5.57e-06,0.468,0.321,92.029,audio_features,5Cyy8UMG6ch51oXYenPGzN,spotify:track:5Cyy8UMG6ch51oXYenPGzN,https://api.spotify.com/v1/tracks/5Cyy8UMG6ch51oXYenPGzN,https://api.spotify.com/v1/audio-analysis/5Cyy8UMG6ch51oXYenPGzN,168829.0,4.0
Best Friend,Rex Orange County,3409227,bedroom pop,0.576,0.714,6.0,-5.247,1.0,0.0595,0.395,0.0,0.115,0.321,144.981,audio_features,3rPtS4nfpy7PsARctAWpzd,spotify:track:3rPtS4nfpy7PsARctAWpzd,https://api.spotify.com/v1/tracks/3rPtS4nfpy7PsARctAWpzd,https://api.spotify.com/v1/audio-analysis/3rPtS4nfpy7PsARctAWpzd,262231.0,4.0
no way !,Yot Club,104241,bedroom pop,0.651,0.696,7.0,-7.889,1.0,0.0314,0.0949,0.903,0.387,0.62,130.27,audio_features,3IwadYiQKN7O51JgIH9PBC,spotify:track:3IwadYiQKN7O51JgIH9PBC,https://api.spotify.com/v1/tracks/3IwadYiQKN7O51JgIH9PBC,https://api.spotify.com/v1/audio-analysis/3IwadYiQKN7O51JgIH9PBC,166458.0,4.0
Crush Culture,Conan Gray,204120,bedroom pop,0.522,0.765,0.0,-5.395,1.0,0.193,0.146,0.0,0.0866,0.455,180.065,audio_features,2sHwSBNDZN2yjCtgwStYt1,spotify:track:2sHwSBNDZN2yjCtgwStYt1,https://api.spotify.com/v1/tracks/2sHwSBNDZN2yjCtgwStYt1,https://api.spotify.com/v1/audio-analysis/2sHwSBNDZN2yjCtgwStYt1,204120.0,4.0
Escalator,Ritt Momney,1050822,bedroom pop,0.789,0.297,0.0,-8.399,1.0,0.0885,0.688,0.567,0.109,0.497,153.044,audio_features,6VKha9kbRxUWQSx7eH7Rxw,spotify:track:6VKha9kbRxUWQSx7eH7Rxw,https://api.spotify.com/v1/tracks/6VKha9kbRxUWQSx7eH7Rxw,https://api.spotify.com/v1/audio-analysis/6VKha9kbRxUWQSx7eH7Rxw,146298.0,1.0
Fly Out West,Yot Club,523864,bedroom pop,0.499,0.666,2.0,-15.61,1.0,0.0446,0.417,0.461,0.0715,0.405,173.325,audio_features,0ASIqnVJvN1GmH1xEBdf2a,spotify:track:0ASIqnVJvN1GmH1xEBdf2a,https://api.spotify.com/v1/tracks/0ASIqnVJvN1GmH1xEBdf2a,https://api.spotify.com/v1/audio-analysis/0ASIqnVJvN1GmH1xEBdf2a,174212.0,4.0
Goodie Bag,Still Woozy,146336,bedroom pop,0.739,0.522,7.0,-12.304,0.0,0.151,0.821,0.00124,0.233,0.619,138.263,audio_features,4vHNeBWDQpVCmGbaccrRzi,spotify:track:4vHNeBWDQpVCmGbaccrRzi,https://api.spotify.com/v1/tracks/4vHNeBWDQpVCmGbaccrRzi,https://api.spotify.com/v1/audio-analysis/4vHNeBWDQpVCmGbaccrRzi,146390.0,4.0
Heather,Conan Gray,2666373,bedroom pop,0.357,0.425,5.0,-7.301,1.0,0.0333,0.584,0.0,0.322,0.27,102.078,audio_features,4xqrdfXkTW4T0RauPLv3WA,spotify:track:4xqrdfXkTW4T0RauPLv3WA,https://api.spotify.com/v1/tracks/4xqrdfXkTW4T0RauPLv3WA,https://api.spotify.com/v1/audio-analysis/4xqrdfXkTW4T0RauPLv3WA,198040.0,3.0
Japan,Yot Club,174000,bedroom pop,0.639,0.82,5.0,-6.782,1.0,0.0448,0.086,0.939,0.207,0.369,165.895,audio_features,0H7Wdgn1C7vFy4z0o2kBUZ,spotify:track:0H7Wdgn1C7vFy4z0o2kBUZ,https://api.spotify.com/v1/tracks/0H7Wdgn1C7vFy4z0o2kBUZ,https://api.spotify.com/v1/audio-analysis/0H7Wdgn1C7vFy4z0o2kBUZ,174936.0,4.0
