trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
11:23,mj apanay,58017,bedroom r&b,0.611,0.256,8.0,-11.29,1.0,0.0733,0.899,0.00497,0.125,0.585,123.535,audio_features,3YhAZVvU1yeGo1l6aLK0V6,spotify:track:3YhAZVvU1yeGo1l6aLK0V6,https://api.spotify.com/v1/tracks/3YhAZVvU1yeGo1l6aLK0V6,https://api.spotify.com/v1/audio-analysis/3YhAZVvU1yeGo1l6aLK0V6,58018.0,4.0
am i the only one,mj apanay,3109,bedroom r&b,0.34,0.928,1.0,-2.166,0.0,0.0745,0.0947,0.0,0.0353,0.643,94.516,audio_features,2GLQX8pvF8XOub6eH15FU5,spotify:track:2GLQX8pvF8XOub6eH15FU5,https://api.spotify.com/v1/tracks/2GLQX8pvF8XOub6eH15FU5,https://api.spotify.com/v1/audio-analysis/2GLQX8pvF8XOub6eH15FU5,218368.0,4.0
daylight,mj apanay,17000,bedroom r&b,0.591,0.646,8.0,-7.367,1.0,0.27,0.408,0.0,0.163,0.594,160.632,audio_features,0HfzDIKAiiRIAMn6HjB6rv,spotify:track:0HfzDIKAiiRIAMn6HjB6rv,https://api.spotify.com/v1/tracks/0HfzDIKAiiRIAMn6HjB6rv,https://api.spotify.com/v1/audio-analysis/0HfzDIKAiiRIAMn6HjB6rv,147840.0,4.0
dreamin abt u,mj apanay,92027,bedroom r&b,0.642,0.25,4.0,-9.954,1.0,0.0555,0.81,0.0,0.248,0.76,119.654,audio_features,68qj6fgOusJbWoLPxwiRz5,spotify:track:68qj6fgOusJbWoLPxwiRz5,https://api.spotify.com/v1/tracks/68qj6fgOusJbWoLPxwiRz5,https://api.spotify.com/v1/audio-analysis/68qj6fgOusJbWoLPxwiRz5,263317.0,4.0
endlessly,bixby,125793,bedroom r&b,0.614,0.816,11.0,-5.889,0.0,0.036,0.371,4.11e-05,0.106,0.602,144.961,audio_features,0hwtCNaxCMWoZZPHjUAETA,spotify:track:0hwtCNaxCMWoZZPHjUAETA,https://api.spotify.com/v1/tracks/0hwtCNaxCMWoZZPHjUAETA,https://api.spotify.com/v1/audio-analysis/0hwtCNaxCMWoZZPHjUAETA,125793.0,4.0
see u dance,Hong Kong Boyfriend,2867371,bedroom r&b,0.667,0.338,10.0,-8.295,1.0,0.083,0.551,0.174,0.109,0.392,79.963,audio_features,5ppUThWn9v9lZyqLRrfb4D,spotify:track:5ppUThWn9v9lZyqLRrfb4D,https://api.spotify.com/v1/tracks/5ppUThWn9v9lZyqLRrfb4D,https://api.spotify.com/v1/audio-analysis/5ppUThWn9v9lZyqLRrfb4D,138000.0,4.0
time machine,mj apanay,16553,bedroom r&b,0.652,0.256,10.0,-13.4,0.0,0.0799,0.874,0.0,0.163,0.408,119.414,audio_features,2ch4KLYvi9ZGq2pNyEsMom,spotify:track:2ch4KLYvi9ZGq2pNyEsMom,https://api.spotify.com/v1/tracks/2ch4KLYvi9ZGq2pNyEsMom,https://api.spotify.com/v1/audio-analysis/2ch4KLYvi9ZGq2pNyEsMom,225933.0,3.0
when is it my turn,mj apanay,13677,bedroom r&b,0.757,0.355,5.0,-9.026,1.0,0.0892,0.571,0.0,0.321,0.772,131.768,audio_features,5jvuDwxowrtKO9CoOdOenf,spotify:track:5jvuDwxowrtKO9CoOdOenf,https://api.spotify.com/v1/tracks/5jvuDwxowrtKO9CoOdOenf,https://api.spotify.com/v1/audio-analysis/5jvuDwxowrtKO9CoOdOenf,136023.0,4.0
Close to Me,Laica,846984,bedroom r&b,0.642,0.489,7.0,-6.534,1.0,0.0335,0.386,0.0,0.11,0.163,116.851,audio_features,4jPr49jXRJHftXlwTEA2w4,spotify:track:4jPr49jXRJHftXlwTEA2w4,https://api.spotify.com/v1/tracks/4jPr49jXRJHftXlwTEA2w4,https://api.spotify.com/v1/audio-analysis/4jPr49jXRJHftXlwTEA2w4,211746.0,3.0
Let Me Know,Jimmy Brown,188666,bedroom r&b,0.797,0.39,2.0,-6.594,1.0,0.0303,0.726,0.0,0.144,0.536,97.944,audio_features,1SPDWTBH7qcjbZ8zMRXlQ9,spotify:track:1SPDWTBH7qcjbZ8zMRXlQ9,https://api.spotify.com/v1/tracks/1SPDWTBH7qcjbZ8zMRXlQ9,https://api.spotify.com/v1/audio-analysis/1SPDWTBH7qcjbZ8zMRXlQ9,188666.0,4.0
Let Me Know - K-Pop Version,Jimmy Brown,9440,bedroom r&b,0.827,0.407,2.0,-6.297,1.0,0.0302,0.698,0.0,0.119,0.544,98.0,audio_features,3R9RsYalAgs6zjuuBZdYzQ,spotify:track:3R9RsYalAgs6zjuuBZdYzQ,https://api.spotify.com/v1/tracks/3R9RsYalAgs6zjuuBZdYzQ,https://api.spotify.com/v1/audio-analysis/3R9RsYalAgs6zjuuBZdYzQ,188666.0,4.0
On the Low,Justin Park,362758,bedroom r&b,0.68,0.53,0.0,-6.854,0.0,0.209,0.203,0.0,0.115,0.398,87.008,audio_features,4MIKclDDgZgzuaATP5yOjW,spotify:track:4MIKclDDgZgzuaATP5yOjW,https://api.spotify.com/v1/tracks/4MIKclDDgZgzuaATP5yOjW,https://api.spotify.com/v1/audio-analysis/4MIKclDDgZgzuaATP5yOjW,181379.0,4.0
Pick Up Your Phone,Hojean,76588,bedroom r&b,0.855,0.546,0.0,-5.192,1.0,0.0364,0.0513,0.000292,0.0725,0.869,94.989,audio_features,1BvvJicoB4AlqboiE86G0a,spotify:track:1BvvJicoB4AlqboiE86G0a,https://api.spotify.com/v1/tracks/1BvvJicoB4AlqboiE86G0a,https://api.spotify.com/v1/audio-analysis/1BvvJicoB4AlqboiE86G0a,169413.0,4.0
11:23,mj apanay,58017,bedroom r&b,0.611,0.256,8.0,-11.29,1.0,0.0733,0.899,0.00497,0.125,0.585,123.535,audio_features,3YhAZVvU1yeGo1l6aLK0V6,spotify:track:3YhAZVvU1yeGo1l6aLK0V6,https://api.spotify.com/v1/tracks/3YhAZVvU1yeGo1l6aLK0V6,https://api.spotify.com/v1/audio-analysis/3YhAZVvU1yeGo1l6aLK0V6,58018.0,4.0
am i the only one,mj apanay,3109,bedroom r&b,0.34,0.928,1.0,-2.166,0.0,0.0745,0.0947,0.0,0.0353,0.643,94.516,audio_features,2GLQX8pvF8XOub6eH15FU5,spotify:track:2GLQX8pvF8XOub6eH15FU5,https://api.spotify.com/v1/tracks/2GLQX8pvF8XOub6eH15FU5,https://api.spotify.com/v1/audio-analysis/2GLQX8pvF8XOub6eH15FU5,218368.0,4.0
daylight,mj apanay,17000,bedroom r&b,0.591,0.646,8.0,-7.367,1.0,0.27,0.408,0.0,0.163,0.594,160.632,audio_features,0HfzDIKAiiRIAMn6HjB6rv,spotify:track:0HfzDIKAiiRIAMn6HjB6rv,https://api.spotify.com/v1/tracks/0HfzDIKAiiRIAMn6HjB6rv,https://api.spotify.com/v1/audio-analysis/0HfzDIKAiiRIAMn6HjB6rv,147840.0,4.0
dreamin abt u,mj apanay,92027,bedroom r&b,0.642,0.25,4.0,-9.954,1.0,0.0555,0.81,0.0,0.248,0.76,119.654,audio_features,68qj6fgOusJbWoLPxwiRz5,spotify:track:68qj6fgOusJbWoLPxwiRz5,https://api.spotify.com/v1/tracks/68qj6fgOusJbWoLPxwiRz5,https://api.spotify.com/v1/audio-analysis/68qj6fgOusJbWoLPxwiRz5,263317.0,4.0
endlessly,bixby,125793,bedroom r&b,0.614,0.816,11.0,-5.889,0.0,0.036,0.371,4.11e-05,0.106,0.602,144.961,audio_features,0hwtCNaxCMWoZZPHjUAETA,spotify:track:0hwtCNaxCMWoZZPHjUAETA,https://api.spotify.com/v1/tracks/0hwtCNaxCMWoZZPHjUAETA,https://api.spotify.com/v1/audio-analysis/0hwtCNaxCMWoZZPHjUAETA,125793.0,4.0
see u dance,Hong Kong Boyfriend,2867371,bedroom r&b,0.667,0.338,10.0,-8.295,1.0,0.083,0.551,0.174,0.109,0.392,79.963,audio_features,5ppUThWn9v9lZyqLRrfb4D,spotify:track:5ppUThWn9v9lZyqLRrfb4D,https://api.spotify.com/v1/tracks/5ppUThWn9v9lZyqLRrfb4D,https://api.spotify.com/v1/audio-analysis/5ppUThWn9v9lZyqLRrfb4D,138000.0,4.0
time machine,mj apanay,16553,bedroom r&b,0.652,0.256,10.0,-13.4,0.0,0.0799,0.874,0.0,0.163,0.408,119.414,audio_features,2ch4KLYvi9ZGq2pNyEsMom,spotify:track:2ch4KLYvi9ZGq2pNyEsMom,https://api.spotify.com/v1/tracks/2ch4KLYvi9ZGq2pNyEsMom,https://api.spotify.com/v1/audio-analysis/2ch4KLYvi9ZGq2pNyEsMom,225933.0,3.0
when is it my turn,mj apanay,13677,bedroom r&b,0.757,0.355,5.0,-9.026,1.0,0.0892,0.571,0.0,0.321,0.772,131.768,audio_features,5jvuDwxowrtKO9CoOdOenf,spotify:track:5jvuDwxowrtKO9CoOdOenf,https://api.spotify.com/v1/tracks/5jvuDwxowrtKO9CoOdOenf,https://api.spotify.com/v1/audio-analysis/5jvuDwxowrtKO9CoOdOenf,136023.0,4.0
Close to Me,Laica,846984,bedroom r&b,0.642,0.489,7.0,-6.534,1.0,0.0335,0.386,0.0,0.11,0.163,116.851,audio_features,4jPr49jXRJHftXlwTEA2w4,spotify:track:4jPr49jXRJHftXlwTEA2w4,https://api.spotify.com/v1/tracks/4jPr49jXRJHftXlwTEA2w4,https://api.spotify.com/v1/audio-analysis/4jPr49jXRJHftXlwTEA2w4,211746.0,3.0
Let Me Know,Jimmy Brown,188666,bedroom r&b,0.797,0.39,2.0,-6.594,1.0,0.0303,0.726,0.0,0.144,0.536,97.944,audio_features,1SPDWTBH7qcjbZ8zMRXlQ9,spotify:track:1SPDWTBH7qcjbZ8zMRXlQ9,https://api.spotify.com/v1/tracks/1SPDWTBH7qcjbZ8zMRXlQ9,https://api.spotify.com/v1/audio-analysis/1SPDWTBH7qcjbZ8zMRXlQ9,188666.0,4.0
Let Me Know - K-Pop Version,Jimmy Brown,9440,bedroom r&b,0.827,0.407,2.0,-6.297,1.0,0.0302,0.698,0.0,0.119,0.544,98.0,audio_features,3R9RsYalAgs6zjuuBZdYzQ,spotify:track:3R9RsYalAgs6zjuuBZdYzQ,https://api.spotify.com/v1/tracks/3R9RsYalAgs6zjuuBZdYzQ,https://api.spotify.com/v1/audio-analysis/3R9RsYalAgs6zjuuBZdYzQ,188666.0,4.0
On the Low,Justin Park,362758,bedroom r&b,0.68,0.53,0.0,-6.854,0.0,0.209,0.203,0.0,0.115,0.398,87.008,audio_features,4MIKclDDgZgzuaATP5yOjW,spotify:track:4MIKclDDgZgzuaATP5yOjW,https://api.spotify.com/v1/tracks/4MIKclDDgZgzuaATP5yOjW,https://api.spotify.com/v1/audio-analysis/4MIKclDDgZgzuaATP5yOjW,181379.0,4.0
Pick Up Your Phone,Hojean,76588,bedroom r&b,0.855,0.546,0.0,-5.192,1.0,0.0364,0.0513,0.000292,0.0725,0.869,94.989,audio_features,1BvvJicoB4AlqboiE86G0a,spotify:track:1BvvJicoB4AlqboiE86G0a,https://api.spotify.com/v1/tracks/1BvvJicoB4AlqboiE86G0a,https://api.spotify.com/v1/audio-analysis/1BvvJicoB4AlqboiE86G0a,169413.0,4.0
