trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
At My Worst,Pink Sweat$,170343,bedroom soul,0.813,0.415,0.0,-5.926,1.0,0.0349,0.777,0.0,0.131,0.667,91.921,audio_features,0ri0Han4IRJhzvERHOZTMr,spotify:track:0ri0Han4IRJhzvERHOZTMr,https://api.spotify.com/v1/tracks/0ri0Han4IRJhzvERHOZTMr,https://api.spotify.com/v1/audio-analysis/0ri0Han4IRJhzvERHOZTMr,170345.0,4.0
At My Worst (feat. Kehlani),Pink Sweat$,2440,bedroom soul,0.731,0.484,0.0,-5.579,1.0,0.0354,0.73,3.01e-06,0.326,0.35,92.043,audio_features,58w68w4s8h9gw3xrDaXyuj,spotify:track:58w68w4s8h9gw3xrDaXyuj,https://api.spotify.com/v1/tracks/58w68w4s8h9gw3xrDaXyuj,https://api.spotify.com/v1/audio-analysis/58w68w4s8h9gw3xrDaXyuj,169128.0,4.0
blue bird,Zachary Knowles,4225562,bedroom soul,0.597,0.266,3.0,-8.973,1.0,0.028,0.805,0.0,0.128,0.352,129.981,audio_features,6mvjHs3ARC10teeMFZ4kh5,spotify:track:6mvjHs3ARC10teeMFZ4kh5,https://api.spotify.com/v1/tracks/6mvjHs3ARC10teeMFZ4kh5,https://api.spotify.com/v1/audio-analysis/6mvjHs3ARC10teeMFZ4kh5,221077.0,4.0
carpool,Zachary Knowles,165905,bedroom soul,0.565,0.612,10.0,-9.167,1.0,0.163,0.457,4.89e-05,0.0823,0.522,171.876,audio_features,1nfYgAwhHh37Kl6Z0YQf7Q,spotify:track:1nfYgAwhHh37Kl6Z0YQf7Q,https://api.spotify.com/v1/tracks/1nfYgAwhHh37Kl6Z0YQf7Q,https://api.spotify.com/v1/audio-analysis/1nfYgAwhHh37Kl6Z0YQf7Q,164665.0,4.0
city,Zachary Knowles,1865860,bedroom soul,0.781,0.666,2.0,-5.547,1.0,0.0639,0.00916,0.0,0.1,0.561,130.005,audio_features,7ezWFPZxTDiQMl7NlAXdkR,spotify:track:7ezWFPZxTDiQMl7NlAXdkR,https://api.spotify.com/v1/tracks/7ezWFPZxTDiQMl7NlAXdkR,https://api.spotify.com/v1/audio-analysis/7ezWFPZxTDiQMl7NlAXdkR,141329.0,4.0
no place like hope,Zachary Knowles,83058,bedroom soul,0.689,0.346,8.0,-14.561,1.0,0.0709,0.627,0.000193,0.104,0.395,75.025,audio_features,5ttql4WZYAh4LGUSMhQcJc,spotify:track:5ttql4WZYAh4LGUSMhQcJc,https://api.spotify.com/v1/tracks/5ttql4WZYAh4LGUSMhQcJc,https://api.spotify.com/v1/audio-analysis/5ttql4WZYAh4LGUSMhQcJc,252800.0,4.0
slow down my thoughts,Zachary Knowles,231373,bedroom soul,0.732,0.421,1.0,-8.364,0.0,0.0876,0.685,4.07e-05,0.224,0.482,126.943,audio_features,6NU3w0CtU7g9boAarIAkO4,spotify:track:6NU3w0CtU7g9boAarIAkO4,https://api.spotify.com/v1/tracks/6NU3w0CtU7g9boAarIAkO4,https://api.spotify.com/v1/audio-analysis/6NU3w0CtU7g9boAarIAkO4,231496.0,4.0
slow summer,Zachary Knowles,3762382,bedroom soul,0.658,0.431,5.0,-8.902,1.0,0.0437,0.817,8.28e-06,0.21,0.464,90.003,audio_features,4JEGeqPF0RH7oi1lHdtbK6,spotify:track:4JEGeqPF0RH7oi1lHdtbK6,https://api.spotify.com/v1/tracks/4JEGeqPF0RH7oi1lHdtbK6,https://api.spotify.com/v1/audio-analysis/4JEGeqPF0RH7oi1lHdtbK6,168782.0,4.0
stranger to me,Zachary Knowles,4676478,bedroom soul,0.772,0.469,1.0,-7.992,1.0,0.0384,0.744,0.0,0.109,0.7,118.057,audio_features,7Jrt2Ipd2qSOKtytwCGEAU,spotify:track:7Jrt2Ipd2qSOKtytwCGEAU,https://api.spotify.com/v1/tracks/7Jrt2Ipd2qSOKtytwCGEAU,https://api.spotify.com/v1/audio-analysis/7Jrt2Ipd2qSOKtytwCGEAU,135992.0,4.0
Come With Me,Surfaces,209732,bedroom soul,0.876,0.565,11.0,-6.569,0.0,0.0333,0.16,0.0284,0.114,0.931,111.936,audio_features,16frIpnyUb9poRwQxQTmaC,spotify:track:16frIpnyUb9poRwQxQTmaC,https://api.spotify.com/v1/tracks/16frIpnyUb9poRwQxQTmaC,https://api.spotify.com/v1/audio-analysis/16frIpnyUb9poRwQxQTmaC,209732.0,4.0
