trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
BOOM,Tiësto,340826,big room,0.886,0.84,2.0,-3.386,1.0,0.0502,0.0164,0.00622,0.329,0.203,123.035,audio_features,6iC7vapdKp0XlKhxOkp8QJ,spotify:track:6iC7vapdKp0XlKhxOkp8QJ,https://api.spotify.com/v1/tracks/6iC7vapdKp0XlKhxOkp8QJ,https://api.spotify.com/v1/audio-analysis/6iC7vapdKp0XlKhxOkp8QJ,179512.0,4.0
Do Bad Well (feat. Nevve),KSHMR,1156150,big room,0.604,0.894,5.0,-4.755,1.0,0.113,0.0512,0.000315,0.234,0.415,127.964,audio_features,7zHrHnVSQwI95FGHewXDl8,spotify:track:7zHrHnVSQwI95FGHewXDl8,https://api.spotify.com/v1/tracks/7zHrHnVSQwI95FGHewXDl8,https://api.spotify.com/v1/audio-analysis/7zHrHnVSQwI95FGHewXDl8,204375.0,4.0
I'm Good (Blue),David Guetta,49370,big room,0.561,0.965,7.0,-3.673,0.0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,audio_features,3MGnKr0Mq4NU210LEOx56B,spotify:track:3MGnKr0Mq4NU210LEOx56B,https://api.spotify.com/v1/tracks/3MGnKr0Mq4NU210LEOx56B,https://api.spotify.com/v1/audio-analysis/3MGnKr0Mq4NU210LEOx56B,175238.0,4.0
Jackie Chan,Tiësto,9937,big room,0.747,0.834,3.0,-2.867,0.0,0.045,0.374,0.0,0.0586,0.687,128.005,audio_features,4kWO6O1BUXcZmaxitpVUwp,spotify:track:4kWO6O1BUXcZmaxitpVUwp,https://api.spotify.com/v1/tracks/4kWO6O1BUXcZmaxitpVUwp,https://api.spotify.com/v1/audio-analysis/4kWO6O1BUXcZmaxitpVUwp,215760.0,4.0
Permanence,David Guetta,64739,big room,0.32,0.799,2.0,-10.464,1.0,0.389,0.0564,0.584,0.31,0.032,165.492,audio_features,05IbhAKODbXn8og9uaUgpc,spotify:track:05IbhAKODbXn8og9uaUgpc,https://api.spotify.com/v1/tracks/05IbhAKODbXn8og9uaUgpc,https://api.spotify.com/v1/audio-analysis/05IbhAKODbXn8og9uaUgpc,231290.0,3.0
The Motto,Tiësto,5146,big room,0.754,0.763,7.0,-4.627,0.0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,audio_features,18asYwWugKjjsihZ0YvRxO,spotify:track:18asYwWugKjjsihZ0YvRxO,https://api.spotify.com/v1/tracks/18asYwWugKjjsihZ0YvRxO,https://api.spotify.com/v1/audio-analysis/18asYwWugKjjsihZ0YvRxO,164819.0,4.0
Titanium (feat. Sia),David Guetta,1231789,big room,0.604,0.788,0.0,-3.673,0.0,0.103,0.0678,0.153,0.127,0.301,126.06,audio_features,0lHAMNU8RGiIObScrsRgmP,spotify:track:0lHAMNU8RGiIObScrsRgmP,https://api.spotify.com/v1/tracks/0lHAMNU8RGiIObScrsRgmP,https://api.spotify.com/v1/audio-analysis/0lHAMNU8RGiIObScrsRgmP,245040.0,4.0
Unchained,Blasterjaxx,156290,big room,0.567,0.963,9.0,-4.464,1.0,0.0403,0.0101,0.35,0.387,0.087,129.999,audio_features,78ZqaiZIPi5XDdA25FkZfY,spotify:track:78ZqaiZIPi5XDdA25FkZfY,https://api.spotify.com/v1/tracks/78ZqaiZIPi5XDdA25FkZfY,https://api.spotify.com/v1/audio-analysis/78ZqaiZIPi5XDdA25FkZfY,160615.0,4.0
BOOM,Tiësto,340826,big room,0.886,0.84,2.0,-3.386,1.0,0.0502,0.0164,0.00622,0.329,0.203,123.035,audio_features,6iC7vapdKp0XlKhxOkp8QJ,spotify:track:6iC7vapdKp0XlKhxOkp8QJ,https://api.spotify.com/v1/tracks/6iC7vapdKp0XlKhxOkp8QJ,https://api.spotify.com/v1/audio-analysis/6iC7vapdKp0XlKhxOkp8QJ,179512.0,4.0
Do Bad Well (feat. Nevve),KSHMR,1156150,big room,0.604,0.894,5.0,-4.755,1.0,0.113,0.0512,0.000315,0.234,0.415,127.964,audio_features,7zHrHnVSQwI95FGHewXDl8,spotify:track:7zHrHnVSQwI95FGHewXDl8,https://api.spotify.com/v1/tracks/7zHrHnVSQwI95FGHewXDl8,https://api.spotify.com/v1/audio-analysis/7zHrHnVSQwI95FGHewXDl8,204375.0,4.0
