trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Big Bad Wolf,Roses & Revolutions,1038584,bossbeat,0.335,0.818,0.0,-5.543,0.0,0.126,0.111,0.0,0.267,0.458,139.624,audio_features,3QJ3gts5Qrh0TzoSoKd69G,spotify:track:3QJ3gts5Qrh0TzoSoKd69G,https://api.spotify.com/v1/tracks/3QJ3gts5Qrh0TzoSoKd69G,https://api.spotify.com/v1/audio-analysis/3QJ3gts5Qrh0TzoSoKd69G,200269.0,4.0
Check It Out,Oh The Larceny,323000,bossbeat,0.645,0.945,5.0,-3.516,0.0,0.0862,0.017,0.00122,0.318,0.718,120.029,audio_features,1sK28tbNrhhKWRKl920sDa,spotify:track:1sK28tbNrhhKWRKl920sDa,https://api.spotify.com/v1/tracks/1sK28tbNrhhKWRKl920sDa,https://api.spotify.com/v1/audio-analysis/1sK28tbNrhhKWRKl920sDa,161500.0,4.0
Chosen One,Valley Of Wolves,1229770,bossbeat,0.63,0.747,2.0,-2.971,1.0,0.0483,0.149,4.77e-05,0.0931,0.867,81.984,audio_features,5qvSccL0sc0QypKKrDPHAU,spotify:track:5qvSccL0sc0QypKKrDPHAU,https://api.spotify.com/v1/tracks/5qvSccL0sc0QypKKrDPHAU,https://api.spotify.com/v1/audio-analysis/5qvSccL0sc0QypKKrDPHAU,237958.0,4.0
Gimme That Sunshine,Animal Island,200120,bossbeat,0.53,0.632,6.0,-7.908,0.0,0.0279,0.0026,0.0,0.419,0.413,108.028,audio_features,3X3Q0i7IsINhaDSXt4lGqj,spotify:track:3X3Q0i7IsINhaDSXt4lGqj,https://api.spotify.com/v1/tracks/3X3Q0i7IsINhaDSXt4lGqj,https://api.spotify.com/v1/audio-analysis/3X3Q0i7IsINhaDSXt4lGqj,200120.0,4.0
Heroes,Valley Of Wolves,472396,bossbeat,0.439,0.423,5.0,-9.312,1.0,0.0287,0.0786,0.0246,0.0859,0.0851,80.121,audio_features,2X45mAKkp9ysmjLhTJfkg9,spotify:track:2X45mAKkp9ysmjLhTJfkg9,https://api.spotify.com/v1/tracks/2X45mAKkp9ysmjLhTJfkg9,https://api.spotify.com/v1/audio-analysis/2X45mAKkp9ysmjLhTJfkg9,260802.0,4.0
Light That Fire,Oh The Larceny,38346,bossbeat,0.736,0.79,0.0,-3.087,0.0,0.051,0.00827,0.00497,0.176,0.821,115.995,audio_features,4BtRMXy8X1vNyq4Bz0MHSk,spotify:track:4BtRMXy8X1vNyq4Bz0MHSk,https://api.spotify.com/v1/tracks/4BtRMXy8X1vNyq4Bz0MHSk,https://api.spotify.com/v1/audio-analysis/4BtRMXy8X1vNyq4Bz0MHSk,139138.0,4.0
Lions Inside,Valley Of Wolves,796662,bossbeat,0.441,0.65,11.0,-3.545,0.0,0.0511,0.455,0.00313,0.102,0.575,167.871,audio_features,5e7z058X5qWaR1z7ieqKZ5,spotify:track:5e7z058X5qWaR1z7ieqKZ5,https://api.spotify.com/v1/tracks/5e7z058X5qWaR1z7ieqKZ5,https://api.spotify.com/v1/audio-analysis/5e7z058X5qWaR1z7ieqKZ5,240187.0,3.0
Rule the World,Zayde Wølf,622226,bossbeat,0.55,0.883,2.0,-5.964,1.0,0.0934,0.00715,0.0,0.0924,0.417,149.991,audio_features,4hWtNA80MqTwYUKjnQBdc2,spotify:track:4hWtNA80MqTwYUKjnQBdc2,https://api.spotify.com/v1/tracks/4hWtNA80MqTwYUKjnQBdc2,https://api.spotify.com/v1/audio-analysis/4hWtNA80MqTwYUKjnQBdc2,192600.0,3.0
Turn It Up,Oh The Larceny,197401,bossbeat,0.601,0.82,7.0,-5.19,1.0,0.0474,0.000257,0.000266,0.0825,0.735,144.979,audio_features,28CIZlnlzpZpuF03qmIrLO,spotify:track:28CIZlnlzpZpuF03qmIrLO,https://api.spotify.com/v1/tracks/28CIZlnlzpZpuF03qmIrLO,https://api.spotify.com/v1/audio-analysis/28CIZlnlzpZpuF03qmIrLO,197401.0,4.0
You Do You,Zayde Wølf,152000,bossbeat,0.75,0.794,5.0,-4.303,1.0,0.0395,0.0843,0.0,0.235,0.775,120.028,audio_features,2YuYM68UXaTkoj9u35R4eo,spotify:track:2YuYM68UXaTkoj9u35R4eo,https://api.spotify.com/v1/tracks/2YuYM68UXaTkoj9u35R4eo,https://api.spotify.com/v1/audio-analysis/2YuYM68UXaTkoj9u35R4eo,152000.0,4.0
