trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
8 Letters,Why Don't We,1549337,boy band,0.607,0.478,1.0,-5.702,0.0,0.031,0.649,0.0,0.0928,0.255,88.979,audio_features,4zRZAmBQP8vhNPf9i9opXt,spotify:track:4zRZAmBQP8vhNPf9i9opXt,https://api.spotify.com/v1/tracks/4zRZAmBQP8vhNPf9i9opXt,https://api.spotify.com/v1/audio-analysis/4zRZAmBQP8vhNPf9i9opXt,190027.0,4.0
All Night - Slowed N Reverb,The Vamps,12644,boy band,0.607,0.678,8.0,-7.045,0.0,0.0335,0.00527,0.0,0.332,0.433,115.968,audio_features,1gk5o5yEXAsHeXMJoavmh3,spotify:track:1gk5o5yEXAsHeXMJoavmh3,https://api.spotify.com/v1/tracks/1gk5o5yEXAsHeXMJoavmh3,https://api.spotify.com/v1/audio-analysis/1gk5o5yEXAsHeXMJoavmh3,244798.0,4.0
BLENDER,5 Seconds of Summer,213518,boy band,0.67,0.665,8.0,-5.47,1.0,0.104,0.0293,2.19e-05,0.101,0.694,161.99,audio_features,1xnsTtYlN5GYO30FqYLG1i,spotify:track:1xnsTtYlN5GYO30FqYLG1i,https://api.spotify.com/v1/tracks/1xnsTtYlN5GYO30FqYLG1i,https://api.spotify.com/v1/audio-analysis/1xnsTtYlN5GYO30FqYLG1i,147744.0,4.0
Best Song Ever,One Direction,25203,boy band,0.652,0.877,1.0,-2.986,1.0,0.0465,0.0227,0.0,0.0789,0.486,118.491,audio_features,5T7ZFtCcOgkpjxcuaeZbw0,spotify:track:5T7ZFtCcOgkpjxcuaeZbw0,https://api.spotify.com/v1/tracks/5T7ZFtCcOgkpjxcuaeZbw0,https://api.spotify.com/v1/audio-analysis/5T7ZFtCcOgkpjxcuaeZbw0,200107.0,4.0
Big Plans,Why Don't We,179929,boy band,0.693,0.604,11.0,-5.279,1.0,0.0427,0.0668,0.0,0.114,0.651,75.014,audio_features,448hSkxDU1sUQQauBWZVcC,spotify:track:448hSkxDU1sUQQauBWZVcC,https://api.spotify.com/v1/tracks/448hSkxDU1sUQQauBWZVcC,https://api.spotify.com/v1/audio-analysis/448hSkxDU1sUQQauBWZVcC,179930.0,4.0
Brockhampton,BROCKHAMPTON,1191903,boy band,0.442,0.592,1.0,-7.428,1.0,0.0333,0.767,0.0,0.572,0.634,94.133,audio_features,02YuLkTLNkOzKfl5Pmvs2S,spotify:track:02YuLkTLNkOzKfl5Pmvs2S,https://api.spotify.com/v1/tracks/02YuLkTLNkOzKfl5Pmvs2S,https://api.spotify.com/v1/audio-analysis/02YuLkTLNkOzKfl5Pmvs2S,272427.0,4.0
Easier,5 Seconds of Summer,2290744,boy band,0.562,0.46,5.0,-4.173,1.0,0.259,0.476,0.0,0.107,0.623,176.055,audio_features,2bjUEg4jBtKBlPdNrTAppI,spotify:track:2bjUEg4jBtKBlPdNrTAppI,https://api.spotify.com/v1/tracks/2bjUEg4jBtKBlPdNrTAppI,https://api.spotify.com/v1/audio-analysis/2bjUEg4jBtKBlPdNrTAppI,158099.0,4.0
Easier – Remix (with Charlie Puth),5 Seconds of Summer,3830296,boy band,0.418,0.445,5.0,-5.407,1.0,0.227,0.469,0.0,0.123,0.608,175.686,audio_features,5iTaLzgPI5jRMVAxITcZwT,spotify:track:5iTaLzgPI5jRMVAxITcZwT,https://api.spotify.com/v1/tracks/5iTaLzgPI5jRMVAxITcZwT,https://api.spotify.com/v1/audio-analysis/5iTaLzgPI5jRMVAxITcZwT,157326.0,4.0
Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,201882,boy band,0.723,0.848,10.0,-4.51,0.0,0.0366,0.0417,0.0,0.198,0.572,108.02,audio_features,7Jg65cOkLoiT7Q4vQqUvIG,spotify:track:7Jg65cOkLoiT7Q4vQqUvIG,https://api.spotify.com/v1/tracks/7Jg65cOkLoiT7Q4vQqUvIG,https://api.spotify.com/v1/audio-analysis/7Jg65cOkLoiT7Q4vQqUvIG,223813.0,4.0
Eyes Off You,PRETTYMUCH,2100367,boy band,0.631,0.512,0.0,-9.675,0.0,0.0572,0.511,0.0,0.0827,0.529,106.027,audio_features,0VpEX8ib3wE7u8NOw4szU6,spotify:track:0VpEX8ib3wE7u8NOw4szU6,https://api.spotify.com/v1/tracks/0VpEX8ib3wE7u8NOw4szU6,https://api.spotify.com/v1/audio-analysis/0VpEX8ib3wE7u8NOw4szU6,204267.0,4.0
