trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Afterlife,Ewan J Phillips,227777,british singer-songwriter,0.342,0.279,1.0,-11.252,1.0,0.0376,0.521,0.00053,0.157,0.235,71.766,audio_features,1MEZDVBm70AGVtvLLgskr8,spotify:track:1MEZDVBm70AGVtvLLgskr8,https://api.spotify.com/v1/tracks/1MEZDVBm70AGVtvLLgskr8,https://api.spotify.com/v1/audio-analysis/1MEZDVBm70AGVtvLLgskr8,227778.0,1.0
Are We Gonna Be Alright,Ewan J Phillips,553056,british singer-songwriter,0.348,0.168,7.0,-14.805,1.0,0.0398,0.78,0.00199,0.504,0.0618,132.206,audio_features,4P04JqCLPPMBBCVU50w6Iz,spotify:track:4P04JqCLPPMBBCVU50w6Iz,https://api.spotify.com/v1/tracks/4P04JqCLPPMBBCVU50w6Iz,https://api.spotify.com/v1/audio-analysis/4P04JqCLPPMBBCVU50w6Iz,553056.0,4.0
Born Survivor,Ewan J Phillips,208103,british singer-songwriter,0.415,0.505,4.0,-7.047,1.0,0.0374,0.0614,6.49e-06,0.138,0.237,131.551,audio_features,1IBCGym6pzPqf9pAZDso4w,spotify:track:1IBCGym6pzPqf9pAZDso4w,https://api.spotify.com/v1/tracks/1IBCGym6pzPqf9pAZDso4w,https://api.spotify.com/v1/audio-analysis/1IBCGym6pzPqf9pAZDso4w,208104.0,3.0
Cursive,Billie Marten,1275711,british singer-songwriter,0.494,0.267,0.0,-11.54,1.0,0.0308,0.935,5.58e-05,0.128,0.166,115.117,audio_features,5Iy1wdO0tMaHwKnfFYtlel,spotify:track:5Iy1wdO0tMaHwKnfFYtlel,https://api.spotify.com/v1/tracks/5Iy1wdO0tMaHwKnfFYtlel,https://api.spotify.com/v1/audio-analysis/5Iy1wdO0tMaHwKnfFYtlel,240400.0,3.0
Faithless,Ewan J Phillips,245553,british singer-songwriter,0.395,0.338,1.0,-9.689,1.0,0.0507,0.547,0.0,0.0959,0.12,147.557,audio_features,2kqznqoGk7yjTcCAOGSx1z,spotify:track:2kqznqoGk7yjTcCAOGSx1z,https://api.spotify.com/v1/tracks/2kqznqoGk7yjTcCAOGSx1z,https://api.spotify.com/v1/audio-analysis/2kqznqoGk7yjTcCAOGSx1z,245554.0,4.0
I Wish I Was the Moon,Ewan J Phillips,26295167,british singer-songwriter,0.396,0.315,1.0,-11.801,0.0,0.0346,0.879,0.0603,0.0953,0.081,99.432,audio_features,2nmFD5rJ9YXAlPjUaIgLFT,spotify:track:2nmFD5rJ9YXAlPjUaIgLFT,https://api.spotify.com/v1/tracks/2nmFD5rJ9YXAlPjUaIgLFT,https://api.spotify.com/v1/audio-analysis/2nmFD5rJ9YXAlPjUaIgLFT,218231.0,3.0
Lil' Mama,Ewan J Phillips,174240,british singer-songwriter,0.609,0.821,9.0,-6.704,1.0,0.2,0.21,0.00148,0.589,0.889,170.037,audio_features,5gGhu72GjMKwzGszk8Ded8,spotify:track:5gGhu72GjMKwzGszk8Ded8,https://api.spotify.com/v1/tracks/5gGhu72GjMKwzGszk8Ded8,https://api.spotify.com/v1/audio-analysis/5gGhu72GjMKwzGszk8Ded8,174240.0,4.0
Milk & Honey - Alt Version,Billie Marten,1277029,british singer-songwriter,0.318,0.193,11.0,-14.794,0.0,0.0573,0.949,0.0328,0.095,0.0753,170.414,audio_features,35ZHHlrMKr7CijbD239b0g,spotify:track:35ZHHlrMKr7CijbD239b0g,https://api.spotify.com/v1/tracks/35ZHHlrMKr7CijbD239b0g,https://api.spotify.com/v1/audio-analysis/35ZHHlrMKr7CijbD239b0g,288493.0,3.0
Sacred,Ewan J Phillips,258514,british singer-songwriter,0.393,0.309,3.0,-10.685,1.0,0.0298,0.785,0.0011,0.169,0.119,79.913,audio_features,7LCbdFJuG3v8s7iTPJIrdY,spotify:track:7LCbdFJuG3v8s7iTPJIrdY,https://api.spotify.com/v1/tracks/7LCbdFJuG3v8s7iTPJIrdY,https://api.spotify.com/v1/audio-analysis/7LCbdFJuG3v8s7iTPJIrdY,258515.0,4.0
Something in the Middle,Ewan J Phillips,228329,british singer-songwriter,0.409,0.0914,3.0,-15.083,1.0,0.0555,0.937,0.0,0.0986,0.141,74.83,audio_features,2SbPc5lSVw6TbOTMGJ4C2G,spotify:track:2SbPc5lSVw6TbOTMGJ4C2G,https://api.spotify.com/v1/tracks/2SbPc5lSVw6TbOTMGJ4C2G,https://api.spotify.com/v1/audio-analysis/2SbPc5lSVw6TbOTMGJ4C2G,233000.0,4.0
Strangers in the Night,Ewan J Phillips,183445,british singer-songwriter,0.288,0.346,9.0,-10.101,0.0,0.0338,0.728,0.00016,0.108,0.162,131.333,audio_features,1GwHtIWyD6bks89tRLUcyV,spotify:track:1GwHtIWyD6bks89tRLUcyV,https://api.spotify.com/v1/tracks/1GwHtIWyD6bks89tRLUcyV,https://api.spotify.com/v1/audio-analysis/1GwHtIWyD6bks89tRLUcyV,183445.0,4.0
Teeth,Billie Marten,1951026,british singer-songwriter,0.453,0.0528,0.0,-20.073,1.0,0.0442,0.973,0.000252,0.092,0.236,132.771,audio_features,6li7eXyxXMOlXjc4ckoc1f,spotify:track:6li7eXyxXMOlXjc4ckoc1f,https://api.spotify.com/v1/tracks/6li7eXyxXMOlXjc4ckoc1f,https://api.spotify.com/v1/audio-analysis/6li7eXyxXMOlXjc4ckoc1f,321880.0,4.0
The Greatest Story,Ewan J Phillips,199620,british singer-songwriter,0.502,0.433,7.0,-9.425,1.0,0.11,0.596,0.0,0.096,0.545,175.726,audio_features,5dHGtVZCjDAXfzCaXl6fSK,spotify:track:5dHGtVZCjDAXfzCaXl6fSK,https://api.spotify.com/v1/tracks/5dHGtVZCjDAXfzCaXl6fSK,https://api.spotify.com/v1/audio-analysis/5dHGtVZCjDAXfzCaXl6fSK,199621.0,4.0
We Are Not Our Fathers,Ewan J Phillips,190378,british singer-songwriter,0.393,0.297,0.0,-11.143,0.0,0.0366,0.598,0.000436,0.249,0.192,126.755,audio_features,0c2QSnUu7pClTD0dbbIpe0,spotify:track:0c2QSnUu7pClTD0dbbIpe0,https://api.spotify.com/v1/tracks/0c2QSnUu7pClTD0dbbIpe0,https://api.spotify.com/v1/audio-analysis/0c2QSnUu7pClTD0dbbIpe0,190379.0,4.0
Would You Love Me the Same,Ewan J Phillips,324357,british singer-songwriter,0.358,0.557,6.0,-7.689,0.0,0.0431,0.224,2.17e-05,0.0766,0.318,134.052,audio_features,1psGGiX1fu4fRuyh8Pj2Ii,spotify:track:1psGGiX1fu4fRuyh8Pj2Ii,https://api.spotify.com/v1/tracks/1psGGiX1fu4fRuyh8Pj2Ii,https://api.spotify.com/v1/audio-analysis/1psGGiX1fu4fRuyh8Pj2Ii,182646.0,4.0
Afterlife,Ewan J Phillips,227777,british singer-songwriter,0.342,0.279,1.0,-11.252,1.0,0.0376,0.521,0.00053,0.157,0.235,71.766,audio_features,1MEZDVBm70AGVtvLLgskr8,spotify:track:1MEZDVBm70AGVtvLLgskr8,https://api.spotify.com/v1/tracks/1MEZDVBm70AGVtvLLgskr8,https://api.spotify.com/v1/audio-analysis/1MEZDVBm70AGVtvLLgskr8,227778.0,1.0
Are We Gonna Be Alright,Ewan J Phillips,553056,british singer-songwriter,0.348,0.168,7.0,-14.805,1.0,0.0398,0.78,0.00199,0.504,0.0618,132.206,audio_features,4P04JqCLPPMBBCVU50w6Iz,spotify:track:4P04JqCLPPMBBCVU50w6Iz,https://api.spotify.com/v1/tracks/4P04JqCLPPMBBCVU50w6Iz,https://api.spotify.com/v1/audio-analysis/4P04JqCLPPMBBCVU50w6Iz,553056.0,4.0
Born Survivor,Ewan J Phillips,208103,british singer-songwriter,0.415,0.505,4.0,-7.047,1.0,0.0374,0.0614,6.49e-06,0.138,0.237,131.551,audio_features,1IBCGym6pzPqf9pAZDso4w,spotify:track:1IBCGym6pzPqf9pAZDso4w,https://api.spotify.com/v1/tracks/1IBCGym6pzPqf9pAZDso4w,https://api.spotify.com/v1/audio-analysis/1IBCGym6pzPqf9pAZDso4w,208104.0,3.0
Cursive,Billie Marten,1275711,british singer-songwriter,0.494,0.267,0.0,-11.54,1.0,0.0308,0.935,5.58e-05,0.128,0.166,115.117,audio_features,5Iy1wdO0tMaHwKnfFYtlel,spotify:track:5Iy1wdO0tMaHwKnfFYtlel,https://api.spotify.com/v1/tracks/5Iy1wdO0tMaHwKnfFYtlel,https://api.spotify.com/v1/audio-analysis/5Iy1wdO0tMaHwKnfFYtlel,240400.0,3.0
Faithless,Ewan J Phillips,245553,british singer-songwriter,0.395,0.338,1.0,-9.689,1.0,0.0507,0.547,0.0,0.0959,0.12,147.557,audio_features,2kqznqoGk7yjTcCAOGSx1z,spotify:track:2kqznqoGk7yjTcCAOGSx1z,https://api.spotify.com/v1/tracks/2kqznqoGk7yjTcCAOGSx1z,https://api.spotify.com/v1/audio-analysis/2kqznqoGk7yjTcCAOGSx1z,245554.0,4.0
I Wish I Was the Moon,Ewan J Phillips,26295167,british singer-songwriter,0.396,0.315,1.0,-11.801,0.0,0.0346,0.879,0.0603,0.0953,0.081,99.432,audio_features,2nmFD5rJ9YXAlPjUaIgLFT,spotify:track:2nmFD5rJ9YXAlPjUaIgLFT,https://api.spotify.com/v1/tracks/2nmFD5rJ9YXAlPjUaIgLFT,https://api.spotify.com/v1/audio-analysis/2nmFD5rJ9YXAlPjUaIgLFT,218231.0,3.0
Lil' Mama,Ewan J Phillips,174240,british singer-songwriter,0.609,0.821,9.0,-6.704,1.0,0.2,0.21,0.00148,0.589,0.889,170.037,audio_features,5gGhu72GjMKwzGszk8Ded8,spotify:track:5gGhu72GjMKwzGszk8Ded8,https://api.spotify.com/v1/tracks/5gGhu72GjMKwzGszk8Ded8,https://api.spotify.com/v1/audio-analysis/5gGhu72GjMKwzGszk8Ded8,174240.0,4.0
Milk & Honey - Alt Version,Billie Marten,1277029,british singer-songwriter,0.318,0.193,11.0,-14.794,0.0,0.0573,0.949,0.0328,0.095,0.0753,170.414,audio_features,35ZHHlrMKr7CijbD239b0g,spotify:track:35ZHHlrMKr7CijbD239b0g,https://api.spotify.com/v1/tracks/35ZHHlrMKr7CijbD239b0g,https://api.spotify.com/v1/audio-analysis/35ZHHlrMKr7CijbD239b0g,288493.0,3.0
Sacred,Ewan J Phillips,258514,british singer-songwriter,0.393,0.309,3.0,-10.685,1.0,0.0298,0.785,0.0011,0.169,0.119,79.913,audio_features,7LCbdFJuG3v8s7iTPJIrdY,spotify:track:7LCbdFJuG3v8s7iTPJIrdY,https://api.spotify.com/v1/tracks/7LCbdFJuG3v8s7iTPJIrdY,https://api.spotify.com/v1/audio-analysis/7LCbdFJuG3v8s7iTPJIrdY,258515.0,4.0
Something in the Middle,Ewan J Phillips,228329,british singer-songwriter,0.409,0.0914,3.0,-15.083,1.0,0.0555,0.937,0.0,0.0986,0.141,74.83,audio_features,2SbPc5lSVw6TbOTMGJ4C2G,spotify:track:2SbPc5lSVw6TbOTMGJ4C2G,https://api.spotify.com/v1/tracks/2SbPc5lSVw6TbOTMGJ4C2G,https://api.spotify.com/v1/audio-analysis/2SbPc5lSVw6TbOTMGJ4C2G,233000.0,4.0
Strangers in the Night,Ewan J Phillips,183445,british singer-songwriter,0.288,0.346,9.0,-10.101,0.0,0.0338,0.728,0.00016,0.108,0.162,131.333,audio_features,1GwHtIWyD6bks89tRLUcyV,spotify:track:1GwHtIWyD6bks89tRLUcyV,https://api.spotify.com/v1/tracks/1GwHtIWyD6bks89tRLUcyV,https://api.spotify.com/v1/audio-analysis/1GwHtIWyD6bks89tRLUcyV,183445.0,4.0
Teeth,Billie Marten,1951026,british singer-songwriter,0.453,0.0528,0.0,-20.073,1.0,0.0442,0.973,0.000252,0.092,0.236,132.771,audio_features,6li7eXyxXMOlXjc4ckoc1f,spotify:track:6li7eXyxXMOlXjc4ckoc1f,https://api.spotify.com/v1/tracks/6li7eXyxXMOlXjc4ckoc1f,https://api.spotify.com/v1/audio-analysis/6li7eXyxXMOlXjc4ckoc1f,321880.0,4.0
The Greatest Story,Ewan J Phillips,199620,british singer-songwriter,0.502,0.433,7.0,-9.425,1.0,0.11,0.596,0.0,0.096,0.545,175.726,audio_features,5dHGtVZCjDAXfzCaXl6fSK,spotify:track:5dHGtVZCjDAXfzCaXl6fSK,https://api.spotify.com/v1/tracks/5dHGtVZCjDAXfzCaXl6fSK,https://api.spotify.com/v1/audio-analysis/5dHGtVZCjDAXfzCaXl6fSK,199621.0,4.0
We Are Not Our Fathers,Ewan J Phillips,190378,british singer-songwriter,0.393,0.297,0.0,-11.143,0.0,0.0366,0.598,0.000436,0.249,0.192,126.755,audio_features,0c2QSnUu7pClTD0dbbIpe0,spotify:track:0c2QSnUu7pClTD0dbbIpe0,https://api.spotify.com/v1/tracks/0c2QSnUu7pClTD0dbbIpe0,https://api.spotify.com/v1/audio-analysis/0c2QSnUu7pClTD0dbbIpe0,190379.0,4.0
Would You Love Me the Same,Ewan J Phillips,324357,british singer-songwriter,0.358,0.557,6.0,-7.689,0.0,0.0431,0.224,2.17e-05,0.0766,0.318,134.052,audio_features,1psGGiX1fu4fRuyh8Pj2Ii,spotify:track:1psGGiX1fu4fRuyh8Pj2Ii,https://api.spotify.com/v1/tracks/1psGGiX1fu4fRuyh8Pj2Ii,https://api.spotify.com/v1/audio-analysis/1psGGiX1fu4fRuyh8Pj2Ii,182646.0,4.0
