trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Eggsy Is Back,Henry Jackman,6268,british soundtrack,0.214,0.611,1.0,-9.616,1.0,0.0425,0.148,0.85,0.0854,0.0397,118.193,audio_features,3EYbyRomsGqlLyXP1FDMzv,spotify:track:3EYbyRomsGqlLyXP1FDMzv,https://api.spotify.com/v1/tracks/3EYbyRomsGqlLyXP1FDMzv,https://api.spotify.com/v1/audio-analysis/3EYbyRomsGqlLyXP1FDMzv,350200.0,3.0
Emma,Steven Price,155661,british soundtrack,0.407,0.433,2.0,-15.331,0.0,0.0376,0.467,0.936,0.0663,0.0779,119.921,audio_features,4TuGt2O2iqrisOsNQNrL0j,spotify:track:4TuGt2O2iqrisOsNQNrL0j,https://api.spotify.com/v1/tracks/4TuGt2O2iqrisOsNQNrL0j,https://api.spotify.com/v1/audio-analysis/4TuGt2O2iqrisOsNQNrL0j,155827.0,4.0
Fight Club,Lorne Balfe,125084,british soundtrack,0.558,0.469,0.0,-13.878,0.0,0.0439,0.498,0.0472,0.0762,0.753,122.979,audio_features,2Mtd0VvFbC2mX44EvGq1cq,spotify:track:2Mtd0VvFbC2mX44EvGq1cq,https://api.spotify.com/v1/tracks/2Mtd0VvFbC2mX44EvGq1cq,https://api.spotify.com/v1/audio-analysis/2Mtd0VvFbC2mX44EvGq1cq,125133.0,4.0
Memories of Harry,Henry Jackman,19489,british soundtrack,0.211,0.119,7.0,-16.338,1.0,0.0374,0.931,0.83,0.0948,0.0542,80.765,audio_features,5GU6QMKu3YeUwb4nqfGz9m,spotify:track:5GU6QMKu3YeUwb4nqfGz9m,https://api.spotify.com/v1/tracks/5GU6QMKu3YeUwb4nqfGz9m,https://api.spotify.com/v1/audio-analysis/5GU6QMKu3YeUwb4nqfGz9m,120133.0,4.0
Where No One Goes,John Powell,164986,british soundtrack,0.553,0.778,1.0,-9.059,0.0,0.0367,0.00505,0.0502,0.356,0.229,139.983,audio_features,4FU3ZPmRf63ps3nV1d7qE8,spotify:track:4FU3ZPmRf63ps3nV1d7qE8,https://api.spotify.com/v1/tracks/4FU3ZPmRf63ps3nV1d7qE8,https://api.spotify.com/v1/audio-analysis/4FU3ZPmRf63ps3nV1d7qE8,231976.0,4.0
Eggsy Is Back,Henry Jackman,6268,british soundtrack,0.214,0.611,1.0,-9.616,1.0,0.0425,0.148,0.85,0.0854,0.0397,118.193,audio_features,3EYbyRomsGqlLyXP1FDMzv,spotify:track:3EYbyRomsGqlLyXP1FDMzv,https://api.spotify.com/v1/tracks/3EYbyRomsGqlLyXP1FDMzv,https://api.spotify.com/v1/audio-analysis/3EYbyRomsGqlLyXP1FDMzv,350200.0,3.0
Emma,Steven Price,155661,british soundtrack,0.407,0.433,2.0,-15.331,0.0,0.0376,0.467,0.936,0.0663,0.0779,119.921,audio_features,4TuGt2O2iqrisOsNQNrL0j,spotify:track:4TuGt2O2iqrisOsNQNrL0j,https://api.spotify.com/v1/tracks/4TuGt2O2iqrisOsNQNrL0j,https://api.spotify.com/v1/audio-analysis/4TuGt2O2iqrisOsNQNrL0j,155827.0,4.0
Fight Club,Lorne Balfe,125084,british soundtrack,0.558,0.469,0.0,-13.878,0.0,0.0439,0.498,0.0472,0.0762,0.753,122.979,audio_features,2Mtd0VvFbC2mX44EvGq1cq,spotify:track:2Mtd0VvFbC2mX44EvGq1cq,https://api.spotify.com/v1/tracks/2Mtd0VvFbC2mX44EvGq1cq,https://api.spotify.com/v1/audio-analysis/2Mtd0VvFbC2mX44EvGq1cq,125133.0,4.0
Memories of Harry,Henry Jackman,19489,british soundtrack,0.211,0.119,7.0,-16.338,1.0,0.0374,0.931,0.83,0.0948,0.0542,80.765,audio_features,5GU6QMKu3YeUwb4nqfGz9m,spotify:track:5GU6QMKu3YeUwb4nqfGz9m,https://api.spotify.com/v1/tracks/5GU6QMKu3YeUwb4nqfGz9m,https://api.spotify.com/v1/audio-analysis/5GU6QMKu3YeUwb4nqfGz9m,120133.0,4.0
Where No One Goes,John Powell,164986,british soundtrack,0.553,0.778,1.0,-9.059,0.0,0.0367,0.00505,0.0502,0.356,0.229,139.983,audio_features,4FU3ZPmRf63ps3nV1d7qE8,spotify:track:4FU3ZPmRf63ps3nV1d7qE8,https://api.spotify.com/v1/tracks/4FU3ZPmRf63ps3nV1d7qE8,https://api.spotify.com/v1/audio-analysis/4FU3ZPmRf63ps3nV1d7qE8,231976.0,4.0
