trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ANKLES,Jessie Reyez,187423,canadian contemporary r&b,0.514,0.749,8.0,-4.336,1.0,0.403,0.234,7.98e-05,0.19,0.416,179.623,audio_features,3ZWHzPucGUZvgNleqllzdK,spotify:track:3ZWHzPucGUZvgNleqllzdK,https://api.spotify.com/v1/tracks/3ZWHzPucGUZvgNleqllzdK,https://api.spotify.com/v1/audio-analysis/3ZWHzPucGUZvgNleqllzdK,169240.0,3.0
Blinding Lights,The Weeknd,5279785,canadian contemporary r&b,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040.0,4.0
COFFIN (feat. Eminem),Jessie Reyez,8215632,canadian contemporary r&b,0.585,0.594,9.0,-5.342,1.0,0.332,0.354,5.36e-05,0.0921,0.138,184.013,audio_features,4HqPiUgeE9z0MHLXkgUQkQ,spotify:track:4HqPiUgeE9z0MHLXkgUQkQ,https://api.spotify.com/v1/tracks/4HqPiUgeE9z0MHLXkgUQkQ,https://api.spotify.com/v1/audio-analysis/4HqPiUgeE9z0MHLXkgUQkQ,261773.0,3.0
Call Out My Name,The Weeknd,1500753,canadian contemporary r&b,0.461,0.593,1.0,-4.954,1.0,0.0356,0.17,0.0,0.307,0.175,134.17,audio_features,09mEdoA6zrmBPgTEN5qXmN,spotify:track:09mEdoA6zrmBPgTEN5qXmN,https://api.spotify.com/v1/tracks/09mEdoA6zrmBPgTEN5qXmN,https://api.spotify.com/v1/audio-analysis/09mEdoA6zrmBPgTEN5qXmN,228373.0,3.0
Dawn FM,The Weeknd,79027,canadian contemporary r&b,0.28,0.478,9.0,-8.755,0.0,0.037,0.674,5.85e-05,0.483,0.0807,111.65,audio_features,6krYS8KtmNAYyb5uTZiYW4,spotify:track:6krYS8KtmNAYyb5uTZiYW4,https://api.spotify.com/v1/tracks/6krYS8KtmNAYyb5uTZiYW4,https://api.spotify.com/v1/audio-analysis/6krYS8KtmNAYyb5uTZiYW4,96240.0,4.0
Die For You,The Weeknd,269586,canadian contemporary r&b,0.586,0.525,1.0,-7.163,0.0,0.0615,0.111,0.0,0.134,0.508,133.629,audio_features,2LBqCSwhJGcFQeTHMVGwy3,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,https://api.spotify.com/v1/tracks/2LBqCSwhJGcFQeTHMVGwy3,https://api.spotify.com/v1/audio-analysis/2LBqCSwhJGcFQeTHMVGwy3,260253.0,4.0
False Alarm,The Weeknd,1518683,canadian contemporary r&b,0.517,0.677,8.0,-6.373,0.0,0.0746,0.0324,3.37e-05,0.189,0.192,173.978,audio_features,4oeaIftdpT3JuZLcCkKmVE,spotify:track:4oeaIftdpT3JuZLcCkKmVE,https://api.spotify.com/v1/tracks/4oeaIftdpT3JuZLcCkKmVE,https://api.spotify.com/v1/audio-analysis/4oeaIftdpT3JuZLcCkKmVE,220307.0,4.0
Hurt You,The Weeknd,3013094,canadian contemporary r&b,0.476,0.718,5.0,-7.227,0.0,0.149,0.263,0.00261,0.109,0.361,183.932,audio_features,6QdnKD1zwEgyOWtkrdzlOF,spotify:track:6QdnKD1zwEgyOWtkrdzlOF,https://api.spotify.com/v1/tracks/6QdnKD1zwEgyOWtkrdzlOF,https://api.spotify.com/v1/audio-analysis/6QdnKD1zwEgyOWtkrdzlOF,230027.0,4.0
I Feel It Coming,The Weeknd,316632,canadian contemporary r&b,0.773,0.82,0.0,-5.897,0.0,0.115,0.394,0.0,0.0739,0.555,92.996,audio_features,72NrNvwMEgs8m5eR7YAiDg,spotify:track:72NrNvwMEgs8m5eR7YAiDg,https://api.spotify.com/v1/tracks/72NrNvwMEgs8m5eR7YAiDg,https://api.spotify.com/v1/audio-analysis/72NrNvwMEgs8m5eR7YAiDg,269187.0,4.0
I Was Never There,The Weeknd,28473,canadian contemporary r&b,0.323,0.737,10.0,-4.008,1.0,0.0338,0.142,0.000162,0.163,0.155,113.26,audio_features,1cKHdTo9u0ZymJdPGSh6nq,spotify:track:1cKHdTo9u0ZymJdPGSh6nq,https://api.spotify.com/v1/tracks/1cKHdTo9u0ZymJdPGSh6nq,https://api.spotify.com/v1/audio-analysis/1cKHdTo9u0ZymJdPGSh6nq,241067.0,4.0
