trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
All Eyes On Me,Conro,6708279,canadian electronic,0.761,0.644,7.0,-6.765,1.0,0.0409,0.0532,0.00146,0.0838,0.444,111.993,audio_features,680V5vxHWn2D11Yws0e12V,spotify:track:680V5vxHWn2D11Yws0e12V,https://api.spotify.com/v1/tracks/680V5vxHWn2D11Yws0e12V,https://api.spotify.com/v1/audio-analysis/680V5vxHWn2D11Yws0e12V,199286.0,4.0
luv(drunk),Conro,5488148,canadian electronic,0.807,0.836,0.0,-4.359,0.0,0.0359,0.0434,0.396,0.113,0.962,120.057,audio_features,7oJPmo2YL566okOf1RQcCp,spotify:track:7oJPmo2YL566okOf1RQcCp,https://api.spotify.com/v1/tracks/7oJPmo2YL566okOf1RQcCp,https://api.spotify.com/v1/audio-analysis/7oJPmo2YL566okOf1RQcCp,181000.0,4.0
Breathe,ZABO,814111,canadian electronic,0.561,0.547,5.0,-5.345,0.0,0.0825,0.0622,0.874,0.149,0.202,99.982,audio_features,1ME8Thb5mDmBYTI3I5f3uJ,spotify:track:1ME8Thb5mDmBYTI3I5f3uJ,https://api.spotify.com/v1/tracks/1ME8Thb5mDmBYTI3I5f3uJ,https://api.spotify.com/v1/audio-analysis/1ME8Thb5mDmBYTI3I5f3uJ,199200.0,4.0
Broken Belief,Bob Moses,693614,canadian electronic,0.466,0.919,5.0,-3.2,0.0,0.0516,6.72e-05,0.038,0.449,0.347,181.982,audio_features,583nKvZJmUVTVFHdIrF6LX,spotify:track:583nKvZJmUVTVFHdIrF6LX,https://api.spotify.com/v1/tracks/583nKvZJmUVTVFHdIrF6LX,https://api.spotify.com/v1/audio-analysis/583nKvZJmUVTVFHdIrF6LX,250802.0,4.0
Channel 43 - Radio Edit,deadmau5,362763,canadian electronic,0.641,0.773,1.0,-5.251,1.0,0.058,0.00487,0.804,0.1,0.186,128.031,audio_features,32BKtTFLWpi73DwLWWEswe,spotify:track:32BKtTFLWpi73DwLWWEswe,https://api.spotify.com/v1/tracks/32BKtTFLWpi73DwLWWEswe,https://api.spotify.com/v1/audio-analysis/32BKtTFLWpi73DwLWWEswe,184687.0,4.0
Do You Don't You,Haywyre,4035620,canadian electronic,0.849,0.723,5.0,-5.093,0.0,0.046,0.028,0.12,0.235,0.552,115.031,audio_features,55XVu6sTO9XyNEuu3OEijK,spotify:track:55XVu6sTO9XyNEuu3OEijK,https://api.spotify.com/v1/tracks/55XVu6sTO9XyNEuu3OEijK,https://api.spotify.com/v1/audio-analysis/55XVu6sTO9XyNEuu3OEijK,275478.0,4.0
Drown,Dabin,1034857,canadian electronic,0.368,0.754,1.0,-5.185,1.0,0.0502,0.00928,0.0,0.256,0.281,169.881,audio_features,4q7jvS0znF9gBVk7WblXnm,spotify:track:4q7jvS0znF9gBVk7WblXnm,https://api.spotify.com/v1/tracks/4q7jvS0znF9gBVk7WblXnm,https://api.spotify.com/v1/audio-analysis/4q7jvS0znF9gBVk7WblXnm,258679.0,4.0
Fighters,Conro,483143,canadian electronic,0.677,0.591,6.0,-9.003,0.0,0.0396,0.0255,0.000199,0.187,0.231,125.027,audio_features,1eYxa4UQo3ElMrX5n5J3CF,spotify:track:1eYxa4UQo3ElMrX5n5J3CF,https://api.spotify.com/v1/tracks/1eYxa4UQo3ElMrX5n5J3CF,https://api.spotify.com/v1/audio-analysis/1eYxa4UQo3ElMrX5n5J3CF,226560.0,4.0
Hold Up,WHIPPED CREAM,124096,canadian electronic,0.784,0.871,1.0,-2.902,0.0,0.239,0.00736,0.234,0.0833,0.303,129.903,audio_features,6AxBhyZDlChhX1lNDGCf0P,spotify:track:6AxBhyZDlChhX1lNDGCf0P,https://api.spotify.com/v1/tracks/6AxBhyZDlChhX1lNDGCf0P,https://api.spotify.com/v1/audio-analysis/6AxBhyZDlChhX1lNDGCf0P,124096.0,4.0
IDWK,DVBBS,179881,canadian electronic,0.718,0.846,1.0,-6.157,1.0,0.0354,0.0026,0.0,0.11,0.407,115.002,audio_features,5BLRlpMYsxeMMOjrcWRhIs,spotify:track:5BLRlpMYsxeMMOjrcWRhIs,https://api.spotify.com/v1/tracks/5BLRlpMYsxeMMOjrcWRhIs,https://api.spotify.com/v1/audio-analysis/5BLRlpMYsxeMMOjrcWRhIs,179999.0,4.0
