trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
edamame (feat. Rich Brian),bbno$,7432605,canadian hip hop,0.815,0.848,4.0,-4.704,0.0,0.115,0.023,0.000162,0.0265,0.684,106.032,audio_features,1uMHCAyGmHqyygoNRuo7MV,spotify:track:1uMHCAyGmHqyygoNRuo7MV,https://api.spotify.com/v1/tracks/1uMHCAyGmHqyygoNRuo7MV,https://api.spotify.com/v1/audio-analysis/1uMHCAyGmHqyygoNRuo7MV,133707.0,4.0
lie to me,Ali Gatie,2462,canadian hip hop,0.639,0.404,4.0,-7.68,0.0,0.037,0.0166,0.0,0.343,0.045,138.054,audio_features,4NUgJ9gYHuAhaT3bj9ONh3,spotify:track:4NUgJ9gYHuAhaT3bj9ONh3,https://api.spotify.com/v1/tracks/4NUgJ9gYHuAhaT3bj9ONh3,https://api.spotify.com/v1/audio-analysis/4NUgJ9gYHuAhaT3bj9ONh3,177440.0,4.0
top gun,bbno$,141133,canadian hip hop,0.572,0.881,2.0,-5.041,1.0,0.142,0.0279,3.07e-05,0.342,0.784,160.182,audio_features,7lQyUSFLyCa8o4rBxsUNPU,spotify:track:7lQyUSFLyCa8o4rBxsUNPU,https://api.spotify.com/v1/tracks/7lQyUSFLyCa8o4rBxsUNPU,https://api.spotify.com/v1/audio-analysis/7lQyUSFLyCa8o4rBxsUNPU,141133.0,4.0
Cake,88GLAM,130111,canadian hip hop,0.775,0.539,5.0,-4.303,1.0,0.0881,0.372,8.11e-06,0.225,0.624,144.966,audio_features,3ZOwmSmQKX4vTK4N6e2GsW,spotify:track:3ZOwmSmQKX4vTK4N6e2GsW,https://api.spotify.com/v1/tracks/3ZOwmSmQKX4vTK4N6e2GsW,https://api.spotify.com/v1/audio-analysis/3ZOwmSmQKX4vTK4N6e2GsW,211862.0,4.0
Can I,Drake,708535,canadian hip hop,0.643,0.178,4.0,-8.56,0.0,0.0588,0.484,0.0108,0.122,0.0674,85.042,audio_features,3e0ZGE7Gp034iLknjQk4QW,spotify:track:3e0ZGE7Gp034iLknjQk4QW,https://api.spotify.com/v1/tracks/3e0ZGE7Gp034iLknjQk4QW,https://api.spotify.com/v1/audio-analysis/3e0ZGE7Gp034iLknjQk4QW,189289.0,4.0
Do You Believe,Ali Gatie,16447,canadian hip hop,0.665,0.707,11.0,-5.144,1.0,0.03,0.193,0.0,0.219,0.391,144.952,audio_features,71TRhiwsRckqoqO9CcDIE6,spotify:track:71TRhiwsRckqoqO9CcDIE6,https://api.spotify.com/v1/tracks/71TRhiwsRckqoqO9CcDIE6,https://api.spotify.com/v1/audio-analysis/71TRhiwsRckqoqO9CcDIE6,156331.0,4.0
God's Plan,Drake,5543,canadian hip hop,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.29e-05,0.552,0.357,77.169,audio_features,6DCZcSspjsKoFjzjrWoCdn,spotify:track:6DCZcSspjsKoFjzjrWoCdn,https://api.spotify.com/v1/tracks/6DCZcSspjsKoFjzjrWoCdn,https://api.spotify.com/v1/audio-analysis/6DCZcSspjsKoFjzjrWoCdn,198973.0,4.0
Hotline Bling,Drake,82397,canadian hip hop,0.891,0.628,2.0,-7.863,1.0,0.0551,0.00258,0.00019,0.0504,0.552,134.966,audio_features,0wwPcA6wtMf6HUMpIRdeP7,spotify:track:0wwPcA6wtMf6HUMpIRdeP7,https://api.spotify.com/v1/tracks/0wwPcA6wtMf6HUMpIRdeP7,https://api.spotify.com/v1/audio-analysis/0wwPcA6wtMf6HUMpIRdeP7,267067.0,4.0
It's You,Ali Gatie,6496525,canadian hip hop,0.732,0.463,11.0,-6.972,0.0,0.0287,0.374,0.0,0.194,0.397,95.971,audio_features,5DqdesEfbRyOlSS3Tf6c29,spotify:track:5DqdesEfbRyOlSS3Tf6c29,https://api.spotify.com/v1/tracks/5DqdesEfbRyOlSS3Tf6c29,https://api.spotify.com/v1/audio-analysis/5DqdesEfbRyOlSS3Tf6c29,212607.0,4.0
Moonlight,Ali Gatie,3280,canadian hip hop,0.804,0.48,11.0,-6.662,1.0,0.0321,0.495,0.0,0.105,0.461,120.002,audio_features,6L4F4btXioJPhEwz6T7YYt,spotify:track:6L4F4btXioJPhEwz6T7YYt,https://api.spotify.com/v1/tracks/6L4F4btXioJPhEwz6T7YYt,https://api.spotify.com/v1/audio-analysis/6L4F4btXioJPhEwz6T7YYt,228854.0,4.0
One Dance,Drake,173973,canadian hip hop,0.792,0.625,1.0,-5.609,1.0,0.0536,0.00776,0.0018,0.329,0.37,103.967,audio_features,1zi7xx7UVEFkmKfv06H8x0,spotify:track:1zi7xx7UVEFkmKfv06H8x0,https://api.spotify.com/v1/tracks/1zi7xx7UVEFkmKfv06H8x0,https://api.spotify.com/v1/audio-analysis/1zi7xx7UVEFkmKfv06H8x0,173987.0,4.0
What If I Told You That I Love You,Ali Gatie,388826,canadian hip hop,0.596,0.366,7.0,-11.144,1.0,0.115,0.63,7.04e-06,0.0554,0.229,84.394,audio_features,6USdi8uX5GNAPYziFhisHb,spotify:track:6USdi8uX5GNAPYziFhisHb,https://api.spotify.com/v1/tracks/6USdi8uX5GNAPYziFhisHb,https://api.spotify.com/v1/audio-analysis/6USdi8uX5GNAPYziFhisHb,193668.0,4.0
What You Want,Belly,3120179,canadian hip hop,0.513,0.842,2.0,-3.917,1.0,0.47,0.111,0.0,0.0955,0.3,163.954,audio_features,2IYe9rxH98uKdiyXXqrDrr,spotify:track:2IYe9rxH98uKdiyXXqrDrr,https://api.spotify.com/v1/tracks/2IYe9rxH98uKdiyXXqrDrr,https://api.spotify.com/v1/audio-analysis/2IYe9rxH98uKdiyXXqrDrr,192680.0,4.0
edamame (feat. Rich Brian),bbno$,7432605,canadian hip hop,0.815,0.848,4.0,-4.704,0.0,0.115,0.023,0.000162,0.0265,0.684,106.032,audio_features,1uMHCAyGmHqyygoNRuo7MV,spotify:track:1uMHCAyGmHqyygoNRuo7MV,https://api.spotify.com/v1/tracks/1uMHCAyGmHqyygoNRuo7MV,https://api.spotify.com/v1/audio-analysis/1uMHCAyGmHqyygoNRuo7MV,133707.0,4.0
lie to me,Ali Gatie,2462,canadian hip hop,0.639,0.404,4.0,-7.68,0.0,0.037,0.0166,0.0,0.343,0.045,138.054,audio_features,4NUgJ9gYHuAhaT3bj9ONh3,spotify:track:4NUgJ9gYHuAhaT3bj9ONh3,https://api.spotify.com/v1/tracks/4NUgJ9gYHuAhaT3bj9ONh3,https://api.spotify.com/v1/audio-analysis/4NUgJ9gYHuAhaT3bj9ONh3,177440.0,4.0
top gun,bbno$,141133,canadian hip hop,0.572,0.881,2.0,-5.041,1.0,0.142,0.0279,3.07e-05,0.342,0.784,160.182,audio_features,7lQyUSFLyCa8o4rBxsUNPU,spotify:track:7lQyUSFLyCa8o4rBxsUNPU,https://api.spotify.com/v1/tracks/7lQyUSFLyCa8o4rBxsUNPU,https://api.spotify.com/v1/audio-analysis/7lQyUSFLyCa8o4rBxsUNPU,141133.0,4.0
Cake,88GLAM,130111,canadian hip hop,0.775,0.539,5.0,-4.303,1.0,0.0881,0.372,8.11e-06,0.225,0.624,144.966,audio_features,3ZOwmSmQKX4vTK4N6e2GsW,spotify:track:3ZOwmSmQKX4vTK4N6e2GsW,https://api.spotify.com/v1/tracks/3ZOwmSmQKX4vTK4N6e2GsW,https://api.spotify.com/v1/audio-analysis/3ZOwmSmQKX4vTK4N6e2GsW,211862.0,4.0
