trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Beach Baby,Bon Iver,320186,chamber pop,0.669,0.0809,0.0,-17.282,1.0,0.0365,0.983,0.41,0.114,0.0922,114.355,audio_features,2LXtyj95dK56ENS1QLt4IB,spotify:track:2LXtyj95dK56ENS1QLt4IB,https://api.spotify.com/v1/tracks/2LXtyj95dK56ENS1QLt4IB,https://api.spotify.com/v1/audio-analysis/2LXtyj95dK56ENS1QLt4IB,160093.0,3.0
Goliath,Woodkid,570344,chamber pop,0.484,0.589,5.0,-9.257,0.0,0.073,0.44,0.111,0.131,0.147,118.019,audio_features,3TdQ399gmy71IUdz3DoaO4,spotify:track:3TdQ399gmy71IUdz3DoaO4,https://api.spotify.com/v1/tracks/3TdQ399gmy71IUdz3DoaO4,https://api.spotify.com/v1/audio-analysis/3TdQ399gmy71IUdz3DoaO4,230827.0,4.0
I Am the Antichrist to You,Kishi Bashi,236246,chamber pop,0.329,0.265,3.0,-13.619,1.0,0.0429,0.748,0.0319,0.101,0.304,168.693,audio_features,3tnfHy341CDlAtcSmUtuOG,spotify:track:3tnfHy341CDlAtcSmUtuOG,https://api.spotify.com/v1/tracks/3tnfHy341CDlAtcSmUtuOG,https://api.spotify.com/v1/audio-analysis/3tnfHy341CDlAtcSmUtuOG,236246.0,5.0
Pale Yellow,Woodkid,104788,chamber pop,0.53,0.433,4.0,-10.494,0.0,0.0482,0.281,0.00746,0.116,0.0587,120.944,audio_features,5m3EiF9WJgMV1hlBzUncPo,spotify:track:5m3EiF9WJgMV1hlBzUncPo,https://api.spotify.com/v1/tracks/5m3EiF9WJgMV1hlBzUncPo,https://api.spotify.com/v1/audio-analysis/5m3EiF9WJgMV1hlBzUncPo,250040.0,4.0
Penny Rabbit and Summer Bear,Kishi Bashi,7413773,chamber pop,0.437,0.563,7.0,-7.91,1.0,0.0283,0.596,0.00413,0.23,0.314,110.266,audio_features,2DD9LNVKrcw1wt7m2dG4pS,spotify:track:2DD9LNVKrcw1wt7m2dG4pS,https://api.spotify.com/v1/tracks/2DD9LNVKrcw1wt7m2dG4pS,https://api.spotify.com/v1/audio-analysis/2DD9LNVKrcw1wt7m2dG4pS,213587.0,4.0
Skinny Love,Bon Iver,1431120,chamber pop,0.592,0.263,4.0,-14.029,0.0,0.0568,0.845,5.68e-06,0.127,0.109,76.366,audio_features,3B3eOgLJSqPEA0RfboIQVM,spotify:track:3B3eOgLJSqPEA0RfboIQVM,https://api.spotify.com/v1/tracks/3B3eOgLJSqPEA0RfboIQVM,https://api.spotify.com/v1/audio-analysis/3B3eOgLJSqPEA0RfboIQVM,238520.0,4.0
The Bottom of It,Fruit Bats,181202,chamber pop,0.631,0.625,0.0,-10.73,1.0,0.0374,0.134,0.0196,0.117,0.305,155.987,audio_features,6tZetCGfhxPh5ZIKCGmaKq,spotify:track:6tZetCGfhxPh5ZIKCGmaKq,https://api.spotify.com/v1/tracks/6tZetCGfhxPh5ZIKCGmaKq,https://api.spotify.com/v1/audio-analysis/6tZetCGfhxPh5ZIKCGmaKq,181400.0,4.0
The Funeral,Band of Horses,204516,chamber pop,0.319,0.757,0.0,-6.117,0.0,0.0432,0.016,0.0,0.102,0.101,122.465,audio_features,5lRzWDEe7UuedU2QPsFg0K,spotify:track:5lRzWDEe7UuedU2QPsFg0K,https://api.spotify.com/v1/tracks/5lRzWDEe7UuedU2QPsFg0K,https://api.spotify.com/v1/audio-analysis/5lRzWDEe7UuedU2QPsFg0K,322173.0,4.0
Beach Baby,Bon Iver,320186,chamber pop,0.669,0.0809,0.0,-17.282,1.0,0.0365,0.983,0.41,0.114,0.0922,114.355,audio_features,2LXtyj95dK56ENS1QLt4IB,spotify:track:2LXtyj95dK56ENS1QLt4IB,https://api.spotify.com/v1/tracks/2LXtyj95dK56ENS1QLt4IB,https://api.spotify.com/v1/audio-analysis/2LXtyj95dK56ENS1QLt4IB,160093.0,3.0
Goliath,Woodkid,570344,chamber pop,0.484,0.589,5.0,-9.257,0.0,0.073,0.44,0.111,0.131,0.147,118.019,audio_features,3TdQ399gmy71IUdz3DoaO4,spotify:track:3TdQ399gmy71IUdz3DoaO4,https://api.spotify.com/v1/tracks/3TdQ399gmy71IUdz3DoaO4,https://api.spotify.com/v1/audio-analysis/3TdQ399gmy71IUdz3DoaO4,230827.0,4.0
