trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Bonnie And Clyde,Brigitte Bardot,256000,chanson,0.349,0.575,5.0,-12.029,1.0,0.0546,0.0064,0.242,0.122,0.565,97.236,audio_features,358jMpTqOfIOYjpcg2Ig2j,spotify:track:358jMpTqOfIOYjpcg2Ig2j,https://api.spotify.com/v1/tracks/358jMpTqOfIOYjpcg2Ig2j,https://api.spotify.com/v1/audio-analysis/358jMpTqOfIOYjpcg2Ig2j,256000.0,4.0
Comment te dire adieu - Remasterisé en 2016,Françoise Hardy,148506,chanson,0.711,0.586,10.0,-9.78,0.0,0.0514,0.435,6.48e-06,0.15,0.931,124.058,audio_features,6g5qyQrAcoBX4X7XjxBoTO,spotify:track:6g5qyQrAcoBX4X7XjxBoTO,https://api.spotify.com/v1/tracks/6g5qyQrAcoBX4X7XjxBoTO,https://api.spotify.com/v1/audio-analysis/6g5qyQrAcoBX4X7XjxBoTO,148507.0,4.0
La Vie en rose,Édith Piaf,339743,chanson,0.371,0.278,7.0,-8.596,0.0,0.0303,0.981,0.0,0.272,0.338,82.331,audio_features,3lAun9V0YdTlCSIEXPvfsY,spotify:track:3lAun9V0YdTlCSIEXPvfsY,https://api.spotify.com/v1/tracks/3lAun9V0YdTlCSIEXPvfsY,https://api.spotify.com/v1/audio-analysis/3lAun9V0YdTlCSIEXPvfsY,187733.0,4.0
Le temps de l'amour,Françoise Hardy,144826,chanson,0.586,0.412,8.0,-10.116,0.0,0.0334,0.798,0.0,0.152,0.706,132.199,audio_features,6rqUOLt9dpfMANLMKTzoWj,spotify:track:6rqUOLt9dpfMANLMKTzoWj,https://api.spotify.com/v1/tracks/6rqUOLt9dpfMANLMKTzoWj,https://api.spotify.com/v1/audio-analysis/6rqUOLt9dpfMANLMKTzoWj,144827.0,4.0
Les Amants d'un jour,Édith Piaf,2127,chanson,0.48,0.332,2.0,-6.935,1.0,0.0352,0.828,0.0,0.132,0.655,113.946,audio_features,5mUXRXoNWdGAanuNCk6VBQ,spotify:track:5mUXRXoNWdGAanuNCk6VBQ,https://api.spotify.com/v1/tracks/5mUXRXoNWdGAanuNCk6VBQ,https://api.spotify.com/v1/audio-analysis/5mUXRXoNWdGAanuNCk6VBQ,194227.0,4.0
Padam padam,Édith Piaf,3768,chanson,0.385,0.283,5.0,-8.013,0.0,0.0546,0.78,0.0,0.0726,0.557,179.547,audio_features,194uD6fRM58ztn7Z1Mfyr2,spotify:track:194uD6fRM58ztn7Z1Mfyr2,https://api.spotify.com/v1/tracks/194uD6fRM58ztn7Z1Mfyr2,https://api.spotify.com/v1/audio-analysis/194uD6fRM58ztn7Z1Mfyr2,197627.0,3.0
Bonnie And Clyde,Brigitte Bardot,256000,chanson,0.349,0.575,5.0,-12.029,1.0,0.0546,0.0064,0.242,0.122,0.565,97.236,audio_features,358jMpTqOfIOYjpcg2Ig2j,spotify:track:358jMpTqOfIOYjpcg2Ig2j,https://api.spotify.com/v1/tracks/358jMpTqOfIOYjpcg2Ig2j,https://api.spotify.com/v1/audio-analysis/358jMpTqOfIOYjpcg2Ig2j,256000.0,4.0
Comment te dire adieu - Remasterisé en 2016,Françoise Hardy,148506,chanson,0.711,0.586,10.0,-9.78,0.0,0.0514,0.435,6.48e-06,0.15,0.931,124.058,audio_features,6g5qyQrAcoBX4X7XjxBoTO,spotify:track:6g5qyQrAcoBX4X7XjxBoTO,https://api.spotify.com/v1/tracks/6g5qyQrAcoBX4X7XjxBoTO,https://api.spotify.com/v1/audio-analysis/6g5qyQrAcoBX4X7XjxBoTO,148507.0,4.0
La Vie en rose,Édith Piaf,339743,chanson,0.371,0.278,7.0,-8.596,0.0,0.0303,0.981,0.0,0.272,0.338,82.331,audio_features,3lAun9V0YdTlCSIEXPvfsY,spotify:track:3lAun9V0YdTlCSIEXPvfsY,https://api.spotify.com/v1/tracks/3lAun9V0YdTlCSIEXPvfsY,https://api.spotify.com/v1/audio-analysis/3lAun9V0YdTlCSIEXPvfsY,187733.0,4.0
Le temps de l'amour,Françoise Hardy,144826,chanson,0.586,0.412,8.0,-10.116,0.0,0.0334,0.798,0.0,0.152,0.706,132.199,audio_features,6rqUOLt9dpfMANLMKTzoWj,spotify:track:6rqUOLt9dpfMANLMKTzoWj,https://api.spotify.com/v1/tracks/6rqUOLt9dpfMANLMKTzoWj,https://api.spotify.com/v1/audio-analysis/6rqUOLt9dpfMANLMKTzoWj,144827.0,4.0
Les Amants d'un jour,Édith Piaf,2127,chanson,0.48,0.332,2.0,-6.935,1.0,0.0352,0.828,0.0,0.132,0.655,113.946,audio_features,5mUXRXoNWdGAanuNCk6VBQ,spotify:track:5mUXRXoNWdGAanuNCk6VBQ,https://api.spotify.com/v1/tracks/5mUXRXoNWdGAanuNCk6VBQ,https://api.spotify.com/v1/audio-analysis/5mUXRXoNWdGAanuNCk6VBQ,194227.0,4.0
Padam padam,Édith Piaf,3768,chanson,0.385,0.283,5.0,-8.013,0.0,0.0546,0.78,0.0,0.0726,0.557,179.547,audio_features,194uD6fRM58ztn7Z1Mfyr2,spotify:track:194uD6fRM58ztn7Z1Mfyr2,https://api.spotify.com/v1/tracks/194uD6fRM58ztn7Z1Mfyr2,https://api.spotify.com/v1/audio-analysis/194uD6fRM58ztn7Z1Mfyr2,197627.0,3.0
