trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Arcadia MIX,LXST CXNTURY,8547389,chill phonk,0.479,0.82,11.0,-7.142,0.0,0.064,0.0128,0.66,0.109,0.246,138.518,audio_features,0IX9PmqxgSTUVtLhHkqQ3H,spotify:track:0IX9PmqxgSTUVtLhHkqQ3H,https://api.spotify.com/v1/tracks/0IX9PmqxgSTUVtLhHkqQ3H,https://api.spotify.com/v1/audio-analysis/0IX9PmqxgSTUVtLhHkqQ3H,1847210.0,4.0
BLOODY TEAR,LXST CXNTURY,530685,chill phonk,0.615,0.866,1.0,-4.118,1.0,0.0505,0.000922,0.142,0.111,0.499,150.063,audio_features,1KRWGLfiCqIskrZbl3pOhJ,spotify:track:1KRWGLfiCqIskrZbl3pOhJ,https://api.spotify.com/v1/tracks/1KRWGLfiCqIskrZbl3pOhJ,https://api.spotify.com/v1/audio-analysis/1KRWGLfiCqIskrZbl3pOhJ,159942.0,4.0
Blur,LXST CXNTURY,1614046,chill phonk,0.697,0.861,1.0,-5.849,1.0,0.0415,0.00385,0.0417,0.115,0.263,139.948,audio_features,4sF0Tp1WNRHyTXiz4bqGTU,spotify:track:4sF0Tp1WNRHyTXiz4bqGTU,https://api.spotify.com/v1/tracks/4sF0Tp1WNRHyTXiz4bqGTU,https://api.spotify.com/v1/audio-analysis/4sF0Tp1WNRHyTXiz4bqGTU,214304.0,4.0
Close Eyes,DVRST,1038724,chill phonk,0.784,0.572,0.0,-9.853,1.0,0.0573,0.0748,0.843,0.139,0.209,96.181,audio_features,3CLSHJv5aUROAN2vfOyCOh,spotify:track:3CLSHJv5aUROAN2vfOyCOh,https://api.spotify.com/v1/tracks/3CLSHJv5aUROAN2vfOyCOh,https://api.spotify.com/v1/audio-analysis/3CLSHJv5aUROAN2vfOyCOh,132346.0,4.0
EUPHORIA,DVRKLXGHT,183134,chill phonk,0.755,0.723,2.0,-2.892,1.0,0.0329,0.00288,0.532,0.137,0.2,109.985,audio_features,3BNv1ZzyYexaVGUYkEYSRI,spotify:track:3BNv1ZzyYexaVGUYkEYSRI,https://api.spotify.com/v1/tracks/3BNv1ZzyYexaVGUYkEYSRI,https://api.spotify.com/v1/audio-analysis/3BNv1ZzyYexaVGUYkEYSRI,183273.0,4.0
ODIUM,LXST CXNTURY,1692923,chill phonk,0.708,0.781,11.0,-8.267,0.0,0.0638,0.163,0.885,0.392,0.345,74.997,audio_features,4yyX0nJqMpqaubcGdGsxx9,spotify:track:4yyX0nJqMpqaubcGdGsxx9,https://api.spotify.com/v1/tracks/4yyX0nJqMpqaubcGdGsxx9,https://api.spotify.com/v1/audio-analysis/4yyX0nJqMpqaubcGdGsxx9,166579.0,4.0
Twilight,GRAVECHILL,348136,chill phonk,0.889,0.884,4.0,-4.323,1.0,0.0379,0.0111,0.804,0.0999,0.789,124.003,audio_features,1Y5MJnYsIi3Qlifvss4jPI,spotify:track:1Y5MJnYsIi3Qlifvss4jPI,https://api.spotify.com/v1/tracks/1Y5MJnYsIi3Qlifvss4jPI,https://api.spotify.com/v1/audio-analysis/1Y5MJnYsIi3Qlifvss4jPI,116129.0,4.0
Arcadia MIX,LXST CXNTURY,8547389,chill phonk,0.479,0.82,11.0,-7.142,0.0,0.064,0.0128,0.66,0.109,0.246,138.518,audio_features,0IX9PmqxgSTUVtLhHkqQ3H,spotify:track:0IX9PmqxgSTUVtLhHkqQ3H,https://api.spotify.com/v1/tracks/0IX9PmqxgSTUVtLhHkqQ3H,https://api.spotify.com/v1/audio-analysis/0IX9PmqxgSTUVtLhHkqQ3H,1847210.0,4.0
BLOODY TEAR,LXST CXNTURY,530685,chill phonk,0.615,0.866,1.0,-4.118,1.0,0.0505,0.000922,0.142,0.111,0.499,150.063,audio_features,1KRWGLfiCqIskrZbl3pOhJ,spotify:track:1KRWGLfiCqIskrZbl3pOhJ,https://api.spotify.com/v1/tracks/1KRWGLfiCqIskrZbl3pOhJ,https://api.spotify.com/v1/audio-analysis/1KRWGLfiCqIskrZbl3pOhJ,159942.0,4.0
Blur,LXST CXNTURY,1614046,chill phonk,0.697,0.861,1.0,-5.849,1.0,0.0415,0.00385,0.0417,0.115,0.263,139.948,audio_features,4sF0Tp1WNRHyTXiz4bqGTU,spotify:track:4sF0Tp1WNRHyTXiz4bqGTU,https://api.spotify.com/v1/tracks/4sF0Tp1WNRHyTXiz4bqGTU,https://api.spotify.com/v1/audio-analysis/4sF0Tp1WNRHyTXiz4bqGTU,214304.0,4.0
