trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Affection,Fiji Blue,174949,chill pop,0.827,0.49,10.0,-8.37,0.0,0.055,0.321,0.000137,0.095,0.836,113.002,audio_features,5eLjgK8JT276Xs8500KdEn,spotify:track:5eLjgK8JT276Xs8500KdEn,https://api.spotify.com/v1/tracks/5eLjgK8JT276Xs8500KdEn,https://api.spotify.com/v1/audio-analysis/5eLjgK8JT276Xs8500KdEn,174211.0,4.0
Another Love,Tom Odell,2957271,chill pop,0.445,0.537,4.0,-8.532,0.0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,audio_features,3JvKfv6T31zO0ini8iNItO,spotify:track:3JvKfv6T31zO0ini8iNItO,https://api.spotify.com/v1/tracks/3JvKfv6T31zO0ini8iNItO,https://api.spotify.com/v1/audio-analysis/3JvKfv6T31zO0ini8iNItO,244360.0,4.0
Bad,Mokita,169849,chill pop,0.758,0.666,4.0,-6.352,1.0,0.0655,0.402,3.48e-06,0.0832,0.77,100.067,audio_features,24UjSTjySpODo1lqIvPWGg,spotify:track:24UjSTjySpODo1lqIvPWGg,https://api.spotify.com/v1/tracks/24UjSTjySpODo1lqIvPWGg,https://api.spotify.com/v1/audio-analysis/24UjSTjySpODo1lqIvPWGg,170562.0,4.0
colorblind,Mokita,890582,chill pop,0.661,0.776,8.0,-5.054,1.0,0.0366,0.125,0.000152,0.119,0.17,145.993,audio_features,4o3XxiQ9BljY4OU38zanC0,spotify:track:4o3XxiQ9BljY4OU38zanC0,https://api.spotify.com/v1/tracks/4o3XxiQ9BljY4OU38zanC0,https://api.spotify.com/v1/audio-analysis/4o3XxiQ9BljY4OU38zanC0,193977.0,4.0
down,Mokita,1050277,chill pop,0.524,0.391,4.0,-9.021,1.0,0.041,0.789,0.0,0.0869,0.143,148.009,audio_features,7mOcLhVf0Aj6pIfi3LcSNW,spotify:track:7mOcLhVf0Aj6pIfi3LcSNW,https://api.spotify.com/v1/tracks/7mOcLhVf0Aj6pIfi3LcSNW,https://api.spotify.com/v1/audio-analysis/7mOcLhVf0Aj6pIfi3LcSNW,194680.0,4.0
sleepwalking,Mokita,433799,chill pop,0.55,0.534,6.0,-7.157,1.0,0.0284,0.454,9.04e-06,0.0722,0.407,80.003,audio_features,4VLX1i52yOU3uDUz3xYNgz,spotify:track:4VLX1i52yOU3uDUz3xYNgz,https://api.spotify.com/v1/tracks/4VLX1i52yOU3uDUz3xYNgz,https://api.spotify.com/v1/audio-analysis/4VLX1i52yOU3uDUz3xYNgz,215979.0,4.0
speeding up,Mokita,283813,chill pop,0.535,0.578,4.0,-8.088,1.0,0.0689,0.764,0.195,0.0967,0.487,111.588,audio_features,6LxK2qgFfhulANhRHLBaDj,spotify:track:6LxK2qgFfhulANhRHLBaDj,https://api.spotify.com/v1/tracks/6LxK2qgFfhulANhRHLBaDj,https://api.spotify.com/v1/audio-analysis/6LxK2qgFfhulANhRHLBaDj,193924.0,4.0
Broken Parts,Mokita,204340,chill pop,0.562,0.732,11.0,-6.43,1.0,0.0375,0.0556,1.24e-05,0.2,0.752,141.95,audio_features,6gqFm9Dl2sc0XtsJT364LH,spotify:track:6gqFm9Dl2sc0XtsJT364LH,https://api.spotify.com/v1/tracks/6gqFm9Dl2sc0XtsJT364LH,https://api.spotify.com/v1/audio-analysis/6gqFm9Dl2sc0XtsJT364LH,204405.0,4.0
Clear Eyes,Mokita,175056,chill pop,0.605,0.251,0.0,-15.06,1.0,0.0437,0.857,5.43e-05,0.113,0.379,139.585,audio_features,7EhrDmXMFO3CzMwyJkKGXF,spotify:track:7EhrDmXMFO3CzMwyJkKGXF,https://api.spotify.com/v1/tracks/7EhrDmXMFO3CzMwyJkKGXF,https://api.spotify.com/v1/audio-analysis/7EhrDmXMFO3CzMwyJkKGXF,175266.0,4.0
Crash,Mokita,11196655,chill pop,0.696,0.678,6.0,-5.679,0.0,0.0391,0.441,0.0,0.069,0.517,146.998,audio_features,2K2Fn8vJzgGUG9JMmPFYC3,spotify:track:2K2Fn8vJzgGUG9JMmPFYC3,https://api.spotify.com/v1/tracks/2K2Fn8vJzgGUG9JMmPFYC3,https://api.spotify.com/v1/audio-analysis/2K2Fn8vJzgGUG9JMmPFYC3,168274.0,4.0
