trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ANGOSTURA,keshi,171018,chill r&b,0.536,0.659,6.0,-9.732,1.0,0.0483,0.406,0.004,0.107,0.199,170.035,audio_features,38umMmZQdeoOG7Zojor4g3,spotify:track:38umMmZQdeoOG7Zojor4g3,https://api.spotify.com/v1/tracks/38umMmZQdeoOG7Zojor4g3,https://api.spotify.com/v1/audio-analysis/38umMmZQdeoOG7Zojor4g3,171020.0,4.0
drunk,keshi,2362823,chill r&b,0.691,0.389,4.0,-8.247,1.0,0.0367,0.765,0.0,0.0941,0.306,104.952,audio_features,6D6HVKe7Qu3imn4zzJD0W9,spotify:track:6D6HVKe7Qu3imn4zzJD0W9,https://api.spotify.com/v1/tracks/6D6HVKe7Qu3imn4zzJD0W9,https://api.spotify.com/v1/audio-analysis/6D6HVKe7Qu3imn4zzJD0W9,227032.0,4.0
more,keshi,185891,chill r&b,0.565,0.707,5.0,-4.98,1.0,0.0357,0.568,0.0,0.374,0.401,79.973,audio_features,24Sqz5FNuD6D5Utxeg4DmK,spotify:track:24Sqz5FNuD6D5Utxeg4DmK,https://api.spotify.com/v1/tracks/24Sqz5FNuD6D5Utxeg4DmK,https://api.spotify.com/v1/audio-analysis/24Sqz5FNuD6D5Utxeg4DmK,184011.0,4.0
Crush On You,Finding Hope,435859,chill r&b,0.636,0.288,1.0,-13.341,1.0,0.0583,0.888,0.184,0.109,0.289,140.07,audio_features,0FDO64bveqjfNEIalB7HUr,spotify:track:0FDO64bveqjfNEIalB7HUr,https://api.spotify.com/v1/tracks/0FDO64bveqjfNEIalB7HUr,https://api.spotify.com/v1/audio-analysis/0FDO64bveqjfNEIalB7HUr,241714.0,4.0
Rain,Lucy Park,6094768,chill r&b,0.716,0.231,0.0,-14.739,1.0,0.0527,0.86,0.0393,0.112,0.231,107.049,audio_features,72afDNRJsldkG7R02rRdA1,spotify:track:72afDNRJsldkG7R02rRdA1,https://api.spotify.com/v1/tracks/72afDNRJsldkG7R02rRdA1,https://api.spotify.com/v1/audio-analysis/72afDNRJsldkG7R02rRdA1,151150.0,4.0
Rose,Finding Hope,126211,chill r&b,0.501,0.15,8.0,-15.219,1.0,0.0411,0.856,4e-05,0.134,0.222,139.937,audio_features,5OSZCHdpFLcOo3Y9w1p7Hm,spotify:track:5OSZCHdpFLcOo3Y9w1p7Hm,https://api.spotify.com/v1/tracks/5OSZCHdpFLcOo3Y9w1p7Hm,https://api.spotify.com/v1/audio-analysis/5OSZCHdpFLcOo3Y9w1p7Hm,123429.0,4.0
SOMEBODY,keshi,164612,chill r&b,0.649,0.461,8.0,-8.401,1.0,0.0449,0.442,0.0,0.108,0.487,141.088,audio_features,3iqlzKw1tLt6tXZyKWV0fZ,spotify:track:3iqlzKw1tLt6tXZyKWV0fZ,https://api.spotify.com/v1/tracks/3iqlzKw1tLt6tXZyKWV0fZ,https://api.spotify.com/v1/audio-analysis/3iqlzKw1tLt6tXZyKWV0fZ,164663.0,4.0
TOUCH,keshi,214883,chill r&b,0.412,0.613,10.0,-9.803,1.0,0.125,0.528,1.96e-06,0.104,0.314,89.025,audio_features,5cgy5vMqVZbd8hYutp2txu,spotify:track:5cgy5vMqVZbd8hYutp2txu,https://api.spotify.com/v1/tracks/5cgy5vMqVZbd8hYutp2txu,https://api.spotify.com/v1/audio-analysis/5cgy5vMqVZbd8hYutp2txu,205347.0,4.0
War With Heaven,keshi,194831,chill r&b,0.622,0.671,5.0,-6.426,1.0,0.026,0.014,0.0,0.304,0.572,84.996,audio_features,14gmLQPNYokqB8OKxAp69f,spotify:track:14gmLQPNYokqB8OKxAp69f,https://api.spotify.com/v1/tracks/14gmLQPNYokqB8OKxAp69f,https://api.spotify.com/v1/audio-analysis/14gmLQPNYokqB8OKxAp69f,193373.0,4.0
ANGOSTURA,keshi,171018,chill r&b,0.536,0.659,6.0,-9.732,1.0,0.0483,0.406,0.004,0.107,0.199,170.035,audio_features,38umMmZQdeoOG7Zojor4g3,spotify:track:38umMmZQdeoOG7Zojor4g3,https://api.spotify.com/v1/tracks/38umMmZQdeoOG7Zojor4g3,https://api.spotify.com/v1/audio-analysis/38umMmZQdeoOG7Zojor4g3,171020.0,4.0
drunk,keshi,2362823,chill r&b,0.691,0.389,4.0,-8.247,1.0,0.0367,0.765,0.0,0.0941,0.306,104.952,audio_features,6D6HVKe7Qu3imn4zzJD0W9,spotify:track:6D6HVKe7Qu3imn4zzJD0W9,https://api.spotify.com/v1/tracks/6D6HVKe7Qu3imn4zzJD0W9,https://api.spotify.com/v1/audio-analysis/6D6HVKe7Qu3imn4zzJD0W9,227032.0,4.0
more,keshi,185891,chill r&b,0.565,0.707,5.0,-4.98,1.0,0.0357,0.568,0.0,0.374,0.401,79.973,audio_features,24Sqz5FNuD6D5Utxeg4DmK,spotify:track:24Sqz5FNuD6D5Utxeg4DmK,https://api.spotify.com/v1/tracks/24Sqz5FNuD6D5Utxeg4DmK,https://api.spotify.com/v1/audio-analysis/24Sqz5FNuD6D5Utxeg4DmK,184011.0,4.0
Crush On You,Finding Hope,435859,chill r&b,0.636,0.288,1.0,-13.341,1.0,0.0583,0.888,0.184,0.109,0.289,140.07,audio_features,0FDO64bveqjfNEIalB7HUr,spotify:track:0FDO64bveqjfNEIalB7HUr,https://api.spotify.com/v1/tracks/0FDO64bveqjfNEIalB7HUr,https://api.spotify.com/v1/audio-analysis/0FDO64bveqjfNEIalB7HUr,241714.0,4.0
Rain,Lucy Park,6094768,chill r&b,0.716,0.231,0.0,-14.739,1.0,0.0527,0.86,0.0393,0.112,0.231,107.049,audio_features,72afDNRJsldkG7R02rRdA1,spotify:track:72afDNRJsldkG7R02rRdA1,https://api.spotify.com/v1/tracks/72afDNRJsldkG7R02rRdA1,https://api.spotify.com/v1/audio-analysis/72afDNRJsldkG7R02rRdA1,151150.0,4.0
Rose,Finding Hope,126211,chill r&b,0.501,0.15,8.0,-15.219,1.0,0.0411,0.856,4e-05,0.134,0.222,139.937,audio_features,5OSZCHdpFLcOo3Y9w1p7Hm,spotify:track:5OSZCHdpFLcOo3Y9w1p7Hm,https://api.spotify.com/v1/tracks/5OSZCHdpFLcOo3Y9w1p7Hm,https://api.spotify.com/v1/audio-analysis/5OSZCHdpFLcOo3Y9w1p7Hm,123429.0,4.0
SOMEBODY,keshi,164612,chill r&b,0.649,0.461,8.0,-8.401,1.0,0.0449,0.442,0.0,0.108,0.487,141.088,audio_features,3iqlzKw1tLt6tXZyKWV0fZ,spotify:track:3iqlzKw1tLt6tXZyKWV0fZ,https://api.spotify.com/v1/tracks/3iqlzKw1tLt6tXZyKWV0fZ,https://api.spotify.com/v1/audio-analysis/3iqlzKw1tLt6tXZyKWV0fZ,164663.0,4.0
TOUCH,keshi,214883,chill r&b,0.412,0.613,10.0,-9.803,1.0,0.125,0.528,1.96e-06,0.104,0.314,89.025,audio_features,5cgy5vMqVZbd8hYutp2txu,spotify:track:5cgy5vMqVZbd8hYutp2txu,https://api.spotify.com/v1/tracks/5cgy5vMqVZbd8hYutp2txu,https://api.spotify.com/v1/audio-analysis/5cgy5vMqVZbd8hYutp2txu,205347.0,4.0
War With Heaven,keshi,194831,chill r&b,0.622,0.671,5.0,-6.426,1.0,0.026,0.014,0.0,0.304,0.572,84.996,audio_features,14gmLQPNYokqB8OKxAp69f,spotify:track:14gmLQPNYokqB8OKxAp69f,https://api.spotify.com/v1/tracks/14gmLQPNYokqB8OKxAp69f,https://api.spotify.com/v1/audio-analysis/14gmLQPNYokqB8OKxAp69f,193373.0,4.0
