trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
in your arms,Saib,41711,chillhop,0.739,0.28,0.0,-17.212,1.0,0.0929,0.697,0.0133,0.362,0.755,142.912,audio_features,4fgIoBKHzO7YO5eATyYbMl,spotify:track:4fgIoBKHzO7YO5eATyYbMl,https://api.spotify.com/v1/tracks/4fgIoBKHzO7YO5eATyYbMl,https://api.spotify.com/v1/audio-analysis/4fgIoBKHzO7YO5eATyYbMl,277840.0,4.0
sleeptight,DRWN.,146000,chillhop,0.371,0.0605,4.0,-13.516,0.0,0.168,0.888,0.828,0.0732,0.375,236.196,audio_features,0I51DCEQPXoPRqsYQBII4H,spotify:track:0I51DCEQPXoPRqsYQBII4H,https://api.spotify.com/v1/tracks/0I51DCEQPXoPRqsYQBII4H,https://api.spotify.com/v1/audio-analysis/0I51DCEQPXoPRqsYQBII4H,146000.0,3.0
Blue Boi,LAKEY INSPIRED,105613,chillhop,0.807,0.229,10.0,-12.842,1.0,0.0647,0.739,0.901,0.0663,0.348,139.967,audio_features,4SKBaun9EERfPsuLYqF1Fm,spotify:track:4SKBaun9EERfPsuLYqF1Fm,https://api.spotify.com/v1/tracks/4SKBaun9EERfPsuLYqF1Fm,https://api.spotify.com/v1/audio-analysis/4SKBaun9EERfPsuLYqF1Fm,105613.0,4.0
Gentle Night,C4C,155294,chillhop,0.674,0.0708,8.0,-22.412,0.0,0.0482,0.903,0.833,0.111,0.429,135.888,audio_features,2sJWWuWGTlxcMf3HDyCBzq,spotify:track:2sJWWuWGTlxcMf3HDyCBzq,https://api.spotify.com/v1/tracks/2sJWWuWGTlxcMf3HDyCBzq,https://api.spotify.com/v1/audio-analysis/2sJWWuWGTlxcMf3HDyCBzq,155294.0,4.0
Hold On,Idealism,377368,chillhop,0.557,0.153,2.0,-16.971,1.0,0.0396,0.706,0.904,0.0727,0.0688,75.941,audio_features,0b2RfRvQP6tARsOxjEEkqu,spotify:track:0b2RfRvQP6tARsOxjEEkqu,https://api.spotify.com/v1/tracks/0b2RfRvQP6tARsOxjEEkqu,https://api.spotify.com/v1/audio-analysis/0b2RfRvQP6tARsOxjEEkqu,188684.0,4.0
Jasmine,C4C,151168,chillhop,0.624,0.172,11.0,-20.261,1.0,0.0512,0.904,0.926,0.0878,0.336,153.974,audio_features,1u24Ut4Enu0OeMmeB2a4wq,spotify:track:1u24Ut4Enu0OeMmeB2a4wq,https://api.spotify.com/v1/tracks/1u24Ut4Enu0OeMmeB2a4wq,https://api.spotify.com/v1/audio-analysis/1u24Ut4Enu0OeMmeB2a4wq,151169.0,4.0
Letter,Tesk,122790,chillhop,0.495,0.364,8.0,-8.503,0.0,0.0394,0.771,0.594,0.0852,0.358,172.058,audio_features,4jYJV3rxH5XiVfwH8pdbDM,spotify:track:4jYJV3rxH5XiVfwH8pdbDM,https://api.spotify.com/v1/tracks/4jYJV3rxH5XiVfwH8pdbDM,https://api.spotify.com/v1/audio-analysis/4jYJV3rxH5XiVfwH8pdbDM,122791.0,4.0
in your arms,Saib,41711,chillhop,0.739,0.28,0.0,-17.212,1.0,0.0929,0.697,0.0133,0.362,0.755,142.912,audio_features,4fgIoBKHzO7YO5eATyYbMl,spotify:track:4fgIoBKHzO7YO5eATyYbMl,https://api.spotify.com/v1/tracks/4fgIoBKHzO7YO5eATyYbMl,https://api.spotify.com/v1/audio-analysis/4fgIoBKHzO7YO5eATyYbMl,277840.0,4.0
sleeptight,DRWN.,146000,chillhop,0.371,0.0605,4.0,-13.516,0.0,0.168,0.888,0.828,0.0732,0.375,236.196,audio_features,0I51DCEQPXoPRqsYQBII4H,spotify:track:0I51DCEQPXoPRqsYQBII4H,https://api.spotify.com/v1/tracks/0I51DCEQPXoPRqsYQBII4H,https://api.spotify.com/v1/audio-analysis/0I51DCEQPXoPRqsYQBII4H,146000.0,3.0
Blue Boi,LAKEY INSPIRED,105613,chillhop,0.807,0.229,10.0,-12.842,1.0,0.0647,0.739,0.901,0.0663,0.348,139.967,audio_features,4SKBaun9EERfPsuLYqF1Fm,spotify:track:4SKBaun9EERfPsuLYqF1Fm,https://api.spotify.com/v1/tracks/4SKBaun9EERfPsuLYqF1Fm,https://api.spotify.com/v1/audio-analysis/4SKBaun9EERfPsuLYqF1Fm,105613.0,4.0
Gentle Night,C4C,155294,chillhop,0.674,0.0708,8.0,-22.412,0.0,0.0482,0.903,0.833,0.111,0.429,135.888,audio_features,2sJWWuWGTlxcMf3HDyCBzq,spotify:track:2sJWWuWGTlxcMf3HDyCBzq,https://api.spotify.com/v1/tracks/2sJWWuWGTlxcMf3HDyCBzq,https://api.spotify.com/v1/audio-analysis/2sJWWuWGTlxcMf3HDyCBzq,155294.0,4.0
