trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Bloom,Aether,6921853,chillstep,0.662,0.156,8.0,-24.402,0.0,0.047,0.776,0.918,0.0773,0.107,130.031,audio_features,0xoCyCfPwoRZcaMi7oXzjP,spotify:track:0xoCyCfPwoRZcaMi7oXzjP,https://api.spotify.com/v1/tracks/0xoCyCfPwoRZcaMi7oXzjP,https://api.spotify.com/v1/audio-analysis/0xoCyCfPwoRZcaMi7oXzjP,273231.0,4.0
Catharsis,Aether,30071,chillstep,0.715,0.218,0.0,-17.547,0.0,0.0396,0.709,0.925,0.082,0.0802,109.992,audio_features,0MC6LfBcq3EgLMThwvpZHj,spotify:track:0MC6LfBcq3EgLMThwvpZHj,https://api.spotify.com/v1/tracks/0MC6LfBcq3EgLMThwvpZHj,https://api.spotify.com/v1/audio-analysis/0MC6LfBcq3EgLMThwvpZHj,245613.0,4.0
Dear Lillie,Aether,570278,chillstep,0.646,0.11,9.0,-20.284,0.0,0.0354,0.928,0.852,0.0971,0.0687,140.005,audio_features,65ROM5A1rkF6nqUSU7fRS1,spotify:track:65ROM5A1rkF6nqUSU7fRS1,https://api.spotify.com/v1/tracks/65ROM5A1rkF6nqUSU7fRS1,https://api.spotify.com/v1/audio-analysis/65ROM5A1rkF6nqUSU7fRS1,236576.0,4.0
Iris,Mr FijiWiji,228633,chillstep,0.478,0.518,6.0,-7.721,1.0,0.0378,0.181,0.000185,0.18,0.38,147.805,audio_features,7qDuDGkw8JPYYmoL87W54T,spotify:track:7qDuDGkw8JPYYmoL87W54T,https://api.spotify.com/v1/tracks/7qDuDGkw8JPYYmoL87W54T,https://api.spotify.com/v1/audio-analysis/7qDuDGkw8JPYYmoL87W54T,228775.0,3.0
One Step Forward,Direct,207249,chillstep,0.436,0.277,1.0,-18.599,0.0,0.0518,0.97,0.88,0.108,0.0351,100.024,audio_features,5Xo1kp4UljShBuvV5PZfLj,spotify:track:5Xo1kp4UljShBuvV5PZfLj,https://api.spotify.com/v1/tracks/5Xo1kp4UljShBuvV5PZfLj,https://api.spotify.com/v1/audio-analysis/5Xo1kp4UljShBuvV5PZfLj,199227.0,4.0
Only Knew,Rootkit,176164,chillstep,0.364,0.702,10.0,-6.358,0.0,0.0488,0.0547,0.000148,0.74,0.187,173.97,audio_features,6HB5p0lGeQ2MJviz4kiUeb,spotify:track:6HB5p0lGeQ2MJviz4kiUeb,https://api.spotify.com/v1/tracks/6HB5p0lGeQ2MJviz4kiUeb,https://api.spotify.com/v1/audio-analysis/6HB5p0lGeQ2MJviz4kiUeb,176207.0,4.0
Shut My Mouth,Koven,222000,chillstep,0.436,0.945,5.0,-2.867,0.0,0.0952,2.95e-05,0.797,0.148,0.185,149.886,audio_features,0ekrgvscdAwfQb6zWgfKlq,spotify:track:0ekrgvscdAwfQb6zWgfKlq,https://api.spotify.com/v1/tracks/0ekrgvscdAwfQb6zWgfKlq,https://api.spotify.com/v1/audio-analysis/0ekrgvscdAwfQb6zWgfKlq,222000.0,4.0
Bloom,Aether,6921853,chillstep,0.662,0.156,8.0,-24.402,0.0,0.047,0.776,0.918,0.0773,0.107,130.031,audio_features,0xoCyCfPwoRZcaMi7oXzjP,spotify:track:0xoCyCfPwoRZcaMi7oXzjP,https://api.spotify.com/v1/tracks/0xoCyCfPwoRZcaMi7oXzjP,https://api.spotify.com/v1/audio-analysis/0xoCyCfPwoRZcaMi7oXzjP,273231.0,4.0
Catharsis,Aether,30071,chillstep,0.715,0.218,0.0,-17.547,0.0,0.0396,0.709,0.925,0.082,0.0802,109.992,audio_features,0MC6LfBcq3EgLMThwvpZHj,spotify:track:0MC6LfBcq3EgLMThwvpZHj,https://api.spotify.com/v1/tracks/0MC6LfBcq3EgLMThwvpZHj,https://api.spotify.com/v1/audio-analysis/0MC6LfBcq3EgLMThwvpZHj,245613.0,4.0
Dear Lillie,Aether,570278,chillstep,0.646,0.11,9.0,-20.284,0.0,0.0354,0.928,0.852,0.0971,0.0687,140.005,audio_features,65ROM5A1rkF6nqUSU7fRS1,spotify:track:65ROM5A1rkF6nqUSU7fRS1,https://api.spotify.com/v1/tracks/65ROM5A1rkF6nqUSU7fRS1,https://api.spotify.com/v1/audio-analysis/65ROM5A1rkF6nqUSU7fRS1,236576.0,4.0
Iris,Mr FijiWiji,228633,chillstep,0.478,0.518,6.0,-7.721,1.0,0.0378,0.181,0.000185,0.18,0.38,147.805,audio_features,7qDuDGkw8JPYYmoL87W54T,spotify:track:7qDuDGkw8JPYYmoL87W54T,https://api.spotify.com/v1/tracks/7qDuDGkw8JPYYmoL87W54T,https://api.spotify.com/v1/audio-analysis/7qDuDGkw8JPYYmoL87W54T,228775.0,3.0
One Step Forward,Direct,207249,chillstep,0.436,0.277,1.0,-18.599,0.0,0.0518,0.97,0.88,0.108,0.0351,100.024,audio_features,5Xo1kp4UljShBuvV5PZfLj,spotify:track:5Xo1kp4UljShBuvV5PZfLj,https://api.spotify.com/v1/tracks/5Xo1kp4UljShBuvV5PZfLj,https://api.spotify.com/v1/audio-analysis/5Xo1kp4UljShBuvV5PZfLj,199227.0,4.0
Only Knew,Rootkit,176164,chillstep,0.364,0.702,10.0,-6.358,0.0,0.0488,0.0547,0.000148,0.74,0.187,173.97,audio_features,6HB5p0lGeQ2MJviz4kiUeb,spotify:track:6HB5p0lGeQ2MJviz4kiUeb,https://api.spotify.com/v1/tracks/6HB5p0lGeQ2MJviz4kiUeb,https://api.spotify.com/v1/audio-analysis/6HB5p0lGeQ2MJviz4kiUeb,176207.0,4.0
