trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Abhi Na Jao Chhod Kar,Asha Bhosle,255026,chutney,0.569,0.31,3.0,-13.287,1.0,0.0371,0.79,0.0,0.341,0.587,97.244,audio_features,2oaKoKA8bvgWfBi9M8wEVJ,spotify:track:2oaKoKA8bvgWfBi9M8wEVJ,https://api.spotify.com/v1/tracks/2oaKoKA8bvgWfBi9M8wEVJ,https://api.spotify.com/v1/audio-analysis/2oaKoKA8bvgWfBi9M8wEVJ,258387.0,3.0
Yun Hi Chala Chal,Udit Narayan,446862,chutney,0.822,0.687,9.0,-8.167,1.0,0.0421,0.0593,0.0,0.0609,0.816,106.47,audio_features,3GrTI5vAoDD3VE24VTBJAc,spotify:track:3GrTI5vAoDD3VE24VTBJAc,https://api.spotify.com/v1/tracks/3GrTI5vAoDD3VE24VTBJAc,https://api.spotify.com/v1/audio-analysis/3GrTI5vAoDD3VE24VTBJAc,446987.0,4.0
Chori Chori Chupke Chupke,Udit Narayan,1941488,chutney,0.679,0.534,6.0,-9.398,0.0,0.0762,0.184,1.47e-06,0.318,0.79,158.809,audio_features,5QDJF339x2VaamzFq47J88,spotify:track:5QDJF339x2VaamzFq47J88,https://api.spotify.com/v1/tracks/5QDJF339x2VaamzFq47J88,https://api.spotify.com/v1/audio-analysis/5QDJF339x2VaamzFq47J88,373133.0,3.0
Chura Liya Hai Tumne Jo Dil Ko,Asha Bhosle,287840,chutney,0.559,0.318,9.0,-11.106,0.0,0.0317,0.857,1.88e-06,0.11,0.684,80.242,audio_features,3ci9YeXRulpmFPDvqneVwc,spotify:track:3ci9YeXRulpmFPDvqneVwc,https://api.spotify.com/v1/tracks/3ci9YeXRulpmFPDvqneVwc,https://api.spotify.com/v1/audio-analysis/3ci9YeXRulpmFPDvqneVwc,287840.0,4.0
"Mehbooba Mehbooba - From “Sholay Songs And Dialogues, Vol. 2” Soundtrack",R. D. Burman,118340,chutney,0.54,0.479,3.0,-10.44,1.0,0.0353,0.979,0.578,0.161,0.396,111.338,audio_features,6966cgOPA1kF13BIoNXp24,spotify:track:6966cgOPA1kF13BIoNXp24,https://api.spotify.com/v1/tracks/6966cgOPA1kF13BIoNXp24,https://api.spotify.com/v1/audio-analysis/6966cgOPA1kF13BIoNXp24,230600.0,4.0
Too Cheez Badi Hain,Udit Narayan,356690,chutney,0.692,0.875,8.0,-7.381,1.0,0.0571,0.545,5.78e-05,0.326,0.787,84.575,audio_features,6wYKL1vzI0Vwkkz4fS7ana,spotify:track:6wYKL1vzI0Vwkkz4fS7ana,https://api.spotify.com/v1/tracks/6wYKL1vzI0Vwkkz4fS7ana,https://api.spotify.com/v1/audio-analysis/6wYKL1vzI0Vwkkz4fS7ana,385853.0,4.0
Yeh Ladka Hai Deewana,Udit Narayan,642418,chutney,0.516,0.757,2.0,-9.404,1.0,0.0551,0.289,7.21e-06,0.367,0.711,124.061,audio_features,41Vl2OoM83VVe0eePpsgUf,spotify:track:41Vl2OoM83VVe0eePpsgUf,https://api.spotify.com/v1/tracks/41Vl2OoM83VVe0eePpsgUf,https://api.spotify.com/v1/audio-analysis/41Vl2OoM83VVe0eePpsgUf,397533.0,4.0
Abhi Na Jao Chhod Kar,Asha Bhosle,255026,chutney,0.569,0.31,3.0,-13.287,1.0,0.0371,0.79,0.0,0.341,0.587,97.244,audio_features,2oaKoKA8bvgWfBi9M8wEVJ,spotify:track:2oaKoKA8bvgWfBi9M8wEVJ,https://api.spotify.com/v1/tracks/2oaKoKA8bvgWfBi9M8wEVJ,https://api.spotify.com/v1/audio-analysis/2oaKoKA8bvgWfBi9M8wEVJ,258387.0,3.0
Yun Hi Chala Chal,Udit Narayan,446862,chutney,0.822,0.687,9.0,-8.167,1.0,0.0421,0.0593,0.0,0.0609,0.816,106.47,audio_features,3GrTI5vAoDD3VE24VTBJAc,spotify:track:3GrTI5vAoDD3VE24VTBJAc,https://api.spotify.com/v1/tracks/3GrTI5vAoDD3VE24VTBJAc,https://api.spotify.com/v1/audio-analysis/3GrTI5vAoDD3VE24VTBJAc,446987.0,4.0
Chori Chori Chupke Chupke,Udit Narayan,1941488,chutney,0.679,0.534,6.0,-9.398,0.0,0.0762,0.184,1.47e-06,0.318,0.79,158.809,audio_features,5QDJF339x2VaamzFq47J88,spotify:track:5QDJF339x2VaamzFq47J88,https://api.spotify.com/v1/tracks/5QDJF339x2VaamzFq47J88,https://api.spotify.com/v1/audio-analysis/5QDJF339x2VaamzFq47J88,373133.0,3.0
