trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Aajkal Tere Mere Pyar Ke Charche,Suman Kalyanpur,205800,classic bollywood,0.556,0.792,9.0,-10.683,1.0,0.0715,0.858,0.007,0.596,0.776,98.554,audio_features,2uiAZVVKqqYlM6KM9POTYq,spotify:track:2uiAZVVKqqYlM6KM9POTYq,https://api.spotify.com/v1/tracks/2uiAZVVKqqYlM6KM9POTYq,https://api.spotify.com/v1/audio-analysis/2uiAZVVKqqYlM6KM9POTYq,309493.0,4.0
Are Re Are,Uttam Singh,335386,classic bollywood,0.693,0.537,2.0,-13.448,1.0,0.0393,0.184,2.59e-05,0.2,0.923,142.995,audio_features,39DfslxGf8Hh0ljKN8h0Ng,spotify:track:39DfslxGf8Hh0ljKN8h0Ng,https://api.spotify.com/v1/tracks/39DfslxGf8Hh0ljKN8h0Ng,https://api.spotify.com/v1/audio-analysis/39DfslxGf8Hh0ljKN8h0Ng,125518.0,4.0
Are Re Are (Part-2),Uttam Singh,125518,classic bollywood,0.693,0.537,2.0,-13.448,1.0,0.0393,0.184,2.59e-05,0.2,0.923,142.995,audio_features,39DfslxGf8Hh0ljKN8h0Ng,spotify:track:39DfslxGf8Hh0ljKN8h0Ng,https://api.spotify.com/v1/tracks/39DfslxGf8Hh0ljKN8h0Ng,https://api.spotify.com/v1/audio-analysis/39DfslxGf8Hh0ljKN8h0Ng,125518.0,4.0
Bade Achhe Lagte Hain,Amit Kumar,335402,classic bollywood,0.377,0.147,6.0,-15.412,1.0,0.0401,0.897,1.71e-05,0.122,0.178,138.749,audio_features,6KI66HzKaCOvfvLenuf0JQ,spotify:track:6KI66HzKaCOvfvLenuf0JQ,https://api.spotify.com/v1/tracks/6KI66HzKaCOvfvLenuf0JQ,https://api.spotify.com/v1/audio-analysis/6KI66HzKaCOvfvLenuf0JQ,312080.0,3.0
Bahon Mein Chale Aao,Lata Mangeshkar,241666,classic bollywood,0.482,0.212,6.0,-16.491,1.0,0.0353,0.8,1.51e-06,0.159,0.615,72.749,audio_features,7yEzG4Rsbj2xAJr9v8olsI,spotify:track:7yEzG4Rsbj2xAJr9v8olsI,https://api.spotify.com/v1/tracks/7yEzG4Rsbj2xAJr9v8olsI,https://api.spotify.com/v1/audio-analysis/7yEzG4Rsbj2xAJr9v8olsI,241667.0,4.0
Bholi Si Surat,Uttam Singh,614245,classic bollywood,0.697,0.661,5.0,-11.588,1.0,0.0343,0.47,2.23e-05,0.298,0.856,86.542,audio_features,0dova5UHQl7K3VlKu1pyEQ,spotify:track:0dova5UHQl7K3VlKu1pyEQ,https://api.spotify.com/v1/tracks/0dova5UHQl7K3VlKu1pyEQ,https://api.spotify.com/v1/audio-analysis/0dova5UHQl7K3VlKu1pyEQ,255242.0,4.0
Chala Jata Hoon,Kishore Kumar,1457264,classic bollywood,0.544,0.467,4.0,-7.403,1.0,0.032,0.911,3.01e-06,0.446,0.864,107.688,audio_features,5JG9mkEmp8IJ4kjR5Cr0h9,spotify:track:5JG9mkEmp8IJ4kjR5Cr0h9,https://api.spotify.com/v1/tracks/5JG9mkEmp8IJ4kjR5Cr0h9,https://api.spotify.com/v1/audio-analysis/5JG9mkEmp8IJ4kjR5Cr0h9,269552.0,4.0
Chidiya Chidiya,Uttam Singh,171421,classic bollywood,0.906,0.365,5.0,-13.7,1.0,0.0721,0.883,0.0,0.0554,0.961,126.073,audio_features,5hOrGhwZUPP82Ldp8uL1jy,spotify:track:5hOrGhwZUPP82Ldp8uL1jy,https://api.spotify.com/v1/tracks/5hOrGhwZUPP82Ldp8uL1jy,https://api.spotify.com/v1/audio-analysis/5hOrGhwZUPP82Ldp8uL1jy,173149.0,4.0
Dholna,Uttam Singh,636864,classic bollywood,0.684,0.52,7.0,-10.793,1.0,0.0339,0.369,3.99e-05,0.724,0.907,92.995,audio_features,6O8ZM3IKYcSBzpnuxpCAQr,spotify:track:6O8ZM3IKYcSBzpnuxpCAQr,https://api.spotify.com/v1/tracks/6O8ZM3IKYcSBzpnuxpCAQr,https://api.spotify.com/v1/audio-analysis/6O8ZM3IKYcSBzpnuxpCAQr,318433.0,4.0
Dil To Pagal Hai,Uttam Singh,672234,classic bollywood,0.752,0.67,6.0,-10.641,0.0,0.0465,0.306,0.000528,0.729,0.748,110.696,audio_features,5itw0WzsobhLXyxUuAj8OQ,spotify:track:5itw0WzsobhLXyxUuAj8OQ,https://api.spotify.com/v1/tracks/5itw0WzsobhLXyxUuAj8OQ,https://api.spotify.com/v1/audio-analysis/5itw0WzsobhLXyxUuAj8OQ,336118.0,4.0
Do Pal,Madan Mohan,265926,classic bollywood,0.247,0.556,11.0,-7.514,1.0,0.0376,0.635,0.000436,0.146,0.371,168.823,audio_features,7fyIuR4aaWb6iltlAoSkxF,spotify:track:7fyIuR4aaWb6iltlAoSkxF,https://api.spotify.com/v1/tracks/7fyIuR4aaWb6iltlAoSkxF,https://api.spotify.com/v1/audio-analysis/7fyIuR4aaWb6iltlAoSkxF,265927.0,4.0
Ek Duje Ke Vaaste,Uttam Singh,206001,classic bollywood,0.479,0.509,7.0,-11.75,0.0,0.0488,0.653,2.45e-06,0.21,0.449,143.767,audio_features,5ytl9khoVW9e0il8oVX5ob,spotify:track:5ytl9khoVW9e0il8oVX5ob,https://api.spotify.com/v1/tracks/5ytl9khoVW9e0il8oVX5ob,https://api.spotify.com/v1/audio-analysis/5ytl9khoVW9e0il8oVX5ob,206002.0,4.0
Ek Hasina Thi Ek Diwana Tha,Kishore Kumar,110950,classic bollywood,0.361,0.63,0.0,-9.612,0.0,0.0668,0.717,5.34e-06,0.306,0.444,116.988,audio_features,4Io7LWhjZMORDTzHIsqDQ9,spotify:track:4Io7LWhjZMORDTzHIsqDQ9,https://api.spotify.com/v1/tracks/4Io7LWhjZMORDTzHIsqDQ9,https://api.spotify.com/v1/audio-analysis/4Io7LWhjZMORDTzHIsqDQ9,472947.0,4.0
Gaytime In Goa - Instrumental,Uttam Singh,289573,classic bollywood,0.325,0.458,7.0,-7.541,1.0,0.041,0.537,0.904,0.082,0.897,180.014,audio_features,2hWMvJZ4c1wpUzXonGKsli,spotify:track:2hWMvJZ4c1wpUzXonGKsli,https://api.spotify.com/v1/tracks/2hWMvJZ4c1wpUzXonGKsli,https://api.spotify.com/v1/audio-analysis/2hWMvJZ4c1wpUzXonGKsli,289573.0,3.0
"Gulabi Ankhen - From ""The Train""",Mohammed Rafi,197293,classic bollywood,0.579,0.797,9.0,-5.049,1.0,0.0698,0.679,5.22e-06,0.36,0.744,108.052,audio_features,6HVIS5C6QpJNNRdpynTqGZ,spotify:track:6HVIS5C6QpJNNRdpynTqGZ,https://api.spotify.com/v1/tracks/6HVIS5C6QpJNNRdpynTqGZ,https://api.spotify.com/v1/audio-analysis/6HVIS5C6QpJNNRdpynTqGZ,198267.0,4.0
Hum Tum Ek Kamre Mein,Lata Mangeshkar,313200,classic bollywood,0.379,0.717,9.0,-4.958,0.0,0.0464,0.939,0.33,0.568,0.81,117.071,audio_features,7tgQvdHXUf2N2eB1zrlbWl,spotify:track:7tgQvdHXUf2N2eB1zrlbWl,https://api.spotify.com/v1/tracks/7tgQvdHXUf2N2eB1zrlbWl,https://api.spotify.com/v1/audio-analysis/7tgQvdHXUf2N2eB1zrlbWl,427224.0,4.0
Kamal Hai,Kishore Kumar,5670,classic bollywood,0.502,0.744,1.0,-8.573,1.0,0.134,0.698,0.0,0.478,0.627,117.305,audio_features,1Rcmhf1Uo6a5yw7KzR25tL,spotify:track:1Rcmhf1Uo6a5yw7KzR25tL,https://api.spotify.com/v1/tracks/1Rcmhf1Uo6a5yw7KzR25tL,https://api.spotify.com/v1/audio-analysis/1Rcmhf1Uo6a5yw7KzR25tL,353907.0,4.0
Koi Ladki Hai,Uttam Singh,661368,classic bollywood,0.805,0.594,2.0,-10.846,1.0,0.0927,0.619,1.55e-05,0.215,0.694,110.425,audio_features,1U07iG4qnbKP8ui3VidZN4,spotify:track:1U07iG4qnbKP8ui3VidZN4,https://api.spotify.com/v1/tracks/1U07iG4qnbKP8ui3VidZN4,https://api.spotify.com/v1/audio-analysis/1U07iG4qnbKP8ui3VidZN4,330684.0,4.0
Kya Khoob Lagti Ho,Mukesh,1381854,classic bollywood,0.429,0.644,6.0,-9.102,1.0,0.0383,0.719,6.66e-05,0.383,0.657,132.207,audio_features,7hpH1Ijoygw5J5XUfVS9hh,spotify:track:7hpH1Ijoygw5J5XUfVS9hh,https://api.spotify.com/v1/tracks/7hpH1Ijoygw5J5XUfVS9hh,https://api.spotify.com/v1/audio-analysis/7hpH1Ijoygw5J5XUfVS9hh,239133.0,4.0
"Kya Yahi Pyar Hai - From ""Rocky""",Lata Mangeshkar,384493,classic bollywood,0.666,0.447,7.0,-7.568,1.0,0.0245,0.506,1.5e-06,0.12,0.584,102.713,audio_features,76oUbO75KGdgMZnxpaCxDf,spotify:track:76oUbO75KGdgMZnxpaCxDf,https://api.spotify.com/v1/tracks/76oUbO75KGdgMZnxpaCxDf,https://api.spotify.com/v1/audio-analysis/76oUbO75KGdgMZnxpaCxDf,383013.0,4.0
