trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Another One Bites The Dust - Remastered 2011,Queen,4436,classic rock,0.933,0.528,5.0,-6.472,0.0,0.162,0.112,0.329,0.163,0.756,109.975,audio_features,57JVGBtBLCfHw2muk5416J,spotify:track:57JVGBtBLCfHw2muk5416J,https://api.spotify.com/v1/tracks/57JVGBtBLCfHw2muk5416J,https://api.spotify.com/v1/audio-analysis/57JVGBtBLCfHw2muk5416J,214653.0,4.0
Fortunate Son,Creedence Clearwater Revival,3547724,classic rock,0.64,0.663,0.0,-7.516,1.0,0.0374,0.201,0.00806,0.152,0.663,132.77,audio_features,4BP3uh0hFLFRb5cjsgLqDh,spotify:track:4BP3uh0hFLFRb5cjsgLqDh,https://api.spotify.com/v1/tracks/4BP3uh0hFLFRb5cjsgLqDh,https://api.spotify.com/v1/audio-analysis/4BP3uh0hFLFRb5cjsgLqDh,140773.0,4.0
Girl from the North Country,Bob Dylan,28515,classic rock,0.607,0.142,7.0,-23.455,1.0,0.0382,0.843,0.000197,0.121,0.305,118.867,audio_features,4K1imZQQ0yKtJ40vGmUajS,spotify:track:4K1imZQQ0yKtJ40vGmUajS,https://api.spotify.com/v1/tracks/4K1imZQQ0yKtJ40vGmUajS,https://api.spotify.com/v1/audio-analysis/4K1imZQQ0yKtJ40vGmUajS,220400.0,4.0
Good Old-Fashioned Lover Boy - Remastered 2011,Queen,972010,classic rock,0.545,0.454,3.0,-6.706,1.0,0.0302,0.566,0.0,0.0541,0.393,96.784,audio_features,1mnQiO568zXIrUncttTZGp,spotify:track:1mnQiO568zXIrUncttTZGp,https://api.spotify.com/v1/tracks/1mnQiO568zXIrUncttTZGp,https://api.spotify.com/v1/audio-analysis/1mnQiO568zXIrUncttTZGp,173173.0,4.0
Gotta Get Up,Harry Nilsson,54033,classic rock,0.424,0.438,7.0,-15.192,1.0,0.0529,0.064,0.0,0.0764,0.924,175.139,audio_features,6fvIzrJ6boUDFF19fH4S2s,spotify:track:6fvIzrJ6boUDFF19fH4S2s,https://api.spotify.com/v1/tracks/6fvIzrJ6boUDFF19fH4S2s,https://api.spotify.com/v1/audio-analysis/6fvIzrJ6boUDFF19fH4S2s,144893.0,4.0
Have You Ever Seen The Rain,Creedence Clearwater Revival,991800,classic rock,0.741,0.697,0.0,-7.028,1.0,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,audio_features,2LawezPeJhN4AWuSB0GtAU,spotify:track:2LawezPeJhN4AWuSB0GtAU,https://api.spotify.com/v1/tracks/2LawezPeJhN4AWuSB0GtAU,https://api.spotify.com/v1/audio-analysis/2LawezPeJhN4AWuSB0GtAU,160133.0,4.0
Killer Queen - Remastered 2011,Queen,2343077,classic rock,0.535,0.65,10.0,-6.328,1.0,0.0554,0.379,0.0,0.14,0.61,117.188,audio_features,7GqWnsKhMtEW0nzki5o0d8,spotify:track:7GqWnsKhMtEW0nzki5o0d8,https://api.spotify.com/v1/tracks/7GqWnsKhMtEW0nzki5o0d8,https://api.spotify.com/v1/audio-analysis/7GqWnsKhMtEW0nzki5o0d8,179600.0,4.0
The Boxer,Simon & Garfunkel,9749,classic rock,0.439,0.488,11.0,-14.464,1.0,0.0615,0.702,0.000339,0.16,0.629,93.017,audio_features,76TZCvJ8GitQ2FA1q5dKu0,spotify:track:76TZCvJ8GitQ2FA1q5dKu0,https://api.spotify.com/v1/tracks/76TZCvJ8GitQ2FA1q5dKu0,https://api.spotify.com/v1/audio-analysis/76TZCvJ8GitQ2FA1q5dKu0,308520.0,4.0
You Don't Mess Around With Jim,Jim Croce,8674595,classic rock,0.705,0.581,11.0,-11.379,0.0,0.0455,0.607,1.52e-05,0.117,0.967,163.24,audio_features,5yrsBzgHkfu2idkl2ILQis,spotify:track:5yrsBzgHkfu2idkl2ILQis,https://api.spotify.com/v1/tracks/5yrsBzgHkfu2idkl2ILQis,https://api.spotify.com/v1/audio-analysis/5yrsBzgHkfu2idkl2ILQis,184640.0,4.0
Another One Bites The Dust - Remastered 2011,Queen,4436,classic rock,0.933,0.528,5.0,-6.472,0.0,0.162,0.112,0.329,0.163,0.756,109.975,audio_features,57JVGBtBLCfHw2muk5416J,spotify:track:57JVGBtBLCfHw2muk5416J,https://api.spotify.com/v1/tracks/57JVGBtBLCfHw2muk5416J,https://api.spotify.com/v1/audio-analysis/57JVGBtBLCfHw2muk5416J,214653.0,4.0
