trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
"21 Hungarian Dances, WoO 1 (version for orchestra): Hungarian Dance No. 5 (orch. Schmeling)",Johannes Brahms,271587,classical,0.32,0.127,7.0,-15.953,0.0,0.0366,0.929,0.813,0.25,0.272,144.451,audio_features,2SvULYdmPes23yZQYeLkXV,spotify:track:2SvULYdmPes23yZQYeLkXV,https://api.spotify.com/v1/tracks/2SvULYdmPes23yZQYeLkXV,https://api.spotify.com/v1/audio-analysis/2SvULYdmPes23yZQYeLkXV,135773.0,3.0
"21 Hungarian Dances, WoO 1: No. 5 in G Minor: Allegro",Johannes Brahms,1851813,classical,0.358,0.167,7.0,-16.0,0.0,0.0354,0.899,0.96,0.103,0.601,144.561,audio_features,2oLjhx7w8Hyd3gry9cCXr7,spotify:track:2oLjhx7w8Hyd3gry9cCXr7,https://api.spotify.com/v1/tracks/2oLjhx7w8Hyd3gry9cCXr7,https://api.spotify.com/v1/audio-analysis/2oLjhx7w8Hyd3gry9cCXr7,138707.0,4.0
Allegro,Wolfgang Amadeus Mozart,9854,classical,0.428,0.237,7.0,-13.764,0.0,0.0351,0.987,0.896,0.0849,0.357,79.904,audio_features,64ta7ZvTJeThz7Ns4LmAHS,spotify:track:64ta7ZvTJeThz7Ns4LmAHS,https://api.spotify.com/v1/tracks/64ta7ZvTJeThz7Ns4LmAHS,https://api.spotify.com/v1/audio-analysis/64ta7ZvTJeThz7Ns4LmAHS,460027.0,4.0
"Also sprach Zarathustra, Op. 30",Richard Strauss,275726,classical,0.115,0.301,0.0,-13.321,1.0,0.0449,0.637,0.935,0.154,0.0409,77.276,audio_features,43YwOmGUOS3zzGvj1Feszb,spotify:track:43YwOmGUOS3zzGvj1Feszb,https://api.spotify.com/v1/tracks/43YwOmGUOS3zzGvj1Feszb,https://api.spotify.com/v1/audio-analysis/43YwOmGUOS3zzGvj1Feszb,109667.0,4.0
Итальянская полька в Ми Минор,Sergei Rachmaninoff,81820,classical,0.557,0.0697,2.0,-25.642,1.0,0.0483,0.911,0.976,0.217,0.697,107.288,audio_features,0559HGlXKYOBSczFrNfjtE,spotify:track:0559HGlXKYOBSczFrNfjtE,https://api.spotify.com/v1/tracks/0559HGlXKYOBSczFrNfjtE,https://api.spotify.com/v1/audio-analysis/0559HGlXKYOBSczFrNfjtE,82000.0,4.0
前奏曲集 第1巻 VIII. 亜麻色の髪の乙女,Claude Debussy,251898,classical,0.323,0.0194,6.0,-29.17,1.0,0.0453,0.995,0.934,0.0653,0.0883,68.568,audio_features,0cXHtvBNB879i7ZoBIv87L,spotify:track:0cXHtvBNB879i7ZoBIv87L,https://api.spotify.com/v1/tracks/0cXHtvBNB879i7ZoBIv87L,https://api.spotify.com/v1/audio-analysis/0cXHtvBNB879i7ZoBIv87L,126093.0,3.0
Canon in F,Wolfgang Amadeus Mozart,196,classical,0.479,0.175,3.0,-18.366,1.0,0.0663,0.995,0.842,0.0898,0.473,161.126,audio_features,7e2H1qasssZyQui8t1Qfo0,spotify:track:7e2H1qasssZyQui8t1Qfo0,https://api.spotify.com/v1/tracks/7e2H1qasssZyQui8t1Qfo0,https://api.spotify.com/v1/audio-analysis/7e2H1qasssZyQui8t1Qfo0,58307.0,4.0
"Canon in G Major, Hess 274",Ludwig van Beethoven,5433,classical,0.7,0.141,4.0,-30.099,0.0,0.067,0.995,0.908,0.118,0.558,106.225,audio_features,20b2Eio6PBmttf3tzyYlB3,spotify:track:20b2Eio6PBmttf3tzyYlB3,https://api.spotify.com/v1/tracks/20b2Eio6PBmttf3tzyYlB3,https://api.spotify.com/v1/audio-analysis/20b2Eio6PBmttf3tzyYlB3,34667.0,4.0
Carmen Suite No. 2 (Arr. E. Guiraud): II. Habanera,Georges Bizet,126114,classical,0.35,0.00493,2.0,-33.292,1.0,0.0418,0.962,0.315,0.101,0.484,126.841,audio_features,7opr2zfaf0dnpAqYRjUspl,spotify:track:7opr2zfaf0dnpAqYRjUspl,https://api.spotify.com/v1/tracks/7opr2zfaf0dnpAqYRjUspl,https://api.spotify.com/v1/audio-analysis/7opr2zfaf0dnpAqYRjUspl,126107.0,4.0
"Consolations, S. 172: No. 3, Lento placido",Franz Liszt,20235,classical,0.368,0.00363,1.0,-36.759,1.0,0.035,0.993,0.922,0.137,0.085,69.363,audio_features,1L4NadMj3Jj7YgGaikyhfr,spotify:track:1L4NadMj3Jj7YgGaikyhfr,https://api.spotify.com/v1/tracks/1L4NadMj3Jj7YgGaikyhfr,https://api.spotify.com/v1/audio-analysis/1L4NadMj3Jj7YgGaikyhfr,254000.0,3.0
