trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,120005,cloud rap,0.792,0.511,2.0,-6.876,1.0,0.0409,0.124,9.04e-05,0.14,0.111,113.983,audio_features,30QR0ndUdiiMQMA9g1PGCm,spotify:track:30QR0ndUdiiMQMA9g1PGCm,https://api.spotify.com/v1/tracks/30QR0ndUdiiMQMA9g1PGCm,https://api.spotify.com/v1/audio-analysis/30QR0ndUdiiMQMA9g1PGCm,168490.0,4.0
Addict,Lund,369832,cloud rap,0.577,0.553,4.0,-7.648,0.0,0.0479,0.1,0.0,0.21,0.0546,145.974,audio_features,1Dd2TFOUfL1tYMw53a8VJK,spotify:track:1Dd2TFOUfL1tYMw53a8VJK,https://api.spotify.com/v1/tracks/1Dd2TFOUfL1tYMw53a8VJK,https://api.spotify.com/v1/audio-analysis/1Dd2TFOUfL1tYMw53a8VJK,174247.0,4.0
Alone,Lund,1580900,cloud rap,0.741,0.354,2.0,-15.505,1.0,0.0812,0.656,0.702,0.384,0.037,120.018,audio_features,3BIc6CjDJxm6P1qCls2nKa,spotify:track:3BIc6CjDJxm6P1qCls2nKa,https://api.spotify.com/v1/tracks/3BIc6CjDJxm6P1qCls2nKa,https://api.spotify.com/v1/audio-analysis/3BIc6CjDJxm6P1qCls2nKa,254000.0,4.0
candy,guccihighwaters,156730,cloud rap,0.644,0.595,6.0,-5.824,0.0,0.0371,0.472,0.0,0.125,0.31,82.561,audio_features,5IrC1UAnYw3SyfV9ER03ON,spotify:track:5IrC1UAnYw3SyfV9ER03ON,https://api.spotify.com/v1/tracks/5IrC1UAnYw3SyfV9ER03ON,https://api.spotify.com/v1/audio-analysis/5IrC1UAnYw3SyfV9ER03ON,156730.0,4.0
BlkBird,Lund,481339,cloud rap,0.713,0.805,11.0,-9.286,0.0,0.154,0.188,0.00218,0.105,0.165,147.974,audio_features,63so4PwtLxqzsRfFzbTSSP,spotify:track:63so4PwtLxqzsRfFzbTSSP,https://api.spotify.com/v1/tracks/63so4PwtLxqzsRfFzbTSSP,https://api.spotify.com/v1/audio-analysis/63so4PwtLxqzsRfFzbTSSP,201081.0,4.0
Blood Stain Cypher,Lund,233239,cloud rap,0.584,0.783,10.0,-8.644,0.0,0.0402,0.00627,8.76e-06,0.0504,0.187,141.972,audio_features,2A8is4SWcN20vQMgf0vVDW,spotify:track:2A8is4SWcN20vQMgf0vVDW,https://api.spotify.com/v1/tracks/2A8is4SWcN20vQMgf0vVDW,https://api.spotify.com/v1/audio-analysis/2A8is4SWcN20vQMgf0vVDW,233239.0,4.0
Broken,Lund,14164898,cloud rap,0.83,0.583,0.0,-2.052,1.0,0.0412,0.0563,0.0005,0.109,0.146,134.0,audio_features,4W8sUeokQKfHt1uTXp0Jq0,spotify:track:4W8sUeokQKfHt1uTXp0Jq0,https://api.spotify.com/v1/tracks/4W8sUeokQKfHt1uTXp0Jq0,https://api.spotify.com/v1/audio-analysis/4W8sUeokQKfHt1uTXp0Jq0,200673.0,4.0
Broken (with Lil Skies & Noah Cyrus),Lund,834380,cloud rap,0.76,0.538,0.0,-3.54,1.0,0.0345,0.163,7.76e-06,0.1,0.138,134.005,audio_features,14ca1ksf8GSu1RgeJaFZDF,spotify:track:14ca1ksf8GSu1RgeJaFZDF,https://api.spotify.com/v1/tracks/14ca1ksf8GSu1RgeJaFZDF,https://api.spotify.com/v1/audio-analysis/14ca1ksf8GSu1RgeJaFZDF,207080.0,4.0
By My Side,Lund,1048547,cloud rap,0.73,0.355,0.0,-10.941,1.0,0.0345,0.29,0.0072,0.11,0.261,135.99,audio_features,4L96lPXFu0bNll3XEnO0Wq,spotify:track:4L96lPXFu0bNll3XEnO0Wq,https://api.spotify.com/v1/tracks/4L96lPXFu0bNll3XEnO0Wq,https://api.spotify.com/v1/audio-analysis/4L96lPXFu0bNll3XEnO0Wq,229412.0,4.0
Calcium,Ecco2k,186737,cloud rap,0.568,0.455,2.0,-11.299,0.0,0.174,0.869,0.000861,0.112,0.343,154.92,audio_features,4Ba0UyK60lCFlaKadHvVii,spotify:track:4Ba0UyK60lCFlaKadHvVii,https://api.spotify.com/v1/tracks/4Ba0UyK60lCFlaKadHvVii,https://api.spotify.com/v1/audio-analysis/4Ba0UyK60lCFlaKadHvVii,224643.0,4.0
