trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Apollo - Radio Edit,Astronaut,185577,complextro,0.66,0.648,5.0,-4.316,0.0,0.0481,0.00498,1.11e-06,0.322,0.271,128.08,audio_features,4r8p26F2OURIbRgSjHOJqA,spotify:track:4r8p26F2OURIbRgSjHOJqA,https://api.spotify.com/v1/tracks/4r8p26F2OURIbRgSjHOJqA,https://api.spotify.com/v1/audio-analysis/4r8p26F2OURIbRgSjHOJqA,185625.0,4.0
Beautiful Now,Zedd,72784,complextro,0.628,0.833,11.0,-4.126,0.0,0.0282,0.0079,1.48e-05,0.074,0.56,128.003,audio_features,2ISSQPb9LHHiV6ng2NXosL,spotify:track:2ISSQPb9LHHiV6ng2NXosL,https://api.spotify.com/v1/tracks/2ISSQPb9LHHiV6ng2NXosL,https://api.spotify.com/v1/audio-analysis/2ISSQPb9LHHiV6ng2NXosL,218293.0,4.0
Crab Rave,Noisestorm,117871,complextro,0.768,0.933,2.0,-2.95,0.0,0.0385,0.206,0.915,0.0833,0.245,124.996,audio_features,4qDHt2ClApBBzDAvhNGWFd,spotify:track:4qDHt2ClApBBzDAvhNGWFd,https://api.spotify.com/v1/tracks/4qDHt2ClApBBzDAvhNGWFd,https://api.spotify.com/v1/audio-analysis/4qDHt2ClApBBzDAvhNGWFd,161280.0,4.0
Diamonds,Mord Fustang,52715,complextro,0.801,0.918,7.0,-3.231,0.0,0.0489,1.66e-06,0.75,0.322,0.503,128.011,audio_features,5zAvMInb15RHyQXDkf1LGg,spotify:track:5zAvMInb15RHyQXDkf1LGg,https://api.spotify.com/v1/tracks/5zAvMInb15RHyQXDkf1LGg,https://api.spotify.com/v1/audio-analysis/5zAvMInb15RHyQXDkf1LGg,194531.0,4.0
Electric Soul,Wolfgang Gartner,144227,complextro,0.769,0.987,1.0,-4.997,1.0,0.23,0.044,0.228,0.0791,0.259,127.49,audio_features,4P2thFDOvuO497xWkyPUG0,spotify:track:4P2thFDOvuO497xWkyPUG0,https://api.spotify.com/v1/tracks/4P2thFDOvuO497xWkyPUG0,https://api.spotify.com/v1/audio-analysis/4P2thFDOvuO497xWkyPUG0,207785.0,4.0
Everything Goes On,Porter Robinson,198921,complextro,0.55,0.648,7.0,-6.542,1.0,0.0309,0.0191,0.0,0.0999,0.323,156.957,audio_features,3WBRfkOozHEsG0hbrBzwlm,spotify:track:3WBRfkOozHEsG0hbrBzwlm,https://api.spotify.com/v1/tracks/3WBRfkOozHEsG0hbrBzwlm,https://api.spotify.com/v1/audio-analysis/3WBRfkOozHEsG0hbrBzwlm,202821.0,4.0
Finale (feat. Nicholas Petricca),Madeon,67840,complextro,0.417,0.859,7.0,-3.169,0.0,0.0484,0.00612,2.41e-06,0.175,0.179,92.078,audio_features,4ATmY1hv93ehw77LrIdbEh,spotify:track:4ATmY1hv93ehw77LrIdbEh,https://api.spotify.com/v1/tracks/4ATmY1hv93ehw77LrIdbEh,https://api.spotify.com/v1/audio-analysis/4ATmY1hv93ehw77LrIdbEh,204853.0,4.0
Hang Up,WRLD,398833,complextro,0.665,0.834,5.0,-3.845,0.0,0.0278,0.00506,0.00195,0.153,0.293,120.049,audio_features,1F65NjLm6OQIpuiwGMAdBf,spotify:track:1F65NjLm6OQIpuiwGMAdBf,https://api.spotify.com/v1/tracks/1F65NjLm6OQIpuiwGMAdBf,https://api.spotify.com/v1/audio-analysis/1F65NjLm6OQIpuiwGMAdBf,199500.0,4.0
I Want You To Know,Zedd,1508268,complextro,0.58,0.846,9.0,-2.876,0.0,0.0573,0.00537,6.62e-06,0.145,0.366,129.998,audio_features,1JDIArrcepzWDTAWXdGYmP,spotify:track:1JDIArrcepzWDTAWXdGYmP,https://api.spotify.com/v1/tracks/1JDIArrcepzWDTAWXdGYmP,https://api.spotify.com/v1/audio-analysis/1JDIArrcepzWDTAWXdGYmP,240000.0,4.0
Shelter,Porter Robinson,81351,complextro,0.276,0.796,0.0,-4.499,1.0,0.0579,0.00293,0.0,0.184,0.26,199.526,audio_features,2CgOd0Lj5MuvOqzqdaAXtS,spotify:track:2CgOd0Lj5MuvOqzqdaAXtS,https://api.spotify.com/v1/tracks/2CgOd0Lj5MuvOqzqdaAXtS,https://api.spotify.com/v1/audio-analysis/2CgOd0Lj5MuvOqzqdaAXtS,218965.0,4.0
