trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Backseat Freestyle,Kendrick Lamar,150700,conscious hip hop,0.546,0.651,1.0,-7.601,1.0,0.3,0.000739,0.0,0.235,0.646,77.878,audio_features,3aGibUHhQyBsyumYHylw0K,spotify:track:3aGibUHhQyBsyumYHylw0K,https://api.spotify.com/v1/tracks/3aGibUHhQyBsyumYHylw0K,https://api.spotify.com/v1/audio-analysis/3aGibUHhQyBsyumYHylw0K,212653.0,4.0
m.A.A.d city,Kendrick Lamar,200570,conscious hip hop,0.487,0.729,2.0,-6.815,1.0,0.271,0.0538,4.07e-06,0.44,0.217,91.048,audio_features,439TlnnznSiBbQbgXiBqAd,spotify:track:439TlnnznSiBbQbgXiBqAd,https://api.spotify.com/v1/tracks/439TlnnznSiBbQbgXiBqAd,https://api.spotify.com/v1/audio-analysis/439TlnnznSiBbQbgXiBqAd,350120.0,4.0
HUMBLE.,Kendrick Lamar,25568,conscious hip hop,0.908,0.621,1.0,-6.638,0.0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,audio_features,7KXjTSCq5nL1LoYtL7XAwS,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,177000.0,4.0
Home,Vince Staples,211360,conscious hip hop,0.604,0.736,10.0,-5.596,0.0,0.0555,0.00608,0.109,0.11,0.345,118.012,audio_features,7pBsquIkbED6W6uSQJGbkn,spotify:track:7pBsquIkbED6W6uSQJGbkn,https://api.spotify.com/v1/tracks/7pBsquIkbED6W6uSQJGbkn,https://api.spotify.com/v1/audio-analysis/7pBsquIkbED6W6uSQJGbkn,211360.0,4.0
LOVE. FEAT. ZACARI.,Kendrick Lamar,3680,conscious hip hop,0.8,0.585,10.0,-7.343,1.0,0.0924,0.264,0.0,0.153,0.779,126.058,audio_features,6PGoSes0D9eUDeeAafB2As,spotify:track:6PGoSes0D9eUDeeAafB2As,https://api.spotify.com/v1/tracks/6PGoSes0D9eUDeeAafB2As,https://api.spotify.com/v1/audio-analysis/6PGoSes0D9eUDeeAafB2As,213400.0,4.0
Backseat Freestyle,Kendrick Lamar,150700,conscious hip hop,0.546,0.651,1.0,-7.601,1.0,0.3,0.000739,0.0,0.235,0.646,77.878,audio_features,3aGibUHhQyBsyumYHylw0K,spotify:track:3aGibUHhQyBsyumYHylw0K,https://api.spotify.com/v1/tracks/3aGibUHhQyBsyumYHylw0K,https://api.spotify.com/v1/audio-analysis/3aGibUHhQyBsyumYHylw0K,212653.0,4.0
m.A.A.d city,Kendrick Lamar,200570,conscious hip hop,0.487,0.729,2.0,-6.815,1.0,0.271,0.0538,4.07e-06,0.44,0.217,91.048,audio_features,439TlnnznSiBbQbgXiBqAd,spotify:track:439TlnnznSiBbQbgXiBqAd,https://api.spotify.com/v1/tracks/439TlnnznSiBbQbgXiBqAd,https://api.spotify.com/v1/audio-analysis/439TlnnznSiBbQbgXiBqAd,350120.0,4.0
HUMBLE.,Kendrick Lamar,25568,conscious hip hop,0.908,0.621,1.0,-6.638,0.0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,audio_features,7KXjTSCq5nL1LoYtL7XAwS,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,177000.0,4.0
Home,Vince Staples,211360,conscious hip hop,0.604,0.736,10.0,-5.596,0.0,0.0555,0.00608,0.109,0.11,0.345,118.012,audio_features,7pBsquIkbED6W6uSQJGbkn,spotify:track:7pBsquIkbED6W6uSQJGbkn,https://api.spotify.com/v1/tracks/7pBsquIkbED6W6uSQJGbkn,https://api.spotify.com/v1/audio-analysis/7pBsquIkbED6W6uSQJGbkn,211360.0,4.0
LOVE. FEAT. ZACARI.,Kendrick Lamar,3680,conscious hip hop,0.8,0.585,10.0,-7.343,1.0,0.0924,0.264,0.0,0.153,0.779,126.058,audio_features,6PGoSes0D9eUDeeAafB2As,spotify:track:6PGoSes0D9eUDeeAafB2As,https://api.spotify.com/v1/tracks/6PGoSes0D9eUDeeAafB2As,https://api.spotify.com/v1/audio-analysis/6PGoSes0D9eUDeeAafB2As,213400.0,4.0
