trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
"10,000 Hours (with Justin Bieber)",Dan + Shay,339561,contemporary country,0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.0,0.111,0.43,89.991,audio_features,2wrJq5XKLnmhRXHIAf9xBa,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/tracks/2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/audio-analysis/2wrJq5XKLnmhRXHIAf9xBa,167693.0,4.0
Baby Be Crazy,Brantley Gilbert,87905,contemporary country,0.464,0.749,1.0,-4.883,0.0,0.0291,0.00315,0.00528,0.294,0.442,153.067,audio_features,7CmJQKB7nW4yCuA0hhc4nc,spotify:track:7CmJQKB7nW4yCuA0hhc4nc,https://api.spotify.com/v1/tracks/7CmJQKB7nW4yCuA0hhc4nc,https://api.spotify.com/v1/audio-analysis/7CmJQKB7nW4yCuA0hhc4nc,209880.0,4.0
Boot Scootin' Boogie,Brooks & Dunn,17447,contemporary country,0.656,0.817,11.0,-4.296,0.0,0.0435,0.22,0.0,0.304,0.862,130.448,audio_features,7Fq9RwQxSn3kW85PrDUf0M,spotify:track:7Fq9RwQxSn3kW85PrDUf0M,https://api.spotify.com/v1/tracks/7Fq9RwQxSn3kW85PrDUf0M,https://api.spotify.com/v1/audio-analysis/7Fq9RwQxSn3kW85PrDUf0M,198227.0,4.0
Glad You Exist,Dan + Shay,146056,contemporary country,0.741,0.499,11.0,-8.035,1.0,0.0356,0.23,0.0,0.125,0.692,103.96,audio_features,3oV2RVOmwdWdf9BmGS4Oad,spotify:track:3oV2RVOmwdWdf9BmGS4Oad,https://api.spotify.com/v1/tracks/3oV2RVOmwdWdf9BmGS4Oad,https://api.spotify.com/v1/audio-analysis/3oV2RVOmwdWdf9BmGS4Oad,144760.0,4.0
Life is a Highway,Rascal Flatts,2221768,contemporary country,0.582,0.952,5.0,-3.848,1.0,0.0731,0.00324,0.0,0.223,0.655,103.027,audio_features,2Fs18NaCDuluPG1DHGw1XG,spotify:track:2Fs18NaCDuluPG1DHGw1XG,https://api.spotify.com/v1/tracks/2Fs18NaCDuluPG1DHGw1XG,https://api.spotify.com/v1/audio-analysis/2Fs18NaCDuluPG1DHGw1XG,276320.0,4.0
Marry Me,Thomas Rhett,71200,contemporary country,0.333,0.412,3.0,-8.633,1.0,0.029,0.0977,0.0,0.113,0.474,85.028,audio_features,0OWZFobGSIW9GrSlQ9C5pc,spotify:track:0OWZFobGSIW9GrSlQ9C5pc,https://api.spotify.com/v1/tracks/0OWZFobGSIW9GrSlQ9C5pc,https://api.spotify.com/v1/audio-analysis/0OWZFobGSIW9GrSlQ9C5pc,205453.0,4.0
Song of the South,Alabama,190122,contemporary country,0.486,0.633,9.0,-8.414,1.0,0.0365,0.176,0.0,0.312,0.669,162.158,audio_features,2uX5f3x2cObov0iDAPln4o,spotify:track:2uX5f3x2cObov0iDAPln4o,https://api.spotify.com/v1/tracks/2uX5f3x2cObov0iDAPln4o,https://api.spotify.com/v1/audio-analysis/2uX5f3x2cObov0iDAPln4o,190800.0,4.0
Wanna Be That Song,Brett Eldredge,6915,contemporary country,0.518,0.686,9.0,-4.911,1.0,0.0313,0.114,0.0,0.114,0.334,144.065,audio_features,1XazlqB4YAtvouCmJPWXlM,spotify:track:1XazlqB4YAtvouCmJPWXlM,https://api.spotify.com/v1/tracks/1XazlqB4YAtvouCmJPWXlM,https://api.spotify.com/v1/audio-analysis/1XazlqB4YAtvouCmJPWXlM,236227.0,4.0
"10,000 Hours (with Justin Bieber)",Dan + Shay,339561,contemporary country,0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.0,0.111,0.43,89.991,audio_features,2wrJq5XKLnmhRXHIAf9xBa,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/tracks/2wrJq5XKLnmhRXHIAf9xBa,https://api.spotify.com/v1/audio-analysis/2wrJq5XKLnmhRXHIAf9xBa,167693.0,4.0
Baby Be Crazy,Brantley Gilbert,87905,contemporary country,0.464,0.749,1.0,-4.883,0.0,0.0291,0.00315,0.00528,0.294,0.442,153.067,audio_features,7CmJQKB7nW4yCuA0hhc4nc,spotify:track:7CmJQKB7nW4yCuA0hhc4nc,https://api.spotify.com/v1/tracks/7CmJQKB7nW4yCuA0hhc4nc,https://api.spotify.com/v1/audio-analysis/7CmJQKB7nW4yCuA0hhc4nc,209880.0,4.0
