trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Dragostea Din Tei,SP3CTRUM,705805,covertronica,0.668,0.82,0.0,-4.863,1.0,0.0828,0.0303,0.0,0.329,0.158,129.939,audio_features,4i7iReo02WxqA62XybWaPK,spotify:track:4i7iReo02WxqA62XybWaPK,https://api.spotify.com/v1/tracks/4i7iReo02WxqA62XybWaPK,https://api.spotify.com/v1/audio-analysis/4i7iReo02WxqA62XybWaPK,141201.0,4.0
Hot Girl Bummer,Level 8,3173361,covertronica,0.63,0.764,6.0,-5.862,0.0,0.21,0.0552,0.0,0.367,0.418,140.291,audio_features,0ZQOUHBdT8dk0ezGo6vW2G,spotify:track:0ZQOUHBdT8dk0ezGo6vW2G,https://api.spotify.com/v1/tracks/0ZQOUHBdT8dk0ezGo6vW2G,https://api.spotify.com/v1/audio-analysis/0ZQOUHBdT8dk0ezGo6vW2G,184503.0,4.0
Kings & Queens,Robbe,628593,covertronica,0.779,0.66,1.0,-10.341,0.0,0.0821,0.337,0.0,0.217,0.693,126.024,audio_features,2tSnkmZL1916IUzMIOC4Qz,spotify:track:2tSnkmZL1916IUzMIOC4Qz,https://api.spotify.com/v1/tracks/2tSnkmZL1916IUzMIOC4Qz,https://api.spotify.com/v1/audio-analysis/2tSnkmZL1916IUzMIOC4Qz,155576.0,4.0
Magnetic,EMDI,1112384,covertronica,0.605,0.88,9.0,-6.283,0.0,0.0669,0.441,8.62e-06,0.113,0.58,123.832,audio_features,4wwaZGdgjIJ5NnfGQchgbZ,spotify:track:4wwaZGdgjIJ5NnfGQchgbZ,https://api.spotify.com/v1/tracks/4wwaZGdgjIJ5NnfGQchgbZ,https://api.spotify.com/v1/audio-analysis/4wwaZGdgjIJ5NnfGQchgbZ,158952.0,4.0
Mine,Coopex,980549,covertronica,0.476,0.807,1.0,-3.109,0.0,0.0484,0.107,0.00102,0.111,0.28,140.009,audio_features,7f9Ajz5REcESBl6EdlwADW,spotify:track:7f9Ajz5REcESBl6EdlwADW,https://api.spotify.com/v1/tracks/7f9Ajz5REcESBl6EdlwADW,https://api.spotify.com/v1/audio-analysis/7f9Ajz5REcESBl6EdlwADW,209330.0,4.0
You Broke Me First,Coopex,2013823,covertronica,0.661,0.796,1.0,-5.356,0.0,0.178,0.611,0.0,0.0679,0.341,124.064,audio_features,0ISe0f9DauqBmQMnQcD2Ff,spotify:track:0ISe0f9DauqBmQMnQcD2Ff,https://api.spotify.com/v1/tracks/0ISe0f9DauqBmQMnQcD2Ff,https://api.spotify.com/v1/audio-analysis/0ISe0f9DauqBmQMnQcD2Ff,169355.0,4.0
Dragostea Din Tei,SP3CTRUM,705805,covertronica,0.668,0.82,0.0,-4.863,1.0,0.0828,0.0303,0.0,0.329,0.158,129.939,audio_features,4i7iReo02WxqA62XybWaPK,spotify:track:4i7iReo02WxqA62XybWaPK,https://api.spotify.com/v1/tracks/4i7iReo02WxqA62XybWaPK,https://api.spotify.com/v1/audio-analysis/4i7iReo02WxqA62XybWaPK,141201.0,4.0
Hot Girl Bummer,Level 8,3173361,covertronica,0.63,0.764,6.0,-5.862,0.0,0.21,0.0552,0.0,0.367,0.418,140.291,audio_features,0ZQOUHBdT8dk0ezGo6vW2G,spotify:track:0ZQOUHBdT8dk0ezGo6vW2G,https://api.spotify.com/v1/tracks/0ZQOUHBdT8dk0ezGo6vW2G,https://api.spotify.com/v1/audio-analysis/0ZQOUHBdT8dk0ezGo6vW2G,184503.0,4.0
Kings & Queens,Robbe,628593,covertronica,0.779,0.66,1.0,-10.341,0.0,0.0821,0.337,0.0,0.217,0.693,126.024,audio_features,2tSnkmZL1916IUzMIOC4Qz,spotify:track:2tSnkmZL1916IUzMIOC4Qz,https://api.spotify.com/v1/tracks/2tSnkmZL1916IUzMIOC4Qz,https://api.spotify.com/v1/audio-analysis/2tSnkmZL1916IUzMIOC4Qz,155576.0,4.0
Magnetic,EMDI,1112384,covertronica,0.605,0.88,9.0,-6.283,0.0,0.0669,0.441,8.62e-06,0.113,0.58,123.832,audio_features,4wwaZGdgjIJ5NnfGQchgbZ,spotify:track:4wwaZGdgjIJ5NnfGQchgbZ,https://api.spotify.com/v1/tracks/4wwaZGdgjIJ5NnfGQchgbZ,https://api.spotify.com/v1/audio-analysis/4wwaZGdgjIJ5NnfGQchgbZ,158952.0,4.0
Mine,Coopex,980549,covertronica,0.476,0.807,1.0,-3.109,0.0,0.0484,0.107,0.00102,0.111,0.28,140.009,audio_features,7f9Ajz5REcESBl6EdlwADW,spotify:track:7f9Ajz5REcESBl6EdlwADW,https://api.spotify.com/v1/tracks/7f9Ajz5REcESBl6EdlwADW,https://api.spotify.com/v1/audio-analysis/7f9Ajz5REcESBl6EdlwADW,209330.0,4.0
You Broke Me First,Coopex,2013823,covertronica,0.661,0.796,1.0,-5.356,0.0,0.178,0.611,0.0,0.0679,0.341,124.064,audio_features,0ISe0f9DauqBmQMnQcD2Ff,spotify:track:0ISe0f9DauqBmQMnQcD2Ff,https://api.spotify.com/v1/tracks/0ISe0f9DauqBmQMnQcD2Ff,https://api.spotify.com/v1/audio-analysis/0ISe0f9DauqBmQMnQcD2Ff,169355.0,4.0
