trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
...Baby One More Time,Britney Spears,107407,dance pop,0.759,0.699,0.0,-5.745,0.0,0.0307,0.202,0.000131,0.443,0.907,92.96,audio_features,3MjUtNVVq3C8Fn0MP3zhXa,spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,https://api.spotify.com/v1/tracks/3MjUtNVVq3C8Fn0MP3zhXa,https://api.spotify.com/v1/audio-analysis/3MjUtNVVq3C8Fn0MP3zhXa,211067.0,4.0
All I Know So Far,P!nk,2293791,dance pop,0.578,0.639,4.0,-5.749,1.0,0.0374,0.0586,0.0,0.0944,0.296,108.045,audio_features,4LmN3eU1R1vVEdKuDELpGk,spotify:track:4LmN3eU1R1vVEdKuDELpGk,https://api.spotify.com/v1/tracks/4LmN3eU1R1vVEdKuDELpGk,https://api.spotify.com/v1/audio-analysis/4LmN3eU1R1vVEdKuDELpGk,277413.0,4.0
All The Things She Said,t.A.T.u.,214341,dance pop,0.603,0.834,5.0,-5.766,0.0,0.0417,0.0411,0.00609,0.105,0.376,89.957,audio_features,4bJygwUKrRgq1stlNXcgMg,spotify:track:4bJygwUKrRgq1stlNXcgMg,https://api.spotify.com/v1/tracks/4bJygwUKrRgq1stlNXcgMg,https://api.spotify.com/v1/audio-analysis/4bJygwUKrRgq1stlNXcgMg,214440.0,4.0
Anywhere,Rita Ora,3462867,dance pop,0.628,0.797,11.0,-3.953,0.0,0.0596,0.0364,0.0,0.104,0.321,106.93,audio_features,7EI6Iki24tBHAMxtb4xQN2,spotify:track:7EI6Iki24tBHAMxtb4xQN2,https://api.spotify.com/v1/tracks/7EI6Iki24tBHAMxtb4xQN2,https://api.spotify.com/v1/audio-analysis/7EI6Iki24tBHAMxtb4xQN2,215064.0,4.0
"Bailamos - From ""Wild Wild West""",Enrique Iglesias,212693,dance pop,0.629,0.885,7.0,-4.508,1.0,0.0384,0.0532,0.00252,0.105,0.567,99.881,audio_features,1ySwd43oWXbrytN2BD0Mhb,spotify:track:1ySwd43oWXbrytN2BD0Mhb,https://api.spotify.com/v1/tracks/1ySwd43oWXbrytN2BD0Mhb,https://api.spotify.com/v1/audio-analysis/1ySwd43oWXbrytN2BD0Mhb,212693.0,4.0
Bailando - English Version,Enrique Iglesias,14402508,dance pop,0.719,0.844,7.0,-3.529,1.0,0.103,0.0793,0.0,0.0551,0.941,90.951,audio_features,1yM7GIEJ2QniupkEHOyp0a,spotify:track:1yM7GIEJ2QniupkEHOyp0a,https://api.spotify.com/v1/tracks/1yM7GIEJ2QniupkEHOyp0a,https://api.spotify.com/v1/audio-analysis/1yM7GIEJ2QniupkEHOyp0a,243240.0,4.0
Beautiful Girls,Sean Kingston,225373,dance pop,0.762,0.661,1.0,-6.075,0.0,0.0687,0.15,0.0,0.256,0.769,130.009,audio_features,1hGy2eLcmC8eKx7qr1tOqx,spotify:track:1hGy2eLcmC8eKx7qr1tOqx,https://api.spotify.com/v1/tracks/1hGy2eLcmC8eKx7qr1tOqx,https://api.spotify.com/v1/audio-analysis/1hGy2eLcmC8eKx7qr1tOqx,225373.0,4.0
i miss u (with Au/Ra),Jax Jones,1052669,dance pop,0.668,0.726,9.0,-7.512,1.0,0.0468,0.0387,0.0,0.134,0.453,124.075,audio_features,7CH8J4ulT49UfZwSDSkSZA,spotify:track:7CH8J4ulT49UfZwSDSkSZA,https://api.spotify.com/v1/tracks/7CH8J4ulT49UfZwSDSkSZA,https://api.spotify.com/v1/audio-analysis/7CH8J4ulT49UfZwSDSkSZA,172143.0,4.0
Boss Bitch,Doja Cat,134154,dance pop,0.707,0.955,10.0,-4.593,0.0,0.222,0.127,0.0,0.202,0.575,125.989,audio_features,78qd8dvwea0Gosb6Fe6j3k,spotify:track:78qd8dvwea0Gosb6Fe6j3k,https://api.spotify.com/v1/tracks/78qd8dvwea0Gosb6Fe6j3k,https://api.spotify.com/v1/audio-analysis/78qd8dvwea0Gosb6Fe6j3k,134240.0,4.0
Break My Heart,Dua Lipa,949746,dance pop,0.73,0.729,4.0,-3.434,0.0,0.0884,0.167,1.39e-06,0.349,0.467,113.011,audio_features,017PF4Q3l4DBUiWoXk4OWT,spotify:track:017PF4Q3l4DBUiWoXk4OWT,https://api.spotify.com/v1/tracks/017PF4Q3l4DBUiWoXk4OWT,https://api.spotify.com/v1/audio-analysis/017PF4Q3l4DBUiWoXk4OWT,221820.0,4.0
Calling On Me,Sean Paul,2087555,dance pop,0.623,0.891,7.0,-4.419,0.0,0.0653,0.016,0.0,0.329,0.641,99.987,audio_features,5I4VsjWxOqN1nWfUpFZFM3,spotify:track:5I4VsjWxOqN1nWfUpFZFM3,https://api.spotify.com/v1/tracks/5I4VsjWxOqN1nWfUpFZFM3,https://api.spotify.com/v1/audio-analysis/5I4VsjWxOqN1nWfUpFZFM3,218557.0,4.0
Chammak Challo,Akon,485526,dance pop,0.742,0.879,0.0,-4.274,0.0,0.0328,0.0696,7.17e-06,0.0981,0.936,133.946,audio_features,0EH7sgeiFqDa3eS7ieW2zs,spotify:track:0EH7sgeiFqDa3eS7ieW2zs,https://api.spotify.com/v1/tracks/0EH7sgeiFqDa3eS7ieW2zs,https://api.spotify.com/v1/audio-analysis/0EH7sgeiFqDa3eS7ieW2zs,227091.0,4.0
Chasing Stars (feat. James Bay),Alesso,1295411,dance pop,0.594,0.64,10.0,-6.865,1.0,0.033,0.0169,0.0,0.135,0.492,92.871,audio_features,6y6xhAgZjvxy5kR5rigpY3,spotify:track:6y6xhAgZjvxy5kR5rigpY3,https://api.spotify.com/v1/tracks/6y6xhAgZjvxy5kR5rigpY3,https://api.spotify.com/v1/audio-analysis/6y6xhAgZjvxy5kR5rigpY3,170457.0,4.0
