trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
AMNESIA (feat. Boy In Space),DREAMDNVR,3734865,dark r&b,0.708,0.42,9.0,-9.478,0.0,0.121,0.471,0.0,0.353,0.317,145.981,audio_features,1UyDQh3HBJwL6IxR9mXipZ,spotify:track:1UyDQh3HBJwL6IxR9mXipZ,https://api.spotify.com/v1/tracks/1UyDQh3HBJwL6IxR9mXipZ,https://api.spotify.com/v1/audio-analysis/1UyDQh3HBJwL6IxR9mXipZ,175827.0,4.0
BABYDOLL,Ari Abdul,250367,dark r&b,0.552,0.582,11.0,-5.535,1.0,0.0404,0.0813,0.205,0.177,0.538,105.483,audio_features,5K3SJuYEkvvrLbzOjPyRi1,spotify:track:5K3SJuYEkvvrLbzOjPyRi1,https://api.spotify.com/v1/tracks/5K3SJuYEkvvrLbzOjPyRi1,https://api.spotify.com/v1/audio-analysis/5K3SJuYEkvvrLbzOjPyRi1,156651.0,4.0
BABYDOLL (Speed),Ari Abdul,156650,dark r&b,0.552,0.582,11.0,-5.535,1.0,0.0404,0.0813,0.205,0.177,0.538,105.483,audio_features,5K3SJuYEkvvrLbzOjPyRi1,spotify:track:5K3SJuYEkvvrLbzOjPyRi1,https://api.spotify.com/v1/tracks/5K3SJuYEkvvrLbzOjPyRi1,https://api.spotify.com/v1/audio-analysis/5K3SJuYEkvvrLbzOjPyRi1,156651.0,4.0
Beauty,Layto,975652,dark r&b,0.581,0.339,1.0,-9.765,0.0,0.0377,0.0766,0.0,0.111,0.147,75.002,audio_features,0lrkKaRKobXWnGbvZA8iWW,spotify:track:0lrkKaRKobXWnGbvZA8iWW,https://api.spotify.com/v1/tracks/0lrkKaRKobXWnGbvZA8iWW,https://api.spotify.com/v1/audio-analysis/0lrkKaRKobXWnGbvZA8iWW,147402.0,4.0
bluebonnets,Austin George,126000,dark r&b,0.591,0.694,10.0,-9.48,1.0,0.0597,0.315,0.0,0.472,0.51,86.001,audio_features,0bIHWAGW7gahdRc4JP2Eup,spotify:track:0bIHWAGW7gahdRc4JP2Eup,https://api.spotify.com/v1/tracks/0bIHWAGW7gahdRc4JP2Eup,https://api.spotify.com/v1/audio-analysis/0bIHWAGW7gahdRc4JP2Eup,126000.0,4.0
i might like u,Boon,4078177,dark r&b,0.748,0.529,10.0,-7.399,1.0,0.423,0.543,0.0,0.401,0.841,154.015,audio_features,32F2TphKpYNoMGRnepXQvf,spotify:track:32F2TphKpYNoMGRnepXQvf,https://api.spotify.com/v1/tracks/32F2TphKpYNoMGRnepXQvf,https://api.spotify.com/v1/audio-analysis/32F2TphKpYNoMGRnepXQvf,135705.0,4.0
COFFIN,PLVTINUM,1993280,dark r&b,0.752,0.883,6.0,-5.586,1.0,0.26,0.0831,9.93e-05,0.206,0.589,152.998,audio_features,4F5kOAG106Avx0NcnBD9hf,spotify:track:4F5kOAG106Avx0NcnBD9hf,https://api.spotify.com/v1/tracks/4F5kOAG106Avx0NcnBD9hf,https://api.spotify.com/v1/audio-analysis/4F5kOAG106Avx0NcnBD9hf,102353.0,4.0
Chills,Mickey Valen,7963,dark r&b,0.371,0.821,11.0,-4.371,0.0,0.0944,0.0632,0.00429,0.136,0.261,90.405,audio_features,6g6hQOcDSt9IR2wAMCxr2M,spotify:track:6g6hQOcDSt9IR2wAMCxr2M,https://api.spotify.com/v1/tracks/6g6hQOcDSt9IR2wAMCxr2M,https://api.spotify.com/v1/audio-analysis/6g6hQOcDSt9IR2wAMCxr2M,136483.0,4.0
Drive,Dxvn.,269803,dark r&b,0.705,0.598,11.0,-6.83,0.0,0.0336,0.222,0.00303,0.131,0.173,104.985,audio_features,09pBww2I1sjGcHac0KvC2M,spotify:track:09pBww2I1sjGcHac0KvC2M,https://api.spotify.com/v1/tracks/09pBww2I1sjGcHac0KvC2M,https://api.spotify.com/v1/audio-analysis/09pBww2I1sjGcHac0KvC2M,270000.0,4.0
Freak Like That,Austin George,9642,dark r&b,0.629,0.598,6.0,-7.873,0.0,0.105,0.105,0.0,0.17,0.372,79.962,audio_features,4jCA5lFRXy7PkryLP7UIc8,spotify:track:4jCA5lFRXy7PkryLP7UIc8,https://api.spotify.com/v1/tracks/4jCA5lFRXy7PkryLP7UIc8,https://api.spotify.com/v1/audio-analysis/4jCA5lFRXy7PkryLP7UIc8,135844.0,4.0
