trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0 to 100,Sidhu Moose Wala,21354,desi hip hop,0.742,0.675,8.0,-6.551,1.0,0.0907,0.139,0.0,0.167,0.679,145.989,audio_features,7cVe3mYMIfhOlz1NXFWv70,spotify:track:7cVe3mYMIfhOlz1NXFWv70,https://api.spotify.com/v1/tracks/7cVe3mYMIfhOlz1NXFWv70,https://api.spotify.com/v1/audio-analysis/7cVe3mYMIfhOlz1NXFWv70,108493.0,4.0
Aaja We Mahiya,Imran Khan,2400332,desi hip hop,0.639,0.594,10.0,-6.497,1.0,0.0347,0.131,0.0,0.119,0.378,80.034,audio_features,75Ak0cit8hV604Wjlq1gf2,spotify:track:75Ak0cit8hV604Wjlq1gf2,https://api.spotify.com/v1/tracks/75Ak0cit8hV604Wjlq1gf2,https://api.spotify.com/v1/audio-analysis/75Ak0cit8hV604Wjlq1gf2,232067.0,4.0
All Black,Raftaar,45217,desi hip hop,0.813,0.734,10.0,-5.464,0.0,0.0577,0.072,0.0,0.118,0.652,107.967,audio_features,7n6AQKpZUGiJM2auF3yuDY,spotify:track:7n6AQKpZUGiJM2auF3yuDY,https://api.spotify.com/v1/tracks/7n6AQKpZUGiJM2auF3yuDY,https://api.spotify.com/v1/audio-analysis/7n6AQKpZUGiJM2auF3yuDY,218146.0,4.0
Amplifier,Imran Khan,1198663,desi hip hop,0.727,0.714,2.0,-4.494,1.0,0.0872,0.0209,0.0,0.153,0.618,164.003,audio_features,0l1i3nJ4aDMk0inxnvzYTz,spotify:track:0l1i3nJ4aDMk0inxnvzYTz,https://api.spotify.com/v1/tracks/0l1i3nJ4aDMk0inxnvzYTz,https://api.spotify.com/v1/audio-analysis/0l1i3nJ4aDMk0inxnvzYTz,232907.0,4.0
Armani,Zack Knight,208243,desi hip hop,0.746,0.651,11.0,-6.261,0.0,0.199,0.136,0.0,0.0952,0.366,176.053,audio_features,5So8nHNL6ozctmXC2Ws6yA,spotify:track:5So8nHNL6ozctmXC2Ws6yA,https://api.spotify.com/v1/tracks/5So8nHNL6ozctmXC2Ws6yA,https://api.spotify.com/v1/audio-analysis/5So8nHNL6ozctmXC2Ws6yA,178636.0,4.0
Baaraat,Ritviz,233723,desi hip hop,0.678,0.449,4.0,-9.379,0.0,0.0869,0.477,0.0,0.536,0.606,100.033,audio_features,0YLSjVxSb5FT1Bo8Tnxr8j,spotify:track:0YLSjVxSb5FT1Bo8Tnxr8j,https://api.spotify.com/v1/tracks/0YLSjVxSb5FT1Bo8Tnxr8j,https://api.spotify.com/v1/audio-analysis/0YLSjVxSb5FT1Bo8Tnxr8j,222096.0,4.0
Baari,Bilal Saeed,1216121,desi hip hop,0.658,0.539,3.0,-7.043,1.0,0.0433,0.857,1.45e-06,0.0999,0.461,80.088,audio_features,0HTb4JfMtMkMYUtyd19In3,spotify:track:0HTb4JfMtMkMYUtyd19In3,https://api.spotify.com/v1/tracks/0HTb4JfMtMkMYUtyd19In3,https://api.spotify.com/v1/audio-analysis/0HTb4JfMtMkMYUtyd19In3,235297.0,4.0
Bewafa,Imran Khan,2707065,desi hip hop,0.704,0.563,4.0,-4.739,0.0,0.0297,0.594,0.0,0.133,0.0739,94.037,audio_features,4FcknXDJ8yW2QYUl0cm6uJ,spotify:track:4FcknXDJ8yW2QYUl0cm6uJ,https://api.spotify.com/v1/tracks/4FcknXDJ8yW2QYUl0cm6uJ,https://api.spotify.com/v1/audio-analysis/4FcknXDJ8yW2QYUl0cm6uJ,224853.0,4.0
Bom Diggy Diggy,Zack Knight,238530,desi hip hop,0.782,0.827,11.0,-4.219,0.0,0.0627,0.159,0.0,0.226,0.498,104.032,audio_features,6qCNaRRr5xJALfNJvh0NAw,spotify:track:6qCNaRRr5xJALfNJvh0NAw,https://api.spotify.com/v1/tracks/6qCNaRRr5xJALfNJvh0NAw,https://api.spotify.com/v1/audio-analysis/6qCNaRRr5xJALfNJvh0NAw,238530.0,4.0
Brown Munde,AP Dhillon,0,desi hip hop,0.854,0.611,8.0,-6.26,0.0,0.0864,0.223,0.0,0.119,0.417,100.024,audio_features,58f4twRnbZOOVUhMUpplJ4,spotify:track:58f4twRnbZOOVUhMUpplJ4,https://api.spotify.com/v1/tracks/58f4twRnbZOOVUhMUpplJ4,https://api.spotify.com/v1/audio-analysis/58f4twRnbZOOVUhMUpplJ4,254400.0,4.0
Chances,AP Dhillon,701811,desi hip hop,0.621,0.705,6.0,-5.604,0.0,0.222,0.195,4.19e-06,0.292,0.437,85.036,audio_features,3yiEaNgKJWN3gCfHfB8Q1u,spotify:track:3yiEaNgKJWN3gCfHfB8Q1u,https://api.spotify.com/v1/tracks/3yiEaNgKJWN3gCfHfB8Q1u,https://api.spotify.com/v1/audio-analysis/3yiEaNgKJWN3gCfHfB8Q1u,172235.0,4.0
