trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Alfred - Intro,Eminem,16890,detroit hip hop,0.764,0.376,1.0,-12.586,1.0,0.571,0.887,1.92e-06,0.375,0.884,97.546,audio_features,1sv41rYgHhPWdyzwk5K9zy,spotify:track:1sv41rYgHhPWdyzwk5K9zy,https://api.spotify.com/v1/tracks/1sv41rYgHhPWdyzwk5K9zy,https://api.spotify.com/v1/audio-analysis/1sv41rYgHhPWdyzwk5K9zy,17075.0,4.0
Ass Like That,Eminem,37221,detroit hip hop,0.646,0.796,2.0,-6.152,1.0,0.366,0.409,0.0,0.107,0.676,83.093,audio_features,4gXdMZkBN1neE9nX6yRALa,spotify:track:4gXdMZkBN1neE9nX6yRALa,https://api.spotify.com/v1/tracks/4gXdMZkBN1neE9nX6yRALa,https://api.spotify.com/v1/audio-analysis/4gXdMZkBN1neE9nX6yRALa,265480.0,4.0
Beautiful,Eminem,437865,detroit hip hop,0.727,0.696,5.0,-4.472,0.0,0.0706,0.251,0.0,0.0726,0.467,132.077,audio_features,1HR2CTi0ytRJIcik1QKdOa,spotify:track:1HR2CTi0ytRJIcik1QKdOa,https://api.spotify.com/v1/tracks/1HR2CTi0ytRJIcik1QKdOa,https://api.spotify.com/v1/audio-analysis/1HR2CTi0ytRJIcik1QKdOa,392827.0,4.0
Black Magic (feat. Skylar Grey),Eminem,171390,detroit hip hop,0.674,0.807,1.0,-3.961,1.0,0.224,0.0151,3.9e-06,0.584,0.163,140.056,audio_features,50le2HSqQAIqB4BGD4cE9e,spotify:track:50le2HSqQAIqB4BGD4cE9e,https://api.spotify.com/v1/tracks/50le2HSqQAIqB4BGD4cE9e,https://api.spotify.com/v1/audio-analysis/50le2HSqQAIqB4BGD4cE9e,174864.0,4.0
Brainless,Eminem,87452,detroit hip hop,0.7,0.935,9.0,-1.449,1.0,0.385,0.186,0.0,0.323,0.589,172.092,audio_features,5k7wy2Ek7y6kSQ4fER7w0E,spotify:track:5k7wy2Ek7y6kSQ4fER7w0E,https://api.spotify.com/v1/tracks/5k7wy2Ek7y6kSQ4fER7w0E,https://api.spotify.com/v1/audio-analysis/5k7wy2Ek7y6kSQ4fER7w0E,286526.0,4.0
Dance (A$$),Big Sean,2598220,detroit hip hop,0.787,0.73,11.0,-6.788,0.0,0.35,0.0276,0.00157,0.0828,0.739,159.825,audio_features,3ZAMtgYJFoHwJjFkhkXqKr,spotify:track:3ZAMtgYJFoHwJjFkhkXqKr,https://api.spotify.com/v1/tracks/3ZAMtgYJFoHwJjFkhkXqKr,https://api.spotify.com/v1/audio-analysis/3ZAMtgYJFoHwJjFkhkXqKr,220293.0,4.0
Fall,Eminem,22608,detroit hip hop,0.83,0.546,1.0,-5.716,1.0,0.295,0.227,0.0,0.112,0.535,182.973,audio_features,58QhkbaAkLFnn7JwAnAato,spotify:track:58QhkbaAkLFnn7JwAnAato,https://api.spotify.com/v1/tracks/58QhkbaAkLFnn7JwAnAato,https://api.spotify.com/v1/audio-analysis/58QhkbaAkLFnn7JwAnAato,262494.0,4.0
Fast Lane,Bad Meets Evil,431801,detroit hip hop,0.615,0.871,1.0,-3.804,1.0,0.281,0.0388,0.0,0.246,0.338,119.149,audio_features,2c5Isyd07hWsl7AQia2Dig,spotify:track:2c5Isyd07hWsl7AQia2Dig,https://api.spotify.com/v1/tracks/2c5Isyd07hWsl7AQia2Dig,https://api.spotify.com/v1/audio-analysis/2c5Isyd07hWsl7AQia2Dig,249560.0,5.0
Godzilla (feat. Juice WRLD),Eminem,1090279,detroit hip hop,0.808,0.745,10.0,-5.26,0.0,0.342,0.145,0.0,0.292,0.829,165.995,audio_features,7FIWs0pqAYbP91WWM0vlTQ,spotify:track:7FIWs0pqAYbP91WWM0vlTQ,https://api.spotify.com/v1/tracks/7FIWs0pqAYbP91WWM0vlTQ,https://api.spotify.com/v1/audio-analysis/7FIWs0pqAYbP91WWM0vlTQ,210800.0,4.0
Headlights,Eminem,247398,detroit hip hop,0.688,0.782,11.0,-3.683,1.0,0.158,0.152,0.0,0.803,0.453,146.324,audio_features,222dTwr5XeEgAzEtsrQA0R,spotify:track:222dTwr5XeEgAzEtsrQA0R,https://api.spotify.com/v1/tracks/222dTwr5XeEgAzEtsrQA0R,https://api.spotify.com/v1/audio-analysis/222dTwr5XeEgAzEtsrQA0R,343032.0,4.0
