trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
After the Love Has Gone,"Earth, Wind & Fire",278002,disco,0.424,0.443,6.0,-13.45,1.0,0.0382,0.532,0.000389,0.673,0.391,131.675,audio_features,3cfnGXJ9bmiWvFqEO6ff8B,spotify:track:3cfnGXJ9bmiWvFqEO6ff8B,https://api.spotify.com/v1/tracks/3cfnGXJ9bmiWvFqEO6ff8B,https://api.spotify.com/v1/audio-analysis/3cfnGXJ9bmiWvFqEO6ff8B,278040.0,4.0
Blame It on the Boogie,The Jacksons,195767,disco,0.774,0.641,1.0,-10.193,1.0,0.0799,0.0765,0.0,0.0867,0.875,113.256,audio_features,3qI94hINNNeb4S7xQi18lS,spotify:track:3qI94hINNNeb4S7xQi18lS,https://api.spotify.com/v1/tracks/3qI94hINNNeb4S7xQi18lS,https://api.spotify.com/v1/audio-analysis/3qI94hINNNeb4S7xQi18lS,214200.0,4.0
Boogie Wonderland,"Earth, Wind & Fire",329543,disco,0.802,0.756,2.0,-10.791,0.0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,audio_features,6ztstiyZL6FXzh4aG46ZPD,spotify:track:6ztstiyZL6FXzh4aG46ZPD,https://api.spotify.com/v1/tracks/6ztstiyZL6FXzh4aG46ZPD,https://api.spotify.com/v1/audio-analysis/6ztstiyZL6FXzh4aG46ZPD,288293.0,4.0
Candy,Cameo,2416250,disco,0.705,0.709,11.0,-12.649,0.0,0.0489,0.119,1.69e-05,0.286,0.853,110.522,audio_features,0Aj8EagrPfDoOe5OlUdrLC,spotify:track:0Aj8EagrPfDoOe5OlUdrLC,https://api.spotify.com/v1/tracks/0Aj8EagrPfDoOe5OlUdrLC,https://api.spotify.com/v1/audio-analysis/0Aj8EagrPfDoOe5OlUdrLC,339933.0,4.0
Fantasy,"Earth, Wind & Fire",226065,disco,0.666,0.714,4.0,-9.448,0.0,0.0617,0.291,0.0212,0.128,0.69,89.018,audio_features,0Eq4BMgsdV6DkLSJfX8eBt,spotify:track:0Eq4BMgsdV6DkLSJfX8eBt,https://api.spotify.com/v1/tracks/0Eq4BMgsdV6DkLSJfX8eBt,https://api.spotify.com/v1/audio-analysis/0Eq4BMgsdV6DkLSJfX8eBt,226213.0,4.0
How Deep Is Your Love,Bee Gees,1456468,disco,0.594,0.5,5.0,-5.586,0.0,0.0255,0.076,9.86e-05,0.184,0.537,104.996,audio_features,3ZP18us6p6LHOZMG1LLUjF,spotify:track:3ZP18us6p6LHOZMG1LLUjF,https://api.spotify.com/v1/tracks/3ZP18us6p6LHOZMG1LLUjF,https://api.spotify.com/v1/audio-analysis/3ZP18us6p6LHOZMG1LLUjF,241093.0,4.0
Let's Groove,"Earth, Wind & Fire",9749437,disco,0.869,0.648,11.0,-8.698,0.0,0.0633,0.121,2.17e-05,0.126,0.9,125.035,audio_features,3koCCeSaVUyrRo3N2gHrd8,spotify:track:3koCCeSaVUyrRo3N2gHrd8,https://api.spotify.com/v1/tracks/3koCCeSaVUyrRo3N2gHrd8,https://api.spotify.com/v1/audio-analysis/3koCCeSaVUyrRo3N2gHrd8,339320.0,4.0
September,"Earth, Wind & Fire",6331241,disco,0.674,0.832,9.0,-7.892,1.0,0.0308,0.146,5.06e-06,0.138,0.981,125.996,audio_features,3kXoKlD84c6OmIcOLfrfEs,spotify:track:3kXoKlD84c6OmIcOLfrfEs,https://api.spotify.com/v1/tracks/3kXoKlD84c6OmIcOLfrfEs,https://api.spotify.com/v1/audio-analysis/3kXoKlD84c6OmIcOLfrfEs,216022.0,4.0
Shining Star,"Earth, Wind & Fire",30117,disco,0.676,0.692,9.0,-13.093,1.0,0.052,0.668,0.00915,0.13,0.799,102.516,audio_features,0RgcOUQg4qYAEt9RIdf3oB,spotify:track:0RgcOUQg4qYAEt9RIdf3oB,https://api.spotify.com/v1/tracks/0RgcOUQg4qYAEt9RIdf3oB,https://api.spotify.com/v1/audio-analysis/0RgcOUQg4qYAEt9RIdf3oB,170160.0,4.0
You Dropped A Bomb On Me,The Gap Band,4782538,disco,0.786,0.627,9.0,-11.177,1.0,0.0339,0.00737,0.00186,0.181,0.831,126.461,audio_features,1VKPiQJnV15flF5B3zeocD,spotify:track:1VKPiQJnV15flF5B3zeocD,https://api.spotify.com/v1/tracks/1VKPiQJnV15flF5B3zeocD,https://api.spotify.com/v1/audio-analysis/1VKPiQJnV15flF5B3zeocD,312907.0,4.0
After the Love Has Gone,"Earth, Wind & Fire",278002,disco,0.424,0.443,6.0,-13.45,1.0,0.0382,0.532,0.000389,0.673,0.391,131.675,audio_features,3cfnGXJ9bmiWvFqEO6ff8B,spotify:track:3cfnGXJ9bmiWvFqEO6ff8B,https://api.spotify.com/v1/tracks/3cfnGXJ9bmiWvFqEO6ff8B,https://api.spotify.com/v1/audio-analysis/3cfnGXJ9bmiWvFqEO6ff8B,278040.0,4.0
Blame It on the Boogie,The Jacksons,195767,disco,0.774,0.641,1.0,-10.193,1.0,0.0799,0.0765,0.0,0.0867,0.875,113.256,audio_features,3qI94hINNNeb4S7xQi18lS,spotify:track:3qI94hINNNeb4S7xQi18lS,https://api.spotify.com/v1/tracks/3qI94hINNNeb4S7xQi18lS,https://api.spotify.com/v1/audio-analysis/3qI94hINNNeb4S7xQi18lS,214200.0,4.0
Boogie Wonderland,"Earth, Wind & Fire",329543,disco,0.802,0.756,2.0,-10.791,0.0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,audio_features,6ztstiyZL6FXzh4aG46ZPD,spotify:track:6ztstiyZL6FXzh4aG46ZPD,https://api.spotify.com/v1/tracks/6ztstiyZL6FXzh4aG46ZPD,https://api.spotify.com/v1/audio-analysis/6ztstiyZL6FXzh4aG46ZPD,288293.0,4.0
Candy,Cameo,2416250,disco,0.705,0.709,11.0,-12.649,0.0,0.0489,0.119,1.69e-05,0.286,0.853,110.522,audio_features,0Aj8EagrPfDoOe5OlUdrLC,spotify:track:0Aj8EagrPfDoOe5OlUdrLC,https://api.spotify.com/v1/tracks/0Aj8EagrPfDoOe5OlUdrLC,https://api.spotify.com/v1/audio-analysis/0Aj8EagrPfDoOe5OlUdrLC,339933.0,4.0
Fantasy,"Earth, Wind & Fire",226065,disco,0.666,0.714,4.0,-9.448,0.0,0.0617,0.291,0.0212,0.128,0.69,89.018,audio_features,0Eq4BMgsdV6DkLSJfX8eBt,spotify:track:0Eq4BMgsdV6DkLSJfX8eBt,https://api.spotify.com/v1/tracks/0Eq4BMgsdV6DkLSJfX8eBt,https://api.spotify.com/v1/audio-analysis/0Eq4BMgsdV6DkLSJfX8eBt,226213.0,4.0
