trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
BLOOD FLAME,BADTRIP MUSIC,181119,drift phonk,0.781,0.913,7.0,-1.689,1.0,0.0802,0.0348,8.58e-05,0.294,0.557,120.027,audio_features,1YT2jbHmwiYLi2qxRF2F2f,spotify:track:1YT2jbHmwiYLi2qxRF2F2f,https://api.spotify.com/v1/tracks/1YT2jbHmwiYLi2qxRF2F2f,https://api.spotify.com/v1/audio-analysis/1YT2jbHmwiYLi2qxRF2F2f,181120.0,4.0
BLOOD RACE,Ghostface Playa,109459,drift phonk,0.714,0.891,10.0,-2.819,0.0,0.199,2.5e-05,0.104,0.4,0.664,183.995,audio_features,0D3SaRvnoMohXOEJ75GieD,spotify:track:0D3SaRvnoMohXOEJ75GieD,https://api.spotify.com/v1/tracks/0D3SaRvnoMohXOEJ75GieD,https://api.spotify.com/v1/audio-analysis/0D3SaRvnoMohXOEJ75GieD,109565.0,4.0
BREAKDOWN,MC ORSEN,146819,drift phonk,0.678,0.929,9.0,-2.092,1.0,0.0837,0.0104,2.84e-05,0.308,0.592,169.996,audio_features,5kls2kQ8YOqtiqOK9QqAns,spotify:track:5kls2kQ8YOqtiqOK9QqAns,https://api.spotify.com/v1/tracks/5kls2kQ8YOqtiqOK9QqAns,https://api.spotify.com/v1/audio-analysis/5kls2kQ8YOqtiqOK9QqAns,146820.0,4.0
u.,niteboi,174175,drift phonk,0.483,0.531,4.0,-10.091,0.0,0.0604,0.0582,0.906,0.111,0.0973,123.942,audio_features,3bwIVaOlLSX4rInoLgB3uX,spotify:track:3bwIVaOlLSX4rInoLgB3uX,https://api.spotify.com/v1/tracks/3bwIVaOlLSX4rInoLgB3uX,https://api.spotify.com/v1/audio-analysis/3bwIVaOlLSX4rInoLgB3uX,174299.0,4.0
vendetta!,MUPP,811168,drift phonk,0.706,0.91,1.0,-3.527,1.0,0.146,0.175,2e-06,0.11,0.667,126.007,audio_features,5Sk39LuvdwuvL84jD01Dum,spotify:track:5Sk39LuvdwuvL84jD01Dum,https://api.spotify.com/v1/tracks/5Sk39LuvdwuvL84jD01Dum,https://api.spotify.com/v1/audio-analysis/5Sk39LuvdwuvL84jD01Dum,107045.0,4.0
vendetta! - sped up,MUPP,91582,drift phonk,0.654,0.944,1.0,-3.207,1.0,0.223,0.207,2.01e-06,0.126,0.632,147.308,audio_features,0D45ixbwxjkT4S7V1kpt5y,spotify:track:0D45ixbwxjkT4S7V1kpt5y,https://api.spotify.com/v1/tracks/0D45ixbwxjkT4S7V1kpt5y,https://api.spotify.com/v1/audio-analysis/0D45ixbwxjkT4S7V1kpt5y,91582.0,4.0
COURAGE,SHADXWBXRN,515667,drift phonk,0.732,0.994,7.0,-4.159,1.0,0.351,0.00414,0.38,0.0851,0.648,186.026,audio_features,56kfvPwk9KARklFwz5jwjJ,spotify:track:56kfvPwk9KARklFwz5jwjJ,https://api.spotify.com/v1/tracks/56kfvPwk9KARklFwz5jwjJ,https://api.spotify.com/v1/audio-analysis/56kfvPwk9KARklFwz5jwjJ,129032.0,4.0
COWBELL WARRIOR!,Sxmpra,521617,drift phonk,0.747,0.801,2.0,-5.826,1.0,0.334,0.0287,2.97e-05,0.441,0.707,167.077,audio_features,4eDE92gbf1iKImxBIKS64V,spotify:track:4eDE92gbf1iKImxBIKS64V,https://api.spotify.com/v1/tracks/4eDE92gbf1iKImxBIKS64V,https://api.spotify.com/v1/audio-analysis/4eDE92gbf1iKImxBIKS64V,149461.0,4.0
CRIMINAL MANE,PRXSXNT FXTURE,151804,drift phonk,0.806,0.658,5.0,-9.017,0.0,0.0505,0.34,0.772,0.0777,0.205,118.998,audio_features,3W5AJtjwTqzYJWhF2iBKAE,spotify:track:3W5AJtjwTqzYJWhF2iBKAE,https://api.spotify.com/v1/tracks/3W5AJtjwTqzYJWhF2iBKAE,https://api.spotify.com/v1/audio-analysis/3W5AJtjwTqzYJWhF2iBKAE,153277.0,4.0
DAEDALUS,Phonk Killer,125479,drift phonk,0.916,0.702,0.0,-4.78,1.0,0.0362,0.00567,0.271,0.13,0.842,126.066,audio_features,5OA0Crr2O5sf4vaj7WpNup,spotify:track:5OA0Crr2O5sf4vaj7WpNup,https://api.spotify.com/v1/tracks/5OA0Crr2O5sf4vaj7WpNup,https://api.spotify.com/v1/audio-analysis/5OA0Crr2O5sf4vaj7WpNup,125719.0,4.0
DAMAGE,SHADXWBXRN,282867,drift phonk,0.666,0.958,0.0,-3.602,1.0,0.0455,0.273,0.931,0.0993,0.909,121.993,audio_features,2YSm6BI1oDJwBayq3ey1QG,spotify:track:2YSm6BI1oDJwBayq3ey1QG,https://api.spotify.com/v1/tracks/2YSm6BI1oDJwBayq3ey1QG,https://api.spotify.com/v1/audio-analysis/2YSm6BI1oDJwBayq3ey1QG,141639.0,4.0
DECIMATION,Eyez Hate U,137072,drift phonk,0.7,0.975,4.0,-2.659,0.0,0.0356,0.00382,0.427,0.328,0.43,126.011,audio_features,0us6HsfLfz9BpjUw7WeUXv,spotify:track:0us6HsfLfz9BpjUw7WeUXv,https://api.spotify.com/v1/tracks/0us6HsfLfz9BpjUw7WeUXv,https://api.spotify.com/v1/audio-analysis/0us6HsfLfz9BpjUw7WeUXv,137148.0,4.0
