trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Animals,Martin Garrix,726794,dutch edm,0.593,0.914,1.0,-5.351,1.0,0.0363,0.00137,0.445,0.0714,0.0381,128.015,audio_features,65G7XDGcybJiGywSCXJiL5,spotify:track:65G7XDGcybJiGywSCXJiL5,https://api.spotify.com/v1/tracks/65G7XDGcybJiGywSCXJiL5,https://api.spotify.com/v1/audio-analysis/65G7XDGcybJiGywSCXJiL5,176120.0,4.0
Home (feat. Bonn),Martin Garrix,238884,dutch edm,0.466,0.612,8.0,-4.855,0.0,0.0307,0.0655,4.07e-06,0.132,0.236,128.114,audio_features,4aTtHoSBB0CuQGA6vXBNyp,spotify:track:4aTtHoSBB0CuQGA6vXBNyp,https://api.spotify.com/v1/tracks/4aTtHoSBB0CuQGA6vXBNyp,https://api.spotify.com/v1/audio-analysis/4aTtHoSBB0CuQGA6vXBNyp,239067.0,4.0
In the Name of Love,Martin Garrix,195468,dutch edm,0.501,0.519,4.0,-5.88,0.0,0.0409,0.109,0.0,0.454,0.168,133.99,audio_features,23L5CiUhw2jV1OIMwthR3S,spotify:track:23L5CiUhw2jV1OIMwthR3S,https://api.spotify.com/v1/tracks/23L5CiUhw2jV1OIMwthR3S,https://api.spotify.com/v1/audio-analysis/23L5CiUhw2jV1OIMwthR3S,195707.0,4.0
Love Runs Out (feat. G-Eazy & Sasha Alex Sloan),Martin Garrix,1689699,dutch edm,0.647,0.642,9.0,-7.306,0.0,0.0743,0.262,0.0,0.134,0.48,90.045,audio_features,3jbAzLVcHiI5hYSkcKe1Ty,spotify:track:3jbAzLVcHiI5hYSkcKe1Ty,https://api.spotify.com/v1/tracks/3jbAzLVcHiI5hYSkcKe1Ty,https://api.spotify.com/v1/audio-analysis/3jbAzLVcHiI5hYSkcKe1Ty,164167.0,4.0
Nemesis,Ryllz,1210713,dutch edm,0.63,0.768,9.0,-4.891,1.0,0.0767,0.0266,0.439,0.364,0.32,104.913,audio_features,3S9b5ink1kHrrKql3FdDI2,spotify:track:3S9b5ink1kHrrKql3FdDI2,https://api.spotify.com/v1/tracks/3S9b5ink1kHrrKql3FdDI2,https://api.spotify.com/v1/audio-analysis/3S9b5ink1kHrrKql3FdDI2,160530.0,4.0
So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,80580,dutch edm,0.526,0.52,6.0,-7.985,0.0,0.0569,0.435,0.0,0.197,0.13,149.119,audio_features,0OlnLZY4cmQzT6ZGttvWBM,spotify:track:0OlnLZY4cmQzT6ZGttvWBM,https://api.spotify.com/v1/tracks/0OlnLZY4cmQzT6ZGttvWBM,https://api.spotify.com/v1/audio-analysis/0OlnLZY4cmQzT6ZGttvWBM,183637.0,4.0
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,2994871,dutch edm,0.661,0.723,5.0,-6.976,0.0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,audio_features,7Feaw9WAEREY0DUOSXJLOM,spotify:track:7Feaw9WAEREY0DUOSXJLOM,https://api.spotify.com/v1/tracks/7Feaw9WAEREY0DUOSXJLOM,https://api.spotify.com/v1/audio-analysis/7Feaw9WAEREY0DUOSXJLOM,163805.0,4.0
Animals,Martin Garrix,726794,dutch edm,0.593,0.914,1.0,-5.351,1.0,0.0363,0.00137,0.445,0.0714,0.0381,128.015,audio_features,65G7XDGcybJiGywSCXJiL5,spotify:track:65G7XDGcybJiGywSCXJiL5,https://api.spotify.com/v1/tracks/65G7XDGcybJiGywSCXJiL5,https://api.spotify.com/v1/audio-analysis/65G7XDGcybJiGywSCXJiL5,176120.0,4.0
Home (feat. Bonn),Martin Garrix,238884,dutch edm,0.466,0.612,8.0,-4.855,0.0,0.0307,0.0655,4.07e-06,0.132,0.236,128.114,audio_features,4aTtHoSBB0CuQGA6vXBNyp,spotify:track:4aTtHoSBB0CuQGA6vXBNyp,https://api.spotify.com/v1/tracks/4aTtHoSBB0CuQGA6vXBNyp,https://api.spotify.com/v1/audio-analysis/4aTtHoSBB0CuQGA6vXBNyp,239067.0,4.0
In the Name of Love,Martin Garrix,195468,dutch edm,0.501,0.519,4.0,-5.88,0.0,0.0409,0.109,0.0,0.454,0.168,133.99,audio_features,23L5CiUhw2jV1OIMwthR3S,spotify:track:23L5CiUhw2jV1OIMwthR3S,https://api.spotify.com/v1/tracks/23L5CiUhw2jV1OIMwthR3S,https://api.spotify.com/v1/audio-analysis/23L5CiUhw2jV1OIMwthR3S,195707.0,4.0
Love Runs Out (feat. G-Eazy & Sasha Alex Sloan),Martin Garrix,1689699,dutch edm,0.647,0.642,9.0,-7.306,0.0,0.0743,0.262,0.0,0.134,0.48,90.045,audio_features,3jbAzLVcHiI5hYSkcKe1Ty,spotify:track:3jbAzLVcHiI5hYSkcKe1Ty,https://api.spotify.com/v1/tracks/3jbAzLVcHiI5hYSkcKe1Ty,https://api.spotify.com/v1/audio-analysis/3jbAzLVcHiI5hYSkcKe1Ty,164167.0,4.0
Nemesis,Ryllz,1210713,dutch edm,0.63,0.768,9.0,-4.891,1.0,0.0767,0.0266,0.439,0.364,0.32,104.913,audio_features,3S9b5ink1kHrrKql3FdDI2,spotify:track:3S9b5ink1kHrrKql3FdDI2,https://api.spotify.com/v1/tracks/3S9b5ink1kHrrKql3FdDI2,https://api.spotify.com/v1/audio-analysis/3S9b5ink1kHrrKql3FdDI2,160530.0,4.0
So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,80580,dutch edm,0.526,0.52,6.0,-7.985,0.0,0.0569,0.435,0.0,0.197,0.13,149.119,audio_features,0OlnLZY4cmQzT6ZGttvWBM,spotify:track:0OlnLZY4cmQzT6ZGttvWBM,https://api.spotify.com/v1/tracks/0OlnLZY4cmQzT6ZGttvWBM,https://api.spotify.com/v1/audio-analysis/0OlnLZY4cmQzT6ZGttvWBM,183637.0,4.0
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,2994871,dutch edm,0.661,0.723,5.0,-6.976,0.0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,audio_features,7Feaw9WAEREY0DUOSXJLOM,spotify:track:7Feaw9WAEREY0DUOSXJLOM,https://api.spotify.com/v1/tracks/7Feaw9WAEREY0DUOSXJLOM,https://api.spotify.com/v1/audio-analysis/7Feaw9WAEREY0DUOSXJLOM,163805.0,4.0
