trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
All Around the World (La La La),R3HAB,147840,dutch house,0.733,0.859,9.0,-5.03,0.0,0.033,0.479,0.0645,0.105,0.52,124.948,audio_features,1D2Aldrksl9yWWCIPOeDzy,spotify:track:1D2Aldrksl9yWWCIPOeDzy,https://api.spotify.com/v1/tracks/1D2Aldrksl9yWWCIPOeDzy,https://api.spotify.com/v1/audio-analysis/1D2Aldrksl9yWWCIPOeDzy,147840.0,4.0
All Into Nothing,R3HAB,202372,dutch house,0.571,0.763,9.0,-6.66,1.0,0.05,0.0421,0.0,0.394,0.21,99.955,audio_features,4wPKG3qqGV2VRIIgxbZpwl,spotify:track:4wPKG3qqGV2VRIIgxbZpwl,https://api.spotify.com/v1/tracks/4wPKG3qqGV2VRIIgxbZpwl,https://api.spotify.com/v1/audio-analysis/4wPKG3qqGV2VRIIgxbZpwl,161400.0,4.0
All This Time - Timmy Trumpet Remix,Deorro,2053548,dutch house,0.699,0.709,6.0,-6.316,0.0,0.0889,0.0976,0.000124,0.0852,0.426,149.975,audio_features,77qICJwArD3Lk6s9BoZIxO,spotify:track:77qICJwArD3Lk6s9BoZIxO,https://api.spotify.com/v1/tracks/77qICJwArD3Lk6s9BoZIxO,https://api.spotify.com/v1/audio-analysis/77qICJwArD3Lk6s9BoZIxO,177718.0,4.0
Am I The Only One (with Astrid S & HRVY),R3HAB,2110609,dutch house,0.722,0.592,9.0,-7.746,1.0,0.0564,0.401,1.31e-06,0.0927,0.438,139.903,audio_features,2RmsU8ooQ6dUmtPmAOzKOB,spotify:track:2RmsU8ooQ6dUmtPmAOzKOB,https://api.spotify.com/v1/tracks/2RmsU8ooQ6dUmtPmAOzKOB,https://api.spotify.com/v1/audio-analysis/2RmsU8ooQ6dUmtPmAOzKOB,152143.0,4.0
Hold On (feat. Cheat Codes) - 2020 Edit,MOGUAI,144843,dutch house,0.622,0.802,9.0,-4.969,0.0,0.167,0.17,0.0,0.263,0.764,124.859,audio_features,2FGh2ref26EwA3Z5st5oHb,spotify:track:2FGh2ref26EwA3Z5st5oHb,https://api.spotify.com/v1/tracks/2FGh2ref26EwA3Z5st5oHb,https://api.spotify.com/v1/audio-analysis/2FGh2ref26EwA3Z5st5oHb,144910.0,4.0
Silence (feat. Trove),Julian Calor,169443,dutch house,0.747,0.728,10.0,-6.683,0.0,0.0785,0.0173,8.59e-05,0.0813,0.471,126.019,audio_features,2M37iQ4sao74y4ISOGPthr,spotify:track:2M37iQ4sao74y4ISOGPthr,https://api.spotify.com/v1/tracks/2M37iQ4sao74y4ISOGPthr,https://api.spotify.com/v1/audio-analysis/2M37iQ4sao74y4ISOGPthr,169568.0,4.0
Supersonic (feat. Christian Burns),Swanky Tunes,1145828,dutch house,0.34,0.923,0.0,-3.864,0.0,0.131,0.00814,0.000829,0.385,0.13,127.789,audio_features,2d0UsAbvuAiCyR4oV6fiOq,spotify:track:2d0UsAbvuAiCyR4oV6fiOq,https://api.spotify.com/v1/tracks/2d0UsAbvuAiCyR4oV6fiOq,https://api.spotify.com/v1/audio-analysis/2d0UsAbvuAiCyR4oV6fiOq,245784.0,4.0
All Around the World (La La La),R3HAB,147840,dutch house,0.733,0.859,9.0,-5.03,0.0,0.033,0.479,0.0645,0.105,0.52,124.948,audio_features,1D2Aldrksl9yWWCIPOeDzy,spotify:track:1D2Aldrksl9yWWCIPOeDzy,https://api.spotify.com/v1/tracks/1D2Aldrksl9yWWCIPOeDzy,https://api.spotify.com/v1/audio-analysis/1D2Aldrksl9yWWCIPOeDzy,147840.0,4.0
All Into Nothing,R3HAB,202372,dutch house,0.571,0.763,9.0,-6.66,1.0,0.05,0.0421,0.0,0.394,0.21,99.955,audio_features,4wPKG3qqGV2VRIIgxbZpwl,spotify:track:4wPKG3qqGV2VRIIgxbZpwl,https://api.spotify.com/v1/tracks/4wPKG3qqGV2VRIIgxbZpwl,https://api.spotify.com/v1/audio-analysis/4wPKG3qqGV2VRIIgxbZpwl,161400.0,4.0
All This Time - Timmy Trumpet Remix,Deorro,2053548,dutch house,0.699,0.709,6.0,-6.316,0.0,0.0889,0.0976,0.000124,0.0852,0.426,149.975,audio_features,77qICJwArD3Lk6s9BoZIxO,spotify:track:77qICJwArD3Lk6s9BoZIxO,https://api.spotify.com/v1/tracks/77qICJwArD3Lk6s9BoZIxO,https://api.spotify.com/v1/audio-analysis/77qICJwArD3Lk6s9BoZIxO,177718.0,4.0
Am I The Only One (with Astrid S & HRVY),R3HAB,2110609,dutch house,0.722,0.592,9.0,-7.746,1.0,0.0564,0.401,1.31e-06,0.0927,0.438,139.903,audio_features,2RmsU8ooQ6dUmtPmAOzKOB,spotify:track:2RmsU8ooQ6dUmtPmAOzKOB,https://api.spotify.com/v1/tracks/2RmsU8ooQ6dUmtPmAOzKOB,https://api.spotify.com/v1/audio-analysis/2RmsU8ooQ6dUmtPmAOzKOB,152143.0,4.0
Hold On (feat. Cheat Codes) - 2020 Edit,MOGUAI,144843,dutch house,0.622,0.802,9.0,-4.969,0.0,0.167,0.17,0.0,0.263,0.764,124.859,audio_features,2FGh2ref26EwA3Z5st5oHb,spotify:track:2FGh2ref26EwA3Z5st5oHb,https://api.spotify.com/v1/tracks/2FGh2ref26EwA3Z5st5oHb,https://api.spotify.com/v1/audio-analysis/2FGh2ref26EwA3Z5st5oHb,144910.0,4.0
Silence (feat. Trove),Julian Calor,169443,dutch house,0.747,0.728,10.0,-6.683,0.0,0.0785,0.0173,8.59e-05,0.0813,0.471,126.019,audio_features,2M37iQ4sao74y4ISOGPthr,spotify:track:2M37iQ4sao74y4ISOGPthr,https://api.spotify.com/v1/tracks/2M37iQ4sao74y4ISOGPthr,https://api.spotify.com/v1/audio-analysis/2M37iQ4sao74y4ISOGPthr,169568.0,4.0
Supersonic (feat. Christian Burns),Swanky Tunes,1145828,dutch house,0.34,0.923,0.0,-3.864,0.0,0.131,0.00814,0.000829,0.385,0.13,127.789,audio_features,2d0UsAbvuAiCyR4oV6fiOq,spotify:track:2d0UsAbvuAiCyR4oV6fiOq,https://api.spotify.com/v1/tracks/2d0UsAbvuAiCyR4oV6fiOq,https://api.spotify.com/v1/audio-analysis/2d0UsAbvuAiCyR4oV6fiOq,245784.0,4.0
