trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)",Wu-Tang Clan,1469697,east coast hip hop,0.479,0.549,11.0,-10.551,0.0,0.373,0.57,0.0235,0.127,0.576,180.985,audio_features,119c93MHjrDLJTApCVGpvx,spotify:track:119c93MHjrDLJTApCVGpvx,https://api.spotify.com/v1/tracks/119c93MHjrDLJTApCVGpvx,https://api.spotify.com/v1/audio-analysis/119c93MHjrDLJTApCVGpvx,252187.0,4.0
Numb / Encore,JAY-Z,78185,east coast hip hop,0.687,0.793,2.0,-4.254,1.0,0.166,0.0603,0.0,0.582,0.751,107.045,audio_features,5sNESr6pQfIhL3krM8CtZn,spotify:track:5sNESr6pQfIhL3krM8CtZn,https://api.spotify.com/v1/tracks/5sNESr6pQfIhL3krM8CtZn,https://api.spotify.com/v1/audio-analysis/5sNESr6pQfIhL3krM8CtZn,205733.0,4.0
Rapper's Delight,The Sugarhill Gang,2720339,east coast hip hop,0.9,0.845,11.0,-7.306,0.0,0.257,0.465,0.0,0.0724,0.914,111.187,audio_features,7sZDbHZiuHEzS00vzCuhqS,spotify:track:7sZDbHZiuHEzS00vzCuhqS,https://api.spotify.com/v1/tracks/7sZDbHZiuHEzS00vzCuhqS,https://api.spotify.com/v1/audio-analysis/7sZDbHZiuHEzS00vzCuhqS,427360.0,4.0
Think I Am - Dead Rabbit Remix,Masta Ace,198089,east coast hip hop,0.821,0.463,7.0,-7.031,1.0,0.0942,0.149,0.0213,0.15,0.391,103.727,audio_features,0DoSZp7ZQetqYfslkmMRsi,spotify:track:0DoSZp7ZQetqYfslkmMRsi,https://api.spotify.com/v1/tracks/0DoSZp7ZQetqYfslkmMRsi,https://api.spotify.com/v1/audio-analysis/0DoSZp7ZQetqYfslkmMRsi,198089.0,4.0
Wild for the Night (feat. Skrillex & Birdy Nam Nam),A$AP Rocky,7150,east coast hip hop,0.757,0.848,2.0,-4.234,1.0,0.335,0.0481,0.0,0.121,0.686,139.995,audio_features,2rzBvHM9h36Tpdj7Jdajka,spotify:track:2rzBvHM9h36Tpdj7Jdajka,https://api.spotify.com/v1/tracks/2rzBvHM9h36Tpdj7Jdajka,https://api.spotify.com/v1/audio-analysis/2rzBvHM9h36Tpdj7Jdajka,212640.0,4.0
"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)",Wu-Tang Clan,1469697,east coast hip hop,0.479,0.549,11.0,-10.551,0.0,0.373,0.57,0.0235,0.127,0.576,180.985,audio_features,119c93MHjrDLJTApCVGpvx,spotify:track:119c93MHjrDLJTApCVGpvx,https://api.spotify.com/v1/tracks/119c93MHjrDLJTApCVGpvx,https://api.spotify.com/v1/audio-analysis/119c93MHjrDLJTApCVGpvx,252187.0,4.0
Numb / Encore,JAY-Z,78185,east coast hip hop,0.687,0.793,2.0,-4.254,1.0,0.166,0.0603,0.0,0.582,0.751,107.045,audio_features,5sNESr6pQfIhL3krM8CtZn,spotify:track:5sNESr6pQfIhL3krM8CtZn,https://api.spotify.com/v1/tracks/5sNESr6pQfIhL3krM8CtZn,https://api.spotify.com/v1/audio-analysis/5sNESr6pQfIhL3krM8CtZn,205733.0,4.0
Rapper's Delight,The Sugarhill Gang,2720339,east coast hip hop,0.9,0.845,11.0,-7.306,0.0,0.257,0.465,0.0,0.0724,0.914,111.187,audio_features,7sZDbHZiuHEzS00vzCuhqS,spotify:track:7sZDbHZiuHEzS00vzCuhqS,https://api.spotify.com/v1/tracks/7sZDbHZiuHEzS00vzCuhqS,https://api.spotify.com/v1/audio-analysis/7sZDbHZiuHEzS00vzCuhqS,427360.0,4.0
Think I Am - Dead Rabbit Remix,Masta Ace,198089,east coast hip hop,0.821,0.463,7.0,-7.031,1.0,0.0942,0.149,0.0213,0.15,0.391,103.727,audio_features,0DoSZp7ZQetqYfslkmMRsi,spotify:track:0DoSZp7ZQetqYfslkmMRsi,https://api.spotify.com/v1/tracks/0DoSZp7ZQetqYfslkmMRsi,https://api.spotify.com/v1/audio-analysis/0DoSZp7ZQetqYfslkmMRsi,198089.0,4.0
Wild for the Night (feat. Skrillex & Birdy Nam Nam),A$AP Rocky,7150,east coast hip hop,0.757,0.848,2.0,-4.234,1.0,0.335,0.0481,0.0,0.121,0.686,139.995,audio_features,2rzBvHM9h36Tpdj7Jdajka,spotify:track:2rzBvHM9h36Tpdj7Jdajka,https://api.spotify.com/v1/tracks/2rzBvHM9h36Tpdj7Jdajka,https://api.spotify.com/v1/audio-analysis/2rzBvHM9h36Tpdj7Jdajka,212640.0,4.0
