trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
"Air, BWV 1068 - From Orchestral Suite No.3 In D Major",André Rieu,26583637,easy listening,0.157,0.378,2.0,-14.792,1.0,0.0389,0.674,0.914,0.136,0.144,141.592,audio_features,3f4Iil1Tm7uyA1E0J0Eu4C,spotify:track:3f4Iil1Tm7uyA1E0J0Eu4C,https://api.spotify.com/v1/tracks/3f4Iil1Tm7uyA1E0J0Eu4C,https://api.spotify.com/v1/audio-analysis/3f4Iil1Tm7uyA1E0J0Eu4C,301320.0,4.0
Cavalleria Rusticana: Intermezzo Sinfonico,André Rieu,413812,easy listening,0.087,0.299,5.0,-13.295,1.0,0.0392,0.895,0.88,0.271,0.0364,68.83,audio_features,3ILnOG0UZAtf2AtxiJ3vzT,spotify:track:3ILnOG0UZAtf2AtxiJ3vzT,https://api.spotify.com/v1/tracks/3ILnOG0UZAtf2AtxiJ3vzT,https://api.spotify.com/v1/audio-analysis/3ILnOG0UZAtf2AtxiJ3vzT,207093.0,5.0
"Cavatina - From ""The Deer Hunter""",André Rieu,359251,easy listening,0.0641,0.23,3.0,-15.421,1.0,0.0361,0.772,0.97,0.105,0.0643,66.71,audio_features,4iEMbjG8jB6dXzeef5SSQm,spotify:track:4iEMbjG8jB6dXzeef5SSQm,https://api.spotify.com/v1/tracks/4iEMbjG8jB6dXzeef5SSQm,https://api.spotify.com/v1/audio-analysis/4iEMbjG8jB6dXzeef5SSQm,252133.0,3.0
La Traviata: Overture,André Rieu,512711,easy listening,0.262,0.166,11.0,-19.585,1.0,0.0403,0.967,0.904,0.358,0.0545,122.74,audio_features,5fXzyFs4FEGy9SAHrarvNW,spotify:track:5fXzyFs4FEGy9SAHrarvNW,https://api.spotify.com/v1/tracks/5fXzyFs4FEGy9SAHrarvNW,https://api.spotify.com/v1/audio-analysis/5fXzyFs4FEGy9SAHrarvNW,213267.0,4.0
Ladyfingers,Herb Alpert & The Tijuana Brass,575114,easy listening,0.347,0.299,3.0,-14.462,1.0,0.0401,0.979,0.93,0.178,0.556,86.15,audio_features,7ubd6wvhN4TKMwQUy6hR69,spotify:track:7ubd6wvhN4TKMwQUy6hR69,https://api.spotify.com/v1/tracks/7ubd6wvhN4TKMwQUy6hR69,https://api.spotify.com/v1/audio-analysis/7ubd6wvhN4TKMwQUy6hR69,164547.0,4.0
"Salut D'Amour, Op. 12",André Rieu,199094,easy listening,0.181,0.337,4.0,-14.125,1.0,0.0391,0.881,0.839,0.0968,0.065,89.025,audio_features,12fdmfDg6O45mdbHS2d12F,spotify:track:12fdmfDg6O45mdbHS2d12F,https://api.spotify.com/v1/tracks/12fdmfDg6O45mdbHS2d12F,https://api.spotify.com/v1/audio-analysis/12fdmfDg6O45mdbHS2d12F,199333.0,3.0
Sleepy Shores,André Rieu,237052,easy listening,0.173,0.258,7.0,-14.238,1.0,0.0319,0.894,0.838,0.12,0.045,140.871,audio_features,0xTftvPHQLMz0xqlVk0wss,spotify:track:0xTftvPHQLMz0xqlVk0wss,https://api.spotify.com/v1/tracks/0xTftvPHQLMz0xqlVk0wss,https://api.spotify.com/v1/audio-analysis/0xTftvPHQLMz0xqlVk0wss,237133.0,4.0
Tara's Theme from 'Gone With the Wind',André Rieu,228877,easy listening,0.156,0.44,5.0,-9.19,1.0,0.0343,0.423,0.884,0.117,0.0448,91.778,audio_features,3BevD2ylLC5ItezwmhihOa,spotify:track:3BevD2ylLC5ItezwmhihOa,https://api.spotify.com/v1/tracks/3BevD2ylLC5ItezwmhihOa,https://api.spotify.com/v1/audio-analysis/3BevD2ylLC5ItezwmhihOa,223413.0,3.0
The Merry Widow,André Rieu,366776,easy listening,0.204,0.319,7.0,-14.384,1.0,0.0387,0.828,0.588,0.34,0.138,86.365,audio_features,67NS7ORzd5WgcDaIZoT0gP,spotify:track:67NS7ORzd5WgcDaIZoT0gP,https://api.spotify.com/v1/tracks/67NS7ORzd5WgcDaIZoT0gP,https://api.spotify.com/v1/audio-analysis/67NS7ORzd5WgcDaIZoT0gP,183480.0,4.0
"Air, BWV 1068 - From Orchestral Suite No.3 In D Major",André Rieu,26583637,easy listening,0.157,0.378,2.0,-14.792,1.0,0.0389,0.674,0.914,0.136,0.144,141.592,audio_features,3f4Iil1Tm7uyA1E0J0Eu4C,spotify:track:3f4Iil1Tm7uyA1E0J0Eu4C,https://api.spotify.com/v1/tracks/3f4Iil1Tm7uyA1E0J0Eu4C,https://api.spotify.com/v1/audio-analysis/3f4Iil1Tm7uyA1E0J0Eu4C,301320.0,4.0
Cavalleria Rusticana: Intermezzo Sinfonico,André Rieu,413812,easy listening,0.087,0.299,5.0,-13.295,1.0,0.0392,0.895,0.88,0.271,0.0364,68.83,audio_features,3ILnOG0UZAtf2AtxiJ3vzT,spotify:track:3ILnOG0UZAtf2AtxiJ3vzT,https://api.spotify.com/v1/tracks/3ILnOG0UZAtf2AtxiJ3vzT,https://api.spotify.com/v1/audio-analysis/3ILnOG0UZAtf2AtxiJ3vzT,207093.0,5.0
"Cavatina - From ""The Deer Hunter""",André Rieu,359251,easy listening,0.0641,0.23,3.0,-15.421,1.0,0.0361,0.772,0.97,0.105,0.0643,66.71,audio_features,4iEMbjG8jB6dXzeef5SSQm,spotify:track:4iEMbjG8jB6dXzeef5SSQm,https://api.spotify.com/v1/tracks/4iEMbjG8jB6dXzeef5SSQm,https://api.spotify.com/v1/audio-analysis/4iEMbjG8jB6dXzeef5SSQm,252133.0,3.0
La Traviata: Overture,André Rieu,512711,easy listening,0.262,0.166,11.0,-19.585,1.0,0.0403,0.967,0.904,0.358,0.0545,122.74,audio_features,5fXzyFs4FEGy9SAHrarvNW,spotify:track:5fXzyFs4FEGy9SAHrarvNW,https://api.spotify.com/v1/tracks/5fXzyFs4FEGy9SAHrarvNW,https://api.spotify.com/v1/audio-analysis/5fXzyFs4FEGy9SAHrarvNW,213267.0,4.0
Ladyfingers,Herb Alpert & The Tijuana Brass,575114,easy listening,0.347,0.299,3.0,-14.462,1.0,0.0401,0.979,0.93,0.178,0.556,86.15,audio_features,7ubd6wvhN4TKMwQUy6hR69,spotify:track:7ubd6wvhN4TKMwQUy6hR69,https://api.spotify.com/v1/tracks/7ubd6wvhN4TKMwQUy6hR69,https://api.spotify.com/v1/audio-analysis/7ubd6wvhN4TKMwQUy6hR69,164547.0,4.0
"Salut D'Amour, Op. 12",André Rieu,199094,easy listening,0.181,0.337,4.0,-14.125,1.0,0.0391,0.881,0.839,0.0968,0.065,89.025,audio_features,12fdmfDg6O45mdbHS2d12F,spotify:track:12fdmfDg6O45mdbHS2d12F,https://api.spotify.com/v1/tracks/12fdmfDg6O45mdbHS2d12F,https://api.spotify.com/v1/audio-analysis/12fdmfDg6O45mdbHS2d12F,199333.0,3.0
Sleepy Shores,André Rieu,237052,easy listening,0.173,0.258,7.0,-14.238,1.0,0.0319,0.894,0.838,0.12,0.045,140.871,audio_features,0xTftvPHQLMz0xqlVk0wss,spotify:track:0xTftvPHQLMz0xqlVk0wss,https://api.spotify.com/v1/tracks/0xTftvPHQLMz0xqlVk0wss,https://api.spotify.com/v1/audio-analysis/0xTftvPHQLMz0xqlVk0wss,237133.0,4.0
Tara's Theme from 'Gone With the Wind',André Rieu,228877,easy listening,0.156,0.44,5.0,-9.19,1.0,0.0343,0.423,0.884,0.117,0.0448,91.778,audio_features,3BevD2ylLC5ItezwmhihOa,spotify:track:3BevD2ylLC5ItezwmhihOa,https://api.spotify.com/v1/tracks/3BevD2ylLC5ItezwmhihOa,https://api.spotify.com/v1/audio-analysis/3BevD2ylLC5ItezwmhihOa,223413.0,3.0
The Merry Widow,André Rieu,366776,easy listening,0.204,0.319,7.0,-14.384,1.0,0.0387,0.828,0.588,0.34,0.138,86.365,audio_features,67NS7ORzd5WgcDaIZoT0gP,spotify:track:67NS7ORzd5WgcDaIZoT0gP,https://api.spotify.com/v1/tracks/67NS7ORzd5WgcDaIZoT0gP,https://api.spotify.com/v1/audio-analysis/67NS7ORzd5WgcDaIZoT0gP,183480.0,4.0
