trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
A Different Way (with Lauv),DJ Snake,66060,edm,0.784,0.757,8.0,-3.912,1.0,0.0384,0.495,1.18e-06,0.142,0.587,104.996,audio_features,1YMBg7rOjxzbya0fPOYfNX,spotify:track:1YMBg7rOjxzbya0fPOYfNX,https://api.spotify.com/v1/tracks/1YMBg7rOjxzbya0fPOYfNX,https://api.spotify.com/v1/audio-analysis/1YMBg7rOjxzbya0fPOYfNX,198286.0,4.0
Baby I'm A Queen,Sofi Tukker,208520,edm,0.642,0.813,6.0,-4.394,0.0,0.0305,0.00147,0.761,0.363,0.202,119.965,audio_features,6NNP27VopCg9igRuWCRt6P,spotify:track:6NNP27VopCg9igRuWCRt6P,https://api.spotify.com/v1/tracks/6NNP27VopCg9igRuWCRt6P,https://api.spotify.com/v1/audio-analysis/6NNP27VopCg9igRuWCRt6P,208520.0,4.0
Beats Knockin (feat. Fly Boi Keno),Jack Ü,90718,edm,0.814,0.951,11.0,-1.981,1.0,0.0715,0.0118,0.0,0.628,0.264,104.003,audio_features,4gwF1NiLbZl2uKJDS3AX9O,spotify:track:4gwF1NiLbZl2uKJDS3AX9O,https://api.spotify.com/v1/tracks/4gwF1NiLbZl2uKJDS3AX9O,https://api.spotify.com/v1/audio-analysis/4gwF1NiLbZl2uKJDS3AX9O,173077.0,4.0
Beautiful Creatures (feat. MAX),ILLENIUM,240508,edm,0.578,0.826,0.0,-4.577,0.0,0.0796,0.0668,0.00074,0.367,0.216,117.048,audio_features,4pWawf1Rq4qHDv4Ktqjg2D,spotify:track:4pWawf1Rq4qHDv4Ktqjg2D,https://api.spotify.com/v1/tracks/4pWawf1Rq4qHDv4Ktqjg2D,https://api.spotify.com/v1/audio-analysis/4pWawf1Rq4qHDv4Ktqjg2D,240508.0,4.0
Blood (with Foy Vance),ILLENIUM,905561,edm,0.358,0.896,4.0,-4.547,0.0,0.159,0.083,0.0014,0.372,0.1,75.192,audio_features,1kQ0aj0mnjd5xKrYKLZo64,spotify:track:1kQ0aj0mnjd5xKrYKLZo64,https://api.spotify.com/v1/tracks/1kQ0aj0mnjd5xKrYKLZo64,https://api.spotify.com/v1/audio-analysis/1kQ0aj0mnjd5xKrYKLZo64,248000.0,4.0
Broken Summer,DJ Snake,3987042,edm,0.683,0.415,10.0,-10.72,0.0,0.0841,0.0918,6.34e-06,0.149,0.554,81.006,audio_features,60mrGpCA4OIUuRLwi4T5Nm,spotify:track:60mrGpCA4OIUuRLwi4T5Nm,https://api.spotify.com/v1/tracks/60mrGpCA4OIUuRLwi4T5Nm,https://api.spotify.com/v1/audio-analysis/60mrGpCA4OIUuRLwi4T5Nm,183779.0,4.0
Cinema - Skrillex Remix,Benny Benassi,33161,edm,0.637,0.985,6.0,-3.809,0.0,0.184,0.00988,0.00857,0.0649,0.374,145.111,audio_features,02FuO3zDHGFAz0yP7HHGvy,spotify:track:02FuO3zDHGFAz0yP7HHGvy,https://api.spotify.com/v1/tracks/02FuO3zDHGFAz0yP7HHGvy,https://api.spotify.com/v1/audio-analysis/02FuO3zDHGFAz0yP7HHGvy,307862.0,4.0
Close Your Eyes,Felix Jaehn,1841106,edm,0.844,0.818,2.0,-3.727,1.0,0.2,0.0743,1.28e-05,0.112,0.536,128.094,audio_features,6RGIdRwasmrpRZ766XAukT,spotify:track:6RGIdRwasmrpRZ766XAukT,https://api.spotify.com/v1/tracks/6RGIdRwasmrpRZ766XAukT,https://api.spotify.com/v1/audio-analysis/6RGIdRwasmrpRZ766XAukT,159963.0,4.0
Close to You (feat. PollyAnna),Steve Aoki,80,edm,0.572,0.904,0.0,-3.814,1.0,0.042,0.0167,0.00252,0.31,0.374,150.086,audio_features,4gEC7He07d6cuzkQ7MSobQ,spotify:track:4gEC7He07d6cuzkQ7MSobQ,https://api.spotify.com/v1/tracks/4gEC7He07d6cuzkQ7MSobQ,https://api.spotify.com/v1/audio-analysis/4gEC7He07d6cuzkQ7MSobQ,190400.0,4.0
Crawl Outta Love,ILLENIUM,1661219,edm,0.377,0.723,7.0,-2.951,1.0,0.046,0.181,0.0,0.0815,0.167,84.139,audio_features,0q7oMII7kWTj1ZSX6GT6LU,spotify:track:0q7oMII7kWTj1ZSX6GT6LU,https://api.spotify.com/v1/tracks/0q7oMII7kWTj1ZSX6GT6LU,https://api.spotify.com/v1/audio-analysis/0q7oMII7kWTj1ZSX6GT6LU,242012.0,4.0
Devil Eyes,Hippie Sabotage,729053,edm,0.391,0.396,1.0,-8.621,0.0,0.189,0.702,0.405,0.315,0.199,99.112,audio_features,7MiZjKawmXTsTNePyTfPyL,spotify:track:7MiZjKawmXTsTNePyTfPyL,https://api.spotify.com/v1/tracks/7MiZjKawmXTsTNePyTfPyL,https://api.spotify.com/v1/audio-analysis/7MiZjKawmXTsTNePyTfPyL,131272.0,5.0
Dreamer,Axwell /\ Ingrosso,1495293,edm,0.627,0.847,10.0,-5.303,1.0,0.0352,0.0237,0.0,0.212,0.611,126.017,audio_features,0RTzJVkunbGwuRjXDFHnjf,spotify:track:0RTzJVkunbGwuRjXDFHnjf,https://api.spotify.com/v1/tracks/0RTzJVkunbGwuRjXDFHnjf,https://api.spotify.com/v1/audio-analysis/0RTzJVkunbGwuRjXDFHnjf,251147.0,4.0
Electricity (with Dua Lipa),Silk City,86311,edm,0.588,0.67,0.0,-6.439,1.0,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,audio_features,5N4erncE7kuUccm7zEmwzk,spotify:track:5N4erncE7kuUccm7zEmwzk,https://api.spotify.com/v1/tracks/5N4erncE7kuUccm7zEmwzk,https://api.spotify.com/v1/audio-analysis/5N4erncE7kuUccm7zEmwzk,238173.0,4.0
Febreze (feat. 2 Chainz),Jack Ü,44343,edm,0.68,0.983,2.0,-3.51,1.0,0.333,0.0184,0.0,0.289,0.263,149.829,audio_features,48bSfSZaq9Aizbu4AWn4st,spotify:track:48bSfSZaq9Aizbu4AWn4st,https://api.spotify.com/v1/tracks/48bSfSZaq9Aizbu4AWn4st,https://api.spotify.com/v1/audio-analysis/48bSfSZaq9Aizbu4AWn4st,214400.0,4.0
Firestone,Kygo,1882370,edm,0.704,0.634,11.0,-7.374,0.0,0.0428,0.393,3.17e-05,0.0952,0.411,113.927,audio_features,1I8tHoNBFTuoJAlh4hfVVE,spotify:track:1I8tHoNBFTuoJAlh4hfVVE,https://api.spotify.com/v1/tracks/1I8tHoNBFTuoJAlh4hfVVE,https://api.spotify.com/v1/audio-analysis/1I8tHoNBFTuoJAlh4hfVVE,271640.0,4.0
Footprints - Mokita Remix,Morgan Page,153964,edm,0.421,0.461,4.0,-12.708,1.0,0.0636,0.317,0.0,0.189,0.162,139.931,audio_features,4ierRI0gl4kEfK6lMKk3HM,spotify:track:4ierRI0gl4kEfK6lMKk3HM,https://api.spotify.com/v1/tracks/4ierRI0gl4kEfK6lMKk3HM,https://api.spotify.com/v1/audio-analysis/4ierRI0gl4kEfK6lMKk3HM,153979.0,4.0
Hate You + Love You (feat. AJ Mitchell),Cheat Codes,1808408,edm,0.755,0.689,5.0,-4.463,1.0,0.0305,0.0693,0.0,0.394,0.638,140.013,audio_features,7DgkSYT6vh3UAYQlFbsj6z,spotify:track:7DgkSYT6vh3UAYQlFbsj6z,https://api.spotify.com/v1/tracks/7DgkSYT6vh3UAYQlFbsj6z,https://api.spotify.com/v1/audio-analysis/7DgkSYT6vh3UAYQlFbsj6z,198874.0,4.0
Heaven Takes You Home (feat. Connie Constance),Swedish House Mafia,2120,edm,0.665,0.738,0.0,-5.931,0.0,0.0379,0.0124,0.00598,0.0923,0.0389,125.037,audio_features,3nEHrvNNtgLv9rneTAYVr4,spotify:track:3nEHrvNNtgLv9rneTAYVr4,https://api.spotify.com/v1/tracks/3nEHrvNNtgLv9rneTAYVr4,https://api.spotify.com/v1/audio-analysis/3nEHrvNNtgLv9rneTAYVr4,214071.0,4.0
Hold You Tonight (with Chris Lane),Gryffin,1012820,edm,0.467,0.795,11.0,-3.6,1.0,0.0687,0.102,0.0,0.264,0.472,163.837,audio_features,58jecLK0epwMLr9cy5vFUy,spotify:track:58jecLK0epwMLr9cy5vFUy,https://api.spotify.com/v1/tracks/58jecLK0epwMLr9cy5vFUy,https://api.spotify.com/v1/audio-analysis/58jecLK0epwMLr9cy5vFUy,219354.0,4.0
Hole In My Heart (with Livingston),Louis The Child,82611,edm,0.813,0.702,7.0,-5.313,0.0,0.103,0.0144,0.0,0.211,0.65,124.06,audio_features,4nRwznPhpULuqcqRw9KAUd,spotify:track:4nRwznPhpULuqcqRw9KAUd,https://api.spotify.com/v1/tracks/4nRwznPhpULuqcqRw9KAUd,https://api.spotify.com/v1/audio-analysis/4nRwznPhpULuqcqRw9KAUd,171327.0,4.0
Jungle Bae (feat. Bunji Garlin & MX Prime),Jack Ü,182215,edm,0.744,0.997,2.0,-1.325,1.0,0.13,0.0304,0.00256,0.0737,0.558,127.975,audio_features,7yJzk64ul9PFgVFUYbEzZL,spotify:track:7yJzk64ul9PFgVFUYbEzZL,https://api.spotify.com/v1/tracks/7yJzk64ul9PFgVFUYbEzZL,https://api.spotify.com/v1/audio-analysis/7yJzk64ul9PFgVFUYbEzZL,208125.0,4.0
Let Me Love You,DJ Snake,64207,edm,0.649,0.716,8.0,-5.371,1.0,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,audio_features,0lYBSQXN6rCTvUZvg9S0lU,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,https://api.spotify.com/v1/tracks/0lYBSQXN6rCTvUZvg9S0lU,https://api.spotify.com/v1/audio-analysis/0lYBSQXN6rCTvUZvg9S0lU,205947.0,4.0
Let You Go,Diplo,332307,edm,0.584,0.955,7.0,-4.197,0.0,0.0507,0.101,0.00243,0.092,0.486,128.04,audio_features,0KG7XrgM20KEmJrKsyFDAm,spotify:track:0KG7XrgM20KEmJrKsyFDAm,https://api.spotify.com/v1/tracks/0KG7XrgM20KEmJrKsyFDAm,https://api.spotify.com/v1/audio-analysis/0KG7XrgM20KEmJrKsyFDAm,234375.0,4.0
Levels - Skrillex Remix,Avicii,157761,edm,0.615,0.91,5.0,-2.825,0.0,0.0762,0.00761,0.00636,0.16,0.346,139.997,audio_features,3MDDVmTbdgTdlpPu3MFdJx,spotify:track:3MDDVmTbdgTdlpPu3MFdJx,https://api.spotify.com/v1/tracks/3MDDVmTbdgTdlpPu3MFdJx,https://api.spotify.com/v1/audio-analysis/3MDDVmTbdgTdlpPu3MFdJx,281147.0,4.0
