trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
"Alone, Pt. II",Alan Walker,1714685,electro house,0.673,0.659,3.0,-4.493,0.0,0.0439,0.539,0.0,0.129,0.628,88.011,audio_features,28VbwtsYnj85UEODGpQRem,spotify:track:28VbwtsYnj85UEODGpQRem,https://api.spotify.com/v1/tracks/28VbwtsYnj85UEODGpQRem,https://api.spotify.com/v1/audio-analysis/28VbwtsYnj85UEODGpQRem,179053.0,4.0
Faded,Alan Walker,124706,electro house,0.468,0.627,6.0,-5.085,1.0,0.0476,0.0281,7.97e-06,0.11,0.159,179.642,audio_features,698ItKASDavgwZ3WjaWjtz,spotify:track:698ItKASDavgwZ3WjaWjtz,https://api.spotify.com/v1/tracks/698ItKASDavgwZ3WjaWjtz,https://api.spotify.com/v1/audio-analysis/698ItKASDavgwZ3WjaWjtz,212107.0,4.0
Fake A Smile,Alan Walker,1941915,electro house,0.447,0.553,0.0,-4.817,1.0,0.0322,0.212,0.0,0.165,0.252,149.877,audio_features,6rAGFY9D3ah6Lb7fUgbNNH,spotify:track:6rAGFY9D3ah6Lb7fUgbNNH,https://api.spotify.com/v1/tracks/6rAGFY9D3ah6Lb7fUgbNNH,https://api.spotify.com/v1/audio-analysis/6rAGFY9D3ah6Lb7fUgbNNH,168118.0,4.0
Ignite,Alan Walker,425237,electro house,0.681,0.864,8.0,-4.3,0.0,0.116,0.0208,3.98e-06,0.192,0.479,90.008,audio_features,1jLsirPDkUS2g4gnkYua58,spotify:track:1jLsirPDkUS2g4gnkYua58,https://api.spotify.com/v1/tracks/1jLsirPDkUS2g4gnkYua58,https://api.spotify.com/v1/audio-analysis/1jLsirPDkUS2g4gnkYua58,210288.0,4.0
Lily,Alan Walker,1220892,electro house,0.423,0.634,6.0,-5.877,0.0,0.0578,0.196,0.0,0.189,0.467,150.978,audio_features,0lks2Kt9veMOFEAPN0fsqN,spotify:track:0lks2Kt9veMOFEAPN0fsqN,https://api.spotify.com/v1/tracks/0lks2Kt9veMOFEAPN0fsqN,https://api.spotify.com/v1/audio-analysis/0lks2Kt9veMOFEAPN0fsqN,195840.0,4.0
Ocean,Alok,40387,electro house,0.655,0.684,0.0,-5.18,1.0,0.0269,0.197,0.0036,0.278,0.27,110.037,audio_features,4nraNqonMyfc0U3o8VeXVu,spotify:track:4nraNqonMyfc0U3o8VeXVu,https://api.spotify.com/v1/tracks/4nraNqonMyfc0U3o8VeXVu,https://api.spotify.com/v1/audio-analysis/4nraNqonMyfc0U3o8VeXVu,174002.0,4.0
On My Way,Alan Walker,451927,electro house,0.509,0.689,1.0,-4.929,0.0,0.102,0.0209,0.0,0.301,0.297,170.087,audio_features,4n7jnSxVLd8QioibtTDBDq,spotify:track:4n7jnSxVLd8QioibtTDBDq,https://api.spotify.com/v1/tracks/4n7jnSxVLd8QioibtTDBDq,https://api.spotify.com/v1/audio-analysis/4n7jnSxVLd8QioibtTDBDq,193798.0,4.0
Rapture,Alok,998249,electro house,0.677,0.632,3.0,-6.877,0.0,0.0585,0.16,0.198,0.0842,0.543,123.99,audio_features,0CNxWAkG4ysu9Z3eCfknWK,spotify:track:0CNxWAkG4ysu9Z3eCfknWK,https://api.spotify.com/v1/tracks/0CNxWAkG4ysu9Z3eCfknWK,https://api.spotify.com/v1/audio-analysis/0CNxWAkG4ysu9Z3eCfknWK,166452.0,4.0
Square One,Grandtheft,4411884,electro house,0.608,0.732,10.0,-4.767,0.0,0.108,0.254,0.0,0.161,0.566,149.845,audio_features,6RZROHt9wH1xCOsdb3QP9d,spotify:track:6RZROHt9wH1xCOsdb3QP9d,https://api.spotify.com/v1/tracks/6RZROHt9wH1xCOsdb3QP9d,https://api.spotify.com/v1/audio-analysis/6RZROHt9wH1xCOsdb3QP9d,205847.0,4.0
World We Used To Know,Alan Walker,1451222,electro house,0.48,0.692,11.0,-5.324,0.0,0.0582,0.176,0.00011,0.221,0.465,85.343,audio_features,5I9Qa1LfGcQGCIC32lh9Ka,spotify:track:5I9Qa1LfGcQGCIC32lh9Ka,https://api.spotify.com/v1/tracks/5I9Qa1LfGcQGCIC32lh9Ka,https://api.spotify.com/v1/audio-analysis/5I9Qa1LfGcQGCIC32lh9Ka,161829.0,4.0
