trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Actually I'm Good,Foreign Forest,252203,emo rap,0.727,0.486,8.0,-8.364,1.0,0.0325,0.568,0.0,0.0889,0.362,118.038,audio_features,4pUWMIfXJqRkLgJeEwvqxu,spotify:track:4pUWMIfXJqRkLgJeEwvqxu,https://api.spotify.com/v1/tracks/4pUWMIfXJqRkLgJeEwvqxu,https://api.spotify.com/v1/audio-analysis/4pUWMIfXJqRkLgJeEwvqxu,252203.0,4.0
All I Have Is My Smile,LIL DUSTY G,99200,emo rap,0.636,0.808,0.0,-3.288,1.0,0.0534,0.0699,0.0,0.153,0.508,75.013,audio_features,0v9efJ1lA4yhp3P2PLNKqM,spotify:track:0v9efJ1lA4yhp3P2PLNKqM,https://api.spotify.com/v1/tracks/0v9efJ1lA4yhp3P2PLNKqM,https://api.spotify.com/v1/audio-analysis/0v9efJ1lA4yhp3P2PLNKqM,99200.0,4.0
Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,5208919,emo rap,0.703,0.723,9.0,-5.45,0.0,0.0412,0.0302,2.06e-06,0.126,0.288,104.969,audio_features,2LskIZrCeLxRvCiGP8gxlh,spotify:track:2LskIZrCeLxRvCiGP8gxlh,https://api.spotify.com/v1/tracks/2LskIZrCeLxRvCiGP8gxlh,https://api.spotify.com/v1/audio-analysis/2LskIZrCeLxRvCiGP8gxlh,198903.0,4.0
bad vibes forever,XXXTENTACION,87623,emo rap,0.8,0.526,8.0,-5.153,1.0,0.0716,0.334,0.00174,0.0571,0.746,129.874,audio_features,03eJ2DclFWXYU8GWgANdmZ,spotify:track:03eJ2DclFWXYU8GWgANdmZ,https://api.spotify.com/v1/tracks/03eJ2DclFWXYU8GWgANdmZ,https://api.spotify.com/v1/audio-analysis/03eJ2DclFWXYU8GWgANdmZ,150475.0,4.0
before I close my eyes,XXXTENTACION,5031,emo rap,0.356,0.143,9.0,-15.148,1.0,0.0388,0.976,1.89e-05,0.111,0.334,75.522,audio_features,16x9bQHw8TBNaGDyULvwad,spotify:track:16x9bQHw8TBNaGDyULvwad,https://api.spotify.com/v1/tracks/16x9bQHw8TBNaGDyULvwad,https://api.spotify.com/v1/audio-analysis/16x9bQHw8TBNaGDyULvwad,99658.0,4.0
fragment,sadeyes,134885,emo rap,0.607,0.497,4.0,-12.053,0.0,0.209,0.828,0.0,0.105,0.517,147.965,audio_features,77OWuDUCJMhizuSjOXDJbl,spotify:track:77OWuDUCJMhizuSjOXDJbl,https://api.spotify.com/v1/tracks/77OWuDUCJMhizuSjOXDJbl,https://api.spotify.com/v1/audio-analysis/77OWuDUCJMhizuSjOXDJbl,134886.0,4.0
i fall apart,sadeyes,178423,emo rap,0.658,0.487,0.0,-9.618,1.0,0.45,0.487,0.0,0.26,0.523,135.232,audio_features,2rvg3ZXtBRxU0AlbXOqPSP,spotify:track:2rvg3ZXtBRxU0AlbXOqPSP,https://api.spotify.com/v1/tracks/2rvg3ZXtBRxU0AlbXOqPSP,https://api.spotify.com/v1/audio-analysis/2rvg3ZXtBRxU0AlbXOqPSP,178424.0,3.0
wanna grow old (i won't let go),XXXTENTACION,131214,emo rap,0.74,0.199,4.0,-8.575,0.0,0.0366,0.835,2.05e-06,0.116,0.486,75.013,audio_features,5RZt3aBokyH2EEqWBef7uS,spotify:track:5RZt3aBokyH2EEqWBef7uS,https://api.spotify.com/v1/tracks/5RZt3aBokyH2EEqWBef7uS,https://api.spotify.com/v1/audio-analysis/5RZt3aBokyH2EEqWBef7uS,131215.0,4.0
you deserve better,sadeyes,141927,emo rap,0.591,0.488,8.0,-11.178,1.0,0.16,0.358,0.0,0.357,0.362,109.9,audio_features,5MsydV2Ii4A7r85gSgh90x,spotify:track:5MsydV2Ii4A7r85gSgh90x,https://api.spotify.com/v1/tracks/5MsydV2Ii4A7r85gSgh90x,https://api.spotify.com/v1/audio-analysis/5MsydV2Ii4A7r85gSgh90x,141928.0,4.0
Demons,Ouse,207850,emo rap,0.544,0.55,4.0,-10.654,1.0,0.0592,0.0183,0.0,0.193,0.134,149.872,audio_features,1FonRAk9xtzJZbGCslpaZ9,spotify:track:1FonRAk9xtzJZbGCslpaZ9,https://api.spotify.com/v1/tracks/1FonRAk9xtzJZbGCslpaZ9,https://api.spotify.com/v1/audio-analysis/1FonRAk9xtzJZbGCslpaZ9,204891.0,4.0
Everybody Dies In Their Nightmares,XXXTENTACION,95466,emo rap,0.734,0.57,7.0,-7.066,0.0,0.133,0.847,2.14e-05,0.112,0.689,129.953,audio_features,3GVkPk8mqxz0itaAriG1L7,spotify:track:3GVkPk8mqxz0itaAriG1L7,https://api.spotify.com/v1/tracks/3GVkPk8mqxz0itaAriG1L7,https://api.spotify.com/v1/audio-analysis/3GVkPk8mqxz0itaAriG1L7,95467.0,4.0
Forgot 2 Die,Foreign Forest,44541,emo rap,0.492,0.445,8.0,-11.807,1.0,0.0369,0.0108,0.000379,0.109,0.0339,129.062,audio_features,1Eo4NcIx1F17Ru2TlGizty,spotify:track:1Eo4NcIx1F17Ru2TlGizty,https://api.spotify.com/v1/tracks/1Eo4NcIx1F17Ru2TlGizty,https://api.spotify.com/v1/audio-analysis/1Eo4NcIx1F17Ru2TlGizty,282615.0,4.0
Heartache,Foreign Forest,159489,emo rap,0.61,0.532,11.0,-9.802,0.0,0.0324,0.561,0.481,0.111,0.158,91.79,audio_features,5pLkTFVh3u4aN2893yEY62,spotify:track:5pLkTFVh3u4aN2893yEY62,https://api.spotify.com/v1/tracks/5pLkTFVh3u4aN2893yEY62,https://api.spotify.com/v1/audio-analysis/5pLkTFVh3u4aN2893yEY62,159489.0,4.0
Hope,XXXTENTACION,1818821,emo rap,0.592,0.457,9.0,-6.081,0.0,0.0603,0.661,0.000331,0.146,0.225,146.04,audio_features,2ZRo7axmMPeSVUvDbGkJah,spotify:track:2ZRo7axmMPeSVUvDbGkJah,https://api.spotify.com/v1/tracks/2ZRo7axmMPeSVUvDbGkJah,https://api.spotify.com/v1/audio-analysis/2ZRo7axmMPeSVUvDbGkJah,110886.0,4.0
Jocelyn Flores,XXXTENTACION,1262473,emo rap,0.872,0.391,0.0,-9.144,0.0,0.242,0.469,4.13e-06,0.297,0.437,134.021,audio_features,7m9OqQk4RVRkw9JJdeAw96,spotify:track:7m9OqQk4RVRkw9JJdeAw96,https://api.spotify.com/v1/tracks/7m9OqQk4RVRkw9JJdeAw96,https://api.spotify.com/v1/audio-analysis/7m9OqQk4RVRkw9JJdeAw96,119133.0,4.0
