trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
All I Ever Wanted - Radio Edit,Basshunter,330088,eurodance,0.645,0.984,4.0,-7.051,1.0,0.0508,0.164,0.00701,0.164,0.553,144.954,audio_features,2PTvik6EqPAIYOclAB3SU8,spotify:track:2PTvik6EqPAIYOclAB3SU8,https://api.spotify.com/v1/tracks/2PTvik6EqPAIYOclAB3SU8,https://api.spotify.com/v1/audio-analysis/2PTvik6EqPAIYOclAB3SU8,176453.0,4.0
Bad Boy,Cascada,191651,eurodance,0.666,0.978,11.0,-5.118,0.0,0.0925,0.0149,0.0444,0.222,0.63,139.991,audio_features,1p5jgCAGFDBIBs6ZbWIMvA,spotify:track:1p5jgCAGFDBIBs6ZbWIMvA,https://api.spotify.com/v1/tracks/1p5jgCAGFDBIBs6ZbWIMvA,https://api.spotify.com/v1/audio-analysis/1p5jgCAGFDBIBs6ZbWIMvA,191843.0,4.0
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65,219093,eurodance,0.822,0.969,7.0,-11.471,0.0,0.0582,0.259,0.000153,0.39,0.765,128.007,audio_features,2yAVzRiEQooPEJ9SYx11L3,spotify:track:2yAVzRiEQooPEJ9SYx11L3,https://api.spotify.com/v1/tracks/2yAVzRiEQooPEJ9SYx11L3,https://api.spotify.com/v1/audio-analysis/2yAVzRiEQooPEJ9SYx11L3,283748.0,4.0
DotA - Radio Edit,Basshunter,284766,eurodance,0.46,0.962,0.0,-6.447,1.0,0.112,0.0084,0.00199,0.186,0.532,140.047,audio_features,6HjtZWIo0bh0KLD8Tq4ujR,spotify:track:6HjtZWIo0bh0KLD8Tq4ujR,https://api.spotify.com/v1/tracks/6HjtZWIo0bh0KLD8Tq4ujR,https://api.spotify.com/v1/audio-analysis/6HjtZWIo0bh0KLD8Tq4ujR,200560.0,4.0
Dragostea Din Tei,O-Zone,46838,eurodance,0.812,0.968,0.0,-3.758,1.0,0.0421,0.161,0.0,0.0661,0.706,130.093,audio_features,4nnHlGaBwJHb1rBetqj0Yl,spotify:track:4nnHlGaBwJHb1rBetqj0Yl,https://api.spotify.com/v1/tracks/4nnHlGaBwJHb1rBetqj0Yl,https://api.spotify.com/v1/audio-analysis/4nnHlGaBwJHb1rBetqj0Yl,213920.0,4.0
Dragostea din tei,O-Zone,134849,eurodance,0.812,0.968,0.0,-3.758,1.0,0.0421,0.161,0.0,0.0661,0.706,130.093,audio_features,4nnHlGaBwJHb1rBetqj0Yl,spotify:track:4nnHlGaBwJHb1rBetqj0Yl,https://api.spotify.com/v1/tracks/4nnHlGaBwJHb1rBetqj0Yl,https://api.spotify.com/v1/audio-analysis/4nnHlGaBwJHb1rBetqj0Yl,213920.0,4.0
Thunder,Gabry Ponte,1010802,eurodance,0.67,0.896,1.0,-4.673,1.0,0.058,0.0342,3.21e-05,0.344,0.403,101.216,audio_features,2USlegnFJLrVLpoVfPimKB,spotify:track:2USlegnFJLrVLpoVfPimKB,https://api.spotify.com/v1/tracks/2USlegnFJLrVLpoVfPimKB,https://api.spotify.com/v1/audio-analysis/2USlegnFJLrVLpoVfPimKB,160000.0,3.0
All I Ever Wanted - Radio Edit,Basshunter,330088,eurodance,0.645,0.984,4.0,-7.051,1.0,0.0508,0.164,0.00701,0.164,0.553,144.954,audio_features,2PTvik6EqPAIYOclAB3SU8,spotify:track:2PTvik6EqPAIYOclAB3SU8,https://api.spotify.com/v1/tracks/2PTvik6EqPAIYOclAB3SU8,https://api.spotify.com/v1/audio-analysis/2PTvik6EqPAIYOclAB3SU8,176453.0,4.0
Bad Boy,Cascada,191651,eurodance,0.666,0.978,11.0,-5.118,0.0,0.0925,0.0149,0.0444,0.222,0.63,139.991,audio_features,1p5jgCAGFDBIBs6ZbWIMvA,spotify:track:1p5jgCAGFDBIBs6ZbWIMvA,https://api.spotify.com/v1/tracks/1p5jgCAGFDBIBs6ZbWIMvA,https://api.spotify.com/v1/audio-analysis/1p5jgCAGFDBIBs6ZbWIMvA,191843.0,4.0
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65,219093,eurodance,0.822,0.969,7.0,-11.471,0.0,0.0582,0.259,0.000153,0.39,0.765,128.007,audio_features,2yAVzRiEQooPEJ9SYx11L3,spotify:track:2yAVzRiEQooPEJ9SYx11L3,https://api.spotify.com/v1/tracks/2yAVzRiEQooPEJ9SYx11L3,https://api.spotify.com/v1/audio-analysis/2yAVzRiEQooPEJ9SYx11L3,283748.0,4.0
DotA - Radio Edit,Basshunter,284766,eurodance,0.46,0.962,0.0,-6.447,1.0,0.112,0.0084,0.00199,0.186,0.532,140.047,audio_features,6HjtZWIo0bh0KLD8Tq4ujR,spotify:track:6HjtZWIo0bh0KLD8Tq4ujR,https://api.spotify.com/v1/tracks/6HjtZWIo0bh0KLD8Tq4ujR,https://api.spotify.com/v1/audio-analysis/6HjtZWIo0bh0KLD8Tq4ujR,200560.0,4.0
Dragostea Din Tei,O-Zone,46838,eurodance,0.812,0.968,0.0,-3.758,1.0,0.0421,0.161,0.0,0.0661,0.706,130.093,audio_features,4nnHlGaBwJHb1rBetqj0Yl,spotify:track:4nnHlGaBwJHb1rBetqj0Yl,https://api.spotify.com/v1/tracks/4nnHlGaBwJHb1rBetqj0Yl,https://api.spotify.com/v1/audio-analysis/4nnHlGaBwJHb1rBetqj0Yl,213920.0,4.0
Dragostea din tei,O-Zone,134849,eurodance,0.812,0.968,0.0,-3.758,1.0,0.0421,0.161,0.0,0.0661,0.706,130.093,audio_features,4nnHlGaBwJHb1rBetqj0Yl,spotify:track:4nnHlGaBwJHb1rBetqj0Yl,https://api.spotify.com/v1/tracks/4nnHlGaBwJHb1rBetqj0Yl,https://api.spotify.com/v1/audio-analysis/4nnHlGaBwJHb1rBetqj0Yl,213920.0,4.0
Thunder,Gabry Ponte,1010802,eurodance,0.67,0.896,1.0,-4.673,1.0,0.058,0.0342,3.21e-05,0.344,0.403,101.216,audio_features,2USlegnFJLrVLpoVfPimKB,spotify:track:2USlegnFJLrVLpoVfPimKB,https://api.spotify.com/v1/tracks/2USlegnFJLrVLpoVfPimKB,https://api.spotify.com/v1/audio-analysis/2USlegnFJLrVLpoVfPimKB,160000.0,3.0
