trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
"3,000 Miles From Home.",Ben Zaidi,789074,folk-pop,0.713,0.418,2.0,-9.035,1.0,0.0519,0.5,0.000655,0.119,0.527,84.041,audio_features,2AUvwye5K9DWdXOqlX1i0l,spotify:track:2AUvwye5K9DWdXOqlX1i0l,https://api.spotify.com/v1/tracks/2AUvwye5K9DWdXOqlX1i0l,https://api.spotify.com/v1/audio-analysis/2AUvwye5K9DWdXOqlX1i0l,158507.0,4.0
Anywhere,Passenger,216059,folk-pop,0.597,0.624,7.0,-6.931,1.0,0.0283,0.0947,8.62e-05,0.0946,0.84,104.541,audio_features,1qlazPhrxw3xGG1MZHQ1p6,spotify:track:1qlazPhrxw3xGG1MZHQ1p6,https://api.spotify.com/v1/tracks/1qlazPhrxw3xGG1MZHQ1p6,https://api.spotify.com/v1/audio-analysis/1qlazPhrxw3xGG1MZHQ1p6,216207.0,4.0
Atlantis - Extra Sped Up Version,Seafret,190758,folk-pop,0.471,0.561,11.0,-7.068,0.0,0.03,0.0472,1.91e-06,0.122,0.215,99.808,audio_features,3u6PxWema1snbjLbFEyjkJ,spotify:track:3u6PxWema1snbjLbFEyjkJ,https://api.spotify.com/v1/tracks/3u6PxWema1snbjLbFEyjkJ,https://api.spotify.com/v1/audio-analysis/3u6PxWema1snbjLbFEyjkJ,190759.0,4.0
BIG SHOT,The Lumineers,1711834,folk-pop,0.626,0.35,1.0,-7.03,1.0,0.0299,0.726,0.0,0.0975,0.225,72.522,audio_features,3UHNRo52Jrra0NfaIlYbk4,spotify:track:3UHNRo52Jrra0NfaIlYbk4,https://api.spotify.com/v1/tracks/3UHNRo52Jrra0NfaIlYbk4,https://api.spotify.com/v1/audio-analysis/3UHNRo52Jrra0NfaIlYbk4,181040.0,4.0
Better Days,Dermot Kennedy,683200,folk-pop,0.677,0.55,0.0,-7.053,1.0,0.042,0.427,0.0,0.0915,0.343,99.953,audio_features,0B6hW0mGwtejHAWuJ0qMka,spotify:track:0B6hW0mGwtejHAWuJ0qMka,https://api.spotify.com/v1/tracks/0B6hW0mGwtejHAWuJ0qMka,https://api.spotify.com/v1/audio-analysis/0B6hW0mGwtejHAWuJ0qMka,198221.0,4.0
Budapest,George Ezra,143619,folk-pop,0.717,0.455,5.0,-8.303,1.0,0.0276,0.0846,0.0,0.11,0.389,127.812,audio_features,2ixsaeFioXJmMgkkbd4uj1,spotify:track:2ixsaeFioXJmMgkkbd4uj1,https://api.spotify.com/v1/tracks/2ixsaeFioXJmMgkkbd4uj1,https://api.spotify.com/v1/audio-analysis/2ixsaeFioXJmMgkkbd4uj1,200733.0,4.0
Cleopatra,The Lumineers,2870373,folk-pop,0.536,0.775,8.0,-6.765,1.0,0.0394,0.228,0.000143,0.0947,0.485,151.393,audio_features,2ToW7zhGCrVrLU4fiKj9U1,spotify:track:2ToW7zhGCrVrLU4fiKj9U1,https://api.spotify.com/v1/tracks/2ToW7zhGCrVrLU4fiKj9U1,https://api.spotify.com/v1/audio-analysis/2ToW7zhGCrVrLU4fiKj9U1,201413.0,4.0
Fire and the Flood,Vance Joy,1284,folk-pop,0.596,0.827,5.0,-4.402,1.0,0.0372,0.0242,0.0,0.0958,0.329,115.034,audio_features,6liNJDyWJjyHAgDnAX95bw,spotify:track:6liNJDyWJjyHAgDnAX95bw,https://api.spotify.com/v1/tracks/6liNJDyWJjyHAgDnAX95bw,https://api.spotify.com/v1/audio-analysis/6liNJDyWJjyHAgDnAX95bw,249382.0,4.0
Give Me Something,Seafret,158726,folk-pop,0.557,0.439,9.0,-11.153,1.0,0.0379,0.833,0.000331,0.108,0.115,131.667,audio_features,1au9q3wiWxIwXTazIjHdfF,spotify:track:1au9q3wiWxIwXTazIjHdfF,https://api.spotify.com/v1/tracks/1au9q3wiWxIwXTazIjHdfF,https://api.spotify.com/v1/audio-analysis/1au9q3wiWxIwXTazIjHdfF,158720.0,4.0
"Gone, Gone, Gone",Phillip Phillips,3393272,folk-pop,0.664,0.642,6.0,-5.961,1.0,0.038,0.129,0.0,0.114,0.501,118.002,audio_features,56sxN1yKg1dgOZXBcAHkJG,spotify:track:56sxN1yKg1dgOZXBcAHkJG,https://api.spotify.com/v1/tracks/56sxN1yKg1dgOZXBcAHkJG,https://api.spotify.com/v1/audio-analysis/56sxN1yKg1dgOZXBcAHkJG,209693.0,4.0
